,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
31,Eric Bailly\a1232f4e,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27-345,1994,2.4,1,0.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Folarin Balogun\31822f8c,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20-263,2001,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Patrick Bamford\93feac6e,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,28-199,1993,6.2,12,1.93,9,0,1,0,1,1,3,0.48,2,0,1,0,0,0,Matches
34,Shandon Baptiste\2886c9b5,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23-349,1998,9.8,17,1.74,13,0,1,1,0,2,2,0.2,1,0,0,0,0,1,Matches
35,Ross Barkley\3a24769f,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,28-108,1993,1.7,17,9.94,11,3,2,0,1,0,3,1.75,3,0,0,0,0,0,Matches
36,Ashley Barnes\2691c772,Ashley Barnes\2691c772,eng ENG,FW,Burnley,32-144,1989,4.7,14,2.96,9,0,0,2,2,1,0,0,0,0,0,0,0,0,Matches
37,Harvey Barnes\3ea50f67,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,24-104,1997,17.4,42,2.41,33,0,6,2,1,0,8,0.46,6,0,0,2,0,0,Matches
38,Lewis Bate\cd4256d3,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,19-145,2002,0.5,1,2.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Mads Bech Sorensen\30db8574,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,23-075,1999,4.2,5,1.18,2,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Jan Bednarek\4115ce4e,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25-345,1996,22.2,18,0.81,15,2,0,0,0,1,0,0,0,0,0,0,0,0,Matches
41,Donny van de Beek\50dc94ce,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,24-339,1997,0.8,5,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
42,Donny van de Beek\50dc94ce,Donny van de Beek\50dc94ce,nl NED,MF,Everton,24-339,1997,4.8,5,1.05,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Asmir Begovi?\7b4de647,Asmir Begovi?\7b4de647,ba BIH,GK,Everton,34-276,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Said Benrahma\5a04fd92,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,26-225,1995,19.9,59,2.96,43,0,6,5,4,1,8,0.4,7,0,0,1,0,0,Matches
45,Rodrigo Bentancur\3b8674e6,Rodrigo Bentancur\3b8674e6,uy URU,MF,Tottenham,24-291,1997,6.8,16,2.35,16,0,0,0,0,0,4,0.59,4,0,0,0,0,0,Matches
46,Christian Benteke\ab070c55,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,31-110,1990,12.4,18,1.45,15,0,1,1,1,0,1,0.08,1,0,0,0,0,0,Matches
