,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
137,Ederson\3bb7b8b4,Ederson\3bb7b8b4,br BRA,GK,Manchester City,28-218,1993,28,3,0,0,1,7,0,0,0,0,0,1,0,98,0,0,,Matches
138,Odsonne Edouard\0562b7f1,Odsonne Édouard\0562b7f1,fr FRA,FW,Crystal Palace,24-066,1998,14.1,2,0,0,21,8,2,7,8,11,0,0,0,69,32,48,40,Matches
139,Anthony Elanga\2fba6108,Anthony Elanga\2fba6108,se SWE,FW,Manchester Utd,19-330,2002,6.1,0,0,0,5,9,1,7,10,8,0,0,0,30,9,14,39.1,Matches
140,Harvey Elliott\c8387671,Harvey Elliott\c8387671,eng ENG,MF,Liverpool,18-353,2003,3.1,0,0,0,1,6,0,5,3,1,0,0,0,34,1,3,25,Matches
141,Mohamed Elneny\47a34c4f,Mohamed Elneny\47a34c4f,eg EGY,MF,Arsenal,29-255,1992,2,0,0,0,2,0,0,0,5,2,0,0,0,29,2,2,50,Matches
142,Mohamed Elyounoussi\68dc0dac,Mohamed Elyounoussi\68dc0dac,no NOR,MF,Southampton,27-231,1994,16.8,3,0,0,28,20,0,27,13,27,0,0,0,121,29,43,40.3,Matches
143,Emerson\df8b52a5,Emerson\df8b52a5,br BRA,DF,Tottenham,23-068,1999,16.8,3,0,0,24,34,1,48,30,30,0,0,0,151,30,28,51.7,Matches
144,Christian Eriksen\980522ec,Christian Eriksen\980522ec,dk DEN,MF,Brentford,30-037,1992,2.4,1,0,0,2,0,0,5,2,2,0,0,0,28,1,2,33.3,Matches
145,Oghenekaro Etebo\b579e83d,Oghenekaro Etebo\b579e83d,ng NGA,MF,Watford,26-134,1995,4.3,3,0,0,8,4,0,1,7,10,0,0,0,35,2,2,50,Matches
146,Jonny Evans\f8fcd2a5,Jonny Evans\f8fcd2a5,nir NIR,DF,Leicester City,34-079,1988,8.7,2,0,0,8,8,0,0,22,8,0,0,0,109,33,14,70.2,Matches
147,Eberechi Eze\ae4fc6a4,Eberechi Eze\ae4fc6a4,eng ENG,MFFW,Crystal Palace,23-267,1998,1.6,1,0,0,3,1,0,0,3,2,0,0,0,9,2,4,33.3,Matches
148,Lukasz Fabianski\9328b835,?ukasz Fabia?ski\9328b835,pl POL,GK,West Ham,36-339,1985,29,0,0,0,0,5,0,0,0,0,0,0,0,102,0,0,,Matches
149,Fabinho\7f3b388c,Fabinho\7f3b388c,br BRA,MF,Liverpool,28-151,1993,20.9,5,0,0,37,33,0,6,46,31,0,0,0,257,38,22,63.3,Matches
150,Kiko Femenia\e5d01ecf,Kiko Femenía\e5d01ecf,es ESP,DF,Watford,31-049,1991,17.8,2,0,0,13,16,2,40,51,23,0,0,0,146,17,20,45.9,Matches
151,Evan Ferguson\4596da74,Evan Ferguson\4596da74,ie IRL,MF,Brighton,17-155,2004,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,25,Matches
152,Nathan Ferguson\2f8d27bc,Nathan Ferguson\2f8d27bc,eng ENG,DF,Crystal Palace,21-168,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
153,Bruno Fernandes\507c7bdf,Bruno Fernandes\507c7bdf,pt POR,MF,Manchester Utd,27-196,1994,25.6,7,0,0,37,43,2,66,31,33,0,0,0,196,16,21,43.2,Matches
154,Alvaro Fernandez\f127d782,Álvaro Fernández\f127d782,es ESP,GK,Brentford,23-344,1998,12,0,0,0,0,3,0,0,0,0,0,0,1,68,0,0,,Matches
155,Federico Fernandez\f25b010f,Federico Fernández\f25b010f,ar ARG,DF,Newcastle Utd,33-030,1989,5.8,0,0,0,2,2,0,0,13,1,0,0,0,34,10,5,66.7,Matches
156,Fernandinho\101da2b5,Fernandinho\101da2b5,br BRA,MF,Manchester City,36-323,1985,6.8,1,0,0,17,15,0,4,7,10,0,0,0,76,13,10,56.5,Matches
157,Roberto Firmino\4c370d81,Roberto Firmino\4c370d81,br BRA,FW,Liverpool,30-172,1991,8.8,3,0,0,9,9,2,7,2,15,0,0,0,59,10,24,29.4,Matches
158,Junior Firpo\24f59bb2,Junior Firpo\24f59bb2,es ESP,DF,Leeds United,25-213,1996,14.8,9,0,0,37,13,1,21,26,28,0,0,1,122,27,17,61.4,Matches
159,Ashley Fletcher\eeb6551f,Ashley Fletcher\eeb6551f,eng ENG,FW,Watford,26-172,1995,0.3,0,0,0,1,0,0,0,0,2,0,0,0,4,2,6,25,Matches
160,Phil Foden\ed1e53f3,Phil Foden\ed1e53f3,eng ENG,FW,Manchester City,21-299,2000,17.9,1,0,0,14,28,12,42,13,10,0,0,0,87,5,28,15.2,Matches
161,Pablo Fornals\82927de4,Pablo Fornals\82927de4,es ESP,FWMF,West Ham,26-029,1996,24,4,0,0,25,28,5,34,40,28,1,0,0,179,26,33,44.1,Matches
162,Adam Forshaw\9f1938ab,Adam Forshaw\9f1938ab,eng ENG,MF,Leeds United,30-166,1991,16,5,0,0,37,21,2,5,30,26,0,0,0,163,9,15,37.5,Matches
163,Marcus Forss\82c215a0,Marcus Forss\82c215a0,fi FIN,FWMF,Brentford,22-278,1999,2.3,0,0,0,4,1,0,1,2,2,0,0,0,11,5,15,25,Matches
164,Fraser Forster\c3e39f12,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,34-006,1988,12,1,0,0,0,3,0,0,0,0,0,0,0,48,0,0,,Matches
165,Ben Foster\d0b3ceb9,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,38-354,1983,18,0,0,0,0,3,0,0,0,0,0,0,0,89,0,0,,Matches
166,Tariqe Fosu\3dcef539,Tariqe Fosu\3dcef539,gh GHA,DF,Brentford,26-138,1995,0.2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,Matches
167,Ryan Fraser\d56543a0,Ryan Fraser\d56543a0,sct SCO,FWMF,Newcastle Utd,28-027,1994,15,3,0,0,13,22,2,56,15,4,0,0,0,75,6,23,20.7,Matches
168,Fred\b853e0ad,Fred\b853e0ad,br BRA,MF,Manchester Utd,29-018,1993,19.6,5,0,0,34,26,0,2,41,35,1,0,1,215,16,12,57.1,Matches
169,Ryan Fredericks\c067631c,Ryan Fredericks\c067631c,eng ENG,DF,West Ham,29-164,1992,1.4,1,0,0,1,0,0,4,3,1,0,0,0,13,4,0,100,Matches
170,Leo Fuhr Hjelde\d102b8a2,Leo Fuhr Hjelde\d102b8a2,no NOR,DF,Leeds United,18-209,2003,1.7,0,0,0,1,1,0,3,4,2,0,0,0,14,4,2,66.7,Matches
171,Conor Gallagher\c2731c10,Conor Gallagher\c2731c10,eng ENG,MF,Crystal Palace,22-045,2000,24.4,8,0,0,61,51,2,49,31,40,1,0,0,211,27,30,47.4,Matches
172,Dwight Gayle\e58a03c6,Dwight Gayle\e58a03c6,eng ENG,FW,Newcastle Utd,31-157,1990,0.4,1,0,0,2,1,0,0,1,0,0,0,0,1,1,1,50,Matches
173,Jean-Philippe Gbamin\6bd603db,Jean-Philippe Gbamin\6bd603db,ci CIV,MF,Everton,26-179,1995,0.7,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,100,Matches
174,David de Gea\7ba6d84e,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,31-136,1990,29,0,0,0,0,1,0,0,0,0,0,0,0,81,0,0,,Matches
175,Joe Gelhardt\01962d0d,Joe Gelhardt\01962d0d,eng ENG,FWMF,Leeds United,19-323,2002,5.2,4,0,0,15,21,3,1,2,3,2,0,0,29,3,20,13,Matches
176,Anwar El Ghazi\ffa90327,Anwar El Ghazi\ffa90327,nl NED,FW,Everton,26-324,1995,0.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,Matches
177,Anwar El Ghazi\ffa90327,Anwar El Ghazi\ffa90327,nl NED,FWMF,Aston Villa,26-324,1995,4.3,2,0,0,9,7,2,11,2,3,0,0,0,27,11,9,55,Matches
178,Saman Ghoddos\f7b1d4e0,Saman Ghoddos\f7b1d4e0,ir IRN,MFDF,Brentford,28-198,1993,4.8,2,0,0,11,10,0,14,5,7,1,0,0,46,5,11,31.3,Matches
179,Dimitris Giannoulis\112c495e,Dimitris Giannoulis\112c495e,gr GRE,DF,Norwich City,26-157,1995,6.1,1,0,0,5,16,0,17,18,7,0,0,0,57,3,4,42.9,Matches
180,Morgan Gibbs-White\32f60ed8,Morgan Gibbs-White\32f60ed8,eng ENG,FWMF,Wolves,22-055,2000,0.1,1,0,0,2,1,0,0,0,0,0,0,0,3,0,2,0,Matches
181,Ben Gibson\bcfb0142,Ben Gibson\bcfb0142,eng ENG,DF,Norwich City,29-067,1993,23.7,5,1,1,14,10,0,0,38,12,0,2,0,176,57,29,66.3,Matches
182,Billy Gilmour\df10e27c,Billy Gilmour\df10e27c,sct SCO,MF,Norwich City,20-285,2001,15.7,2,0,0,35,16,1,15,28,19,0,1,0,136,11,18,37.9,Matches
183,Ben Godfrey\9f7c837d,Ben Godfrey\9f7c837d,eng ENG,DF,Everton,24-067,1998,18.5,5,0,0,17,11,0,14,43,22,0,0,0,137,39,31,55.7,Matches
184,Andre Gomes\1961b2aa,André Gomes\1961b2aa,pt POR,MF,Everton,28-236,1993,5.6,3,0,0,29,8,0,3,7,9,0,0,0,71,6,10,37.5,Matches
185,Toti Gomes\f0caab96,Toti Gomes\f0caab96,pt POR,DF,Wolves,23-066,1999,2,1,0,0,1,1,1,0,6,2,0,0,0,23,6,8,42.9,Matches
186,Joe Gomez\7a11550b,Joe Gomez\7a11550b,eng ENG,DF,Liverpool,24-304,1997,1.2,0,0,0,1,1,0,3,5,0,0,0,0,23,6,1,85.7,Matches
187,Charlie Goode\7aee4dd3,Charlie Goode\7aee4dd3,eng ENG,DF,Brentford,26-232,1995,5,3,0,0,7,8,0,14,5,5,0,1,0,58,19,9,67.9,Matches
188,Anthony Gordon\2bd83368,Anthony Gordon\2bd83368,eng ENG,MFFW,Everton,21-027,2001,16.7,2,0,0,24,39,8,42,21,30,1,0,0,106,14,34,29.2,Matches
189,Kaide Gordon\19a9cb70,Kaide Gordon\19a9cb70,eng ENG,FW,Liverpool,17-169,2004,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Matches
190,Dan Gosling\7fec31a0,Dan Gosling\7fec31a0,eng ENG,MF,Watford,32-050,1990,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100,Matches
191,Demarai Gray\4468ec10,Demarai Gray\4468ec10,eng ENG,MFFW,Everton,25-268,1996,18.8,3,0,0,13,38,2,45,11,13,0,0,0,93,3,33,8.3,Matches
192,Jack Grealish\b0b4fd3e,Jack Grealish\b0b4fd3e,eng ENG,FW,Manchester City,26-194,1995,16.1,2,0,0,12,49,5,29,11,10,0,0,0,85,11,19,36.7,Matches
193,Mason Greenwood\58eee997,Mason Greenwood\58eee997,eng ENG,FWMF,Manchester Utd,20-173,2001,14.1,1,0,0,21,22,3,25,4,8,0,0,0,81,6,9,40,Matches
194,Sam Greenwood\f3354c07,Sam Greenwood\f3354c07,eng ENG,FWMF,Leeds United,20-056,2002,0.9,0,0,0,2,0,1,0,0,0,0,0,0,6,0,2,0,Matches
195,Pascal Gross\8aec0537,Pascal Groß\8aec0537,de GER,MFDF,Brighton,30-281,1991,15.3,0,0,0,11,8,3,44,13,17,0,0,0,131,10,26,27.8,Matches
196,Vicente Guaita\ab13a5aa,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,35-072,1987,23.5,2,0,0,1,2,0,0,0,0,0,1,0,114,0,0,,Matches
197,Marc Guehi\d0706b27,Marc Guéhi\d0706b27,eng ENG,DF,Crystal Palace,21-253,2000,28,4,0,0,14,28,0,2,46,21,0,1,0,257,62,46,57.4,Matches
198,Bruno Guimaraes\82518f62,Bruno Guimarães\82518f62,br BRA,MF,Newcastle Utd,24-127,1997,3.2,1,0,0,5,15,0,2,8,11,0,0,0,52,3,5,37.5,Matches
199,Ilkay Gundogan\819b3158,?lkay Gündo?an\819b3158,de GER,MF,Manchester City,31-150,1990,15,1,0,0,13,13,2,21,16,6,0,0,0,93,10,10,50,Matches
200,Angus Gunn\e082af5b,Angus Gunn\e082af5b,eng ENG,GK,Norwich City,26-060,1996,7,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,,Matches
201,Grant Hanley\e9254eec,Grant Hanley\e9254eec,sct SCO,DF,Norwich City,30-123,1991,23.2,2,0,0,22,20,1,0,47,35,0,1,0,190,83,26,76.1,Matches
202,Jack Harrison\aa849a12,Jack Harrison\aa849a12,eng ENG,FWMF,Leeds United,25-123,1996,21.9,3,0,0,27,21,4,82,28,22,0,0,0,141,20,52,27.8,Matches
203,Kortney Hause\bf8fad51,Kortney Hause\bf8fad51,eng ENG,DF,Aston Villa,26-250,1995,4.4,0,0,0,8,2,1,1,9,4,0,1,0,55,20,8,71.4,Matches
204,Kai Havertz\fed7cb61,Kai Havertz\fed7cb61,de GER,FWMF,Chelsea,22-285,1999,14.5,2,0,0,30,26,10,16,6,11,1,0,0,63,27,50,35.1,Matches
205,Isaac Hayden\c951a6df,Isaac Hayden\c951a6df,eng ENG,MFDF,Newcastle Utd,27-001,1995,11.1,5,0,0,24,9,0,5,20,18,0,0,0,77,24,15,61.5,Matches
206,Hwang Hee-chan\169fd162,Hwang Hee-chan\169fd162,kr KOR,FWMF,Wolves,26-056,1996,15,1,0,0,24,34,3,7,14,11,0,0,0,80,10,24,29.4,Matches
207,Jordan Henderson\935e6b8f,Jordan Henderson\935e6b8f,eng ENG,MF,Liverpool,31-279,1990,22.3,3,0,0,27,8,3,40,36,20,0,0,0,231,17,15,53.1,Matches
208,Jeff Hendrick\989d5705,Jeff Hendrick\989d5705,ie IRL,MF,Newcastle Utd,30-051,1992,0.8,0,0,0,2,0,0,0,0,1,0,0,0,6,1,1,50,Matches
209,Wayne Hennessey\76eca7e2,Wayne Hennessey\76eca7e2,wls WAL,GK,Burnley,35-058,1987,2,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,,Matches
210,Rico Henry\8a3c1dc7,Rico Henry\8a3c1dc7,eng ENG,DF,Brentford,24-258,1997,23.2,2,0,0,18,21,1,30,46,21,0,0,0,237,34,32,51.5,Matches
211,Son Heung-min\92e7e919,Son Heung-min\92e7e919,kr KOR,FWMF,Tottenham,29-258,1992,24.9,1,0,0,11,30,13,51,22,6,1,0,0,131,13,40,24.5,Matches
212,Ki-Jana Hoever\9a71e978,Ki-Jana Hoever\9a71e978,nl NED,DF,Wolves,20-064,2002,3.4,1,0,0,5,4,1,8,5,10,0,0,0,23,4,4,50,Matches
213,Rob Holding\d79a8c87,Rob Holding\d79a8c87,eng ENG,DF,Arsenal,26-184,1995,4.8,2,0,0,4,1,0,0,10,6,0,0,0,38,16,14,53.3,Matches
214,Mason Holgate\d0042ab9,Mason Holgate\d0042ab9,eng ENG,DF,Everton,25-152,1996,14.8,3,1,0,18,12,0,1,31,15,0,0,1,161,49,25,66.2,Matches
215,Callum Hudson-Odoi\15f3ec41,Callum Hudson-Odoi\15f3ec41,eng ENG,FWMF,Chelsea,21-136,2000,10.7,1,0,0,12,22,4,26,5,6,1,0,0,55,5,12,29.4,Matches
216,Will Hughes\a0666d3e,Will Hughes\a0666d3e,eng ENG,MF,Crystal Palace,26-340,1995,9.1,3,0,0,16,14,0,9,14,13,1,1,0,89,11,11,50,Matches
217,Pierre Hojbjerg\8b04d6c1,Pierre Højbjerg\8b04d6c1,dk DEN,MF,Tottenham,26-230,1995,26.5,2,0,0,31,33,0,12,55,42,0,0,0,295,30,15,66.7,Matches
218,Adam Idah\291e3ec3,Adam Idah\291e3ec3,ie IRL,FWMF,Norwich City,21-012,2001,6.9,0,0,0,10,12,10,11,4,6,0,0,0,34,16,36,30.8,Matches
219,Kelechi Iheanacho\c92e1a31,Kelechi Iheanacho\c92e1a31,ng NGA,FW,Leicester City,25-171,1996,9.2,1,0,0,20,8,6,8,4,7,0,0,0,42,10,26,27.8,Matches
220,Danny Ings\07802f7f,Danny Ings\07802f7f,eng ENG,FW,Aston Villa,29-243,1992,16.9,2,0,0,14,11,8,13,14,9,0,0,0,71,15,42,26.3,Matches
221,Tim Iroegbunam\84c5ceea,Tim Iroegbunam\84c5ceea,,MF,Aston Villa,,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
222,Alex Iwobi\6ca5ec4b,Alex Iwobi\6ca5ec4b,ng NGA,MFFW,Everton,25-324,1996,11.6,1,0,0,6,6,3,19,18,13,0,0,0,69,5,20,20,Matches
223,Daniel James\c931d9f9,Daniel James\c931d9f9,wls WAL,FWMF,Leeds United,24-133,1997,22.5,6,0,0,28,34,13,39,17,14,1,0,0,111,13,43,23.2,Matches
224,Daniel James\c931d9f9,Daniel James\c931d9f9,wls WAL,FW,Manchester Utd,24-133,1997,1.4,0,0,0,1,1,2,5,0,4,0,0,0,12,0,1,0,Matches
225,Reece James\1265a93a,Reece James\1265a93a,eng ENG,DF,Chelsea,22-105,1999,13.1,4,1,0,11,23,3,54,15,15,0,0,1,107,14,14,50,Matches
226,Vitaly Janelt\8449d35e,Vitaly Janelt\8449d35e,de GER,MF,Brentford,23-317,1998,19.8,3,0,0,29,30,3,21,35,25,0,0,0,182,30,22,57.7,Matches
227,Pontus Jansson\172e52d8,Pontus Jansson\172e52d8,se SWE,DF,Brentford,31-038,1991,29.9,6,0,0,16,10,4,0,55,19,1,0,0,306,101,62,62,Matches
228,Mathias Jensen\0f134faf,Mathias Jensen\0f134faf,dk DEN,MF,Brentford,26-081,1996,13.6,0,0,0,13,7,3,27,26,24,0,0,0,111,9,15,37.5,Matches
229,Gabriel Jesus\b66315ae,Gabriel Jesus\b66315ae,br BRA,FW,Manchester City,24-354,1997,14.9,0,0,0,26,15,7,22,12,7,0,0,0,86,15,26,36.6,Matches
230,Raul Jimenez\b561db50,Raúl Jiménez\b561db50,mx MEX,FW,Wolves,30-322,1991,23.9,9,2,2,50,50,19,12,18,18,0,0,0,96,63,84,42.9,Matches
231,Joelinton\c17bfb65,Joelinton\c17bfb65,br BRA,MFFW,Newcastle Utd,25-221,1996,20.9,6,0,0,56,44,1,14,34,38,0,0,0,187,82,88,48.2,Matches
232,Ben Johnson\9319781b,Ben Johnson\9319781b,eng ENG,DF,West Ham,22-058,2000,13.4,1,0,0,10,3,0,33,21,15,0,0,0,103,13,16,44.8,Matches
233,Curtis Jones\4fb9c88f,Curtis Jones\4fb9c88f,eng ENG,MF,Liverpool,21-052,2001,7.1,0,0,0,9,22,0,1,8,7,0,0,0,57,6,9,40,Matches
234,Phil Jones\def899bd,Phil Jones\def899bd,eng ENG,DF,Manchester Utd,30-030,1992,1,0,0,0,0,3,0,0,2,3,0,0,0,8,0,0,,Matches
235,Jorginho\45db685d,Jorginho\45db685d,it ITA,MF,Chelsea,30-093,1991,20.8,4,0,0,35,37,0,1,50,34,0,0,0,217,14,24,36.8,Matches
236,Diogo Jota\178ae8f8,Diogo Jota\178ae8f8,pt POR,FW,Liverpool,25-109,1996,19.4,2,0,0,33,37,3,13,13,16,1,0,0,101,30,78,27.8,Matches
237,James Justin\fb614c44,James Justin\fb614c44,eng ENG,DF,Leicester City,24-028,1998,4.1,0,0,0,5,4,1,2,8,5,0,0,0,36,4,6,40,Matches
238,Mathias Jorgensen\0db5d2c8,Mathias Jørgensen\0db5d2c8,dk DEN,DF,Brentford,31-334,1990,4.8,2,0,0,9,1,0,8,10,2,0,0,0,59,16,7,69.6,Matches
239,Ozan Kabak\2d61d13a,Ozan Kabak\2d61d13a,tr TUR,DF,Norwich City,21-363,2000,10.2,2,0,0,12,13,0,0,22,11,0,2,0,80,29,20,59.2,Matches
240,Christian Kabasele\914ab9a1,Christian Kabasele\914ab9a1,be BEL,DF,Watford,31-027,1991,5.3,0,0,0,2,1,0,1,14,3,0,0,0,39,19,5,79.2,Matches
241,Samuel Kalu\b8d22478,Samuel Kalu\b8d22478,ng NGA,FWMF,Watford,24-209,1997,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,25,Matches
242,Hassane Kamara\19a12bed,Hassane Kamara\19a12bed,ci CIV,DF,Watford,27-185,1994,10.9,2,0,0,16,12,0,13,50,22,0,0,0,120,28,10,73.7,Matches
243,Harry Kane\21a66f6a,Harry Kane\21a66f6a,eng ENG,FW,Tottenham,28-238,1993,26.9,3,0,0,35,49,13,28,6,7,0,0,0,112,70,83,45.8,Matches
244,N'Golo Kante\b9fbae28,N'Golo Kanté\b9fbae28,fr FRA,MF,Chelsea,30-359,1991,13.3,1,0,0,15,22,0,8,30,20,0,0,0,119,12,15,44.4,Matches
245,Edo Kayembe\f99b71de,Edo Kayembe\f99b71de,cd COD,MF,Watford,23-232,1998,4.6,0,0,0,3,3,0,4,9,7,0,0,0,64,4,10,28.6,Matches
246,Moise Kean\3d50bcdb,Moise Kean\3d50bcdb,it ITA,FW,Everton,22-023,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
247,Michael Keane\c5b7c315,Michael Keane\c5b7c315,eng ENG,DF,Everton,29-071,1993,24.5,1,0,0,12,9,1,0,52,27,0,0,2,264,98,58,62.8,Matches
248,Naby Keita\f25c8e3a,Naby Keïta\f25c8e3a,gn GUI,MF,Liverpool,27-041,1995,9.2,1,0,0,24,9,0,5,13,18,0,0,0,89,6,11,35.3,Matches
249,Caoimhin Kelleher\62d7ef38,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,23-120,1998,2,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,,Matches
250,Jonjoe Kenny\099e666f,Jonjoe Kenny\099e666f,eng ENG,DF,Everton,25-008,1997,7.8,3,1,1,8,4,1,8,23,9,0,0,0,59,6,12,33.3,Matches
251,Max Kilman\d0f72bf1,Max Kilman\d0f72bf1,eng ENG,DF,Wolves,24-304,1997,27.9,3,0,0,22,16,0,2,62,32,0,1,0,216,77,42,64.7,Matches
252,Joshua King\43458538,Joshua King\43458538,no NOR,FW,Watford,30-067,1992,21.9,4,0,0,38,24,8,23,10,18,1,0,0,95,86,112,43.4,Matches
253,Kristoffer Klaesson\3f70db80,Kristoffer Klaesson\3f70db80,no NOR,GK,Leeds United,21-116,2000,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
254,Mateusz Klich\282679b4,Mateusz Klich\282679b4,pl POL,MF,Leeds United,31-283,1990,18.3,4,0,0,35,15,2,24,26,18,0,1,0,170,6,12,33.3,Matches
255,Robin Koch\ea6bc03a,Robin Koch\ea6bc03a,de GER,MFDF,Leeds United,25-249,1996,11.2,3,0,0,16,10,0,0,30,11,0,0,0,109,30,29,50.8,Matches
256,Sead Kolasinac\3935e52e,Sead Kolašinac\3935e52e,ba BIH,DF,Arsenal,28-276,1993,1,1,0,0,3,0,0,0,4,1,0,0,0,2,2,1,66.7,Matches
257,Ibrahima Konate\5ed9b537,Ibrahima Konaté\5ed9b537,fr FRA,DF,Liverpool,22-302,1999,8,2,0,0,10,2,0,0,21,6,0,0,0,91,32,9,78,Matches
258,Ezri Konsa\0313a347,Ezri Konsa\0313a347,eng ENG,DF,Aston Villa,24-151,1997,22,5,2,1,12,29,1,1,35,13,0,1,0,153,50,36,58.1,Matches
259,Cheikhou Kouyate\8d3c902d,Cheikhou Kouyaté\8d3c902d,sn SEN,MF,Crystal Palace,32-092,1989,18.5,2,0,0,31,26,0,4,38,30,0,0,0,221,51,24,68,Matches
260,Mateo Kovacic\79c0821a,Mateo Kova?i?\79c0821a,hr CRO,MF,Chelsea,27-321,1994,14.2,4,0,0,27,33,0,3,18,35,0,0,0,126,5,9,35.7,Matches
261,Emil Krafth\77cf6852,Emil Krafth\77cf6852,se SWE,DF,Newcastle Utd,27-233,1994,11.5,4,0,0,21,8,0,11,27,9,0,0,0,82,19,19,50,Matches
262,Alex Kral\e717705a,Alex Král\e717705a,cz CZE,MF,West Ham,23-308,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50,Matches
263,Tim Krul\f23f9d20,Tim Krul\f23f9d20,nl NED,GK,Norwich City,33-354,1988,22,1,0,0,0,1,0,0,0,0,0,0,1,116,0,0,,Matches
264,Juraj Kucka\5aaef9ef,Juraj Kucka\5aaef9ef,sk SVK,MF,Watford,35-025,1987,17.6,4,1,1,40,37,2,9,38,42,0,0,1,185,46,40,53.5,Matches
265,Dejan Kulusevski\df3cda47,Dejan Kulusevski\df3cda47,se SWE,MFFW,Tottenham,21-332,2000,7.6,1,0,0,15,10,4,12,16,5,0,0,0,53,4,4,50,Matches
266,Alexandre Lacazette\9dbb75ca,Alexandre Lacazette\9dbb75ca,fr FRA,FWMF,Arsenal,30-299,1991,17,0,0,0,32,30,4,7,12,17,4,0,0,70,20,53,27.4,Matches
267,Adam Lallana\99813635,Adam Lallana\99813635,eng ENG,MF,Brighton,33-317,1988,16.8,4,0,0,14,23,0,8,27,22,0,0,0,176,13,13,50,Matches
268,Tariq Lamptey\f4e433d4,Tariq Lamptey\f4e433d4,eng ENG,DFFW,Brighton,21-174,2000,14.2,2,0,0,23,48,3,61,27,20,0,0,0,106,7,23,23.3,Matches
269,Manuel Lanzini\26f6dca8,Manuel Lanzini\26f6dca8,ar ARG,MF,West Ham,29-036,1993,14.7,2,0,0,10,18,1,9,22,16,0,0,0,148,5,14,26.3,Matches
270,Aymeric Laporte\119b9a8e,Aymeric Laporte\119b9a8e,es ESP,DF,Manchester City,27-300,1994,23.1,5,1,0,9,12,1,3,25,12,1,0,0,210,55,28,66.3,Matches
271,Jamaal Lascelles\450ab6fc,Jamaal Lascelles\450ab6fc,eng ENG,DF,Newcastle Utd,28-132,1993,18.8,5,0,0,20,3,0,3,29,8,0,3,2,139,83,28,74.8,Matches
272,Pierre Lees-Melou\f5044e54,Pierre Lees-Melou\f5044e54,fr FRA,MF,Norwich City,28-302,1993,17.8,4,0,0,37,19,1,23,28,30,1,0,0,167,11,15,42.3,Matches
273,Aaron Lennon\2ff964a0,Aaron Lennon\2ff964a0,eng ENG,MFFW,Burnley,34-341,1987,11.9,2,0,0,17,14,4,21,9,13,0,0,0,61,9,13,40.9,Matches
274,Bernd Leno\2628fd2b,Bernd Leno\2628fd2b,de GER,GK,Arsenal,30-019,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,Matches
275,Jamal Lewis\efb9215a,Jamal Lewis\efb9215a,nir NIR,DF,Newcastle Utd,24-057,1998,2.9,1,0,0,2,3,0,3,6,6,0,0,0,23,2,6,25,Matches
276,Victor Lindelof\f5deef4c,Victor Lindelöf\f5deef4c,se SWE,DF,Manchester Utd,27-249,1994,18.2,2,0,0,15,7,0,0,39,8,0,0,0,190,45,21,68.2,Matches
277,Jesse Lingard\810e3c74,Jesse Lingard\810e3c74,eng ENG,FW,Manchester Utd,29-098,1992,2.3,1,0,0,5,2,1,8,2,3,0,0,0,15,0,1,0,Matches
278,Valentino Livramento\afed6722,Valentino Livramento\afed6722,eng ENG,DF,Southampton,19-131,2002,22.2,2,0,0,17,38,1,51,64,28,1,0,0,198,27,34,44.3,Matches
279,Diego Llorente\bba30585,Diego Llorente\bba30585,es ESP,DF,Leeds United,28-219,1993,19,6,0,0,19,18,0,2,45,24,0,0,0,196,43,40,51.8,Matches
280,Hugo Lloris\8f62b6ee,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,35-087,1986,29,1,0,0,0,3,0,0,0,0,0,0,0,118,0,1,0,Matches
