,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
32,Folarin Balogun\31822f8c,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20-263,2001,0.8,0,0,0,0,1,1,0,0,0,0,0,0,3,1,2,33.3,Matches
33,Patrick Bamford\93feac6e,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,28-199,1993,6.2,2,0,0,7,8,5,4,3,2,0,0,0,19,5,15,25,Matches
34,Shandon Baptiste\2886c9b5,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23-349,1998,9.8,2,1,1,6,14,1,5,18,5,0,0,0,78,10,20,33.3,Matches
35,Ross Barkley\3a24769f,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,28-108,1993,1.7,0,0,0,2,4,0,1,2,1,0,0,0,10,5,2,71.4,Matches
36,Ashley Barnes\2691c772,Ashley Barnes\2691c772,eng ENG,FW,Burnley,32-144,1989,4.7,3,0,0,16,9,5,1,4,8,0,0,0,29,21,34,38.2,Matches
37,Harvey Barnes\3ea50f67,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,24-104,1997,17.4,2,0,0,13,25,8,32,7,7,0,0,0,91,17,34,33.3,Matches
38,Lewis Bate\cd4256d3,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,19-145,2002,0.5,0,0,0,1,0,0,0,2,0,0,0,0,6,0,1,0,Matches
39,Mads Bech Sorensen\30db8574,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,23-075,1999,4.2,1,0,0,2,2,0,11,8,4,0,0,0,41,5,5,50,Matches
40,Jan Bednarek\4115ce4e,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25-345,1996,22.2,7,0,0,26,14,1,3,68,19,0,1,1,249,90,49,64.7,Matches
41,Donny van de Beek\50dc94ce,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,24-339,1997,0.8,0,0,0,4,2,0,0,2,3,0,0,0,11,3,3,50,Matches
42,Donny van de Beek\50dc94ce,Donny van de Beek\50dc94ce,nl NED,MF,Everton,24-339,1997,4.8,1,0,0,10,1,0,6,10,7,0,0,0,60,6,3,66.7,Matches
43,Asmir Begovi?\7b4de647,Asmir Begovi?\7b4de647,ba BIH,GK,Everton,34-276,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches
44,Said Benrahma\5a04fd92,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,26-225,1995,19.9,0,0,0,5,19,7,48,11,19,0,0,0,138,14,17,45.2,Matches
45,Rodrigo Bentancur\3b8674e6,Rodrigo Bentancur\3b8674e6,uy URU,MF,Tottenham,24-291,1997,6.8,1,0,0,15,10,0,3,7,10,0,0,0,74,9,6,60,Matches
46,Christian Benteke\ab070c55,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,31-110,1990,12.4,3,0,0,15,17,9,1,1,2,0,0,0,43,80,59,57.6,Matches
47,Johann Berg Gudmundsson\f72293fc,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,31-147,1990,12.2,2,0,0,17,16,3,42,17,9,0,0,0,96,21,16,56.8,Matches
48,Steven Bergwijn\a29b1131,Steven Bergwijn\a29b1131,nl NED,FWMF,Tottenham,24-166,1997,5.5,1,0,0,7,12,1,6,4,3,0,0,0,26,1,6,14.3,Matches
49,Ryan Bertrand\01226327,Ryan Bertrand\01226327,eng ENG,DF,Leicester City,32-230,1989,3.7,1,0,0,5,1,0,1,3,4,0,0,0,17,3,5,37.5,Matches
50,Mads Bidstrup\407db0d5,Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,21-026,2001,0.5,0,0,0,1,0,0,0,1,2,0,0,0,6,0,0,,Matches
51,Yves Bissouma\6c203af0,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,25-205,1996,18.1,8,0,0,25,23,0,5,43,42,0,1,0,206,17,12,58.6,Matches
52,Willy Boly\a4ac4b8f,Willy Boly\a4ac4b8f,ci CIV,DF,Wolves,31-048,1991,2,1,0,0,3,0,0,0,4,1,0,0,0,35,13,5,72.2,Matches
53,Jarrod Bowen\79c84d1c,Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,25-093,1996,26.2,3,0,0,22,42,12,43,34,23,2,0,0,165,35,61,36.5,Matches
54,Jarrad Branthwaite\c1949191,Jarrad Branthwaite\c1949191,eng ENG,DF,Everton,19-269,2002,2.1,0,0,0,1,2,0,0,5,2,0,0,0,21,7,3,70,Matches
55,Armando Broja\97220da2,Armando Broja\97220da2,al ALB,FW,Southampton,20-194,2001,16.8,1,0,0,27,25,10,16,11,9,1,0,0,74,73,142,34,Matches
56,Josh Brownhill\47369df8,Josh Brownhill\47369df8,eng ENG,MF,Burnley,26-094,1995,22.4,8,0,0,34,16,0,16,57,28,0,0,0,245,40,32,55.6,Matches
57,Bryan\7b5ab7f2,Bryan\7b5ab7f2,es ESP,FWMF,Tottenham,21-040,2001,1,0,0,0,1,4,0,4,0,3,0,0,0,12,0,0,,Matches
58,Emi Buendia\66b76d44,Emi Buendía\66b76d44,ar ARG,FWMF,Aston Villa,25-088,1996,17.1,1,0,0,14,42,2,15,15,29,0,0,0,137,20,33,37.7,Matches
59,Dan Burn\b2d31e83,Dan Burn\b2d31e83,eng ENG,DF,Brighton,29-318,1992,11.4,4,0,0,18,3,0,1,32,15,0,0,0,100,41,20,67.2,Matches
60,Dan Burn\b2d31e83,Dan Burn\b2d31e83,eng ENG,DF,Newcastle Utd,29-318,1992,7,2,0,0,7,3,2,1,8,4,0,0,0,83,42,16,72.4,Matches
61,Jack Butland\cc70a1d5,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,29-013,1993,5.5,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,,Matches
62,Sam Byram\1bf811d4,Sam Byram\1bf811d4,eng ENG,DFMF,Norwich City,28-188,1993,3,2,0,0,9,1,0,5,10,6,0,0,0,26,16,7,69.6,Matches
63,Willy Caballero\a179d516,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-176,1981,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
64,Dominic Calvert-Lewin\59e6e5bf,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,25-007,1997,8.5,2,0,0,10,14,4,1,5,7,1,0,0,29,43,64,40.2,Matches
65,Joao Cancelo\bd6351cd,João Cancelo\bd6351cd,pt POR,DF,Manchester City,27-300,1994,26.9,5,0,0,31,24,2,76,58,43,0,0,0,263,36,35,50.7,Matches
66,Sergi Canos\1137759d,Sergi Canós\1137759d,es ESP,DF,Brentford,25-049,1997,22.8,6,0,0,32,20,5,52,32,22,0,0,1,178,13,31,29.5,Matches
67,Todd Cantwell\f63d8a4b,Todd Cantwell\f63d8a4b,eng ENG,FWMF,Norwich City,24-024,1998,4.9,2,0,0,6,12,2,3,4,11,0,0,0,32,4,5,44.4,Matches
68,Matty Cash\2389cdc2,Matty Cash\2389cdc2,pl POL,DF,Aston Villa,24-228,1997,28.5,8,0,0,41,39,2,81,76,35,0,1,0,214,37,46,44.6,Matches
69,Timothy Castagne\197640fd,Timothy Castagne\197640fd,be BEL,DF,Leicester City,26-108,1995,14.8,1,0,0,11,10,0,11,25,13,0,0,0,117,32,11,74.4,Matches
70,Jonny Castro\e28868f3,Jonny Castro\e28868f3,es ESP,DF,Wolves,28-020,1994,4,0,0,0,7,12,0,6,4,7,0,0,0,39,5,6,45.5,Matches
71,Craig Cathcart\89e4b358,Craig Cathcart\89e4b358,nir NIR,DF,Watford,33-045,1989,24.3,3,0,0,14,7,0,3,34,14,0,0,0,202,60,35,63.2,Matches
72,Edinson Cavani\527f063d,Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,35-037,1987,6.8,0,0,0,6,4,3,3,7,2,0,0,0,28,3,12,20,Matches
73,Kayky Chagas\17734ea0,Kayky Chagas\17734ea0,br BRA,FW,Manchester City,18-285,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
74,Trevoh Chalobah\5515376c,Trevoh Chalobah\5515376c,eng ENG,DF,Chelsea,22-261,1999,13.1,2,0,0,18,14,0,2,27,17,0,1,0,129,30,22,57.7,Matches
