,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
19,Caoimhin Kelleher\62d7ef38,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,23-120,1998,2,2,180,2,2,1,8,5,75,1,1,0,1,50,0,0,0,0,,Matches
20,Kristoffer Klaesson\3f70db80,Kristoffer Klaesson\3f70db80,no NOR,GK,Leeds United,21-116,2000,1,0,36,0.4,0,0,4,4,100,0,0,0,0,,0,0,0,0,,Matches
21,Tim Krul\f23f9d20,Tim Krul\f23f9d20,nl NED,GK,Norwich City,33-354,1988,22,22,1980,22,45,2.05,113,73,65.5,3,4,15,3,13.6,7,6,1,0,14.3,Matches
22,Bernd Leno\2628fd2b,Bernd Leno\2628fd2b,de GER,GK,Arsenal,30-019,1992,4,4,360,4,9,2.25,19,9,52.6,1,0,3,1,25,0,0,0,0,,Matches
23,Hugo Lloris\8f62b6ee,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,35-087,1986,29,29,2610,29,36,1.24,109,76,68.8,16,3,10,11,37.9,2,2,0,0,0,Matches
24,Jonas Lossl\939bc634,Jonas Lössl\939bc634,dk DEN,GK,Brentford,33-050,1989,2,2,180,2,5,2.5,7,2,28.6,0,0,2,0,0,0,0,0,0,,Matches
25,Emiliano Martinez\7956236f,Emiliano Martínez\7956236f,ar ARG,GK,Aston Villa,29-202,1992,28,28,2520,28,37,1.32,104,70,67.3,11,3,14,9,32.1,5,3,1,1,25,Matches
26,Alex McCarthy\36c2ca73,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,32-110,1989,15,15,1350,15,21,1.4,60,38,65,3,7,5,5,33.3,0,0,0,0,,Matches
27,Edouard Mendy\33887998,Edouard Mendy\33887998,sn SEN,GK,Chelsea,30-022,1992,24,24,2160,24,17,0.71,67,55,82.1,15,7,2,11,45.8,5,5,0,0,0,Matches
28,Illan Meslier\6b625ac2,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,22-021,2000,30,30,2664,29.6,67,2.26,173,109,64.2,7,8,15,3,10,5,5,0,0,0,Matches
29,Jordan Pickford\4806ec67,Jordan Pickford\4806ec67,eng ENG,GK,Everton,28-016,1994,25,25,2250,25,44,1.76,123,83,65,6,4,15,4,16,1,1,0,0,0,Matches
30,Nick Pope\4b40d9ca,Nick Pope\4b40d9ca,eng ENG,GK,Burnley,29-338,1992,25,25,2250,25,32,1.28,104,72,70.2,3,12,10,7,28,1,1,0,0,0,Matches
31,Aaron Ramsdale\466fb2c5,Aaron Ramsdale\466fb2c5,eng ENG,GK,Arsenal,23-313,1998,24,24,2160,24,22,0.92,89,66,78.7,16,3,5,12,50,3,3,0,0,0,Matches
32,David Raya\98ea5115,David Raya\98ea5115,es ESP,GK,Brentford,26-189,1995,16,16,1440,16,18,1.13,68,51,75,5,4,7,5,31.3,1,1,0,0,0,Matches
33,Jose Sa\903b6e8b,José Sá\903b6e8b,pt POR,GK,Wolves,29-065,1993,30,30,2700,30,26,0.87,118,98,82.2,14,4,12,11,36.7,5,5,0,0,0,Matches
34,Robert Sanchez\6a713852,Robert Sánchez\6a713852,es ESP,GK,Brighton,24-125,1997,28,28,2519,28,34,1.21,114,82,72.8,7,12,9,7,25,4,3,0,1,0,Matches
35,Kasper Schmeichel\53af52f3,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,35-138,1986,27,27,2430,27,46,1.7,133,94,69.9,10,6,11,5,18.5,8,6,1,1,14.3,Matches
36,Jason Steele\28300a16,Jason Steele\28300a16,eng ENG,GK,Brighton,31-217,1990,1,1,90,1,2,2,5,3,60,0,0,1,0,0,0,0,0,0,,Matches
37,Jed Steer\a8a3d139,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,29-181,1992,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,,Matches
38,Zack Steffen\42130443,Zack Steffen\42130443,us USA,GK,Manchester City,26-355,1995,1,1,90,1,0,0,2,2,100,1,0,0,1,100,0,0,0,0,,Matches
39,Freddie Woodman\19e50035,Freddie Woodman\19e50035,eng ENG,GK,Newcastle Utd,25-019,1997,4,4,360,4,12,3,19,9,47.4,0,1,3,0,0,3,2,1,0,33.3,Matches
