,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
28,Cesar Azpilicueta\53cad200,César Azpilicueta\53cad200,es ESP,DF,Chelsea,32-207,1989,15.9,43,23,20,18,5,16,32,50,16,247,63,25.5,107,103,37,43,9,0,34,25,68,52,0,Matches
29,Daniel Bachmann\1c0eea98,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-257,1994,11,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Leon Bailey\3a233281,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,24-226,1997,5.8,17,11,7,7,3,3,8,37.5,5,76,25,32.9,17,29,30,6,2,0,4,3,20,3,0,Matches
31,Eric Bailly\a1232f4e,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27-345,1994,2.4,8,3,6,2,0,1,2,50,1,21,9,42.9,14,6,1,5,2,0,3,8,16,10,0,Matches
32,Folarin Balogun\31822f8c,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20-263,2001,0.8,0,0,0,0,0,0,0,,0,21,5,23.8,2,2,17,1,0,0,1,0,0,1,0,Matches
33,Patrick Bamford\93feac6e,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,28-199,1993,6.2,3,2,1,2,0,1,4,25,3,111,38,34.2,4,47,60,6,3,0,3,3,6,8,0,Matches
34,Shandon Baptiste\2886c9b5,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23-349,1998,9.8,8,5,6,1,1,3,13,23.1,10,198,65,32.8,60,93,45,12,0,0,12,18,26,10,0,Matches
35,Ross Barkley\3a24769f,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,28-108,1993,1.7,1,1,0,1,0,0,1,0,1,15,3,20,1,9,5,1,0,0,1,2,3,0,0,Matches
36,Ashley Barnes\2691c772,Ashley Barnes\2691c772,eng ENG,FW,Burnley,32-144,1989,4.7,11,8,4,5,2,2,3,66.7,1,85,15,17.6,9,43,33,4,1,1,3,4,15,2,0,Matches
37,Harvey Barnes\3ea50f67,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,24-104,1997,17.4,17,7,5,8,4,4,16,25,12,201,67,33.3,47,79,75,17,1,0,16,7,24,5,0,Matches
38,Lewis Bate\cd4256d3,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,19-145,2002,0.5,1,0,0,0,1,0,3,0,3,14,4,28.6,3,9,2,0,0,0,0,2,3,1,0,Matches
39,Mads Bech Sorensen\30db8574,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,23-075,1999,4.2,5,4,4,1,0,3,4,75,1,29,13,44.8,15,11,3,2,2,0,0,8,13,14,0,Matches
40,Jan Bednarek\4115ce4e,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25-345,1996,22.2,30,19,17,12,1,15,33,45.5,18,178,63,35.4,90,83,5,44,22,1,22,68,98,128,0,Matches
41,Donny van de Beek\50dc94ce,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,24-339,1997,0.8,5,3,3,2,0,1,1,100,0,16,6,37.5,5,6,5,2,1,0,1,2,7,2,0,Matches
42,Donny van de Beek\50dc94ce,Donny van de Beek\50dc94ce,nl NED,MF,Everton,24-339,1997,4.8,13,7,6,6,1,5,12,41.7,7,89,24,27,23,48,18,7,3,0,4,10,23,5,0,Matches
43,Asmir Begovi?\7b4de647,Asmir Begovi?\7b4de647,ba BIH,GK,Everton,34-276,1987,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
44,Said Benrahma\5a04fd92,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,26-225,1995,19.9,30,19,14,11,5,13,30,43.3,17,298,74,24.8,89,151,58,17,1,0,16,11,41,5,0,Matches
45,Rodrigo Bentancur\3b8674e6,Rodrigo Bentancur\3b8674e6,uy URU,MF,Tottenham,24-291,1997,6.8,19,10,9,8,2,7,17,41.2,10,180,45,25,65,94,21,17,3,0,14,7,26,8,0,Matches
46,Christian Benteke\ab070c55,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,31-110,1990,12.4,8,2,2,4,2,2,6,33.3,4,116,30,25.9,9,50,57,8,4,0,4,1,9,30,1,Matches
47,Johann Berg Gudmundsson\f72293fc,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,31-147,1990,12.2,19,9,10,7,2,9,20,45,11,170,44,25.9,49,69,52,18,2,0,16,17,36,21,0,Matches
48,Steven Bergwijn\a29b1131,Steven Bergwijn\a29b1131,nl NED,FWMF,Tottenham,24-166,1997,5.5,4,3,2,1,1,1,6,16.7,5,72,12,16.7,12,31,29,4,0,0,4,4,8,9,0,Matches
49,Ryan Bertrand\01226327,Ryan Bertrand\01226327,eng ENG,DF,Leicester City,32-230,1989,3.7,9,4,1,7,1,4,5,80,1,75,25,33.3,40,24,11,11,3,0,8,3,12,7,0,Matches
50,Mads Bidstrup\407db0d5,Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,21-026,2001,0.5,4,2,2,2,0,0,2,0,2,19,8,42.1,12,7,0,1,0,0,1,1,5,2,0,Matches
51,Yves Bissouma\6c203af0,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,25-205,1996,18.1,63,42,30,30,3,16,27,59.3,11,314,117,37.3,121,157,36,32,4,0,28,43,106,34,0,Matches
52,Willy Boly\a4ac4b8f,Willy Boly\a4ac4b8f,ci CIV,DF,Wolves,31-048,1991,2,2,1,2,0,0,0,1,0,1,8,4,50,5,3,0,0,0,0,0,4,6,8,0,Matches
53,Jarrod Bowen\79c84d1c,Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,25-093,1996,26.2,36,23,18,12,6,15,44,34.1,29,448,94,21,138,194,116,43,2,0,41,34,70,3,0,Matches
54,Jarrad Branthwaite\c1949191,Jarrad Branthwaite\c1949191,eng ENG,DF,Everton,19-269,2002,2.1,3,2,3,0,0,1,5,20,4,23,11,47.8,18,5,0,4,1,0,3,5,8,5,0,Matches
55,Armando Broja\97220da2,Armando Broja\97220da2,al ALB,FW,Southampton,20-194,2001,16.8,10,9,3,4,3,1,10,10,9,274,81,29.6,27,91,156,12,1,0,11,11,21,7,0,Matches
56,Josh Brownhill\47369df8,Josh Brownhill\47369df8,eng ENG,MF,Burnley,26-094,1995,22.4,48,28,15,29,4,8,31,25.8,23,362,117,32.3,109,187,66,36,11,0,25,57,105,29,0,Matches
57,Bryan\7b5ab7f2,Bryan\7b5ab7f2,es ESP,FWMF,Tottenham,21-040,2001,1,4,3,2,0,2,3,6,50,3,38,12,31.6,10,6,22,2,0,0,2,0,4,0,0,Matches
58,Emi Buendia\66b76d44,Emi Buendía\66b76d44,ar ARG,FWMF,Aston Villa,25-088,1996,17.1,45,29,22,16,7,15,35,42.9,20,347,90,25.9,88,162,97,17,5,0,12,15,60,5,0,Matches
59,Dan Burn\b2d31e83,Dan Burn\b2d31e83,eng ENG,DF,Brighton,29-318,1992,11.4,24,15,12,8,4,6,18,33.3,12,141,46,32.6,61,64,16,28,11,0,17,32,56,52,2,Matches
60,Dan Burn\b2d31e83,Dan Burn\b2d31e83,eng ENG,DF,Newcastle Utd,29-318,1992,7,13,4,11,2,0,3,4,75,1,75,25,33.3,48,26,1,18,10,0,8,8,21,55,0,Matches
61,Jack Butland\cc70a1d5,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,29-013,1993,5.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Sam Byram\1bf811d4,Sam Byram\1bf811d4,eng ENG,DFMF,Norwich City,28-188,1993,3,9,6,6,3,0,4,7,57.1,3,55,15,27.3,18,28,9,8,2,0,6,10,19,12,0,Matches
63,Willy Caballero\a179d516,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-176,1981,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
64,Dominic Calvert-Lewin\59e6e5bf,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,25-007,1997,8.5,9,7,1,3,5,1,2,50,1,105,21,20,7,48,50,6,2,0,4,5,14,9,0,Matches
65,Joao Cancelo\bd6351cd,João Cancelo\bd6351cd,pt POR,DF,Manchester City,27-300,1994,26.9,70,43,21,31,18,29,65,44.6,36,259,92,35.5,77,108,74,36,3,0,33,58,128,44,0,Matches
66,Sergi Canos\1137759d,Sergi Canós\1137759d,es ESP,DF,Brentford,25-049,1997,22.8,58,22,29,19,10,24,59,40.7,35,449,108,24.1,190,171,88,38,3,0,35,32,90,37,0,Matches
67,Todd Cantwell\f63d8a4b,Todd Cantwell\f63d8a4b,eng ENG,FWMF,Norwich City,24-024,1998,4.9,15,11,8,6,1,4,14,28.6,10,106,25,23.6,39,46,21,2,0,0,2,4,19,3,0,Matches
68,Matty Cash\2389cdc2,Matty Cash\2389cdc2,pl POL,DF,Aston Villa,24-228,1997,28.5,79,35,46,29,4,36,60,60,24,417,115,27.6,221,157,39,70,12,0,58,76,155,78,0,Matches
69,Timothy Castagne\197640fd,Timothy Castagne\197640fd,be BEL,DF,Leicester City,26-108,1995,14.8,41,13,18,18,5,16,31,51.6,15,223,63,28.3,98,101,24,36,4,0,32,25,66,44,2,Matches
70,Jonny Castro\e28868f3,Jonny Castro\e28868f3,es ESP,DF,Wolves,28-020,1994,4,7,7,3,4,0,3,6,50,3,53,20,37.7,22,22,9,7,1,0,6,4,11,2,0,Matches
71,Craig Cathcart\89e4b358,Craig Cathcart\89e4b358,nir NIR,DF,Watford,33-045,1989,24.3,30,14,24,6,0,14,29,48.3,15,151,46,30.5,105,43,3,50,29,0,21,34,64,122,1,Matches
72,Edinson Cavani\527f063d,Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,35-037,1987,6.8,4,2,0,3,1,3,6,50,3,77,29,37.7,13,31,33,7,0,0,7,7,11,5,0,Matches
73,Kayky Chagas\17734ea0,Kayky Chagas\17734ea0,br BRA,FW,Manchester City,18-285,2003,0.1,0,0,0,0,0,0,0,,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,Matches
74,Trevoh Chalobah\5515376c,Trevoh Chalobah\5515376c,eng ENG,DF,Chelsea,22-261,1999,13.1,33,17,14,15,4,16,24,66.7,8,134,48,35.8,50,72,12,16,8,1,8,27,60,62,1,Matches
75,Calum Chambers\dc6f5bdd,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,27-062,1995,1.9,2,1,2,0,0,1,3,33.3,2,24,5,20.8,18,5,1,11,3,0,8,3,5,7,1,Matches
76,Calum Chambers\dc6f5bdd,Calum Chambers\dc6f5bdd,eng ENG,DF,Aston Villa,27-062,1995,5,8,6,3,4,1,4,5,80,1,45,17,37.8,24,20,1,7,4,0,3,3,11,40,0,Matches
77,Daniel Chesters\240c8ab6,Daniel Chesters\240c8ab6,eng ENG,MF,West Ham,19-353,2002,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Ben Chilwell\d2424d1b,Ben Chilwell\d2424d1b,eng ENG,DF,Chelsea,25-092,1996,6,10,5,3,6,1,0,5,0,5,92,31,33.7,34,36,22,10,0,0,10,6,16,15,1,Matches
79,Chiquinho\dc6c2f02,Chiquinho\dc6c2f02,pt POR,MFDF,Wolves,22-046,2000,0.6,3,2,2,1,0,3,3,100,0,18,7,38.9,5,8,5,2,0,0,2,0,3,1,0,Matches
80,Hamza Choudhury\7d2d3329,Hamza Choudhury\7d2d3329,eng ENG,DFMF,Leicester City,24-173,1997,3.2,8,2,3,5,0,2,5,40,3,40,6,15,13,24,3,5,0,0,5,15,23,12,0,Matches
81,Andreas Christensen\1cb49278,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,25-347,1996,14.1,13,11,8,2,3,7,11,63.6,4,123,46,37.4,70,44,9,27,9,0,18,52,65,76,0,Matches
82,Carney Chukwuemeka\b2f9c73e,Carney Chukwuemeka\b2f9c73e,eng ENG,MFFW,Aston Villa,18-075,2004,2.2,2,1,0,2,0,2,5,40,3,53,13,24.5,15,29,9,2,0,0,2,3,5,1,0,Matches
83,Ciaran Clark\2b91cf8e,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,32-178,1989,11.3,17,13,9,6,2,9,15,60,6,76,27,35.5,53,19,4,14,10,0,4,15,32,50,0,Matches
84,Tom Cleverley\6cdd8245,Tom Cleverley\6cdd8245,eng ENG,MF,Watford,32-223,1989,15.2,26,20,12,10,4,7,25,28,18,300,80,26.7,79,161,60,26,7,1,19,23,49,14,0,Matches
85,Nathaniel Clyne\0442183b,Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,30-352,1991,6,11,7,4,7,0,3,8,37.5,5,59,21,35.6,31,24,4,5,1,0,4,20,31,12,0,Matches
86,Conor Coady\2928dca2,Conor Coady\2928dca2,eng ENG,DF,Wolves,29-026,1993,29.8,26,17,18,7,1,10,22,45.5,12,164,59,36,104,55,5,48,35,3,13,32,58,120,0,Matches
87,Seamus Coleman\0420d84f,Séamus Coleman\0420d84f,ie IRL,DF,Everton,33-163,1988,21.6,58,31,31,16,11,27,44,61.4,17,254,87,34.3,112,100,42,39,9,0,30,41,99,48,1,Matches
88,Nathan Collins\a8c19eb8,Nathan Collins\a8c19eb8,ie IRL,DF,Burnley,20-327,2001,8.6,17,13,14,3,0,2,8,25,6,77,29,37.7,51,22,4,26,14,0,12,21,38,47,0,Matches
89,Aaron Connolly\27c01749,Aaron Connolly\27c01749,ie IRL,FW,Brighton,22-054,2000,1.7,0,0,0,0,0,0,1,0,1,27,5,18.5,4,11,12,2,0,0,2,0,0,0,0,Matches
90,Liam Cooper\dc64b8b3,Liam Cooper\dc64b8b3,sct SCO,DF,Leeds United,30-205,1991,14.2,29,13,16,12,1,12,21,57.1,9,158,57,36.1,94,61,3,26,15,0,11,26,55,85,2,Matches
91,Jack Cork\74e12f1e,Jack Cork\74e12f1e,eng ENG,MF,Burnley,32-271,1989,9.8,9,4,2,5,2,4,19,21.1,15,184,49,26.6,44,95,45,15,3,0,12,19,28,15,0,Matches
92,Maxwel Cornet\beb391dd,Maxwel Cornet\beb391dd,ci CIV,FWMF,Burnley,25-177,1996,12.2,13,8,3,5,5,2,5,40,3,188,58,30.9,28,85,75,5,2,0,3,8,21,11,0,Matches
93,Helder Costa\f13d02a6,Hélder Costa\f13d02a6,ao ANG,MF,Leeds United,28-070,1994,0.2,0,0,0,0,0,0,2,0,2,9,2,22.2,1,5,3,0,0,0,0,0,0,0,0,Matches
94,Vladimir Coufal\fdf3cb77,Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,29-213,1992,18.7,37,19,20,10,7,12,29,41.4,17,241,67,27.8,114,83,44,38,5,0,33,27,64,57,0,Matches
95,Philippe Coutinho\0ef89a37,Philippe Coutinho\0ef89a37,br BRA,MFFW,Aston Villa,29-284,1992,8.6,7,6,1,3,3,6,11,54.5,5,118,29,24.6,25,62,31,9,0,0,9,4,11,1,0,Matches
96,Aaron Cresswell\4f974391,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,32-098,1989,22.3,26,15,19,5,2,13,24,54.2,11,150,50,33.3,78,53,19,35,12,0,23,34,60,51,0,Matches
97,Charlie Cresswell\4654e5f5,Charlie Cresswell\4654e5f5,eng ENG,DF,Leeds United,19-106,2002,1.6,7,3,4,3,0,3,3,100,0,29,5,17.2,14,15,0,2,1,0,1,4,11,10,0,Matches
98,Cucho\71b47ab9,Cucho\71b47ab9,co COL,FWMF,Watford,22-337,1999,11.3,12,5,6,5,1,3,28,10.7,25,229,54,23.6,58,99,72,11,0,0,11,8,20,9,0,Matches
99,Marc Cucurella\1daec722,Marc Cucurella\1daec722,es ESP,DF,Brighton,23-244,1998,25.3,60,40,22,32,6,33,55,60,22,401,145,36.2,154,173,74,53,9,2,44,48,108,48,0,Matches
100,Luke Cundle\cc3b8e78,Luke Cundle\cc3b8e78,eng ENG,MF,Wolves,19-331,2002,0.9,1,1,0,1,0,1,1,100,0,19,1,5.3,7,10,2,0,0,0,0,2,3,1,0,Matches
101,Patson Daka\ca45605e,Patson Daka\ca45605e,zm ZAM,FW,Leicester City,23-165,1998,8.5,9,5,2,4,3,0,6,0,6,143,42,29.4,12,69,62,4,0,0,4,1,10,6,0,Matches
102,Stuart Dallas\67ca8566,Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,30-338,1991,28.9,77,37,50,22,5,43,102,42.2,59,456,143,31.4,229,178,49,54,15,0,39,68,145,64,0,Matches
103,Diogo Dalot\d9565625,Diogo Dalot\d9565625,pt POR,DF,Manchester Utd,23-005,1999,12.1,32,17,17,9,6,16,25,64,9,137,43,31.4,56,55,26,15,3,1,12,28,60,38,0,Matches
104,Karl Darlow\cde3309f,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,31-166,1990,8,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
105,Josh Dasilva\60344e4f,Josh Dasilva\60344e4f,eng ENG,MFFW,Brentford,23-151,1998,1.5,3,1,1,1,1,1,1,100,0,31,4,12.9,11,15,5,8,1,0,7,2,5,5,0,Matches
106,Ben Davies\44781702,Ben Davies\44781702,wls WAL,DF,Tottenham,28-333,1993,19.3,34,15,15,13,6,9,24,37.5,15,205,69,33.7,105,69,31,26,10,2,16,29,63,58,0,Matches
107,Tom Davies\9228b07c,Tom Davies\9228b07c,eng ENG,MF,Everton,23-266,1998,1.8,4,2,1,2,1,1,4,25,3,40,12,30,15,16,9,3,0,0,3,4,8,3,0,Matches
108,Keinan Davis\9deaf2c8,Keinan Davis\9deaf2c8,eng ENG,FW,Aston Villa,24-038,1998,0.1,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
109,Craig Dawson\3e9e06cb,Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,31-321,1990,23.9,23,13,15,8,0,8,21,38.1,13,156,47,30.1,93,54,9,44,36,0,8,24,47,110,1,Matches
110,Kevin De Bruyne\e46012d4,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,30-268,1991,17.1,17,10,3,9,5,8,34,23.5,26,261,75,28.7,35,110,116,30,2,0,28,9,26,12,0,Matches
111,Troy Deeney\82e34b69,Troy Deeney\82e34b69,eng ENG,FW,Watford,33-267,1988,0.3,0,0,0,0,0,0,1,0,1,7,2,28.6,1,2,4,0,0,0,0,0,0,3,0,Matches
112,Liam Delap\dd897ee7,Liam Delap\dd897ee7,eng ENG,FW,Manchester City,19-043,2003,0.1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,Matches
113,Fabian Delph\111c3236,Fabian Delph\111c3236,eng ENG,MF,Everton,32-122,1989,2.8,10,6,3,7,0,4,11,36.4,7,62,15,24.2,17,39,6,3,0,0,3,13,23,4,0,Matches
114,Leander Dendoncker\5a7301ae,Leander Dendoncker\5a7301ae,be BEL,MFFW,Wolves,26-342,1995,15.7,33,17,17,16,0,12,28,42.9,16,330,89,27,135,157,38,39,11,0,28,21,54,28,0,Matches
115,Emmanuel Dennis\2c44a35d,Emmanuel Dennis\2c44a35d,ng NGA,FWMF,Watford,24-128,1997,24.2,35,21,22,8,5,9,36,25,27,483,120,24.8,107,209,167,30,2,0,28,18,53,8,0,Matches
116,Kiernan Dewsbury Hall\5c74c0f5,Kiernan Dewsbury Hall\5c74c0f5,eng ENG,MF,Leicester City,23-198,1998,13.7,25,16,17,5,3,9,24,37.5,15,281,67,23.8,120,106,55,31,8,0,23,24,49,24,1,Matches
117,Ibrahima Diallo\11ff3d56,Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,23-015,1999,8.4,20,13,10,6,4,5,18,27.8,13,166,51,30.7,54,82,30,6,0,0,6,10,30,7,0,Matches
118,Raphael Dias Belloli\3423f250,Raphael Dias Belloli\3423f250,br BRA,MFFW,Leeds United,25-099,1996,25,43,19,20,16,7,16,50,32,34,387,95,24.5,92,166,129,45,0,0,45,36,79,17,0,Matches
119,Ruben Dias\31c69ef1,Rúben Dias\31c69ef1,pt POR,DF,Manchester City,24-313,1997,23.7,30,25,11,16,3,7,16,43.8,9,139,63,45.3,52,70,17,25,12,0,13,32,62,70,1,Matches
120,Luis Diaz\4a1a9578,Luis Díaz\4a1a9578,co COL,FW,Liverpool,25-069,1997,5.5,8,6,2,3,3,1,5,20,4,91,32,35.2,15,35,41,7,1,0,6,3,11,0,0,Matches
121,Eric Dier\ac861941,Eric Dier\ac861941,eng ENG,DF,Tottenham,28-067,1994,25.1,18,9,8,8,2,2,9,22.2,7,133,48,36.1,70,57,6,44,28,1,16,35,53,117,0,Matches
