,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Tkls,TklsW,TKls Def 3rd,Tkls Mid 3rd,Tkls Att 3rd,Tkls vs Drib,Att vs Drib,Tkl% vs Drib,Past vs Drib,Press,Succ Press,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Blocked Sh,Blocked ShOT,Blocked Pass,Int,Tkl+Int,Clr,Err,Matches
33,Patrick Bamford,,eng ENG,FW,Leeds United,28-199,1993,6.2,3,2,1,2,0,1,4,25,3,111,38,34.2,4,47,60,6,3,0,3,3,6,8,0,Matches
34,Shandon Baptiste,,gd GRN,MF,Brentford,23-349,1998,9.8,8,5,6,1,1,3,13,23.1,10,198,65,32.8,60,93,45,12,0,0,12,18,26,10,0,Matches
35,Ross Barkley,,eng ENG,MF,Chelsea,28-108,1993,1.7,1,1,0,1,0,0,1,0,1,15,3,20,1,9,5,1,0,0,1,2,3,0,0,Matches
36,Ashley Barnes,,eng ENG,FW,Burnley,32-144,1989,4.7,11,8,4,5,2,2,3,66.7,1,85,15,17.6,9,43,33,4,1,1,3,4,15,2,0,Matches
37,Harvey Barnes,,eng ENG,FWMF,Leicester City,24-104,1997,17.4,17,7,5,8,4,4,16,25,12,201,67,33.3,47,79,75,17,1,0,16,7,24,5,0,Matches
38,Lewis Bate,,eng ENG,MF,Leeds United,19-145,2002,0.5,1,0,0,0,1,0,3,0,3,14,4,28.6,3,9,2,0,0,0,0,2,3,1,0,Matches
39,Mads Bech Sorensen,,dk DEN,DF,Brentford,23-075,1999,4.2,5,4,4,1,0,3,4,75,1,29,13,44.8,15,11,3,2,2,0,0,8,13,14,0,Matches
40,Jan Bednarek,,pl POL,DF,Southampton,25-345,1996,22.2,30,19,17,12,1,15,33,45.5,18,178,63,35.4,90,83,5,44,22,1,22,68,98,128,0,Matches
41,Donny van de Beek,,nl NED,MF,Manchester Utd,24-339,1997,0.8,5,3,3,2,0,1,1,100,0,16,6,37.5,5,6,5,2,1,0,1,2,7,2,0,Matches
42,Donny van de Beek,,nl NED,MF,Everton,24-339,1997,4.8,13,7,6,6,1,5,12,41.7,7,89,24,27,23,48,18,7,3,0,4,10,23,5,0,Matches
43,Asmir Begovi?,,ba BIH,GK,Everton,34-276,1987,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
44,Said Benrahma,,dz ALG,FWMF,West Ham,26-225,1995,19.9,30,19,14,11,5,13,30,43.3,17,298,74,24.8,89,151,58,17,1,0,16,11,41,5,0,Matches
45,Rodrigo Bentancur,,uy URU,MF,Tottenham,24-291,1997,6.8,19,10,9,8,2,7,17,41.2,10,180,45,25,65,94,21,17,3,0,14,7,26,8,0,Matches
46,Christian Benteke,,be BEL,FW,Crystal Palace,31-110,1990,12.4,8,2,2,4,2,2,6,33.3,4,116,30,25.9,9,50,57,8,4,0,4,1,9,30,1,Matches
47,Johann Berg Gudmundsson,,is ISL,MF,Burnley,31-147,1990,12.2,19,9,10,7,2,9,20,45,11,170,44,25.9,49,69,52,18,2,0,16,17,36,21,0,Matches
48,Steven Bergwijn,,nl NED,FWMF,Tottenham,24-166,1997,5.5,4,3,2,1,1,1,6,16.7,5,72,12,16.7,12,31,29,4,0,0,4,4,8,9,0,Matches
49,Ryan Bertrand,,eng ENG,DF,Leicester City,32-230,1989,3.7,9,4,1,7,1,4,5,80,1,75,25,33.3,40,24,11,11,3,0,8,3,12,7,0,Matches
50,Mads Bidstrup,,dk DEN,MF,Brentford,21-026,2001,0.5,4,2,2,2,0,0,2,0,2,19,8,42.1,12,7,0,1,0,0,1,1,5,2,0,Matches
51,Yves Bissouma,,ml MLI,MF,Brighton,25-205,1996,18.1,63,42,30,30,3,16,27,59.3,11,314,117,37.3,121,157,36,32,4,0,28,43,106,34,0,Matches
52,Willy Boly,,ci CIV,DF,Wolves,31-048,1991,2,2,1,2,0,0,0,1,0,1,8,4,50,5,3,0,0,0,0,0,4,6,8,0,Matches
53,Jarrod Bowen,,eng ENG,FW,West Ham,25-093,1996,26.2,36,23,18,12,6,15,44,34.1,29,448,94,21,138,194,116,43,2,0,41,34,70,3,0,Matches
54,Jarrad Branthwaite,,eng ENG,DF,Everton,19-269,2002,2.1,3,2,3,0,0,1,5,20,4,23,11,47.8,18,5,0,4,1,0,3,5,8,5,0,Matches
55,Armando Broja,,al ALB,FW,Southampton,20-194,2001,16.8,10,9,3,4,3,1,10,10,9,274,81,29.6,27,91,156,12,1,0,11,11,21,7,0,Matches
56,Josh Brownhill,,eng ENG,MF,Burnley,26-094,1995,22.4,48,28,15,29,4,8,31,25.8,23,362,117,32.3,109,187,66,36,11,0,25,57,105,29,0,Matches
57,Bryan,,es ESP,FWMF,Tottenham,21-040,2001,1,4,3,2,0,2,3,6,50,3,38,12,31.6,10,6,22,2,0,0,2,0,4,0,0,Matches
58,Emi Buendia,,ar ARG,FWMF,Aston Villa,25-088,1996,17.1,45,29,22,16,7,15,35,42.9,20,347,90,25.9,88,162,97,17,5,0,12,15,60,5,0,Matches
59,Dan Burn,,eng ENG,DF,Brighton,29-318,1992,11.4,24,15,12,8,4,6,18,33.3,12,141,46,32.6,61,64,16,28,11,0,17,32,56,52,2,Matches
60,Dan Burn,,eng ENG,DF,Newcastle Utd,29-318,1992,7,13,4,11,2,0,3,4,75,1,75,25,33.3,48,26,1,18,10,0,8,8,21,55,0,Matches
61,Jack Butland,,eng ENG,GK,Crystal Palace,29-013,1993,5.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Sam Byram,,eng ENG,DFMF,Norwich City,28-188,1993,3,9,6,6,3,0,4,7,57.1,3,55,15,27.3,18,28,9,8,2,0,6,10,19,12,0,Matches
63,Willy Caballero,,ar ARG,GK,Southampton,40-176,1981,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
64,Dominic Calvert-Lewin,,eng ENG,FW,Everton,25-007,1997,8.5,9,7,1,3,5,1,2,50,1,105,21,20,7,48,50,6,2,0,4,5,14,9,0,Matches
65,Joao Cancelo,,pt POR,DF,Manchester City,27-300,1994,26.9,70,43,21,31,18,29,65,44.6,36,259,92,35.5,77,108,74,36,3,0,33,58,128,44,0,Matches
66,Sergi Canos,,es ESP,DF,Brentford,25-049,1997,22.8,58,22,29,19,10,24,59,40.7,35,449,108,24.1,190,171,88,38,3,0,35,32,90,37,0,Matches
67,Todd Cantwell,,eng ENG,FWMF,Norwich City,24-024,1998,4.9,15,11,8,6,1,4,14,28.6,10,106,25,23.6,39,46,21,2,0,0,2,4,19,3,0,Matches
68,Matty Cash,,pl POL,DF,Aston Villa,24-228,1997,28.5,79,35,46,29,4,36,60,60,24,417,115,27.6,221,157,39,70,12,0,58,76,155,78,0,Matches
69,Timothy Castagne,,be BEL,DF,Leicester City,26-108,1995,14.8,41,13,18,18,5,16,31,51.6,15,223,63,28.3,98,101,24,36,4,0,32,25,66,44,2,Matches
70,Jonny Castro,,es ESP,DF,Wolves,28-020,1994,4,7,7,3,4,0,3,6,50,3,53,20,37.7,22,22,9,7,1,0,6,4,11,2,0,Matches
71,Craig Cathcart,,nir NIR,DF,Watford,33-045,1989,24.3,30,14,24,6,0,14,29,48.3,15,151,46,30.5,105,43,3,50,29,0,21,34,64,122,1,Matches
72,Edinson Cavani,,uy URU,FW,Manchester Utd,35-037,1987,6.8,4,2,0,3,1,3,6,50,3,77,29,37.7,13,31,33,7,0,0,7,7,11,5,0,Matches
73,Kayky Chagas,,br BRA,FW,Manchester City,18-285,2003,0.1,0,0,0,0,0,0,0,,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,Matches
74,Trevoh Chalobah,,eng ENG,DF,Chelsea,22-261,1999,13.1,33,17,14,15,4,16,24,66.7,8,134,48,35.8,50,72,12,16,8,1,8,27,60,62,1,Matches
75,Calum Chambers,,eng ENG,DF,Arsenal,27-062,1995,1.9,2,1,2,0,0,1,3,33.3,2,24,5,20.8,18,5,1,11,3,0,8,3,5,7,1,Matches
76,Calum Chambers,,eng ENG,DF,Aston Villa,27-062,1995,5,8,6,3,4,1,4,5,80,1,45,17,37.8,24,20,1,7,4,0,3,3,11,40,0,Matches
77,Daniel Chesters,,eng ENG,MF,West Ham,19-353,2002,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Ben Chilwell,,eng ENG,DF,Chelsea,25-092,1996,6,10,5,3,6,1,0,5,0,5,92,31,33.7,34,36,22,10,0,0,10,6,16,15,1,Matches
79,Chiquinho,,pt POR,MFDF,Wolves,22-046,2000,0.6,3,2,2,1,0,3,3,100,0,18,7,38.9,5,8,5,2,0,0,2,0,3,1,0,Matches
80,Hamza Choudhury,,eng ENG,DFMF,Leicester City,24-173,1997,3.2,8,2,3,5,0,2,5,40,3,40,6,15,13,24,3,5,0,0,5,15,23,12,0,Matches
81,Andreas Christensen,,dk DEN,DF,Chelsea,25-347,1996,14.1,13,11,8,2,3,7,11,63.6,4,123,46,37.4,70,44,9,27,9,0,18,52,65,76,0,Matches
82,Carney Chukwuemeka,,eng ENG,MFFW,Aston Villa,18-075,2004,2.2,2,1,0,2,0,2,5,40,3,53,13,24.5,15,29,9,2,0,0,2,3,5,1,0,Matches
83,Ciaran Clark,,ie IRL,DF,Newcastle Utd,32-178,1989,11.3,17,13,9,6,2,9,15,60,6,76,27,35.5,53,19,4,14,10,0,4,15,32,50,0,Matches
84,Tom Cleverley,,eng ENG,MF,Watford,32-223,1989,15.2,26,20,12,10,4,7,25,28,18,300,80,26.7,79,161,60,26,7,1,19,23,49,14,0,Matches
85,Nathaniel Clyne,,eng ENG,DF,Crystal Palace,30-352,1991,6,11,7,4,7,0,3,8,37.5,5,59,21,35.6,31,24,4,5,1,0,4,20,31,12,0,Matches
86,Conor Coady,,eng ENG,DF,Wolves,29-026,1993,29.8,26,17,18,7,1,10,22,45.5,12,164,59,36,104,55,5,48,35,3,13,32,58,120,0,Matches
87,Seamus Coleman,,ie IRL,DF,Everton,33-163,1988,21.6,58,31,31,16,11,27,44,61.4,17,254,87,34.3,112,100,42,39,9,0,30,41,99,48,1,Matches
88,Nathan Collins,,ie IRL,DF,Burnley,20-327,2001,8.6,17,13,14,3,0,2,8,25,6,77,29,37.7,51,22,4,26,14,0,12,21,38,47,0,Matches
89,Aaron Connolly,,ie IRL,FW,Brighton,22-054,2000,1.7,0,0,0,0,0,0,1,0,1,27,5,18.5,4,11,12,2,0,0,2,0,0,0,0,Matches
90,Liam Cooper,,sct SCO,DF,Leeds United,30-205,1991,14.2,29,13,16,12,1,12,21,57.1,9,158,57,36.1,94,61,3,26,15,0,11,26,55,85,2,Matches
91,Jack Cork,,eng ENG,MF,Burnley,32-271,1989,9.8,9,4,2,5,2,4,19,21.1,15,184,49,26.6,44,95,45,15,3,0,12,19,28,15,0,Matches
92,Maxwel Cornet,,ci CIV,FWMF,Burnley,25-177,1996,12.2,13,8,3,5,5,2,5,40,3,188,58,30.9,28,85,75,5,2,0,3,8,21,11,0,Matches
93,Helder Costa,,ao ANG,MF,Leeds United,28-070,1994,0.2,0,0,0,0,0,0,2,0,2,9,2,22.2,1,5,3,0,0,0,0,0,0,0,0,Matches
94,Vladimir Coufal,,cz CZE,DF,West Ham,29-213,1992,18.7,37,19,20,10,7,12,29,41.4,17,241,67,27.8,114,83,44,38,5,0,33,27,64,57,0,Matches
95,Philippe Coutinho,,br BRA,MFFW,Aston Villa,29-284,1992,8.6,7,6,1,3,3,6,11,54.5,5,118,29,24.6,25,62,31,9,0,0,9,4,11,1,0,Matches
96,Aaron Cresswell,,eng ENG,DF,West Ham,32-098,1989,22.3,26,15,19,5,2,13,24,54.2,11,150,50,33.3,78,53,19,35,12,0,23,34,60,51,0,Matches
97,Charlie Cresswell,,eng ENG,DF,Leeds United,19-106,2002,1.6,7,3,4,3,0,3,3,100,0,29,5,17.2,14,15,0,2,1,0,1,4,11,10,0,Matches
