,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Cmp Total,Att Total,Cmp% Total,TotDist,PrgDist,Cmp Short,Att Short,Cmp% Short,Cmp Medium,Att Medium,Cmp% Medium,Cmp Long,Att Long,Cmp% Long,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
112,Liam Delap,,eng ENG,FW,Manchester City,19-055,2003,0.1,10,10,100,150,50,10,10,100,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
113,Fabian Delph,,eng ENG,MF,Everton,32-134,1989,2.8,37.9,44.6,84.8,803.6,208.6,17.9,19.3,92.6,11.8,13.9,84.6,8.21,10.4,79.3,0,0,0,0.36,4.29,0.36,0,4.64,Matches
114,Leander Dendoncker,,be BEL,MF,Wolves,26-354,1995,16.7,33.4,38.4,86.8,592.2,112.7,15,17,88,13.8,15.3,90.2,3.71,4.43,83.8,0.12,0.05,0.07,0.6,1.74,0.24,0,1.86,Matches
115,Emmanuel Dennis,,ng NGA,FWMF,Watford,24-140,1997,24.3,14.6,21.9,66.4,209.9,57.4,9.01,11.8,76.3,3.95,5.88,67.1,0.95,1.81,52.3,0.21,0.1,0.1,1.11,0.74,0.7,0.21,1.85,Matches
116,Kiernan Dewsbury Hall,,eng ENG,MF,Leicester City,23-210,1998,14.7,40.6,52.5,77.3,652.4,164.8,21.6,24.8,86.8,14.9,18.7,79.6,3.27,6.67,49,0.14,0.12,0.02,1.5,3.95,1.16,0.2,3.4,Matches
117,Ibrahima Diallo,,fr FRA,MF,Southampton,23-027,1999,9.4,32.3,39.6,81.7,577.1,130,15.4,18.5,83.3,13.5,15.6,86.4,2.77,3.94,70.3,0.21,0.1,0.12,1.49,3.94,0.11,0,2.77,Matches
118,Raphael Dias Belloli,,br BRA,FWMF,Leeds United,25-111,1996,26,25.2,39.6,63.7,469.3,193.8,11.7,14.2,82.2,8.81,12.4,71.1,3.69,9.92,37.2,0.12,0.24,-0.13,2.27,2.96,1.69,0.31,5.62,Matches
119,Ruben Dias,,pt POR,DF,Manchester City,24-325,1997,23.7,77.8,82.5,94.3,1670.8,430,21.5,22.5,95.5,43.5,44.9,97.1,12.7,14.6,86.7,0.13,0.09,0.04,0.46,6.62,0.17,0,3.92,Matches
120,Luis Diaz,,co COL,FW,Liverpool,25-081,1997,5.5,37.5,42.7,87.7,549.3,112.4,24,25.6,93.6,10.7,13.3,80.8,2,2.18,91.7,0,0.18,-0.18,1.64,2,2.18,0,4.18,Matches
121,Eric Dier,,eng ENG,DF,Tottenham,28-079,1994,26.1,55.9,63,88.8,1239.5,411.9,14.7,15.6,94.3,31.6,33.6,94.2,9.5,13.3,71.5,0,0.05,-0.05,0.27,3.03,0.27,0,2.87,Matches
122,Lucas Digne,,fr FRA,DF,Aston Villa,28-258,1993,7.2,42.5,57.8,73.6,685.6,290.7,23.9,26.3,91,13.8,19,72.3,3.89,9.17,42.4,0.14,0.08,0.06,1.53,1.81,1.39,0.69,4.31,Matches
123,Lucas Digne,,fr FRA,DF,Everton,28-258,1993,13,37.5,52.2,71.8,657.5,329,16.8,20.2,83.6,16.2,20.6,78.7,3.23,8,40.4,0,0.13,-0.13,1.54,2.23,0.92,0.31,3.77,Matches
124,Virgil van Dijk,,nl NED,DF,Liverpool,30-270,1991,28,66.8,73.7,90.6,1519.3,481.5,16.9,18.3,92.4,36.4,37.9,95.9,13.2,16.9,78.2,0.04,0.01,0.02,0.14,4.96,0.11,0,3.07,Matches
125,Issa Diop,,fr FRA,DF,West Ham,25-085,1997,9,34.3,39.9,86.1,700.8,235.7,10.9,11.6,94.2,18.7,20.4,91.3,4.67,7.78,60,0.11,0.01,0.1,0.11,1.44,0,0,1.44,Matches
126,Moussa Djenepo,,ml MLI,MF,Southampton,23-293,1998,4.9,21.4,29.2,73.4,331.4,140.6,13.1,15.3,85.3,5.92,8.37,70.7,2.04,3.47,58.8,0,0.04,-0.04,1.22,2.04,1.63,0.41,4.49,Matches
127,Lewis Dobbin,,eng ENG,FWMF,Everton,19-091,2003,0.4,10,17.5,57.1,265,60,5,7.5,66.7,0,2.5,0,5,7.5,66.7,0,0,0,0,2.5,0,0,2.5,Matches
128,Matt Doherty,,ie IRL,DF,Tottenham,30-078,1992,9.5,45.9,56.1,81.8,774.8,205.2,22.9,25.8,89,18.5,21.8,85,3.79,6.21,61,0.42,0.19,0.23,1.47,2.11,1.16,0.42,3.79,Matches
129,Gabriel Dos Santos,,br BRA,DF,Arsenal,24-106,1997,24.4,51.3,57.3,89.5,1072.2,279,14.7,15.7,94,28.7,30,95.8,7.21,10.6,68.2,0,0.03,-0.03,0.16,2.58,0.04,0,1.76,Matches
130,Abdoulaye Doucoure,,ml MLI,MF,Everton,29-093,1993,20.7,32.4,40.3,80.2,545.2,120,15.7,18.2,85.9,12.9,15.4,84.3,2.75,4.15,66.3,0.19,0.07,0.12,0.77,2.95,0.68,0.05,3.14,Matches
131,Kieran Dowell,,eng ENG,MFFW,Norwich City,24-176,1997,4,19.8,30.8,64.2,328,72.5,12,15,80,5.25,7.5,70,2,6.25,32,0,0.15,-0.15,1.5,1.25,1.5,0.75,1.5,Matches
132,Cody Drameh,,eng ENG,DF,Leeds United,20-117,2001,1.4,42.9,55,77.9,662.1,284.3,27.9,31.4,88.6,12.9,16.4,78.3,2.14,2.86,75,0,0,0,0.71,2.14,1.43,0.71,4.29,Matches
133,Martin Dubravka,,sk SVK,GK,Newcastle Utd,33-079,1989,18,21.5,32.6,66,844.2,581.2,2.11,2.11,100,7.78,7.94,97.9,11.4,22.3,51.2,0,0,0,0,0.61,0,0,0,Matches
134,Shane Duffy,,ie IRL,DF,Brighton,30-093,1992,16,55.9,62.9,88.8,1292.4,355.1,10.7,11.5,92.9,33.8,36.1,93.6,11.3,14.8,75.9,0,0.01,-0.01,0.19,3.44,0.13,0,2.19,Matches
135,Paul Dummett,,wls WAL,DF,Newcastle Utd,30-190,1991,2.2,23.2,30.9,75,394.1,198.2,10.9,12.7,85.7,11.4,14.1,80.6,0.91,3.64,25,0,0,0,0,2.27,0,0,1.36,Matches
136,Lewis Dunk,,eng ENG,DF,Brighton,30-134,1991,20.6,67.6,74.3,91,1556.3,410.5,15.4,16.5,93.8,37.6,39.5,95.3,14.1,17.7,79.7,0,0.01,-0.01,0.05,3.74,0.1,0.05,2.09,Matches
137,Ederson,,br BRA,GK,Manchester City,28-230,1993,29,26.6,29.9,89,687.9,386.3,5.38,5.38,100,13.6,13.6,100,7.55,10.8,70,0,0,0,0.03,0.31,0.03,0,0.03,Matches
138,Odsonne Edouard,,fr FRA,FW,Crystal Palace,24-078,1998,14.1,17.9,24.8,72.2,258.2,57.6,11.2,14,80.2,5.6,7.73,72.5,0.78,1.21,64.7,0.21,0.15,0.06,1.13,1.42,0.64,0.07,2.2,Matches
139,Anthony Elanga,,se SWE,FW,Manchester Utd,19-342,2002,7.1,28.5,35.5,80.2,389.4,81,17.3,19.3,89.8,8.45,10.7,78.9,1.41,2.11,66.7,0,0.08,-0.08,0.42,0.85,0.7,0.42,1.55,Matches
140,Harvey Elliott,,eng ENG,MF,Liverpool,19-000,2003,3.1,56.8,67.1,84.6,962.6,259,29,32.6,89.1,22.6,25.8,87.5,5.16,6.77,76.2,0,0.1,-0.1,1.61,6.45,2.26,0.32,9.35,Matches
141,Mohamed Elneny,,eg EGY,MF,Arsenal,29-267,1992,2,53.5,58,92.2,993.5,199.5,23,24.5,93.9,20,21.5,93,9,9,100,0.5,0.1,0.4,2,8,0.5,0,1,Matches
142,Mohamed Elyounoussi,,no NOR,MF,Southampton,27-243,1994,17.8,20.9,29.8,70.2,316.5,75.1,12.8,15.8,81.1,6.52,9.21,70.7,1.12,2.81,40,0.06,0.11,-0.05,1.24,1.91,0.96,0.06,2.25,Matches
143,Emerson,,br BRA,DF,Tottenham,23-080,1999,17.7,46.7,58.1,80.4,734.6,226.6,26.3,29.4,89.4,16.7,20.5,81.5,2.88,5.48,52.6,0.06,0.1,-0.05,1.24,1.53,1.19,0.4,3.5,Matches
144,Christian Eriksen,,dk DEN,MF,Brentford,30-049,1992,3.4,40.3,55.3,72.9,863.2,280.6,16.5,19.1,86.2,13.2,16.5,80.4,10,17.6,56.7,0.29,0.24,0.06,2.35,5.59,1.18,0.59,4.71,Matches
145,Oghenekaro Etebo,,ng NGA,MF,Watford,26-146,1995,4.3,32.1,35.8,89.6,746.5,165.1,7.67,8.37,91.7,17.9,19.3,92.8,6.51,7.91,82.4,0,0.02,-0.02,0.47,2.56,0.7,0.23,2.56,Matches
146,Jonny Evans,,nir NIR,DF,Leicester City,34-091,1988,9.4,49.1,59.8,82.2,1092.3,375.3,10.7,12.9,83.5,30.6,33.3,92,7.55,13.3,56.8,0.11,0.05,0.05,0.21,2.77,0.11,0,2.45,Matches
147,Eberechi Eze,,eng ENG,MFFW,Crystal Palace,23-279,1998,1.6,31.3,42.5,73.5,483.8,90,19.4,21.9,88.6,9.38,13.1,71.4,1.88,5,37.5,0,0.06,-0.06,0.63,1.25,0.63,0,1.88,Matches
148,Lukasz Fabianski,,pl POL,GK,West Ham,36-351,1985,30,16.4,26.1,62.7,626.5,416,1.57,1.57,100,5.43,5.47,99.4,9.3,18.9,49.1,0,0,0,0.03,0.3,0,0,0,Matches
149,Fabinho,,br BRA,MF,Liverpool,28-163,1993,21.2,50.2,57,88.1,921.4,212.6,20.1,22.2,90.6,23.9,26,92,5.19,6.84,75.9,0.05,0.04,0.01,0.61,5.61,0.66,0.05,4.29,Matches
150,Kiko Femenia,,es ESP,DF,Watford,31-061,1991,18.8,35.1,49.4,71,582.4,272.4,18.4,20.7,88.9,14,19.3,72.7,2.18,7.66,28.5,0.27,0.1,0.16,0.85,2.02,0.64,0.32,3.14,Matches
151,Evan Ferguson,,ie IRL,MF,Brighton,17-167,2004,0.3,20,23.3,85.7,326.7,16.7,10,13.3,75,3.33,3.33,100,3.33,3.33,100,0,0,0,0,0,3.33,3.33,0,Matches
152,Nathan Ferguson,,eng ENG,DF,Crystal Palace,21-180,2000,0.1,30,50,60,230,200,10,10,100,0,0,,0,20,0,0,0,0,0,0,0,0,0,Matches
153,Bruno Fernandes,,pt POR,MF,Manchester Utd,27-208,1994,26.6,41.6,57,73.1,803.8,233,18.8,21.6,86.8,15.6,20,78.3,6.5,12.7,51,0.23,0.3,-0.07,2.93,4.51,2.59,0.49,5.79,Matches
154,Alvaro Fernandez,,es ESP,GK,Brentford,23-356,1998,12,26.8,41.7,64.4,784.4,441.7,5.33,5.5,97,12.3,12.5,98,9.17,23.6,38.9,0,0,0,0,0.83,0,0,0.08,Matches
155,Federico Fernandez,,ar ARG,DF,Newcastle Utd,33-042,1989,5.8,31.6,36.9,85.5,724,259.1,7.07,7.93,89.1,18.8,19.7,95.6,5.69,9.14,62.3,0,0.05,-0.05,0.17,2.07,0,0,1.38,Matches
156,Fernandinho,,br BRA,MF,Manchester City,36-335,1985,6.8,65.6,73.4,89.4,1199.9,287.2,27.5,30.1,91.2,30.9,32.9,93.8,6.47,9.12,71,0.15,0.12,0.03,1.18,8.09,2.21,0.15,5.59,Matches
157,Roberto Firmino,,br BRA,FW,Liverpool,30-184,1991,9.8,34.4,43,80,513.9,114.3,19.3,21.3,90.4,11.5,15.2,75.8,1.94,2.55,76,0.31,0.2,0.1,1.33,2.24,0.92,0,3.06,Matches
158,Junior Firpo,,es ESP,DF,Leeds United,25-225,1996,14.8,42.9,51.7,83,749.6,260.1,18.6,21.2,87.9,20.5,23.4,87.3,3.24,5.61,57.8,0.07,0.11,-0.05,1.15,3.31,1.01,0.34,4.26,Matches
159,Ashley Fletcher,,eng ENG,FW,Watford,26-184,1995,0.3,10,30,33.3,246.7,93.3,0,20,0,6.67,6.67,100,3.33,3.33,100,0,0,0,0,6.67,0,0,3.33,Matches
160,Phil Foden,,eng ENG,FW,Manchester City,21-311,2000,18.6,39.2,48.6,80.6,646.3,132.5,22.3,24.6,90.6,12.9,15.1,85.7,3.55,6.94,51.2,0.16,0.26,-0.1,1.72,2.42,1.61,0.32,3.23,Matches
161,Wesley Fofana,,fr FRA,DF,Leicester City,21-108,2000,1,56,65,86.2,1092,212,16,16,100,29,33,87.9,9,14,64.3,0,0,0,0,3,0,0,2,Matches
162,Pablo Fornals,,es ESP,FWMF,West Ham,26-041,1996,25,32.4,43,75.3,587.2,195.6,15,17.3,86.6,12.4,15.8,78.7,4.08,7.16,57,0.08,0.16,-0.08,1.44,3.28,1.72,0.28,5.36,Matches
163,Adam Forshaw,,eng ENG,MF,Leeds United,30-178,1991,17,39.9,47.6,83.7,741.8,188.6,18.5,20.5,90.5,14.6,17,85.8,5.59,7.82,71.4,0.06,0.06,-0.01,0.76,3.47,0.47,0,3.59,Matches
164,Marcus Forss,,fi FIN,FWMF,Brentford,22-290,1999,2.3,10.4,17.8,58.5,165.2,47.8,6.96,9.57,72.7,1.3,4.78,27.3,1.74,2.61,66.7,0.43,0,0.43,0,1.74,0.43,0,2.17,Matches
165,Fraser Forster,,eng ENG,GK,Southampton,34-018,1988,13,19.5,32.9,59.3,679.8,432.7,2.69,2.77,97.2,8.08,8.23,98.1,8.69,21.8,39.9,0,0,0,0,0.46,0,0,0,Matches
166,Ben Foster,,eng ENG,GK,Watford,39-001,1983,19,16.8,34.3,49.2,756.3,569,1,1.05,95,4.95,5.16,95.9,10.9,28.1,38.8,0.05,0.01,0.05,0.05,1.58,0.11,0,0,Matches
167,Tariqe Fosu,,gh GHA,DF,Brentford,26-150,1995,0.2,30,40,75,550,65,10,10,100,15,20,75,5,10,50,0,0,0,0,0,0,0,5,Matches
168,Ryan Fraser,,sct SCO,FWMF,Newcastle Utd,28-039,1994,16,20.4,29.2,69.8,349.5,110.4,10.8,12.8,84.8,6.5,9.56,68,2.5,5.69,44,0.19,0.13,0.06,1.5,1,1.38,0.81,1.63,Matches
169,Fred,,br BRA,MF,Manchester Utd,29-030,1993,20.6,48.8,57.2,85.2,906.1,225.8,21,23.8,88.4,20.5,23.1,89.1,6.31,7.91,79.8,0.19,0.09,0.11,1.17,5.15,0.53,0.05,4.51,Matches
170,Ryan Fredericks,,eng ENG,DF,West Ham,29-176,1992,2.4,25.4,36.3,70.1,424.6,129.6,12.5,15.4,81.1,11.7,15.4,75.7,1.25,3.75,33.3,0,0.04,-0.04,0.83,0.83,0.83,0.42,1.67,Matches
171,Leo Fuhr Hjelde,,no NOR,DF,Leeds United,18-221,2003,1.7,49.4,65.3,75.7,774.7,296.5,27.6,32.4,85.5,17.6,20.6,85.7,3.53,8.24,42.9,0,0,0,0.59,2.35,0,0,2.94,Matches
172,Conor Gallagher,,eng ENG,MF,Crystal Palace,22-057,2000,24.4,29,37.8,76.8,520.6,126,13.6,15.6,87.1,10.9,13.3,81.8,3.77,7.17,52.6,0.12,0.13,-0.01,1.27,2.25,0.78,0.29,1.93,Matches
173,Dwight Gayle,,eng ENG,FW,Newcastle Utd,31-169,1990,0.4,15,20,75,172.5,5,12.5,15,83.3,2.5,2.5,100,0,0,,0,0,0,2.5,0,0,0,0,Matches
174,Jean-Philippe Gbamin,,ci CIV,MF,Everton,26-191,1995,0.7,22.9,30,76.2,320,28.6,17.1,20,85.7,4.29,7.14,60,1.43,2.86,50,0,0,0,0,0,0,0,0,Matches
175,David de Gea,,es ESP,GK,Manchester Utd,31-148,1990,30,16.8,24.1,69.8,489.9,286.7,2.73,2.77,98.8,7.77,8,97.1,6.2,13.1,47.2,0,0,0,0,0.03,0,0,0,Matches
176,Joe Gelhardt,,eng ENG,FWMF,Leeds United,19-335,2002,5.5,12.7,17.8,71.4,162,55.6,7.27,9.45,76.9,4.18,5.82,71.9,0.18,0.91,20,0.18,0.07,0.11,0.91,0.91,1.27,0,2.36,Matches
177,Anwar El Ghazi,,nl NED,FW,Everton,26-336,1995,0.1,80,90,88.9,920,330,70,80,87.5,0,0,,10,10,100,0,0,0,0,0,0,0,0,Matches
178,Anwar El Ghazi,,nl NED,FWMF,Aston Villa,26-336,1995,4.3,19.1,26.7,71.3,293.5,86,11.6,13.5,86.2,6.05,9.53,63.4,1.16,1.86,62.5,0.23,0.09,0.14,0.93,0.23,1.4,0.93,1.63,Matches
179,Saman Ghoddos,,ir IRN,MFDF,Brentford,28-210,1993,4.8,26.7,39.6,67.4,490.4,165.2,13.1,18.1,72.4,8.54,11.7,73.2,4.38,8.13,53.8,0.21,0.25,-0.04,1.25,2.5,2.08,0.42,3.54,Matches
180,Dimitris Giannoulis,,gr GRE,DF,Norwich City,26-169,1995,7.1,39.7,53.2,74.6,650.4,273,20.8,23.7,88.1,15.2,19.9,76.6,3.24,8.17,39.7,0.14,0.04,0.1,0.85,1.13,1.13,0.14,2.82,Matches
181,Morgan Gibbs-White,,eng ENG,FWMF,Wolves,22-067,2000,0.1,70,100,70,740,280,50,60,83.3,10,10,100,0,10,0,0,0,0,0,10,0,0,10,Matches
182,Ben Gibson,,eng ENG,DF,Norwich City,29-079,1993,24.7,39.7,48.5,81.9,939.1,361.7,9.27,10.1,92,21.3,23.2,91.5,8.95,14.4,62.3,0,0,0,0.08,3.36,0.32,0,3,Matches
183,Billy Gilmour,,sct SCO,MF,Norwich City,20-297,2001,16.7,46.2,58.9,78.4,991.4,250.2,16.3,18.5,88,18.9,21.6,87.5,10.1,16.9,59.6,0.06,0.11,-0.05,1.44,4.43,0.84,0.06,4.31,Matches
184,Ben Godfrey,,eng ENG,DF,Everton,24-079,1998,19.5,28.4,36.8,77.1,534.7,189.3,10.6,12.4,85.5,14,17.5,79.8,3.23,5.54,58.3,0,0.04,-0.04,0.62,2.05,0.67,0.36,1.74,Matches
185,Andre Gomes,,pt POR,MF,Everton,28-248,1993,5.6,33.8,44.3,76.2,611.8,185.2,15.7,18.8,83.8,12.9,15,85.7,4.11,7.68,53.5,0.18,0.04,0.14,0.71,4.64,0.54,0,3.39,Matches
186,Toti Gomes,,pt POR,DF,Wolves,23-078,1999,2,26.5,41.5,63.9,474.5,180.5,10.5,11.5,91.3,13,18,72.2,2,10.5,19,0,0,0,0,2,0,0,1.5,Matches
187,Joe Gomez,,eng ENG,DF,Liverpool,24-316,1997,2.2,67.3,81.8,82.2,1378.6,349.5,22.3,25.9,86,33.2,40,83,10.9,13.6,80,0.45,0.14,0.32,0.91,5.91,1.36,0.91,6.36,Matches
188,Charlie Goode,,eng ENG,DF,Brentford,26-244,1995,5,38,60,63.3,943.4,291,7,10.6,66,19.4,28,69.3,11.4,19.8,57.6,0,0.06,-0.06,1.4,3.2,0.4,0.2,2.4,Matches
189,Anthony Gordon,,eng ENG,MFFW,Everton,21-039,2001,16.9,20.9,30.8,67.9,339.2,99.8,11.1,13.8,79.9,6.51,8.7,74.8,2.25,5.27,42.7,0.12,0.11,0.01,1.12,1.12,0.95,0.41,2.6,Matches
190,Kaide Gordon,,eng ENG,FW,Liverpool,17-181,2004,0.1,40,40,100,500,0,20,20,100,0,0,,10,10,100,0,0,0,0,0,0,0,0,Matches
191,Dan Gosling,,eng ENG,MF,Watford,32-062,1990,0.2,25,35,71.4,305,30,20,25,80,5,5,100,0,5,0,0,0,0,0,0,0,0,0,Matches
192,Demarai Gray,,eng ENG,MFFW,Everton,25-280,1996,19.8,20.8,29.3,71,393.8,87.1,8.99,10.7,84.4,7.63,9.65,79.1,3.23,6.72,48.1,0.1,0.14,-0.04,1.57,0.91,1.01,0.3,1.67,Matches
193,Jack Grealish,,eng ENG,FW,Manchester City,26-206,1995,17.1,39.4,45.5,86.5,572.9,108.9,23.4,25.8,90.5,12.8,14.1,90.9,1.99,2.57,77.3,0.12,0.3,-0.18,2.57,1.23,1.81,0.18,3.51,Matches
194,Mason Greenwood,,eng ENG,FWMF,Manchester Utd,20-185,2001,14.1,28.2,35.7,78.8,520.9,115.5,13.1,15.2,86.4,11.6,13.8,84.1,3.05,5.32,57.3,0.07,0.11,-0.04,1.06,1.84,0.92,0.21,2.55,Matches
195,Sam Greenwood,,eng ENG,FWMF,Leeds United,20-068,2002,0.9,23.3,27.8,84,345.6,77.8,7.78,10,77.8,8.89,8.89,100,2.22,3.33,66.7,1.11,0.22,0.89,1.11,1.11,0,0,2.22,Matches
196,Pascal Gross,,de GER,MFDF,Brighton,30-293,1991,16.3,48,63.4,75.6,954.2,270.3,19.5,22.1,88.1,19.8,24,82.1,8.1,14.8,54.5,0.18,0.21,-0.03,2.64,3.8,1.53,0.74,4.66,Matches
197,Vicente Guaita,,es ESP,GK,Crystal Palace,35-084,1987,23.5,25.1,31.4,79.9,668.6,343.7,6.51,6.51,100,10.4,10.5,99.6,7.74,14,55.3,0,0,0,0,0.09,0,0,0,Matches
198,Marc Guehi,,eng ENG,DF,Crystal Palace,21-265,2000,28,53.1,61,87,1127.6,367.1,14.6,15.6,93.6,31,33.3,93,7.25,11.5,63.2,0,0.01,-0.01,0.11,3.46,0.07,0,2.96,Matches
199,Bruno Guimaraes,,br BRA,MF,Newcastle Utd,24-139,1997,3.6,45.6,53.3,85.4,950.3,198.3,17.8,19.7,90.1,15.6,17.8,87.5,10.6,12.2,86.4,0,0.14,-0.14,0.83,3.61,1.94,0.28,4.17,Matches
200,?lkay Gundogan,,de GER,MF,Manchester City,31-162,1990,16,51.7,60.2,85.9,899.5,182.7,26.2,27.9,93.7,18.6,20.8,89.2,5.88,9,65.3,0.25,0.24,0.01,1.88,3.13,1.5,0.13,3.81,Matches
201,Angus Gunn,,eng ENG,GK,Norwich City,26-072,1996,7,22.3,32,69.6,691.6,361.7,5.43,5.43,100,7,7.14,98,9.71,19.3,50.4,0,0,0,0,0.14,0,0,0,Matches
202,Grant Hanley,,sct SCO,DF,Norwich City,30-135,1991,24.2,33.8,40,84.6,749.2,179.1,8.93,10.1,88.5,17.4,18.8,92.1,7.02,10.1,69.7,0,0.01,-0.01,0.12,0.87,0.08,0,0.95,Matches
203,Jack Harrison,,eng ENG,FWMF,Leeds United,25-135,1996,22.9,22.9,35.8,64,359.9,129.2,13.4,16.8,79.7,7.03,11,64.1,1.88,5.2,36.1,0.04,0.1,-0.06,1.62,1.31,1.62,0.39,3.8,Matches
204,Kortney Hause,,eng ENG,DF,Aston Villa,26-262,1995,4.4,36.8,46.8,78.6,797.5,225.5,12,13.2,91.4,17,20.5,83.3,7.5,12.3,61.1,0,0,0,0,1.82,0,0,1.36,Matches
205,Kai Havertz,,de GER,FWMF,Chelsea,22-297,1999,15.5,26.3,32.1,81.9,363.5,63,16.6,18.6,89.6,6.45,8.52,75.8,1.55,1.87,82.8,0.13,0.08,0.05,0.65,1.35,0.71,0.06,2,Matches
206,Isaac Hayden,,eng ENG,MFDF,Newcastle Utd,27-013,1995,11.1,23,28.6,80.2,419.5,82.2,10,11.7,85.4,10.3,12.1,85.1,2.52,3.69,68.3,0,0.01,-0.01,0.18,1.71,0.09,0.09,0.81,Matches
207,Hwang Hee-chan,,kr KOR,FWMF,Wolves,26-068,1996,15.3,25.2,31,81.1,420.5,64.6,13.5,16.1,83.7,8.56,9.8,87.3,2.61,3.59,72.7,0.07,0.09,-0.03,0.65,1.31,0.52,0,1.44,Matches
208,Jordan Henderson,,eng ENG,MF,Liverpool,31-291,1990,23.3,61.9,74.8,82.7,1175.5,282.1,25.6,28.4,90.2,26.9,31.2,86.2,8.37,12.3,68.2,0.21,0.15,0.06,1.42,6.74,1.8,0.43,6.01,Matches
209,Jeff Hendrick,,ie IRL,MF,Newcastle Utd,30-063,1992,0.8,30,33.8,88.9,565,37.5,12.5,13.8,90.9,13.8,13.8,100,3.75,5,75,0,0,0,1.25,2.5,0,0,1.25,Matches
210,Wayne Hennessey,,wls WAL,GK,Burnley,35-070,1987,2,20,40,50,1059.5,925,0.5,0.5,100,4,4,100,15.5,35.5,43.7,0,0.05,-0.05,1.5,2.5,0,0,0,Matches
211,Rico Henry,,eng ENG,DF,Brentford,24-270,1997,24.2,25.4,35.8,70.9,419.5,133.4,12.5,14.8,84.1,9.92,13,76.2,2.31,5.25,44.1,0,0.03,-0.03,0.45,1.69,0.58,0.29,2.36,Matches
212,Son Heung-min,,kr KOR,FWMF,Tottenham,29-270,1992,25.9,29.7,38.4,77.5,458.9,108,17.1,18.8,90.8,9.23,10.9,84.5,2.47,6.45,38.3,0.23,0.27,-0.04,2.12,1.04,1.35,0.12,2.28,Matches
213,Ki-Jana Hoever,,nl NED,DF,Wolves,20-076,2002,3.4,33.2,46.8,71.1,574.4,190.3,15,18.2,82.3,15.3,21.2,72.2,2.35,4.12,57.1,0,0,0,0.29,1.18,0.59,0.29,2.35,Matches
214,Rob Holding,,eng ENG,DF,Arsenal,26-196,1995,4.8,41.9,48.5,86.3,866.5,184.6,12.1,13.1,92.1,23.3,24.6,94.9,6.04,10,60.4,0,0,0,0,0.63,0,0,1.46,Matches
215,Mason Holgate,,eng ENG,DF,Everton,25-164,1996,15.8,29.1,40,72.8,687.2,224.6,7.85,9.24,84.9,13.7,17.2,79.4,7.22,12.9,55.9,0,0,0,0,1.71,0.06,0,1.65,Matches
216,Callum Hudson-Odoi,,eng ENG,FWMF,Chelsea,21-148,2000,10.7,29.3,36.7,79.6,463.5,101.2,16.2,18.8,86.1,10.1,12.3,81.8,2.06,3.83,53.7,0.19,0.21,-0.03,2.24,0.84,1.87,0.47,2.9,Matches
217,Will Hughes,,eng ENG,MF,Crystal Palace,26-352,1995,9.1,36.9,45.6,81,700.3,154.3,15.3,17.5,87.4,16.3,17.8,91.4,4.73,8.57,55.1,0.11,0.07,0.04,0.77,2.2,0.77,0.33,2.31,Matches
218,Pierre Hojbjerg,,dk DEN,MF,Tottenham,26-242,1995,27.5,62.5,70.3,88.9,1201.3,314,24.9,27,92.5,28.5,31.1,91.8,8.18,10.8,75.8,0.07,0.07,0,0.8,6.36,1.02,0.07,5.6,Matches
219,Adam Idah,,ie IRL,FWMF,Norwich City,21-024,2001,6.9,13.9,20.6,67.6,239.1,46.7,6.38,9.57,66.7,5.8,7.25,80,1.16,1.74,66.7,0.14,0.09,0.06,0.58,1.01,0.58,0.29,1.01,Matches
220,Kelechi Iheanacho,,ng NGA,FW,Leicester City,25-183,1996,10.2,21.2,27.4,77.4,301.9,69.1,12,14.1,84.7,6.76,8.24,82.1,1.08,2.35,45.8,0.49,0.25,0.25,1.47,1.47,0.98,0.1,2.75,Matches
221,Danny Ings,,eng ENG,FW,Aston Villa,29-255,1992,16.9,12.3,18.1,68,174.6,41.1,7.63,9.82,77.7,2.78,4.26,65.3,1.07,2.01,52.9,0.3,0.09,0.2,0.65,0.77,0.65,0.18,1.3,Matches
222,Tim Iroegbunam,,eng ENG,MF,Aston Villa,18-278,2003,0.1,40,40,100,820,240,10,10,100,30,30,100,0,0,,0,0,0,0,0,0,0,0,Matches
223,Alex Iwobi,,ng NGA,MFFW,Everton,25-336,1996,12.6,24.5,31,79.2,409,126.1,12.4,14,88.6,8.73,10.9,80.3,2.38,3.97,60,0.08,0.13,-0.06,1.75,2.38,1.35,0.32,3.33,Matches
224,Daniel James,,wls WAL,FW,Manchester Utd,24-145,1997,1.4,15.7,22.9,68.8,166.4,25.7,12.9,17.1,75,2.14,3.57,60,0,0.71,0,0,0,0,0.71,0,0,0,0,Matches
225,Daniel James,,wls WAL,FWMF,Leeds United,24-145,1997,23.1,12.9,19.8,65,194,51.4,6.93,9.05,76.6,4.5,6.71,67.1,0.87,1.99,43.5,0.13,0.1,0.03,0.91,0.69,0.78,0.04,1.9,Matches
226,Reece James,,eng ENG,DF,Chelsea,22-117,1999,13.5,63.6,74.8,85,1064.6,283.9,32.4,35,92.4,24.4,28.4,85.9,5.93,8.52,69.6,0.44,0.32,0.13,2.37,2.74,2.44,0.52,5.78,Matches
