,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Cmp Total,Att Total,Cmp% Total,TotDist,PrgDist,Cmp Short,Att Short,Cmp% Short,Cmp Medium,Att Medium,Cmp% Medium,Cmp Long,Att Long,Cmp% Long,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
25,Pierre-Emerick Aubameyang,,ga GAB,FW,Arsenal,32-290,1989,11.5,12.6,17.8,70.7,175.3,33.3,8.17,10.2,80.3,3.48,5.39,64.5,0.7,1.22,57.1,0.09,0.07,0.02,0.78,0.35,0.87,0.09,1.13,Matches
26,Jordan Ayew,,gh GHA,FW,Crystal Palace,30-205,1991,17.3,26.4,34.7,75.9,404.5,78.4,14.9,16.8,88.7,9.13,11.4,79.8,1.68,3.82,43.9,0.17,0.13,0.05,1.1,1.21,0.81,0.29,1.97,Matches
27,Luke Ayling,,eng ENG,DF,Leeds United,30-222,1991,22,49.5,62.3,79.4,1055.3,443.2,17.5,19.8,88.1,22.6,25.9,87.5,9,15,60,0.09,0.03,0.06,0.27,4.23,0.45,0.14,5.05,Matches
28,Cesar Azpilicueta,,es ESP,DF,Chelsea,32-219,1989,16.9,60.7,73.6,82.5,1020.6,399.6,29.3,32.5,90.2,27.2,31.2,87.1,3.73,7.69,48.5,0.12,0.11,0.01,0.89,4.08,0.95,0.06,5.5,Matches
29,Daniel Bachmann,,at AUT,GK,Watford,27-269,1994,11,17.6,29.8,59.1,671.5,458.6,1.82,1.82,100,6.91,7.18,96.2,8.91,20.8,42.8,0,0,0,0,0.82,0,0,0,Matches
30,Leon Bailey,,jm JAM,FWMF,Aston Villa,24-238,1997,6.8,18.7,27.9,66.8,331.9,74.1,8.53,10,85.3,6.62,9.56,69.2,2.65,6.18,42.9,0.29,0.09,0.21,1.03,0.59,1.32,0.44,2.35,Matches
31,Eric Bailly,,ci CIV,DF,Manchester Utd,27-357,1994,2.4,26.7,33.3,80,568.8,191.3,10,10.8,92.3,10.8,12.5,86.7,5.83,9.17,63.6,0,0,0,0,0.83,0,0,1.25,Matches
32,Folarin Balogun,,eng ENG,FW,Arsenal,20-275,2001,0.8,5,10,50,75,7.5,2.5,5,50,2.5,3.75,66.7,0,1.25,0,0,0,0,0,0,0,0,0,Matches
33,Patrick Bamford,,eng ENG,FW,Leeds United,28-211,1993,6.2,13.7,16.6,82.5,217.6,34,7.74,8.55,90.6,4.19,5,83.9,1.45,2.1,69.2,0.32,0.16,0.16,0.97,0.97,0.81,0.32,1.13,Matches
34,Shandon Baptiste,,gd GRN,MF,Brentford,23-361,1998,9.8,23.8,28.7,82.9,416,81.7,11.5,13.2,87.6,8.98,10.5,85.4,2.65,3.67,72.2,0.1,0.05,0.05,0.92,2.14,0.61,0.1,2.04,Matches
35,Ross Barkley,,eng ENG,MF,Chelsea,28-120,1993,1.7,52.9,64.7,81.8,882.4,201.2,29.4,32.4,90.9,15.3,18.8,81.3,6.47,8.24,78.6,0,0.29,-0.29,4.12,3.53,3.53,0,5.88,Matches
36,Ashley Barnes,,eng ENG,FW,Burnley,32-156,1989,4.8,14.4,21.5,67,206.7,56.7,9.58,12.5,76.7,3.54,5.21,68,1.04,2.08,50,0,0.17,-0.17,1.46,1.88,0.63,0,1.88,Matches
37,Harvey Barnes,,eng ENG,FWMF,Leicester City,24-116,1997,18.4,22.5,30.7,73.3,318.8,96.2,14,16.7,84,6.63,9.46,70.1,1.09,2.45,44.4,0.33,0.14,0.18,1.2,1.2,0.98,0.11,3.21,Matches
38,Lewis Bate,,eng ENG,MF,Leeds United,19-157,2002,0.5,30,38,78.9,362,62,24,30,80,6,6,100,0,2,0,0,0,0,0,0,0,0,2,Matches
39,Mads Bech Sorensen,,dk DEN,DF,Brentford,23-087,1999,4.2,42.9,57.1,75,857.6,353.6,14,16.4,85.5,22.4,26.4,84.7,5.71,12.4,46.2,0,0.02,-0.02,0.71,3.1,0.48,0.48,1.19,Matches
40,Jan Bednarek,,pl POL,DF,Southampton,25-357,1996,23.2,43.1,51.6,83.6,882.2,262.9,14.4,15.8,91,22.5,24.8,90.6,5.78,10.1,57.3,0,0.03,-0.03,0.22,2.76,0.04,0.04,1.72,Matches
41,Donny van de Beek,,nl NED,MF,Everton,24-351,1997,4.8,40.4,48.1,84,628.8,185.4,20.6,23.3,88.4,16,17.7,90.6,2.08,4.58,45.5,0,0.02,-0.02,0.42,3.13,0.63,0,2.92,Matches
42,Donny van de Beek,,nl NED,MF,Manchester Utd,24-351,1997,0.8,31.3,40,78.1,481.3,230,17.5,22.5,77.8,10,12.5,80,2.5,2.5,100,0,0.63,-0.63,3.75,2.5,2.5,0,3.75,Matches
43,Asmir Begovic,,ba BIH,GK,Everton,34-288,1987,2,10.5,27.5,38.2,497,387.5,0.5,0.5,100,2.5,2.5,100,7.5,24.5,30.6,0,0,0,0,0.5,0,0,0,Matches
44,Said Benrahma,,dz ALG,FWMF,West Ham,26-237,1995,20.8,25.8,34.4,75,411.2,95.3,15,17.5,85.7,8.08,10.4,77.4,2.07,4.09,50.6,0.29,0.14,0.15,1.3,1.49,1.39,0.48,2.64,Matches
45,Rodrigo Bentancur,,uy URU,MF,Tottenham,24-303,1997,7.6,65.7,73.2,89.7,1225.8,258.3,27,28.6,94.5,28.8,31.6,91.3,8.68,10.1,85.7,0.13,0.11,0.03,0.92,5.79,0.39,0,5.53,Matches
46,Christian Benteke,,be BEL,FW,Crystal Palace,31-122,1990,12.4,16,22.7,70.2,243.9,44.1,9.11,11.9,76.4,4.68,7.34,63.7,1.45,2.1,69.2,0.08,0.09,-0.01,0.81,0.81,0.73,0,1.29,Matches
47,Johann Berg Gudmundsson,,is ISL,MF,Burnley,31-159,1990,12.2,17.9,28.3,63.2,285.8,74,11,13.5,81.2,4.75,7.3,65.2,1.8,5.16,34.9,0.08,0.02,0.06,0.49,0.49,0.98,0.9,1.07,Matches
48,Steven Bergwijn,,nl NED,FWMF,Tottenham,24-178,1997,5.6,23.2,28,82.8,319.1,70.5,15.2,16.6,91.4,5.71,7.14,80,1.07,1.79,60,0.18,0.11,0.07,1.25,1.25,1.43,0,2.32,Matches
49,Ryan Bertrand,,eng ENG,DF,Leicester City,32-242,1989,3.7,41.6,51.6,80.6,705.1,291.1,20.3,21.9,92.6,17.6,21.1,83.3,2.43,4.86,50,0,0.08,-0.08,0.54,2.97,0.27,0,1.89,Matches
50,Mads Bidstrup,,dk DEN,MF,Brentford,21-038,2001,0.5,16,22,72.7,284,34,10,12,83.3,4,8,50,2,2,100,0,0,0,0,0,0,0,0,Matches
51,Yves Bissouma,,ml MLI,MF,Brighton,25-217,1996,18.1,46.6,52,89.6,873.4,152.8,19.8,21.8,90.9,20.3,21.8,92.9,5.97,7.29,81.8,0.06,0.03,0.02,0.33,2.93,0.55,0,2.21,Matches
52,Willy Boly,,ci CIV,DF,Wolves,31-060,1991,3,53.7,65,82.6,1109,445.3,17.3,19,91.2,26.7,30,88.9,9,15,60,0,0,0,0,2.33,0,0,2.67,Matches
53,Jarrod Bowen,,eng ENG,FW,West Ham,25-105,1996,26.9,18.2,26.8,67.8,343,94.6,8.81,11,80.3,5.54,7.55,73.4,3.31,6.28,52.7,0.3,0.19,0.1,1.38,0.97,0.78,0.15,1.6,Matches
54,Jarrad Branthwaite,,eng ENG,DF,Everton,19-281,2002,2.1,25.2,34.3,73.6,410.5,188.6,13.8,15.7,87.9,9.52,11.9,80,1.43,5.24,27.3,0,0,0,0,1.43,0.48,0,2.86,Matches
55,Armando Broja,,al ALB,FW,Southampton,20-206,2001,17.8,11.3,18.7,60.8,136.9,30.1,7.3,10.7,68.1,2.75,5.28,52.1,0.17,0.56,30,0,0.06,-0.06,0.39,0.79,0.11,0,0.84,Matches
56,Josh Brownhill,,eng ENG,MF,Burnley,26-106,1995,23.4,26.3,35.1,74.8,445.3,116.9,14.1,16.9,83.8,8.59,11.2,76.4,2.91,5.34,54.4,0.04,0.06,-0.02,1.07,2.56,0.51,0,2.78,Matches
57,Bryan,,es ESP,FWMF,Tottenham,21-052,2001,1,49,63,77.8,764,240,29,35,82.9,15,19,78.9,4,5,80,0,0.1,-0.1,2,1,3,2,2,Matches
58,Emi Buendia,,ar ARG,FWMF,Aston Villa,25-100,1996,17.3,31.2,40.1,77.7,497.7,138.2,16.4,19.4,84.2,11,13.4,82.7,2.54,4.68,54.3,0.23,0.23,0,2.08,2.77,1.79,0.17,5.03,Matches
59,Dan Burn,,eng ENG,DF,Newcastle Utd,29-330,1992,8,30.9,37.4,82.6,641,181.1,10,11.8,85.1,15.5,17.9,86.7,4.88,6.75,72.2,0.13,0.03,0.1,0.25,2.25,0.13,0,2.38,Matches
60,Dan Burn,,eng ENG,DF,Brighton,29-330,1992,11.4,44.5,54.6,81.4,972.4,257.1,10.9,13.2,82.1,24.2,27.4,88.5,8.77,12.7,69,0,0,0,0.09,3.77,0.18,0,3.16,Matches
61,Jack Butland,,eng ENG,GK,Crystal Palace,29-025,1993,5.5,24.4,34.2,71.3,578.4,281.1,7.27,7.27,100,12,12.4,97.1,5.09,14.5,35,0,0,0,0,0.18,0,0,0,Matches
62,Sam Byram,,eng ENG,DFMF,Norwich City,28-200,1993,4,32.8,46.5,70.4,511.3,191.5,18.3,23.3,78.5,12,16.8,71.6,2.25,5.25,42.9,0,0.03,-0.03,0.5,1,0.5,0,3.5,Matches
63,Willy Caballero,,ar ARG,GK,Southampton,40-188,1981,2,19.5,29.5,66.1,774,604.5,2,2,100,7,7,100,10.5,20.5,51.2,0,0,0,0,0,0,0,0,Matches
64,Dominic Calvert-Lewin,,eng ENG,FW,Everton,25-019,1997,9.3,13,20.2,64.4,160.3,31.2,8.39,11.9,70.3,2.8,4.95,56.5,0.65,0.97,66.7,0.11,0.08,0.03,0.86,0.75,0.32,0,0.75,Matches
65,Joao Cancelo,,pt POR,DF,Manchester City,27-312,1994,27.9,77.8,92.6,84.1,1401.8,420.3,37,40.1,92.2,31.4,36.2,86.7,8.82,14,63.1,0.18,0.12,0.06,1,8.17,2.72,0.36,7.85,Matches
66,Sergi Canos,,es ESP,DF,Brentford,25-061,1997,22.8,19.4,32.2,60.2,343.6,146.4,9.74,12.4,78.7,6.8,10.2,66.5,2.41,7.06,34.2,0.09,0.08,0,0.75,1.89,1.14,0.44,3.33,Matches
67,Todd Cantwell,,eng ENG,FWMF,Norwich City,24-036,1998,4.9,25.9,31.4,82.5,424.1,93.3,12.4,14.3,87.1,10.2,12.2,83.3,2.24,3.27,68.8,0,0.04,-0.04,0.41,1.84,0.41,0,2.04,Matches
68,Matty Cash,,pl POL,DF,Aston Villa,24-240,1997,29.5,29.1,41.9,69.4,552.1,223.4,12.2,14.2,86.2,12.2,15.5,79.2,3.97,10.6,37.3,0.1,0.06,0.04,0.71,1.83,0.85,0.41,2.47,Matches
69,Timothy Castagne,,be BEL,DF,Leicester City,26-120,1995,15.8,39.9,49.6,80.5,666.5,248.9,20.4,23.6,86.6,15.6,18.9,82.3,3.35,5.44,61.6,0,0.03,-0.03,0.44,2.09,0.44,0.06,2.78,Matches
70,Jonny Castro,,es ESP,DF,Wolves,28-032,1994,5,48.2,58.2,82.8,809.8,256.2,24.6,27.4,89.8,18.4,21.6,85.2,4.6,6.8,67.6,0,0.1,-0.1,1.4,2.2,1.2,0.4,3.4,Matches
71,Craig Cathcart,,nir NIR,DF,Watford,33-057,1989,24.3,28.6,35.1,81.5,672.6,187.9,7.08,7.98,88.7,15,17.1,87.7,6.46,9.59,67.4,0.04,0.01,0.03,0.08,1.73,0.21,0.04,1.65,Matches
72,Edinson Cavani,,uy URU,FW,Manchester Utd,35-049,1987,6.8,20.9,26.6,78.5,303.4,34.6,14,15.9,88,4.85,7.06,68.8,1.18,2.35,50,0.15,0.16,-0.01,0.59,0.44,0.15,0,0.74,Matches
73,Kayky Chagas,,br BRA,FW,Manchester City,18-297,2003,0.1,20,20,100,320,0,10,10,100,10,10,100,0,0,,0,0,0,0,0,0,0,0,Matches
74,Trevoh Chalobah,,eng ENG,DF,Chelsea,22-273,1999,13.1,62.8,69.3,90.6,1160.7,327.6,24.4,26.2,93.3,32.2,34.1,94.4,5.95,8.32,71.6,0.08,0.01,0.07,0.08,6.11,0.38,0,3.21,Matches
75,Calum Chambers,,eng ENG,DF,Arsenal,27-074,1995,1.9,42.6,51.6,82.7,788.9,257.9,18.4,20,92.1,18.9,22.1,85.7,5.26,8.95,58.8,0,0.05,-0.05,0.53,2.63,0.53,0.53,4.74,Matches
76,Calum Chambers,,eng ENG,DF,Aston Villa,27-074,1995,5,44.2,54.2,81.5,969.4,303.6,12.6,14.4,87.5,24,26.6,90.2,7.6,13,58.5,0,0,0,0,4,0.4,0,2.2,Matches
77,Daniel Chesters,,eng ENG,MF,West Ham,20-000,2002,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
78,Ben Chilwell,,eng ENG,DF,Chelsea,25-104,1996,6,44,57.2,77,699.7,191.2,22.2,24.3,91.1,18.2,21.8,83.2,2.67,7.83,34,0.17,0.15,0.02,1.67,1.17,1,0.17,2.17,Matches
79,Chiquinho,,pt POR,MFDF,Wolves,22-058,2000,0.6,25,41.7,60,395,190,16.7,21.7,76.9,5,10,50,3.33,6.67,50,1.67,0.17,1.5,3.33,1.67,3.33,3.33,5,Matches
80,Hamza Choudhury,,eng ENG,DFMF,Leicester City,24-185,1997,3.2,40.3,49.4,81.6,711.6,167.5,19.4,21.9,88.6,14.7,17.8,82.5,5.31,7.5,70.8,0,0,0,0,0.63,0,0,1.56,Matches
81,Andreas Christensen,,dk DEN,DF,Chelsea,25-359,1996,14.1,67.2,73.8,91.1,1366.5,392.5,22.1,23.6,93.4,33.3,35.7,93.1,11.1,13,84.8,0,0.01,-0.01,0.28,6.24,0.5,0.07,4.4,Matches
82,Carney Chukwuemeka,,eng ENG,MFFW,Aston Villa,18-087,2004,2.2,26.8,34.1,78.7,415.5,55.5,13.2,16.4,80.6,11.8,13.2,89.7,1.36,1.36,100,0.45,0.45,0,0.91,0.45,0,0,0.91,Matches
83,Ciaran Clark,,ie IRL,DF,Newcastle Utd,32-190,1989,11.3,24.4,30.8,79.3,471.9,140,7.96,9.12,87.4,13.2,15,88.2,2.83,5.84,48.5,0.09,0.03,0.06,0.35,1.06,0.09,0.09,1.33,Matches
84,Tom Cleverley,,eng ENG,MF,Watford,32-235,1989,15.3,26.9,36.5,73.8,460.5,141.6,13.3,15.4,86.8,9.35,11.7,79.9,3.2,7.65,41.9,0.13,0.1,0.03,1.18,2.55,0.65,0.26,2.61,Matches
85,Nathaniel Clyne,,eng ENG,DF,Crystal Palace,30-364,1991,6,34.3,44.7,76.9,591.5,211.3,15.2,17,89.2,16,20,80,2.67,6.33,42.1,0,0,0,0.17,1.5,0.5,0.17,1.17,Matches
