,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
34,Shandon Baptiste,,gd GRN,MF,Brentford,23-349,1998,9.8,1,12,4,33.3,1.23,0.41,0.08,0.25,18.9,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
35,Ross Barkley,,eng ENG,MF,Chelsea,28-108,1993,1.7,0,6,1,16.7,3.51,0.58,0,0,22.1,0,0,0,0.8,0.8,0.14,-0.8,-0.8,Matches
36,Ashley Barnes,,eng ENG,FW,Burnley,32-144,1989,4.7,0,8,3,37.5,1.69,0.64,0,0,12.9,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
37,Harvey Barnes,,eng ENG,FWMF,Leicester City,24-104,1997,17.4,3,47,19,40.4,2.7,1.09,0.06,0.16,15.6,0,0,0,4.7,4.7,0.1,-1.7,-1.7,Matches
38,Lewis Bate,,eng ENG,MF,Leeds United,19-145,2002,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
39,Mads Bech Sorensen,,dk DEN,DF,Brentford,23-075,1999,4.2,0,1,0,0,0.24,0,0,,8.9,0,0,0,0,0,0.05,0,0,Matches
40,Jan Bednarek,,pl POL,DF,Southampton,25-345,1996,22.2,3,16,6,37.5,0.72,0.27,0.19,0.5,7.1,0,0,0,2.2,2.2,0.13,0.8,0.8,Matches
41,Donny van de Beek,,nl NED,MF,Manchester Utd,24-339,1997,0.8,1,2,1,50,2.4,1.2,0.5,1,9.3,0,0,0,0.7,0.7,0.36,0.3,0.3,Matches
42,Donny van de Beek,,nl NED,MF,Everton,24-339,1997,4.8,0,4,0,0,0.84,0,0,,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
43,Asmir Begovi?,,ba BIH,GK,Everton,34-276,1987,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
44,Said Benrahma,,dz ALG,FWMF,West Ham,26-225,1995,19.9,6,54,18,33.3,2.71,0.9,0.11,0.33,18.9,3,0,0,4.1,4.1,0.08,1.9,1.9,Matches
45,Rodrigo Bentancur,,uy URU,MF,Tottenham,24-291,1997,6.8,0,4,0,0,0.59,0,0,,15.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
