,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
14,Marcos Alonso,,es ESP,DF,Chelsea,31-085,1990,16.1,50,3.11,37,7,2,3,1,0,7,0.44,5,1,0,1,0,0,Matches
15,Steven Alzate,,co COL,MF,Brighton,23-196,1998,4.5,7,1.56,7,0,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
16,Daniel Amartey,,gh GHA,DF,Leicester City,27-092,1994,16.7,11,0.66,10,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
17,Joachim Andersen,,dk DEN,DF,Crystal Palace,25-296,1996,23.4,22,0.94,18,1,0,1,0,2,3,0.13,2,0,0,1,0,0,Matches
18,Michail Antonio,,jm JAM,FW,West Ham,31-360,1990,27.6,87,3.15,58,0,9,9,6,5,14,0.51,8,0,1,3,1,1,Matches
19,Cameron Archer,,eng ENG,MFFW,Aston Villa,20-245,2001,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Alphonse Areola,,fr FRA,GK,West Ham,29-024,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Adam Armstrong,,eng ENG,FWMF,Southampton,25-041,1997,13.5,26,1.92,15,0,4,4,3,0,3,0.22,2,0,0,0,1,0,Matches
22,Stuart Armstrong,,sct SCO,MF,Southampton,29-358,1992,10.7,35,3.26,29,1,2,1,2,0,1,0.09,1,0,0,0,0,0,Matches
23,Kepa Arrizabalaga,,es ESP,GK,Chelsea,27-171,1994,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Harrison Ashby,,sct SCO,DF,West Ham,20-129,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Pierre-Emerick Aubameyang,,ga GAB,FW,Arsenal,32-278,1989,11.5,23,2,14,0,1,5,3,0,3,0.26,2,0,0,1,0,0,Matches
26,Jordan Ayew,,gh GHA,FW,Crystal Palace,30-193,1991,17.3,39,2.25,25,1,1,2,7,3,5,0.29,3,0,0,0,1,1,Matches
27,Luke Ayling,,eng ENG,DF,Leeds United,30-210,1991,21,19,0.91,13,0,0,6,0,0,3,0.14,0,0,0,3,0,0,Matches
28,Cesar Azpilicueta,,es ESP,DF,Chelsea,32-207,1989,15.9,34,2.13,32,0,1,1,0,0,8,0.5,6,0,1,1,0,0,Matches
29,Daniel Bachmann,,at AUT,GK,Watford,27-257,1994,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Leon Bailey,,jm JAM,FWMF,Aston Villa,24-226,1997,5.8,19,3.28,13,1,2,1,2,0,3,0.52,2,0,1,0,0,0,Matches
31,Eric Bailly,,ci CIV,DF,Manchester Utd,27-345,1994,2.4,1,0.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Folarin Balogun,,eng ENG,FW,Arsenal,20-263,2001,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Patrick Bamford,,eng ENG,FW,Leeds United,28-199,1993,6.2,12,1.93,9,0,1,0,1,1,3,0.48,2,0,1,0,0,0,Matches
34,Shandon Baptiste,,gd GRN,MF,Brentford,23-349,1998,9.8,17,1.74,13,0,1,1,0,2,2,0.2,1,0,0,0,0,1,Matches
35,Ross Barkley,,eng ENG,MF,Chelsea,28-108,1993,1.7,17,9.94,11,3,2,0,1,0,3,1.75,3,0,0,0,0,0,Matches
36,Ashley Barnes,,eng ENG,FW,Burnley,32-144,1989,4.7,14,2.96,9,0,0,2,2,1,0,0,0,0,0,0,0,0,Matches
37,Harvey Barnes,,eng ENG,FWMF,Leicester City,24-104,1997,17.4,42,2.41,33,0,6,2,1,0,8,0.46,6,0,0,2,0,0,Matches
38,Lewis Bate,,eng ENG,MF,Leeds United,19-145,2002,0.5,1,2.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Mads Bech Sorensen,,dk DEN,DF,Brentford,23-075,1999,4.2,5,1.18,2,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Jan Bednarek,,pl POL,DF,Southampton,25-345,1996,22.2,18,0.81,15,2,0,0,0,1,0,0,0,0,0,0,0,0,Matches
41,Donny van de Beek,,nl NED,MF,Manchester Utd,24-339,1997,0.8,5,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
42,Donny van de Beek,,nl NED,MF,Everton,24-339,1997,4.8,5,1.05,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Asmir Begovi?,,ba BIH,GK,Everton,34-276,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Said Benrahma,,dz ALG,FWMF,West Ham,26-225,1995,19.9,59,2.96,43,0,6,5,4,1,8,0.4,7,0,0,1,0,0,Matches
45,Rodrigo Bentancur,,uy URU,MF,Tottenham,24-291,1997,6.8,16,2.35,16,0,0,0,0,0,4,0.59,4,0,0,0,0,0,Matches
46,Christian Benteke,,be BEL,FW,Crystal Palace,31-110,1990,12.4,18,1.45,15,0,1,1,1,0,1,0.08,1,0,0,0,0,0,Matches
47,Johann Berg Gudmundsson,,is ISL,MF,Burnley,31-147,1990,12.2,19,1.55,14,0,1,1,2,1,2,0.16,2,0,0,0,0,0,Matches
48,Steven Bergwijn,,nl NED,FWMF,Tottenham,24-166,1997,5.5,17,3.08,12,1,2,1,1,0,3,0.54,1,0,1,0,1,0,Matches
49,Ryan Bertrand,,eng ENG,DF,Leicester City,32-230,1989,3.7,2,0.53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Mads Bidstrup,,dk DEN,MF,Brentford,21-026,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
51,Yves Bissouma,,ml MLI,MF,Brighton,25-205,1996,18.1,20,1.1,12,0,4,1,2,1,3,0.17,2,0,0,0,1,0,Matches
52,Willy Boly,,ci CIV,DF,Wolves,31-048,1991,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
53,Jarrod Bowen,,eng ENG,FW,West Ham,25-093,1996,26.2,80,3.06,43,18,7,7,3,2,17,0.65,8,4,2,1,2,0,Matches
54,Jarrad Branthwaite,,eng ENG,DF,Everton,19-269,2002,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
55,Armando Broja,,al ALB,FW,Southampton,20-194,2001,16.8,31,1.84,13,0,5,5,4,4,3,0.18,0,0,1,0,2,0,Matches
56,Josh Brownhill,,eng ENG,MF,Burnley,26-094,1995,22.4,43,1.92,29,8,2,1,1,2,2,0.09,0,1,1,0,0,0,Matches
57,Bryan,,es ESP,FWMF,Tottenham,21-040,2001,1,5,4.79,4,0,0,1,0,0,1,0.96,1,0,0,0,0,0,Matches
58,Emi Buendia,,ar ARG,FWMF,Aston Villa,25-088,1996,17.1,56,3.28,47,2,3,1,3,0,9,0.53,6,0,2,1,0,0,Matches
59,Dan Burn,,eng ENG,DF,Brighton,29-318,1992,11.4,5,0.44,4,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
60,Dan Burn,,eng ENG,DF,Newcastle Utd,29-318,1992,7,3,0.43,3,0,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
61,Jack Butland,,eng ENG,GK,Crystal Palace,29-013,1993,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Sam Byram,,eng ENG,DFMF,Norwich City,28-188,1993,3,6,1.99,5,0,0,1,0,0,1,0.33,1,0,0,0,0,0,Matches
63,Willy Caballero,,ar ARG,GK,Southampton,40-176,1981,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Dominic Calvert-Lewin,,eng ENG,FW,Everton,25-007,1997,8.5,21,2.48,13,1,1,1,4,1,3,0.35,2,0,0,0,1,0,Matches
65,Joao Cancelo,,pt POR,DF,Manchester City,27-300,1994,26.9,80,2.98,61,0,7,10,1,1,10,0.37,6,0,1,2,0,1,Matches
66,Sergi Canos,,es ESP,DF,Brentford,25-049,1997,22.8,35,1.54,28,2,2,2,1,0,5,0.22,4,0,0,1,0,0,Matches
67,Todd Cantwell,,eng ENG,FWMF,Norwich City,24-024,1998,4.9,5,1.02,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
68,Matty Cash,,pl POL,DF,Aston Villa,24-228,1997,28.5,47,1.65,32,4,3,2,5,1,7,0.25,4,2,1,0,0,0,Matches
69,Timothy Castagne,,be BEL,DF,Leicester City,26-108,1995,14.8,14,0.94,11,2,0,0,1,0,1,0.07,0,0,0,0,1,0,Matches
70,Jonny Castro,,es ESP,DF,Wolves,28-020,1994,4,8,2.02,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71,Craig Cathcart,,nir NIR,DF,Watford,33-045,1989,24.3,5,0.21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
72,Edinson Cavani,,uy URU,FW,Manchester Utd,35-037,1987,6.8,6,0.88,4,0,0,2,0,0,2,0.29,1,0,0,1,0,0,Matches
73,Kayky Chagas,,br BRA,FW,Manchester City,18-285,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Trevoh Chalobah,,eng ENG,DF,Chelsea,22-261,1999,13.1,5,0.38,5,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
75,Calum Chambers,,eng ENG,DF,Arsenal,27-062,1995,1.9,1,0.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
76,Calum Chambers,,eng ENG,DF,Aston Villa,27-062,1995,5,9,1.79,8,0,0,1,0,0,1,0.2,1,0,0,0,0,0,Matches
77,Daniel Chesters,,eng ENG,MF,West Ham,19-353,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Ben Chilwell,,eng ENG,DF,Chelsea,25-092,1996,6,21,3.5,11,7,1,1,0,1,1,0.17,0,1,0,0,0,0,Matches
79,Chiquinho,,pt POR,MFDF,Wolves,22-046,2000,0.6,4,7.06,2,1,1,0,0,0,1,1.76,1,0,0,0,0,0,Matches
80,Hamza Choudhury,,eng ENG,DFMF,Leicester City,24-173,1997,3.2,1,0.32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
81,Andreas Christensen,,dk DEN,DF,Chelsea,25-347,1996,14.1,6,0.42,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
82,Carney Chukwuemeka,,eng ENG,MFFW,Aston Villa,18-075,2004,2.2,3,1.39,3,0,0,0,0,0,1,0.46,1,0,0,0,0,0,Matches
83,Ciaran Clark,,ie IRL,DF,Newcastle Utd,32-178,1989,11.3,5,0.44,4,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
84,Tom Cleverley,,eng ENG,MF,Watford,32-223,1989,15.2,33,2.18,19,10,0,1,3,0,3,0.2,2,1,0,0,0,0,Matches
85,Nathaniel Clyne,,eng ENG,DF,Crystal Palace,30-352,1991,6,3,0.5,3,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
86,Conor Coady,,eng ENG,DF,Wolves,29-026,1993,29.8,6,0.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Seamus Coleman,,ie IRL,DF,Everton,33-163,1988,21.6,33,1.53,26,1,0,2,2,2,3,0.14,2,0,0,0,1,0,Matches
88,Nathan Collins,,ie IRL,DF,Burnley,20-327,2001,8.6,4,0.47,3,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
89,Aaron Connolly,,ie IRL,FW,Brighton,22-054,2000,1.7,2,1.15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Liam Cooper,,sct SCO,DF,Leeds United,30-205,1991,14.2,7,0.49,5,0,0,1,1,0,2,0.14,1,0,0,1,0,0,Matches
91,Jack Cork,,eng ENG,MF,Burnley,32-271,1989,9.8,6,0.61,5,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
92,Maxwel Cornet,,ci CIV,FWMF,Burnley,25-177,1996,12.2,13,1.07,8,1,0,2,2,0,2,0.16,1,0,0,0,1,0,Matches
93,Helder Costa,,ao ANG,MF,Leeds United,28-070,1994,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
94,Vladimir Coufal,,cz CZE,DF,West Ham,29-213,1992,18.7,38,2.04,28,7,0,1,1,1,5,0.27,5,0,0,0,0,0,Matches
95,Philippe Coutinho,,br BRA,MFFW,Aston Villa,29-284,1992,8.6,31,3.6,21,3,3,2,2,0,5,0.58,4,0,0,1,0,0,Matches
96,Aaron Cresswell,,eng ENG,DF,West Ham,32-098,1989,22.3,45,2.02,24,19,0,2,0,0,5,0.22,2,3,0,0,0,0,Matches
97,Charlie Cresswell,,eng ENG,DF,Leeds United,19-106,2002,1.6,1,0.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
98,Cucho,,co COL,FWMF,Watford,22-337,1999,11.3,38,3.38,25,4,4,3,1,1,6,0.53,3,1,0,1,0,1,Matches
99,Marc Cucurella,,es ESP,DF,Brighton,23-244,1998,25.3,55,2.17,47,5,1,1,0,1,1,0.04,1,0,0,0,0,0,Matches
100,Luke Cundle,,eng ENG,MF,Wolves,19-331,2002,0.9,2,2.14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
101,Patson Daka,,zm ZAM,FW,Leicester City,23-165,1998,8.5,16,1.88,15,0,0,1,0,0,5,0.59,4,0,0,1,0,0,Matches
102,Stuart Dallas,,nir NIR,DFMF,Leeds United,30-338,1991,28.9,57,1.97,34,16,2,1,2,2,3,0.1,2,0,0,0,0,1,Matches
103,Diogo Dalot,,pt POR,DF,Manchester Utd,23-005,1999,12.1,25,2.06,22,1,1,0,1,0,3,0.25,3,0,0,0,0,0,Matches
104,Karl Darlow,,eng ENG,GK,Newcastle Utd,31-166,1990,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Josh Dasilva,,eng ENG,MFFW,Brentford,23-151,1998,1.5,2,1.32,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
106,Ben Davies,,wls WAL,DF,Tottenham,28-333,1993,19.3,17,0.88,16,1,0,0,0,0,3,0.16,3,0,0,0,0,0,Matches
107,Tom Davies,,eng ENG,MF,Everton,23-266,1998,1.8,4,2.28,3,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
108,Keinan Davis,,eng ENG,FW,Aston Villa,24-038,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
109,Craig Dawson,,eng ENG,DF,West Ham,31-321,1990,23.9,9,0.38,5,0,1,3,0,0,4,0.17,3,0,0,1,0,0,Matches
110,Kevin De Bruyne,,be BEL,MF,Manchester City,30-268,1991,17.1,88,5.16,60,21,2,3,2,0,6,0.35,2,2,1,0,1,0,Matches
111,Troy Deeney,,eng ENG,FW,Watford,33-267,1988,0.3,1,3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
112,Liam Delap,,eng ENG,FW,Manchester City,19-043,2003,0.1,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
113,Fabian Delph,,eng ENG,MF,Everton,32-122,1989,2.8,2,0.72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Leander Dendoncker,,be BEL,MFFW,Wolves,26-342,1995,15.7,26,1.66,25,0,0,1,0,0,7,0.45,6,0,0,1,0,0,Matches
115,Emmanuel Dennis,,ng NGA,FWMF,Watford,24-128,1997,24.2,81,3.35,48,0,15,8,8,2,11,0.46,6,0,1,2,1,1,Matches
116,Kiernan Dewsbury Hall,,eng ENG,MF,Leicester City,23-198,1998,13.7,43,3.14,32,1,3,2,3,2,3,0.22,3,0,0,0,0,0,Matches
117,Ibrahima Diallo,,fr FRA,MF,Southampton,23-015,1999,8.4,24,2.86,21,0,2,0,1,0,3,0.36,3,0,0,0,0,0,Matches
118,Raphael Dias Belloli,,br BRA,MFFW,Leeds United,25-099,1996,25,102,4.09,56,20,11,8,5,2,7,0.28,4,0,2,0,1,0,Matches
119,Ruben Dias,,pt POR,DF,Manchester City,24-313,1997,23.7,26,1.1,24,0,0,1,0,1,4,0.17,3,0,0,1,0,0,Matches
120,Luis Diaz,,co COL,FW,Liverpool,25-069,1997,5.5,28,5.08,20,0,5,1,0,2,1,0.18,1,0,0,0,0,0,Matches
121,Eric Dier,,eng ENG,DF,Tottenham,28-067,1994,25.1,21,0.84,15,0,0,4,0,2,3,0.12,1,0,0,2,0,0,Matches
122,Lucas Digne,,fr FRA,DF,Aston Villa,28-246,1993,7.1,22,3.1,14,7,1,0,0,0,2,0.28,1,1,0,0,0,0,Matches
123,Lucas Digne,,fr FRA,DF,Everton,28-246,1993,13,33,2.54,22,9,1,0,1,0,0,0,0,0,0,0,0,0,Matches
124,Virgil van Dijk,,nl NED,DF,Liverpool,30-258,1991,27,18,0.67,13,0,0,5,0,0,5,0.19,4,0,0,1,0,0,Matches
125,Issa Diop,,fr FRA,DF,West Ham,25-073,1997,9,2,0.22,2,0,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches
126,Moussa Djenepo,,ml MLI,MF,Southampton,23-281,1998,4.9,16,3.29,12,0,2,1,1,0,1,0.21,1,0,0,0,0,0,Matches
127,Lewis Dobbin,,eng ENG,FWMF,Everton,19-079,2003,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Matt Doherty,,ie IRL,DF,Tottenham,30-066,1992,8.5,20,2.35,17,0,1,2,0,0,3,0.35,3,0,0,0,0,0,Matches
129,Gabriel Dos Santos,,br BRA,DF,Arsenal,24-094,1997,24.4,14,0.57,12,0,0,1,0,1,1,0.04,1,0,0,0,0,0,Matches
130,Abdoulaye Doucoure,,fr FRA,MF,Everton,29-081,1993,19.7,40,2.03,36,0,1,2,0,1,6,0.3,4,0,1,1,0,0,Matches
131,Kieran Dowell,,eng ENG,FWMF,Norwich City,24-164,1997,4,9,2.28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
132,Cody Drameh,,eng ENG,DF,Leeds United,20-105,2001,1.4,2,1.41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Martin Dubravka,,sk SVK,GK,Newcastle Utd,33-067,1989,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Shane Duffy,,ie IRL,DF,Brighton,30-081,1992,16,8,0.5,6,0,0,2,0,0,2,0.13,1,0,0,1,0,0,Matches
135,Paul Dummett,,wls WAL,DF,Newcastle Utd,30-178,1991,2.2,1,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Lewis Dunk,,eng ENG,DF,Brighton,30-122,1991,19.6,9,0.46,8,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
137,Ederson,,br BRA,GK,Manchester City,28-218,1993,28,4,0.14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
138,Odsonne Edouard,,fr FRA,FW,Crystal Palace,24-066,1998,14.1,33,2.34,22,0,3,5,0,3,3,0.21,2,0,0,1,0,0,Matches
139,Anthony Elanga,,se SWE,FW,Manchester Utd,19-330,2002,6.1,8,1.31,3,0,2,0,2,1,0,0,0,0,0,0,0,0,Matches
140,Harvey Elliott,,eng ENG,MF,Liverpool,18-353,2003,3.1,16,5.11,10,1,1,2,2,0,1,0.32,1,0,0,0,0,0,Matches
141,Mohamed Elneny,,eg EGY,MF,Arsenal,29-255,1992,2,4,2.05,4,0,0,0,0,0,1,0.51,1,0,0,0,0,0,Matches
142,Mohamed Elyounoussi,,no NOR,MF,Southampton,27-231,1994,16.8,41,2.45,32,0,2,5,1,1,4,0.24,2,0,0,2,0,0,Matches
143,Emerson,,br BRA,DF,Tottenham,23-068,1999,16.8,37,2.21,29,0,4,2,1,1,2,0.12,2,0,0,0,0,0,Matches
144,Christian Eriksen,,dk DEN,MF,Brentford,30-037,1992,2.4,9,3.7,6,3,0,0,0,0,3,1.23,2,1,0,0,0,0,Matches
145,Oghenekaro Etebo,,ng NGA,MF,Watford,26-134,1995,4.3,4,0.93,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
146,Jonny Evans,,nir NIR,DF,Leicester City,34-079,1988,8.7,4,0.46,3,1,0,0,0,0,2,0.23,1,1,0,0,0,0,Matches
147,Eberechi Eze,,eng ENG,MFFW,Crystal Palace,23-267,1998,1.6,2,1.27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Lukasz Fabianski,,pl POL,GK,West Ham,36-339,1985,29,3,0.1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
149,Fabinho,,br BRA,MF,Liverpool,28-151,1993,20.9,32,1.53,24,0,0,3,4,1,5,0.24,3,0,0,2,0,0,Matches
150,Kiko Femenia,,es ESP,DF,Watford,31-049,1991,17.8,28,1.57,21,7,0,0,0,0,6,0.34,5,1,0,0,0,0,Matches
151,Evan Ferguson,,ie IRL,MF,Brighton,17-155,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
152,Nathan Ferguson,,eng ENG,DF,Crystal Palace,21-168,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
153,Bruno Fernandes,,pt POR,MF,Manchester Utd,27-196,1994,25.6,116,4.52,92,13,3,3,2,3,9,0.35,8,0,1,0,0,0,Matches
154,Alvaro Fernandez,,es ESP,GK,Brentford,23-344,1998,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
155,Federico Fernandez,,ar ARG,DF,Newcastle Utd,33-030,1989,5.8,3,0.52,1,0,0,2,0,0,1,0.17,0,0,0,1,0,0,Matches
156,Fernandinho,,br BRA,MF,Manchester City,36-323,1985,6.8,22,3.25,17,0,0,3,2,0,4,0.59,4,0,0,0,0,0,Matches
157,Roberto Firmino,,br BRA,FW,Liverpool,30-172,1991,8.8,26,2.96,23,0,1,1,0,1,4,0.46,3,0,0,0,0,1,Matches
158,Junior Firpo,,es ESP,DF,Leeds United,25-213,1996,14.8,35,2.36,26,4,1,1,1,2,3,0.2,1,1,0,0,0,1,Matches
159,Ashley Fletcher,,eng ENG,FW,Watford,26-172,1995,0.3,2,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
160,Phil Foden,,eng ENG,FW,Manchester City,21-299,2000,17.9,58,3.25,40,10,1,6,1,0,9,0.5,6,1,0,2,0,0,Matches
161,Pablo Fornals,,es ESP,FWMF,West Ham,26-029,1996,24,69,2.87,53,5,4,4,2,1,6,0.25,4,1,0,1,0,0,Matches
162,Adam Forshaw,,eng ENG,MF,Leeds United,30-166,1991,16,27,1.69,26,0,0,1,0,0,1,0.06,1,0,0,0,0,0,Matches
163,Marcus Forss,,fi FIN,FWMF,Brentford,22-278,1999,2.3,2,0.86,1,0,0,1,0,0,1,0.43,0,0,0,1,0,0,Matches
164,Fraser Forster,,eng ENG,GK,Southampton,34-006,1988,12,1,0.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
165,Ben Foster,,eng ENG,GK,Watford,38-354,1983,18,6,0.33,6,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
166,Tariqe Fosu,,gh GHA,DF,Brentford,26-138,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
167,Ryan Fraser,,sct SCO,FWMF,Newcastle Utd,28-027,1994,15,44,2.94,27,7,0,4,5,1,6,0.4,3,1,0,1,1,0,Matches
168,Fred,,br BRA,MF,Manchester Utd,29-018,1993,19.6,50,2.55,41,0,1,1,4,3,8,0.41,6,0,0,0,1,1,Matches
169,Ryan Fredericks,,eng ENG,DF,West Ham,29-164,1992,1.4,1,0.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
170,Leo Fuhr Hjelde,,no NOR,DF,Leeds United,18-209,2003,1.7,3,1.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
171,Conor Gallagher,,eng ENG,MF,Crystal Palace,22-045,2000,24.4,76,3.11,37,19,3,7,8,2,12,0.49,8,0,2,0,1,1,Matches
172,Dwight Gayle,,eng ENG,FW,Newcastle Utd,31-157,1990,0.4,1,2.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
173,Jean-Philippe Gbamin,,ci CIV,MF,Everton,26-179,1995,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
174,David de Gea,,es ESP,GK,Manchester Utd,31-136,1990,29,3,0.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
175,Joe Gelhardt,,eng ENG,FWMF,Leeds United,19-323,2002,5.2,15,2.89,9,0,2,1,3,0,4,0.77,1,0,1,0,2,0,Matches
176,Anwar El Ghazi,,nl NED,FW,Everton,26-324,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
