Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Cmp Total,Att Total,Cmp% Total,TotDist,PrgDist,Cmp Short,Att Short,Cmp% Short,Cmp Medium,Att Medium,Cmp% Medium,Cmp Long,Att Long,Cmp% Long,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
23,Kepa Arrizabalaga,,es ESP,GK,Chelsea,27-171,1994,4,115,139,82.7,2763,1294,28,28,100,59,59,100,27,51,52.9,0,0,0,0,1,0,0,0,Matches
24,Harrison Ashby,,sct SCO,DF,West Ham,20-129,2001,0.1,7,8,87.5,142,18,2,2,100,4,5,80,1,1,100,0,0,0,0,0,0,0,0,Matches
25,Pierre-Emerick Aubameyang,,ga GAB,FW,Arsenal,32-278,1989,11.5,145,205,70.7,2016,383,94,117,80.3,40,62,64.5,8,14,57.1,1,0.8,0.2,9,4,10,1,13,Matches
26,Jordan Ayew,,gh GHA,FW,Crystal Palace,30-193,1991,17.3,456,601,75.9,6998,1357,258,291,88.7,158,198,79.8,29,66,43.9,3,2.2,0.8,19,21,14,5,34,Matches
27,Luke Ayling,,eng ENG,DF,Leeds United,30-210,1991,21,1043,1303,80,22412,9271,364,412,88.3,479,541,88.5,194,320,60.6,2,0.6,1.4,5,90,10,3,105,Matches
28,Cesar Azpilicueta,,es ESP,DF,Chelsea,32-207,1989,15.9,935,1140,82,15692,6171,450,499,90.2,425,491,86.6,54,115,47,2,1.9,0.1,15,61,16,1,84,Matches
29,Daniel Bachmann,,at AUT,GK,Watford,27-257,1994,11,194,328,59.1,7387,5045,20,20,100,76,79,96.2,98,229,42.8,0,0,0,0,9,0,0,0,Matches
30,Leon Bailey,,jm JAM,FWMF,Aston Villa,24-226,1997,5.8,114,170,67.1,2068,485,52,62,83.9,41,60,68.3,17,40,42.5,2,0.6,1.4,7,4,9,3,15,Matches
31,Eric Bailly,,ci CIV,DF,Manchester Utd,27-345,1994,2.4,64,80,80,1365,459,24,26,92.3,26,30,86.7,14,22,63.6,0,0,0,0,2,0,0,3,Matches
32,Folarin Balogun,,eng ENG,FW,Arsenal,20-263,2001,0.8,4,8,50,60,6,2,4,50,2,3,66.7,0,1,0,0,0,0,0,0,0,0,0,Matches
33,Patrick Bamford,,eng ENG,FW,Leeds United,28-199,1993,6.2,85,103,82.5,1349,211,48,53,90.6,26,31,83.9,9,13,69.2,2,1,1,6,6,5,2,7,Matches
34,Shandon Baptiste,,gd GRN,MF,Brentford,23-349,1998,9.8,233,281,82.9,4077,801,113,129,87.6,88,103,85.4,26,36,72.2,1,0.5,0.5,9,21,6,1,20,Matches
35,Ross Barkley,,eng ENG,MF,Chelsea,28-108,1993,1.7,90,110,81.8,1500,342,50,55,90.9,26,32,81.3,11,14,78.6,0,0.5,-0.5,7,6,6,0,10,Matches
36,Ashley Barnes,,eng ENG,FW,Burnley,32-144,1989,4.7,68,102,66.7,985,272,45,59,76.3,17,25,68,5,10,50,0,0.8,-0.8,7,9,3,0,9,Matches
37,Harvey Barnes,,eng ENG,FWMF,Leicester City,24-104,1997,17.4,388,530,73.2,5518,1655,242,286,84.6,112,162,69.1,20,44,45.5,6,2.6,3.4,21,21,18,2,56,Matches
38,Lewis Bate,,eng ENG,MF,Leeds United,19-145,2002,0.5,15,19,78.9,181,31,12,15,80,3,3,100,0,1,0,0,0,0,0,0,0,0,1,Matches
39,Mads Bech Sorensen,,dk DEN,DF,Brentford,23-075,1999,4.2,180,240,75,3602,1485,59,69,85.5,94,111,84.7,24,52,46.2,0,0.1,-0.1,3,13,2,2,5,Matches
40,Jan Bednarek,,pl POL,DF,Southampton,25-345,1996,22.2,974,1165,83.6,19950,5913,323,354,91.2,511,565,90.4,130,228,57,0,0.6,-0.6,5,62,1,1,40,Matches
41,Donny van de Beek,,nl NED,MF,Manchester Utd,24-339,1997,0.8,25,32,78.1,385,184,14,18,77.8,8,10,80,2,2,100,0,0.5,-0.5,3,2,2,0,3,Matches
42,Donny van de Beek,,nl NED,MF,Everton,24-339,1997,4.8,194,230,84.3,3020,892,99,111,89.2,77,85,90.6,10,22,45.5,0,0.1,-0.1,2,15,3,0,14,Matches
43,Asmir Begovi?,,ba BIH,GK,Everton,34-276,1987,2,21,55,38.2,994,775,1,1,100,5,5,100,15,49,30.6,0,0,0,0,1,0,0,0,Matches
44,Said Benrahma,,dz ALG,FWMF,West Ham,26-225,1995,19.9,505,672,75.1,8080,1885,294,345,85.2,155,200,77.5,43,82,52.4,6,2.7,3.3,26,30,27,10,53,Matches
45,Rodrigo Bentancur,,uy URU,MF,Tottenham,24-291,1997,6.8,445,495,89.9,8324,1694,184,194,94.8,191,209,91.4,61,70,87.1,1,0.8,0.2,6,38,3,0,39,Matches
46,Christian Benteke,,be BEL,FW,Crystal Palace,31-110,1990,12.4,198,282,70.2,3024,547,113,148,76.4,58,91,63.7,18,26,69.2,1,1.1,-0.1,10,10,9,0,16,Matches
47,Johann Berg Gudmundsson,,is ISL,MF,Burnley,31-147,1990,12.2,218,345,63.2,3487,903,134,165,81.2,58,89,65.2,22,63,34.9,1,0.3,0.7,6,6,12,11,13,Matches
48,Steven Bergwijn,,nl NED,FWMF,Tottenham,24-166,1997,5.5,128,155,82.6,1752,393,84,92,91.3,31,39,79.5,6,10,60,1,0.6,0.4,7,7,8,0,13,Matches
49,Ryan Bertrand,,eng ENG,DF,Leicester City,32-230,1989,3.7,154,191,80.6,2609,1077,75,81,92.6,65,78,83.3,9,18,50,0,0.3,-0.3,2,11,1,0,7,Matches
50,Mads Bidstrup,,dk DEN,MF,Brentford,21-026,2001,0.5,8,11,72.7,142,17,5,6,83.3,2,4,50,1,1,100,0,0,0,0,0,0,0,0,Matches
51,Yves Bissouma,,ml MLI,MF,Brighton,25-205,1996,18.1,844,942,89.6,15809,2766,359,395,90.9,367,395,92.9,108,132,81.8,1,0.6,0.4,6,53,10,0,40,Matches
52,Willy Boly,,ci CIV,DF,Wolves,31-048,1991,2,114,141,80.9,2265,829,41,46,89.1,54,62,87.1,17,30,56.7,0,0,0,0,7,0,0,6,Matches
53,Jarrod Bowen,,eng ENG,FW,West Ham,25-093,1996,26.2,477,704,67.8,9023,2455,230,285,80.7,145,199,72.9,88,167,52.7,8,5.1,2.9,36,24,21,4,40,Matches
54,Jarrad Branthwaite,,eng ENG,DF,Everton,19-269,2002,2.1,53,72,73.6,862,396,29,33,87.9,20,25,80,3,11,27.3,0,0,0,0,3,1,0,6,Matches
55,Armando Broja,,al ALB,FW,Southampton,20-194,2001,16.8,193,314,61.5,2322,512,123,179,68.7,47,89,52.8,3,10,30,0,1,-1,6,13,2,0,15,Matches
56,Josh Brownhill,,eng ENG,MF,Burnley,26-094,1995,22.4,597,796,75,10168,2672,317,378,83.9,197,255,77.3,68,125,54.4,1,1.5,-0.5,25,58,12,0,65,Matches
57,Bryan,,es ESP,FWMF,Tottenham,21-040,2001,1,49,63,77.8,764,240,29,35,82.9,15,19,78.9,4,5,80,0,0.1,-0.1,2,1,3,2,2,Matches
58,Emi Buendia,,ar ARG,FWMF,Aston Villa,25-088,1996,17.1,531,683,77.7,8496,2354,277,329,84.2,189,229,82.5,44,80,55,4,3.5,0.5,34,47,31,3,86,Matches
59,Dan Burn,,eng ENG,DF,Brighton,29-318,1992,11.4,507,623,81.4,11085,2931,124,151,82.1,276,312,88.5,100,145,69,0,0,0,1,43,2,0,36,Matches
60,Dan Burn,,eng ENG,DF,Newcastle Utd,29-318,1992,7,210,254,82.7,4427,1271,67,77,87,103,120,85.8,36,50,72,1,0.2,0.8,2,15,1,0,17,Matches
61,Jack Butland,,eng ENG,GK,Crystal Palace,29-013,1993,5.5,134,188,71.3,3181,1546,40,40,100,66,68,97.1,28,80,35,0,0,0,0,1,0,0,0,Matches
62,Sam Byram,,eng ENG,DFMF,Norwich City,28-188,1993,3,113,157,72,1810,659,61,76,80.3,42,57,73.7,9,20,45,0,0.1,-0.1,2,4,2,0,13,Matches
63,Willy Caballero,,ar ARG,GK,Southampton,40-176,1981,2,39,59,66.1,1548,1209,4,4,100,14,14,100,21,41,51.2,0,0,0,0,0,0,0,0,Matches
64,Dominic Calvert-Lewin,,eng ENG,FW,Everton,25-007,1997,8.5,108,170,63.5,1354,244,69,98,70.4,25,44,56.8,5,8,62.5,1,0.7,0.3,8,5,3,0,6,Matches
65,Joao Cancelo,,pt POR,DF,Manchester City,27-300,1994,26.9,2111,2504,84.3,38061,11461,1003,1085,92.4,852,979,87,241,379,63.6,5,3.3,1.7,27,225,75,10,216,Matches
66,Sergi Canos,,es ESP,DF,Brentford,25-049,1997,22.8,442,733,60.3,7849,3367,222,282,78.7,154,232,66.4,56,162,34.6,2,1.9,0.1,17,43,26,10,76,Matches
67,Todd Cantwell,,eng ENG,FWMF,Norwich City,24-024,1998,4.9,127,154,82.5,2078,457,61,70,87.1,50,60,83.3,11,16,68.8,0,0.2,-0.2,2,9,2,0,10,Matches
68,Matty Cash,,pl POL,DF,Aston Villa,24-228,1997,28.5,825,1195,69,15723,6401,347,403,86.1,346,436,79.4,114,309,36.9,3,1.8,1.2,21,51,24,11,70,Matches
69,Timothy Castagne,,be BEL,DF,Leicester City,26-108,1995,14.8,589,739,79.7,9807,3720,306,356,86,225,278,80.9,49,81,60.5,0,0.4,-0.4,6,30,7,1,42,Matches
70,Jonny Castro,,es ESP,DF,Wolves,28-020,1994,4,196,232,84.5,3240,991,104,117,88.9,72,83,86.7,19,25,76,0,0.3,-0.3,6,9,6,2,15,Matches
71,Craig Cathcart,,nir NIR,DF,Watford,33-045,1989,24.3,695,853,81.5,16345,4566,172,194,88.7,364,415,87.7,157,233,67.4,1,0.3,0.7,2,42,5,1,40,Matches
72,Edinson Cavani,,uy URU,FW,Manchester Utd,35-037,1987,6.8,142,181,78.5,2063,235,95,108,88,33,48,68.8,8,16,50,1,1.1,-0.1,4,3,1,0,5,Matches
73,Kayky Chagas,,br BRA,FW,Manchester City,18-285,2003,0.1,2,2,100,32,0,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,Matches
74,Trevoh Chalobah,,eng ENG,DF,Chelsea,22-261,1999,13.1,823,908,90.6,15205,4292,320,343,93.3,422,447,94.4,78,109,71.6,1,0.1,0.9,1,80,5,0,42,Matches
75,Calum Chambers,,eng ENG,DF,Arsenal,27-062,1995,1.9,81,98,82.7,1499,490,35,38,92.1,36,42,85.7,10,17,58.8,0,0.1,-0.1,1,5,1,1,9,Matches
76,Calum Chambers,,eng ENG,DF,Aston Villa,27-062,1995,5,221,271,81.5,4847,1518,63,72,87.5,120,133,90.2,38,65,58.5,0,0,0,0,20,2,0,11,Matches
77,Daniel Chesters,,eng ENG,MF,West Ham,19-353,2002,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
78,Ben Chilwell,,eng ENG,DF,Chelsea,25-092,1996,6,264,343,77,4198,1147,133,146,91.1,109,131,83.2,16,47,34,1,0.9,0.1,10,7,6,1,13,Matches
79,Chiquinho,,pt POR,MFDF,Wolves,22-046,2000,0.6,15,25,60,237,114,10,13,76.9,3,6,50,2,4,50,1,0.1,0.9,2,1,2,2,3,Matches
80,Hamza Choudhury,,eng ENG,DFMF,Leicester City,24-173,1997,3.2,129,158,81.6,2277,536,62,70,88.6,47,57,82.5,17,24,70.8,0,0,0,0,2,0,0,5,Matches
81,Andreas Christensen,,dk DEN,DF,Chelsea,25-347,1996,14.1,947,1040,91.1,19268,5534,311,333,93.4,469,504,93.1,156,184,84.8,0,0.3,-0.3,4,88,7,1,62,Matches
82,Carney Chukwuemeka,,eng ENG,MFFW,Aston Villa,18-075,2004,2.2,59,75,78.7,914,122,29,36,80.6,26,29,89.7,3,3,100,1,1,0,2,1,0,0,2,Matches
83,Ciaran Clark,,ie IRL,DF,Newcastle Utd,32-178,1989,11.3,276,348,79.3,5333,1582,90,103,87.4,149,169,88.2,32,66,48.5,1,0.3,0.7,4,12,1,1,15,Matches
84,Tom Cleverley,,eng ENG,MF,Watford,32-223,1989,15.2,410,555,73.9,6994,2165,204,235,86.8,142,176,80.7,48,117,41,2,1.5,0.5,18,39,10,4,40,Matches
85,Nathaniel Clyne,,eng ENG,DF,Crystal Palace,30-352,1991,6,206,268,76.9,3549,1268,91,102,89.2,96,120,80,16,38,42.1,0,0,0,1,9,3,1,7,Matches
86,Conor Coady,,eng ENG,DF,Wolves,29-026,1993,29.8,1136,1266,89.7,28654,8050,168,178,94.4,643,675,95.3,318,397,80.1,0,0,0,1,37,2,0,31,Matches
87,Seamus Coleman,,ie IRL,DF,Everton,33-163,1988,21.6,738,1000,73.8,12967,6207,352,400,88,298,408,73,80,167,47.9,0,1,-1,10,73,21,9,71,Matches
88,Nathan Collins,,ie IRL,DF,Burnley,20-327,2001,8.6,186,264,70.5,4049,1576,55,64,85.9,88,111,79.3,39,81,48.1,0,0.4,-0.4,3,17,1,0,17,Matches
89,Aaron Connolly,,ie IRL,FW,Brighton,22-054,2000,1.7,15,18,83.3,212,10,9,11,81.8,6,7,85.7,0,0,,0,0.4,-0.4,1,0,0,0,0,Matches
90,Liam Cooper,,sct SCO,DF,Leeds United,30-205,1991,14.2,743,848,87.6,16406,4883,189,205,92.2,425,446,95.3,125,187,66.8,1,0,1,2,32,0,0,34,Matches
91,Jack Cork,,eng ENG,MF,Burnley,32-271,1989,9.8,205,273,75.1,3433,845,111,140,79.3,60,77,77.9,27,41,65.9,0,0,0,2,15,1,0,13,Matches
92,Maxwel Cornet,,ci CIV,FWMF,Burnley,25-177,1996,12.2,162,249,65.1,2307,496,94,131,71.8,46,64,71.9,10,29,34.5,0,0.7,-0.7,7,6,7,2,15,Matches
93,Helder Costa,,ao ANG,MF,Leeds United,28-070,1994,0.2,4,4,100,65,0,3,3,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,Matches
94,Vladimir Coufal,,cz CZE,DF,West Ham,29-213,1992,18.7,733,1087,67.4,12672,6277,331,400,82.8,325,446,72.9,63,188,33.5,3,2.1,0.9,15,48,24,12,82,Matches
95,Philippe Coutinho,,br BRA,MFFW,Aston Villa,29-284,1992,8.6,281,343,81.9,4866,1288,149,168,88.7,93,109,85.3,33,49,67.3,3,2.4,0.6,16,37,6,1,31,Matches
96,Aaron Cresswell,,eng ENG,DF,West Ham,32-098,1989,22.3,1214,1528,79.5,21888,9521,545,591,92.2,523,602,86.9,131,284,46.1,3,2.7,0.3,32,94,19,7,127,Matches
97,Charlie Cresswell,,eng ENG,DF,Leeds United,19-106,2002,1.6,72,96,75,1599,476,17,19,89.5,42,46,91.3,13,30,43.3,0,0,0,0,3,0,0,5,Matches
98,Cucho,,co COL,FWMF,Watford,22-337,1999,11.3,228,353,64.6,4026,1446,114,148,77,72,105,68.6,34,68,50,2,1.9,0.1,19,19,13,6,28,Matches
99,Marc Cucurella,,es ESP,DF,Brighton,23-244,1998,25.3,1442,1767,81.6,24033,8452,738,812,90.9,560,651,86,116,213,54.5,1,2.3,-1.3,33,95,36,16,140,Matches
100,Luke Cundle,,eng ENG,MF,Wolves,19-331,2002,0.9,27,32,84.4,406,99,15,15,100,11,14,78.6,0,1,0,0,0.2,-0.2,1,3,1,0,3,Matches
101,Patson Daka,,zm ZAM,FW,Leicester City,23-165,1998,8.5,111,144,77.1,1581,280,69,84,82.1,34,43,79.1,4,5,80,3,1.4,1.6,7,6,3,0,12,Matches
102,Stuart Dallas,,nir NIR,DFMF,Leeds United,30-338,1991,28.9,1174,1472,79.8,20769,7451,571,629,90.8,447,524,85.3,131,253,51.8,1,2.2,-1.2,31,102,25,5,112,Matches
103,Diogo Dalot,,pt POR,DF,Manchester Utd,23-005,1999,12.1,576,725,79.4,11519,4203,232,272,85.3,255,295,86.4,87,141,61.7,0,0.4,-0.4,10,46,16,5,69,Matches
104,Karl Darlow,,eng ENG,GK,Newcastle Utd,31-166,1990,8,152,253,60.1,6707,4585,15,15,100,41,42,97.6,96,195,49.2,0,0,0,0,10,0,0,0,Matches
105,Josh Dasilva,,eng ENG,MFFW,Brentford,23-151,1998,1.5,27,37,73,504,148,11,12,91.7,14,19,73.7,2,5,40,0,0.1,-0.1,1,4,1,0,4,Matches
106,Ben Davies,,wls WAL,DF,Tottenham,28-333,1993,19.3,896,1059,84.6,16644,5632,340,373,91.2,479,530,90.4,69,123,56.1,1,0.5,0.5,6,76,11,0,73,Matches
107,Tom Davies,,eng ENG,MF,Everton,23-266,1998,1.8,46,59,78,730,174,21,22,95.5,19,23,82.6,3,6,50,0,0,0,0,2,1,0,7,Matches
108,Keinan Davis,,eng ENG,FW,Aston Villa,24-038,1998,0.1,3,3,100,49,30,1,1,100,2,2,100,0,0,,0,0,0,0,0,0,0,1,Matches
109,Craig Dawson,,eng ENG,DF,West Ham,31-321,1990,23.9,774,944,82,17968,5494,211,233,90.6,374,417,89.7,183,276,66.3,2,0.5,1.5,3,68,1,0,38,Matches
110,Kevin De Bruyne,,be BEL,MF,Manchester City,30-268,1991,17.1,834,1101,75.7,15686,4051,368,428,86,346,431,80.3,107,198,54,3,5.5,-2.5,57,83,42,5,106,Matches
111,Troy Deeney,,eng ENG,FW,Watford,33-267,1988,0.3,3,6,50,38,16,2,4,50,1,1,100,0,0,,0,0.1,-0.1,1,1,0,0,1,Matches
112,Liam Delap,,eng ENG,FW,Manchester City,19-043,2003,0.1,1,1,100,15,5,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
113,Fabian Delph,,eng ENG,MF,Everton,32-122,1989,2.8,106,125,84.8,2250,584,50,54,92.6,33,39,84.6,23,29,79.3,0,0,0,1,12,1,0,13,Matches
114,Leander Dendoncker,,be BEL,MFFW,Wolves,26-342,1995,15.7,530,607,87.3,9416,1816,238,270,88.1,220,244,90.2,59,68,86.8,2,0.9,1.1,10,28,4,0,29,Matches
115,Emmanuel Dennis,,ng NGA,FWMF,Watford,24-128,1997,24.2,351,530,66.2,5066,1392,216,284,76.1,96,143,67.1,23,44,52.3,5,2.5,2.5,27,18,17,5,45,Matches
116,Kiernan Dewsbury Hall,,eng ENG,MF,Leicester City,23-198,1998,13.7,560,726,77.1,9031,2247,297,342,86.8,204,256,79.7,46,95,48.4,2,1.7,0.3,21,52,17,3,48,Matches
117,Ibrahima Diallo,,fr FRA,MF,Southampton,23-015,1999,8.4,286,342,83.6,5088,1119,137,165,83,119,131,90.8,24,34,70.6,2,0.9,1.1,14,34,1,0,23,Matches
118,Raphael Dias Belloli,,br BRA,MFFW,Leeds United,25-099,1996,25,627,982,63.8,11666,4840,293,354,82.8,218,304,71.7,91,247,36.8,3,6.2,-3.2,57,76,40,8,140,Matches
119,Ruben Dias,,pt POR,DF,Manchester City,24-313,1997,23.7,1845,1956,94.3,39598,10190,509,533,95.5,1032,1063,97.1,301,347,86.7,3,2.1,0.9,11,157,4,0,93,Matches
120,Luis Diaz,,co COL,FW,Liverpool,25-069,1997,5.5,206,235,87.7,3021,618,132,141,93.6,59,73,80.8,11,12,91.7,0,1,-1,9,11,12,0,23,Matches
121,Eric Dier,,eng ENG,DF,Tottenham,28-067,1994,25.1,1363,1540,88.5,30313,10274,360,383,94,759,807,94.1,240,334,71.9,0,1.3,-1.3,6,75,7,0,72,Matches
122,Lucas Digne,,fr FRA,DF,Aston Villa,28-246,1993,7.1,300,409,73.3,4848,2068,169,186,90.9,96,133,72.2,28,66,42.4,1,0.6,0.4,11,13,10,5,31,Matches
123,Lucas Digne,,fr FRA,DF,Everton,28-246,1993,13,487,678,71.8,8548,4277,219,262,83.6,211,268,78.7,42,104,40.4,0,1.7,-1.7,20,29,12,4,49,Matches
124,Virgil van Dijk,,nl NED,DF,Liverpool,30-258,1991,27,1773,1956,90.6,40341,12907,451,487,92.6,963,1004,95.9,349,448,77.9,1,0.3,0.7,4,132,3,0,83,Matches
125,Issa Diop,,fr FRA,DF,West Ham,25-073,1997,9,309,359,86.1,6307,2121,98,104,94.2,168,184,91.3,42,70,60,1,0.1,0.9,1,13,0,0,13,Matches
126,Moussa Djenepo,,ml MLI,MF,Southampton,23-281,1998,4.9,105,143,73.4,1624,689,64,75,85.3,29,41,70.7,10,17,58.8,0,0.2,-0.2,6,10,8,2,22,Matches
127,Lewis Dobbin,,eng ENG,FWMF,Everton,19-079,2003,0.4,4,7,57.1,106,24,2,3,66.7,0,1,0,2,3,66.7,0,0,0,0,1,0,0,1,Matches
128,Matt Doherty,,ie IRL,DF,Tottenham,30-066,1992,8.5,407,498,81.7,6818,1830,207,233,88.8,160,188,85.1,34,56,60.7,4,1.8,2.2,14,20,11,4,35,Matches
129,Gabriel Dos Santos,,br BRA,DF,Arsenal,24-094,1997,24.4,1251,1397,89.5,26162,6807,359,382,94,701,732,95.8,176,258,68.2,0,0.7,-0.7,4,63,1,0,43,Matches
130,Abdoulaye Doucoure,,fr FRA,MF,Everton,29-081,1993,19.7,629,787,79.9,10626,2365,302,353,85.6,252,301,83.7,54,81,66.7,4,1.4,2.6,14,58,14,1,65,Matches
131,Kieran Dowell,,eng ENG,FWMF,Norwich City,24-164,1997,4,79,123,64.2,1312,290,48,60,80,21,30,70,8,25,32,0,0.6,-0.6,6,5,6,3,6,Matches
132,Cody Drameh,,eng ENG,DF,Leeds United,20-105,2001,1.4,60,77,77.9,927,398,39,44,88.6,18,23,78.3,3,4,75,0,0,0,1,3,2,1,6,Matches
133,Martin Dubravka,,sk SVK,GK,Newcastle Utd,33-067,1989,17,359,550,65.3,14419,10097,35,35,100,124,127,97.6,197,385,51.2,0,0,0,0,11,0,0,0,Matches
134,Shane Duffy,,ie IRL,DF,Brighton,30-081,1992,16,894,1007,88.8,20678,5681,171,184,92.9,541,578,93.6,180,237,75.9,0,0.1,-0.1,3,55,2,0,35,Matches
135,Paul Dummett,,wls WAL,DF,Newcastle Utd,30-178,1991,2.2,51,68,75,867,436,24,28,85.7,25,31,80.6,2,8,25,0,0,0,0,5,0,0,3,Matches
136,Lewis Dunk,,eng ENG,DF,Brighton,30-122,1991,19.6,1353,1484,91.2,31166,8148,304,325,93.5,758,794,95.5,281,351,80.1,0,0.2,-0.2,1,74,2,1,40,Matches
137,Ederson,,br BRA,GK,Manchester City,28-218,1993,28,739,828,89.3,19192,10764,147,147,100,377,377,100,212,300,70.7,0,0.1,-0.1,1,8,1,0,1,Matches
138,Odsonne Edouard,,fr FRA,FW,Crystal Palace,24-066,1998,14.1,252,349,72.2,3640,812,158,197,80.2,79,109,72.5,11,17,64.7,3,2.1,0.9,16,20,9,1,31,Matches
139,Anthony Elanga,,se SWE,FW,Manchester Utd,19-330,2002,6.1,177,217,81.6,2509,513,104,115,90.4,56,66,84.8,10,15,66.7,0,0.6,-0.6,3,6,5,3,11,Matches
140,Harvey Elliott,,eng ENG,MF,Liverpool,18-353,2003,3.1,176,208,84.6,2984,803,90,101,89.1,70,80,87.5,16,21,76.2,0,0.3,-0.3,5,20,7,1,29,Matches
141,Mohamed Elneny,,eg EGY,MF,Arsenal,29-255,1992,2,107,116,92.2,1987,399,46,49,93.9,40,43,93,18,18,100,1,0.2,0.8,4,16,1,0,2,Matches
142,Mohamed Elyounoussi,,no NOR,MF,Southampton,27-231,1994,16.8,352,497,70.8,5309,1225,215,266,80.8,112,158,70.9,18,45,40,1,1.9,-0.9,22,33,15,1,36,Matches
143,Emerson,,br BRA,DF,Tottenham,23-068,1999,16.8,798,995,80.2,12540,3928,453,506,89.5,283,348,81.3,49,94,52.1,1,1.7,-0.7,21,25,21,7,59,Matches
144,Christian Eriksen,,dk DEN,MF,Brentford,30-037,1992,2.4,104,146,71.2,2234,675,44,53,83,34,45,75.6,25,42,59.5,1,0.6,0.4,5,13,4,2,11,Matches
145,Oghenekaro Etebo,,ng NGA,MF,Watford,26-134,1995,4.3,138,154,89.6,3210,710,33,36,91.7,77,83,92.8,28,34,82.4,0,0.1,-0.1,2,11,3,1,11,Matches
146,Jonny Evans,,nir NIR,DF,Leicester City,34-079,1988,8.7,410,504,81.3,9273,3268,84,103,81.6,256,279,91.8,68,119,57.1,1,0.5,0.5,2,22,1,0,21,Matches
147,Eberechi Eze,,eng ENG,MFFW,Crystal Palace,23-267,1998,1.6,50,68,73.5,774,144,31,35,88.6,15,21,71.4,3,8,37.5,0,0.1,-0.1,1,2,1,0,3,Matches
148,Lukasz Fabianski,,pl POL,GK,West Ham,36-339,1985,29,473,759,62.3,18300,12202,42,42,100,156,157,99.4,274,557,49.2,0,0,0,1,8,0,0,0,Matches
149,Fabinho,,br BRA,MF,Liverpool,28-151,1993,20.9,1027,1169,87.9,18797,4340,417,461,90.5,483,526,91.8,106,140,75.7,1,0.7,0.3,12,116,13,1,86,Matches
150,Kiko Femenia,,es ESP,DF,Watford,31-049,1991,17.8,637,898,70.9,10583,4971,339,381,89,250,348,71.8,41,139,29.5,5,2,3,16,38,12,6,59,Matches
151,Evan Ferguson,,ie IRL,MF,Brighton,17-155,2004,0.3,6,7,85.7,98,5,3,4,75,1,1,100,1,1,100,0,0,0,0,0,1,1,0,Matches
152,Nathan Ferguson,,eng ENG,DF,Crystal Palace,21-168,2000,0.1,3,5,60,23,20,1,1,100,0,0,,0,2,0,0,0,0,0,0,0,0,0,Matches
153,Bruno Fernandes,,pt POR,MF,Manchester Utd,27-196,1994,25.6,1055,1451,72.7,20423,5854,476,551,86.4,399,510,78.2,165,328,50.3,6,7.9,-1.9,77,116,65,13,146,Matches
154,Alvaro Fernandez,,es ESP,GK,Brentford,23-344,1998,12,322,500,64.4,9413,5300,64,66,97,147,150,98,110,283,38.9,0,0,0,0,10,0,0,1,Matches
155,Federico Fernandez,,ar ARG,DF,Newcastle Utd,33-030,1989,5.8,183,214,85.5,4199,1503,41,46,89.1,109,114,95.6,33,53,62.3,0,0.3,-0.3,1,12,0,0,8,Matches
156,Fernandinho,,br BRA,MF,Manchester City,36-323,1985,6.8,446,499,89.4,8159,1953,187,205,91.2,210,224,93.8,44,62,71,1,0.8,0.2,8,55,15,1,38,Matches
157,Roberto Firmino,,br BRA,FW,Liverpool,30-172,1991,8.8,303,383,79.1,4564,997,172,190,90.5,101,135,74.8,18,24,75,3,2,1,13,19,7,0,25,Matches
158,Junior Firpo,,es ESP,DF,Leeds United,25-213,1996,14.8,635,765,83,11095,3849,276,314,87.9,303,347,87.3,48,83,57.8,1,1.7,-0.7,17,49,15,5,63,Matches
159,Ashley Fletcher,,eng ENG,FW,Watford,26-172,1995,0.3,3,9,33.3,74,28,0,6,0,2,2,100,1,1,100,0,0,0,0,2,0,0,1,Matches
160,Phil Foden,,eng ENG,FW,Manchester City,21-299,2000,17.9,707,876,80.7,11596,2356,401,443,90.5,235,274,85.8,62,122,50.8,3,4.6,-1.6,30,42,30,6,57,Matches
161,Pablo Fornals,,es ESP,FWMF,West Ham,26-029,1996,24,779,1036,75.2,14219,4748,359,415,86.5,299,379,78.9,101,177,57.1,2,3.6,-1.6,35,79,42,7,130,Matches
162,Adam Forshaw,,eng ENG,MF,Leeds United,30-166,1991,16,632,751,84.2,11790,2897,295,323,91.3,226,264,85.6,91,126,72.2,1,1.1,-0.1,13,57,8,0,53,Matches
163,Marcus Forss,,fi FIN,FWMF,Brentford,22-278,1999,2.3,24,41,58.5,380,110,16,22,72.7,3,11,27.3,4,6,66.7,1,0,1,0,4,1,0,5,Matches
164,Fraser Forster,,eng ENG,GK,Southampton,34-006,1988,12,243,395,61.5,8377,5317,32,33,97,103,105,98.1,107,255,42,0,0,0,0,4,0,0,0,Matches
165,Ben Foster,,eng ENG,GK,Watford,38-354,1983,18,312,615,50.7,13994,10552,19,20,95,90,94,95.7,203,501,40.5,1,0.1,0.9,1,29,2,0,0,Matches
