Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Cmp Total,Att Total,Cmp% Total,TotDist,PrgDist,Cmp Short,Att Short,Cmp% Short,Cmp Medium,Att Medium,Cmp% Medium,Cmp Long,Att Long,Cmp% Long,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
471,Luke Thomas,,eng ENG,DF,Leicester City,20-286,2001,17.2,818,1012,80.8,13029,4866,412,447,92.2,348,409,85.1,43,107,40.2,1,1.3,-0.3,9,55,10,0,57,Matches
472,Dominic Thompson,,eng ENG,DF,Brentford,21-240,2000,1.6,21,41,51.2,338,92,10,14,71.4,8,10,80,2,13,15.4,0,0,0,0,0,0,0,1,Matches
473,Youri Tielemans,,be BEL,MF,Leicester City,24-320,1997,20.1,941,1162,81,17418,4799,407,463,87.9,410,471,87,109,192,56.8,2,3.3,-1.3,29,100,20,3,112,Matches
474,Kieran Tierney,,sct SCO,DF,Arsenal,24-291,1997,21.3,904,1164,77.7,17193,5517,352,400,88,449,523,85.9,92,199,46.2,3,1.9,1.1,22,73,25,16,76,Matches
475,Takehiro Tomiyasu,,jp JPN,DF,Arsenal,23-138,1998,15.4,715,899,79.5,12829,4758,328,376,87.2,299,371,80.6,78,123,63.4,1,0.6,0.4,10,58,15,12,46,Matches
476,James Tomkins,,eng ENG,DF,Crystal Palace,32-359,1989,6.1,276,314,87.9,6692,1750,46,51,90.2,167,177,94.4,62,82,75.6,0,0.4,-0.4,2,5,0,0,9,Matches
477,Ivan Toney,,eng ENG,FW,Brentford,26-007,1996,24.3,321,565,56.8,4723,1719,189,287,65.9,94,175,53.7,23,53,43.4,2,4.2,-2.2,26,44,20,2,56,Matches
478,Ferran Torres,,es ESP,FW,Manchester City,22-022,2000,3.4,55,72,76.4,834,75,29,36,80.6,18,21,85.7,5,6,83.3,1,0,1,1,2,1,0,2,Matches
479,Cenk Tosun,,tr TUR,FW,Everton,30-289,1991,0.1,2,2,100,37,0,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,Matches
480,Andros Townsend,,eng ENG,MF,Everton,30-250,1991,16.2,342,487,70.2,5948,2075,162,190,85.3,138,175,78.9,37,96,38.5,2,2.4,-0.4,30,18,28,13,46,Matches
481,Adama Traore,,es ESP,FW,Wolves,26-057,1996,11.9,245,329,74.5,4223,794,125,159,78.6,85,113,75.2,31,41,75.6,0,1.7,-1.7,19,17,15,7,23,Matches
482,Bertrand Traore,,bf BFA,FWMF,Aston Villa,26-198,1995,2,50,65,76.9,961,229,21,24,87.5,22,28,78.6,7,8,87.5,0,0,0,0,4,4,0,10,Matches
483,Trezeguet,,eg EGY,FW,Aston Villa,27-173,1994,0.1,6,6,100,97,37,5,5,100,0,0,,1,1,100,0,0,0,0,2,1,0,1,Matches
484,Francisco Trincao,,pt POR,FWMF,Wolves,22-084,1999,12.7,309,395,78.2,5189,1151,157,181,86.7,115,138,83.3,29,49,59.2,1,1.2,-0.2,15,24,11,4,28,Matches
