,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Succ Drib,Att Drib,Succ% Drib,Drib Past,Megs,Carries,TotDist Carried,PrgDist Carried,Prog Carries,Carries into Att 3rd,Carries into PA,Miscontrol,Dispossessed,Targ,Rec,Rec%,Prog Rec,Matches
33,Patrick Bamford,,eng ENG,FW,Leeds United,28-211,1993,6.2,28.2,1.77,3.71,12.9,13.4,5.81,25.6,0.65,1.29,50,0.81,0,16.8,74.5,33.9,1.94,0.32,0.48,2.9,0.97,41.8,18.5,44.4,5.97,Matches
34,Shandon Baptiste,,gd GRN,MF,Brentford,23-361,1998,9.8,38.9,1.43,8.37,20.9,13.4,2.04,38.8,1.43,1.94,73.7,1.43,0,28.6,148.3,84.9,4.49,1.43,0.2,2.04,1.12,37.1,25.2,67.9,3.57,Matches
35,Ross Barkley,,eng ENG,MF,Chelsea,28-120,1993,1.7,77.1,0,5.29,29.4,50.6,4.12,72.9,2.35,2.94,80,2.94,0,55.3,437.1,265.3,10.6,5.88,0.59,0.59,3.53,69.4,63.5,91.5,11.8,Matches
36,Ashley Barnes,,eng ENG,FW,Burnley,32-156,1989,4.8,35.6,0.63,4.17,18.3,15.4,4.58,35,0.42,1.04,40,0.42,0,20.6,64.8,28.1,1.67,0.83,0.42,3.54,2.29,47.1,22.9,48.7,5.21,Matches
37,Harvey Barnes,,eng ENG,FWMF,Leicester City,24-116,1997,18.4,44.2,0.65,5.38,18,25.4,5.92,44,1.52,3.75,40.6,1.85,0.27,35.4,221.6,154.5,8.26,2.66,1.96,2.55,2.07,49.3,35.6,72.1,6.52,Matches
38,Lewis Bate,,eng ENG,MF,Leeds United,19-157,2002,0.5,58,2,14,38,14,0,58,2,4,50,2,2,44,208,56,0,2,0,8,4,54,38,70.4,2,Matches
39,Mads Bech Sorensen,,dk DEN,DF,Brentford,23-087,1999,4.2,63.8,10.5,35,25.5,7.14,0.48,53.3,0,0,,0,0,34.3,215.7,147.6,3.1,0.71,0,0,0,37.4,36,96.2,0.48,Matches
40,Jan Bednarek,,pl POL,DF,Southampton,25-357,1996,23.2,63.5,8.23,30.3,33.1,2.93,1.25,60.9,0.04,0.09,50,0.04,0,33.8,153.6,74.4,1.08,0.04,0,0.04,0.13,36.6,35.8,97.6,0.17,Matches
41,Donny van de Beek,,nl NED,MF,Everton,24-351,1997,4.8,59.4,1.88,11,34,16.9,1.46,58.3,0.83,1.88,44.4,1.04,0.21,33.5,127.9,56.9,2.5,0.42,0,0.21,1.46,39.6,36.5,92.1,1.25,Matches
42,Donny van de Beek,,nl NED,MF,Manchester Utd,24-351,1997,0.8,66.3,2.5,23.8,26.3,18.8,5,66.3,3.75,5,75,3.75,0,38.8,73.8,28.8,2.5,0,1.25,1.25,5,51.3,37.5,73.2,6.25,Matches
43,Asmir Begovic,,ba BIH,GK,Everton,34-288,1987,2,30,29,30,0,0,0,17.5,0,0,,0,0,7.5,36.5,23.5,0,0,0,0,0,9,9,100,0,Matches
44,Said Benrahma,,dz ALG,FWMF,West Ham,26-237,1995,20.8,47.1,0.77,6.49,19.8,24.3,3.94,46.2,1.35,3.37,40,1.63,0.38,35.9,192.7,102.5,5.1,1.3,0.96,2.12,1.63,45.7,34.5,75.6,6.97,Matches
45,Rodrigo Bentancur,,uy URU,MF,Tottenham,24-303,1997,7.6,84.1,4.34,21.3,55.1,14.1,0.79,82.6,1.05,1.58,66.7,1.05,0,63.8,295.3,147.8,4.74,1.45,0.13,0.66,1.45,65.5,62.8,95.8,1.05,Matches
46,Christian Benteke,,be BEL,FW,Crystal Palace,31-122,1990,12.4,35.5,3.06,5,16.5,15.5,6.77,33.9,0.73,1.53,47.4,0.89,0.08,17.7,80.8,38.4,2.1,0.56,0.65,2.98,1.05,50.7,26.2,51.7,8.06,Matches
47,Johann Berg Gudmundsson,,is ISL,MF,Burnley,31-159,1990,12.2,40.3,1.97,6.97,16.1,20.1,2.21,40,1.15,1.8,63.6,1.23,0,27.1,137.9,66.8,3.03,1.31,0.41,1.39,1.48,31.4,24.8,78.9,4.75,Matches
48,Steven Bergwijn,,nl NED,FWMF,Tottenham,24-178,1997,5.6,43.8,1.07,6.79,17.9,25.5,6.43,42.9,1.79,3.21,55.6,1.96,0,32.7,205.2,139.1,6.07,3.04,1.61,1.96,3.04,49.8,33,66.3,9.46,Matches
49,Ryan Bertrand,,eng ENG,DF,Leicester City,32-242,1989,3.7,61.6,4.86,19.2,30.5,14.9,1.08,49.2,0,0.27,0,0.27,0.27,33,147,58.4,2.97,0.81,0.27,1.08,1.35,40,34.6,86.5,0.54,Matches
50,Mads Bidstrup,,dk DEN,MF,Brentford,21-038,2001,0.5,46,4,18,26,4,0,46,0,2,0,0,0,22,74,34,2,2,0,2,4,22,18,81.8,2,Matches
51,Yves Bissouma,,ml MLI,MF,Brighton,25-217,1996,18.1,64.9,4.2,18.5,38,13.8,0.83,63.8,1.44,1.88,76.5,1.44,0.06,45.7,271.3,129.4,4.81,1.77,0.22,1.38,1.27,44.8,42.2,94.3,0.77,Matches
52,Willy Boly,,ci CIV,DF,Wolves,31-060,1991,3,73,7,42.7,33.3,1,0.33,70.3,1,1.33,75,1,0,46,205,106,1.67,0.33,0,0,0,47.7,46.7,97.9,0,Matches
53,Jarrod Bowen,,eng ENG,FW,West Ham,25-105,1996,26.9,40.3,0.86,5.5,15.8,21.7,5.06,37,0.82,2.19,37.3,0.89,0.07,26.4,164.1,73.6,4.24,0.93,1.04,1.82,2.19,39,25.1,64.3,6.02,Matches
54,Jarrad Branthwaite,,eng ENG,DF,Everton,19-281,2002,2.1,44.3,5.24,20,24.8,2.86,0.95,41.9,0,0,,0,0,26.7,110.5,80,0.95,0.95,0,0.48,1.9,23.3,22.4,95.9,0,Matches
55,Armando Broja,,al ALB,FW,Southampton,20-206,2001,17.8,32.3,0.62,2.36,14.2,17.9,4.94,32.1,1.35,2.87,47.1,1.46,0.17,20.5,122.6,77.9,3.82,1.12,1.52,2.75,3.15,50,24,48.1,5.79,Matches
56,Josh Brownhill,,eng ENG,MF,Burnley,26-106,1995,23.4,44.7,2.48,9.44,25.3,12.2,1.2,43.3,0.6,0.81,73.7,0.64,0.04,22.8,95.1,41.3,2.35,1.2,0.13,0.81,0.56,26.7,23.7,88.9,1.45,Matches
57,Bryan,,es ESP,FWMF,Tottenham,21-052,2001,1,82,2,10,19,58,4,79,3,4,75,3,0,67,393,246,13,2,0,5,3,69,59,85.5,13,Matches
58,Emi Buendia,,ar ARG,FWMF,Aston Villa,25-100,1996,17.3,53.1,1.45,7.05,26.5,22.9,3.18,50.6,1.5,2.25,66.7,1.5,0.06,37.3,173.2,96.4,5.43,2.02,0.23,1.5,2.77,44.3,36.6,82.8,5.38,Matches
59,Dan Burn,,eng ENG,DF,Newcastle Utd,29-330,1992,8,50.6,9.13,25.3,24.5,2.88,1.63,50.3,0,0,,0,0,21.4,148,67.1,1.13,0,0,0,0,24.8,24,97,0.13,Matches
60,Dan Burn,,eng ENG,DF,Brighton,29-330,1992,11.4,67.6,8.77,34.3,31.8,5.61,1.05,66.1,0.09,0.18,50,0.09,0,40.8,205.9,106.1,2.37,0.79,0,0.53,0.26,45.4,43.6,95.9,0.18,Matches
61,Jack Butland,,eng ENG,GK,Crystal Palace,29-025,1993,5.5,36.5,33.1,36.4,0.18,0,0,25.1,0,0,,0,0,16.7,76.5,29.6,0,0,0,0,0,17.3,17.1,98.9,0,Matches
62,Sam Byram,,eng ENG,DFMF,Norwich City,28-200,1993,4,63,6,25.3,24,17,2.25,54.3,0,0.5,0,0,0,26.8,152.5,77.8,2.5,0.75,0,0.75,0.5,32.3,28.8,89.1,2,Matches
63,Willy Caballero,,ar ARG,GK,Southampton,40-188,1981,2,34,27,34,0,0,0,25,0,0,,0,0,18.5,112,57,0,0,0,0,0,17,17,100,0,Matches
64,Dominic Calvert-Lewin,,eng ENG,FW,Everton,25-019,1997,9.3,32.7,1.18,3.23,14.7,15.6,4.52,31.4,0.22,0.65,33.3,0.22,0.11,15.1,63.4,19.6,0.75,0.22,0.11,3.44,1.18,52.2,24,46,5.59,Matches
65,Joao Cancelo,,pt POR,DF,Manchester City,27-312,1994,27.9,104.8,2.08,17.1,55.9,39.1,3.08,95.8,1.68,3.01,56,1.79,0.36,77.3,340.6,182.1,10.3,3.94,0.9,0.79,0.75,80.2,77.2,96.2,3.05,Matches
66,Sergi Canos,,es ESP,DF,Brentford,25-061,1997,22.8,44.4,2.89,12,20.1,15.4,2.41,42.3,1.05,2.06,51.1,1.14,0.22,28.4,158.5,94.1,4.87,1.49,0.48,1.14,1.54,33,26,78.7,2.89,Matches
67,Todd Cantwell,,eng ENG,FWMF,Norwich City,24-036,1998,4.9,43.9,1.02,10.2,22.2,14.3,1.43,42.9,1.02,2.24,45.5,1.02,0,32.4,124.1,59,3.06,0.82,0,2.45,2.45,41.8,30.6,73.2,3.67,Matches
68,Matty Cash,,pl POL,DF,Aston Villa,24-240,1997,29.5,55.6,4.2,19.2,23.8,16.1,2.68,46.5,0.61,1.02,60,0.61,0.07,29.4,181.2,95.9,4.07,1.32,0.64,0.81,1.32,30.3,26.9,88.8,3.05,Matches
69,Timothy Castagne,,be BEL,DF,Leicester City,26-120,1995,15.8,61.6,4.37,24.1,28,12.6,0.82,53.9,0.76,1.01,75,0.76,0,33.2,135.2,69.9,2.91,0.95,0.06,1.14,0.82,39.9,34.9,87.6,2.22,Matches
70,Jonny Castro,,es ESP,DF,Wolves,28-032,1994,5,71.2,1,15,39.2,21,2.6,60.8,1,2.2,45.5,1,0.2,45,205.4,126.4,6.2,0.8,0.8,1.6,2.2,48.4,44.6,92.1,4.6,Matches
71,Craig Cathcart,,nir NIR,DF,Watford,33-057,1989,24.3,45,7.98,25.6,19,2.35,0.33,43,0,0.04,0,0,0,21.2,84.8,40,0.49,0.12,0,0.08,0.12,24.8,23.9,96.3,0.08,Matches
72,Edinson Cavani,,uy URU,FW,Manchester Utd,35-049,1987,6.8,35.6,1.47,6.32,15.7,14.4,3.97,35,0.59,0.74,80,0.59,0,18.7,38.4,9.71,0.59,0.29,0.29,1.76,0.44,45.7,26.3,57.6,4.85,Matches
73,Kayky Chagas,,br BRA,FW,Manchester City,18-297,2003,0.1,30,0,0,20,20,0,30,0,0,,0,0,30,400,290,10,10,0,10,0,40,30,75,0,Matches
74,Trevoh Chalobah,,eng ENG,DF,Chelsea,22-273,1999,13.1,81.8,5.11,31.4,45.6,9.01,0.61,79.7,0.76,0.99,76.9,0.76,0,56.6,216.5,108.9,3.89,1.53,0,0.08,0.46,59.1,57.6,97.5,0.15,Matches
75,Calum Chambers,,eng ENG,DF,Arsenal,27-074,1995,1.9,64.2,8.95,25.8,32.1,8.95,0.53,56.8,0,0,,0,0,37.4,125.8,55.8,2.11,1.05,0,0.53,1.05,38.4,37.4,97.3,0,Matches
76,Calum Chambers,,eng ENG,DF,Aston Villa,27-074,1995,5,65.6,13.8,40.8,25,2.8,1,64.2,0.2,0.4,50,0.2,0,41.6,213.4,116.2,2.6,0.4,0,0,0,42,40.8,97.1,0.2,Matches
77,Daniel Chesters,,eng ENG,MF,West Ham,20-000,2002,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches
78,Ben Chilwell,,eng ENG,DF,Chelsea,25-104,1996,6,70.2,1.5,15.5,23.8,33.8,4.67,57.8,0.33,0.83,40,0.5,0,40,180.5,85.8,3.83,0.67,0.83,1.83,0.5,49.2,42.7,86.8,5,Matches
79,Chiquinho,,pt POR,MFDF,Wolves,22-058,2000,0.6,71.7,1.67,8.33,11.7,53.3,8.33,66.7,3.33,6.67,50,3.33,0,45,105,55,1.67,0,1.67,5,8.33,68.3,46.7,68.3,13.3,Matches
80,Hamza Choudhury,,eng ENG,DFMF,Leicester City,24-185,1997,3.2,64.7,5.63,30.6,34.7,1.88,0.31,61.3,0.31,0.94,33.3,0.63,0,34.7,99.1,30.6,0.31,0,0,0.63,0.94,41.9,38.1,91,0,Matches
81,Andreas Christensen,,dk DEN,DF,Chelsea,25-359,1996,14.1,84.8,10.1,40,44.4,5.32,0.28,81.9,0.43,0.43,100,0.43,0,55.9,256.6,146,3.83,1.13,0,0.14,0,59.6,58.7,98.5,0.14,Matches
82,Carney Chukwuemeka,,eng ENG,MFFW,Aston Villa,18-087,2004,2.2,45.9,0.45,6.82,24.1,18.2,5,45.9,0.91,3.18,28.6,1.82,0,37.7,173.6,85,5,1.36,1.82,2.73,1.36,48.6,33.6,69.2,4.55,Matches
83,Ciaran Clark,,ie IRL,DF,Newcastle Utd,32-190,1989,11.3,39.7,6.9,23,15.1,3.1,1.95,39.1,0.27,0.35,75,0.27,0,22,101.9,44.9,1.15,0.35,0,0.35,0,23.5,22.2,94.7,0.35,Matches
84,Tom Cleverley,,eng ENG,MF,Watford,32-235,1989,15.3,45.2,1.83,9.15,22.2,15.2,0.52,40.6,0.26,0.52,50,0.26,0.07,22.3,78.2,34.6,1.11,0.46,0.2,0.78,0.65,31.5,25.6,81.1,2.09,Matches
85,Nathaniel Clyne,,eng ENG,DF,Crystal Palace,30-364,1991,6,52.5,2.5,20.7,27.2,7.5,0.33,42.7,0,0,,0,0,26.7,110.2,54.5,1.67,0.83,0,0.5,0.33,29.5,27,91.5,0.67,Matches
86,Conor Coady,,eng ENG,DF,Wolves,29-038,1993,30.8,49.4,11.9,33.7,17.4,0.94,0.52,48.2,0.03,0.06,50,0.06,0,30.4,160.5,76.6,0.81,0.03,0,0.03,0.03,34.2,33.9,99,0.1,Matches
87,Seamus Coleman,,ie IRL,DF,Everton,33-175,1988,21.6,57.2,3.98,18.6,26.1,15.8,1.71,46.4,0.88,1.62,54.3,0.97,0,30.8,170.7,91.9,3.38,1.2,0.37,0.69,1.06,30.7,26.8,87.2,1.94,Matches
88,Nathan Collins,,ie IRL,DF,Burnley,20-339,2001,8.6,43.8,7.91,23.7,19.5,1.86,1.28,43.3,0.12,0.35,33.3,0.23,0,17.4,92,31.9,0.81,0,0,0.58,0.12,16.7,15.6,93.1,0.12,Matches
89,Aaron Connolly,,ie IRL,FW,Brighton,22-066,2000,1.7,20,0,0,8.24,12.4,2.35,19.4,0,0.59,0,0,0,12.9,77.6,24.7,1.76,0,0,1.76,0.59,38.2,12.9,33.8,4.12,Matches
90,Liam Cooper,,sct SCO,DF,Leeds United,30-217,1991,15.2,70.5,10.3,46.4,26.2,1.71,0.59,68.8,0.2,0.2,100,0.2,0,41.3,230.3,132.2,1.25,0.13,0,0.26,0.2,44.7,43.9,98.2,0.07,Matches
91,Jack Cork,,eng ENG,MF,Burnley,32-283,1989,10.6,35.4,2.45,6.79,21.3,8.87,0.38,35.2,0.75,1.04,72.7,0.85,0,20,77.7,34.9,1.6,0.75,0.09,0.66,1.13,23.2,19.2,82.9,0.66,Matches
92,Maxwel Cornet,,ci CIV,FWMF,Burnley,25-189,1996,12.7,32.8,1.1,4.88,12.3,17.6,4.25,31.3,0.63,2.05,30.8,0.79,0,20.2,87.8,46.2,2.44,0.71,0.31,2.83,1.89,43.6,21.1,48.4,7.32,Matches
93,Helder Costa,,ao ANG,MF,Leeds United,28-082,1994,0.2,30,0,5,15,10,0,30,0,0,,0,0,10,30,0,0,0,0,0,0,40,25,62.5,0,Matches
94,Vladimir Coufal,,cz CZE,DF,West Ham,29-225,1992,18.7,68.9,4.28,20.9,28,24,1.28,56.4,0.53,1.18,45.5,0.59,0,33.2,178.1,85.9,3.42,1.44,0.32,0.7,0.7,38.6,34.5,89.3,1.76,Matches
95,Philippe Coutinho,,br BRA,MFFW,Aston Villa,29-296,1992,9.4,53.1,0.32,5.21,28.7,23.9,3.62,50.5,2.13,3.4,62.5,2.23,0.43,42.3,213.3,117.4,6.17,2.87,0.85,2.66,2.13,51.6,41.4,80.2,4.47,Matches
96,Aaron Cresswell,,eng ENG,DF,West Ham,32-110,1989,23.3,76.6,3.91,21.3,37.9,21.6,1.03,63.9,0.13,0.56,23.1,0.13,0.13,46,199.1,100.7,3.82,1.76,0.09,0.26,0.34,50.3,48.3,95.9,0.94,Matches
97,Charlie Cresswell,,eng ENG,DF,Leeds United,19-118,2002,1.6,75,12.5,49.4,29.4,2.5,0.63,74.4,0.63,0.63,100,0.63,0,45,345,220.6,1.88,0,0,1.25,0,48.8,48.8,100,0.63,Matches
98,Cucho,,co COL,FWMF,Watford,22-349,1999,12.1,44.2,1.4,7.11,18,22.7,3.06,40.7,1.74,3.14,55.3,1.9,0,29.1,157.8,87.2,4.38,1.57,0.58,2.31,1.24,42.2,28.6,67.7,4.63,Matches
99,Marc Cucurella,,es ESP,DF,Brighton,23-256,1998,26.3,81.2,3.27,21.1,37,28.7,1.9,70.2,0.91,1.75,52.2,0.99,0.27,51.5,248,157.6,6.31,2.02,0.23,0.72,0.99,56,50.3,89.8,2.24,Matches
100,Luke Cundle,,eng ENG,MF,Wolves,19-343,2002,0.9,41.1,2.22,8.89,25.6,7.78,0,37.8,0,0,,0,0,25.6,62.2,21.1,2.22,1.11,0,0,1.11,24.4,22.2,90.9,1.11,Matches
101,Patson Daka,,zm ZAM,FW,Leicester City,23-177,1998,8.5,30.1,1.06,3.06,14.2,13.9,4.94,28.7,0.24,1.65,14.3,0.59,0,16.4,56.4,33.1,2,0.59,0.35,3.06,1.88,40.8,19.9,48.7,5.06,Matches
102,Stuart Dallas,,nir NIR,DFMF,Leeds United,30-350,1991,29.9,63.4,3.28,20.9,30.7,16.8,1.07,53.6,0.6,1.14,52.9,0.6,0.1,35.7,210.8,122.8,4.75,1.87,0.4,0.57,1.2,38.9,34.4,88.5,2.04,Matches
103,Diogo Dalot,,pt POR,DF,Manchester Utd,23-017,1999,13.1,71.1,3.28,21.1,35.9,18.5,1.6,61.1,0.69,1.53,45,0.84,0,41.7,201.2,121.2,5.65,1.07,0.46,0.99,0.76,45.3,41.7,92.1,2.29,Matches
104,Karl Darlow,,eng ENG,GK,Newcastle Utd,31-178,1990,8,33.6,27.9,33.1,0.5,0,0,21.3,0,0,,0,0,11.9,68.3,36.8,0,0,0,0,0,11.8,11.6,98.9,0,Matches
105,Josh Dasilva,,eng ENG,MFFW,Brentford,23-163,1998,1.5,43.3,6,14.7,20,11.3,1.33,42.7,2,2,100,2,0,29.3,159.3,65.3,2.67,0.67,0.67,2,2.67,24.7,17.3,70.3,2.67,Matches
106,Ben Davies,,wls WAL,DF,Tottenham,28-345,1993,20.3,64.5,5.81,26,33.8,9.51,1.18,61.5,0.15,0.2,75,0.15,0,42.4,265.2,159.7,6.11,2.12,0.1,0.2,0.44,47.2,45.3,96,0.94,Matches
107,Tom Davies,,eng ENG,MF,Everton,23-278,1998,1.8,48.3,1.11,7.22,24.4,17.2,4.44,47.8,0,0,,0,0,26.1,105.6,40.6,1.67,0,0.56,1.67,0.56,40,32.2,80.6,5,Matches
108,Keinan Davis,,eng ENG,FW,Aston Villa,24-050,1998,0.1,70,0,0,50,20,0,70,0,0,,0,0,60,50,10,0,0,0,20,10,110,70,63.6,20,Matches
109,Craig Dawson,,eng ENG,DF,West Ham,31-333,1990,24.9,49.8,8.59,27.1,22.9,2.53,1.41,49,0.08,0.08,100,0.08,0,27.7,143.1,66.7,1.65,0.24,0,0.08,0.24,30.8,30.1,97.9,0.16,Matches
110,Kevin De Bruyne,,be BEL,MF,Manchester City,30-280,1991,17.9,76.5,1.17,7.09,30.2,43.8,4.69,70.2,1.12,1.9,58.8,1.12,0.06,52.1,229.4,141.9,7.21,2.74,0.73,1.4,1.4,65.7,57.9,88.2,6.65,Matches
111,Troy Deeney,,eng ENG,FW,Watford,33-279,1988,0.3,36.7,6.67,6.67,3.33,26.7,16.7,36.7,0,0,,0,0,10,23.3,13.3,0,0,0,3.33,0,60,30,50,23.3,Matches
112,Liam Delap,,eng ENG,FW,Manchester City,19-055,2003,0.1,10,0,0,10,0,0,10,0,0,,0,0,10,20,0,0,0,0,0,0,30,10,33.3,0,Matches
113,Fabian Delph,,eng ENG,MF,Everton,32-134,1989,2.8,57.5,3.57,17.5,35.7,7.5,0,56.8,1.43,1.79,80,1.43,0,35.4,173.9,70.7,2.5,0,0,1.43,0.71,35.7,33.9,95,1.07,Matches
114,Leander Dendoncker,,be BEL,MF,Wolves,26-354,1995,16.7,48.6,3.23,14.2,25.3,11.4,1.68,48,0.42,0.72,58.3,0.42,0.06,27.2,104,44.9,1.5,0.6,0.06,0.84,0.36,36.3,30.4,83.7,2.28,Matches
115,Emmanuel Dennis,,ng NGA,FWMF,Watford,24-140,1997,24.3,37.7,0.7,4.77,15.6,20.6,5.14,36.3,2.39,5.51,43.3,2.67,0.7,27.6,148.9,98.7,4.69,1.44,1.56,2.59,2.35,41.3,25.4,61.5,5.56,Matches
116,Kiernan Dewsbury Hall,,eng ENG,MF,Leicester City,23-210,1998,14.7,66,2.86,16.1,33.3,21.6,1.63,64.6,1.36,2.04,66.7,1.5,0,46.5,268.3,147.4,5.58,1.9,0.14,2.18,2.24,52.6,46.1,87.6,4.22,Matches
117,Ibrahima Diallo,,fr FRA,MF,Southampton,23-027,1999,9.4,48.7,1.7,7.98,30,13.4,0.96,48.5,1.91,2.34,81.8,2.23,0.11,33,171.9,91.8,4.68,1.49,0.11,0.85,1.17,38.9,32.7,83.9,1.49,Matches
118,Raphael Dias Belloli,,br BRA,FWMF,Leeds United,25-111,1996,26,55.8,1.42,7.27,24.4,27.4,4.62,50.6,2.08,5.12,40.6,2.46,0.54,38.5,178.7,111.7,5.88,1.08,1.08,2.69,1.65,51.7,37.9,73.3,6.35,Matches
119,Ruben Dias,,pt POR,DF,Manchester City,24-325,1997,23.7,90.2,6.54,32.9,60.3,4.22,1.14,88.4,0.08,0.21,40,0.08,0.04,66.6,394.6,246.2,9.03,0.89,0,0.21,0.08,73.5,72.4,98.5,0.34,Matches
120,Luis Diaz,,co COL,FW,Liverpool,25-081,1997,5.5,58.5,0.18,4,23.3,34.7,7.82,58.5,2.91,4.55,64,3.27,0,48.7,255.3,148.9,8,1.64,2.55,2.36,3.64,58,46.2,79.6,9.45,Matches
121,Eric Dier,,eng ENG,DF,Tottenham,28-079,1994,26.1,71.8,13.3,42.5,32.3,1.76,0.57,70.3,0,0.08,0,0.04,0,47.2,265.7,148.7,2.72,0.42,0,0.08,0,54.4,53.6,98.5,0.15,Matches
122,Lucas Digne,,fr FRA,DF,Aston Villa,28-258,1993,7.2,69.6,4.31,19.9,26.4,26.5,2.08,56.3,0.42,1.11,37.5,0.56,0.14,39,172.9,95.3,4.17,0.83,0.28,0.97,1.39,43.5,37.9,87.2,4.31,Matches
123,Lucas Digne,,fr FRA,DF,Everton,28-258,1993,13,63.3,4,21,24.5,21.8,1.15,51.2,0.46,0.92,50,0.46,0,30.7,159.6,87.8,3.62,1.92,0.15,0.62,0.77,33,29.6,89.7,1.62,Matches
124,Virgil van Dijk,,nl NED,DF,Liverpool,30-270,1991,28,82.2,9.25,39,44,2.54,1.46,80,0.07,0.11,66.7,0.07,0,52.3,205.4,109.2,2.96,0.18,0,0.21,0.07,59.5,58.4,98.1,0.18,Matches
125,Issa Diop,,fr FRA,DF,West Ham,25-085,1997,9,48.4,7.11,28.8,22.1,0.89,0.33,47.7,0,0,,0,0,25.7,162.1,75.3,1.11,0.22,0,0.11,0.11,29.9,29.2,97.8,0,Matches
126,Moussa Djenepo,,ml MLI,MF,Southampton,23-293,1998,4.9,49.6,1.43,9.39,19.4,23.3,5.51,49.6,2.65,5.31,50,2.86,0.2,36.5,208.6,146.3,6.33,1.22,1.84,3.67,3.06,37.1,30.2,81.3,3.67,Matches
127,Lewis Dobbin,,eng ENG,FWMF,Everton,19-091,2003,0.4,32.5,0,7.5,17.5,12.5,5,32.5,0,2.5,0,0,0,27.5,202.5,107.5,2.5,0,2.5,2.5,2.5,52.5,20,38.1,7.5,Matches
128,Matt Doherty,,ie IRL,DF,Tottenham,30-078,1992,9.5,66.9,3.47,19.3,28.9,21.8,3.79,60.4,0.63,0.95,66.7,0.63,0,42.4,206.3,122.4,6.63,1.26,0.84,1.05,0.84,47.6,43.9,92.3,4.11,Matches
129,Gabriel Dos Santos,,br BRA,DF,Arsenal,24-106,1997,24.4,65.9,12,37,30.5,2.87,1.15,64.3,0.08,0.08,100,0.08,0,45.8,267,145.5,3.24,0.7,0,0.25,0.08,49.5,48.4,97.8,0.16,Matches
130,Abdoulaye Doucoure,,ml MLI,MF,Everton,29-093,1993,20.7,50.7,2.46,12.5,27.7,13.2,1.69,50.1,0.82,1.64,50,0.87,0,30.7,151.4,85.1,3.19,1.16,0.24,1.06,0.72,34.7,29.8,85.9,2.37,Matches
131,Kieran Dowell,,eng ENG,MFFW,Norwich City,24-176,1997,4,39.8,1,5.25,17.8,19,2,36.3,0.75,1.25,60,0.75,0,25.3,99,48.3,2.75,0.75,0.5,1.5,1.75,38.3,27.3,71.2,7.5,Matches
132,Cody Drameh,,eng ENG,DF,Leeds United,20-117,2001,1.4,67.1,2.14,26.4,31.4,15.7,1.43,48.6,1.43,2.86,50,1.43,0,32.1,201.4,116.4,6.43,2.86,0,0,0.71,32.9,30,91.3,1.43,Matches
133,Martin Dubravka,,sk SVK,GK,Newcastle Utd,33-079,1989,18,34.7,28.4,34.4,0.33,0,0,21.3,0,0,,0,0,14.6,91.1,47.9,0,0,0,0,0,12.6,12.6,100,0,Matches
134,Shane Duffy,,ie IRL,DF,Brighton,30-093,1992,16,74.5,12.1,45.1,29.3,3.81,1.63,73.3,0.13,0.13,100,0.13,0,44,179.9,93.9,1.75,0.38,0,0.19,0.06,53.7,52.5,97.8,0.13,Matches
135,Paul Dummett,,wls WAL,DF,Newcastle Utd,30-190,1991,2.2,41.4,3.18,16.8,20.5,6.36,0,33.2,0,0,,0,0,18.6,68.6,32.7,1.82,0.91,0,0,0,16.8,16.4,97.3,0,Matches
136,Lewis Dunk,,eng ENG,DF,Brighton,30-134,1991,20.6,82.9,11.5,47.3,37.1,3.4,1.02,81.2,0.19,0.19,100,0.19,0,55.9,289.5,141.1,1.94,0.44,0,0.19,0.19,63.8,62.9,98.6,0.05,Matches
137,Ederson,,br BRA,GK,Manchester City,28-230,1993,29,31.5,26.2,31.1,0.38,0,0,26.6,0,0,,0,0,19.4,80.2,50.3,0,0,0,0,0,19.6,19.5,99.3,0,Matches
138,Odsonne Edouard,,fr FRA,FW,Crystal Palace,24-078,1998,14.1,39.6,1.06,4.33,18.8,19.2,5.18,38.2,1.49,3.62,41.2,1.77,0.21,25.5,127.7,81.4,4.26,1.13,0.57,2.62,2.84,47.9,28.1,58.6,7.23,Matches
139,Anthony Elanga,,se SWE,FW,Manchester Utd,19-342,2002,7.1,49.9,0.42,8.17,19.3,25.2,5.63,48.9,1.41,3.94,35.7,1.69,0,36.1,150.7,75.9,4.37,0.85,1.13,2.25,1.41,51.7,37.5,72.5,7.46,Matches
140,Harvey Elliott,,eng ENG,MF,Liverpool,19-000,2003,3.1,80.6,0.32,7.1,39,41,5.81,78.4,0.65,2.26,28.6,0.65,0,60,290.3,173.2,8.71,4.19,0.65,1.61,0.65,65.8,61.3,93.1,7.42,Matches
141,Mohamed Elneny,,eg EGY,MF,Arsenal,29-267,1992,2,65.5,3.5,16.5,39,14.5,1.5,65,0,0.5,0,0,0,50,226.5,88.5,2,0,0,1.5,0,47,45,95.7,0.5,Matches
