,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Succ Drib,Att Drib,Succ% Drib,Drib Past,Megs,Carries,TotDist Carried,PrgDist Carried,Prog Carries,Carries into Att 3rd,Carries into PA,Miscontrol,Dispossessed,Targ,Rec,Rec%,Prog Rec,Matches
483,Adama Traore,,es ESP,FW,Wolves,26-069,1996,11.9,41.8,0.42,4.79,19.5,23.4,4.71,41.6,5.21,7.14,72.9,5.38,0.08,40.2,303,190.9,8.15,2.61,2.44,3.11,2.94,53,33.1,62.4,6.13,Matches
484,Bertrand Traore,,bf BFA,FWMF,Aston Villa,26-210,1995,2,49.5,0,2,25,27.5,6,48.5,5,10.5,47.6,6,2,43.5,258,104,7,1.5,2,3.5,0.5,58,38.5,66.4,8.5,Matches
485,Trezeguet,,eg EGY,FW,Aston Villa,27-185,1994,0.1,90,0,0,50,40,10,90,10,10,100,10,0,90,300,120,10,0,0,20,0,130,90,69.2,30,Matches
486,Francisco Trincao,,pt POR,FWMF,Wolves,22-096,1999,13.5,46.4,0.15,5.93,21.9,23.3,3.56,45,2.81,6.22,45.2,3.48,0.96,34.8,180.1,105.5,5.26,1.78,0.81,2.07,1.78,47.4,32.9,69.4,6.81,Matches
487,Kieran Trippier,,eng ENG,DF,Newcastle Utd,31-197,1990,3.5,71.4,4.29,21.7,31.1,20.9,0,52.3,0,0.29,0,0,0,29.7,87.7,46.9,1.71,0.57,0,0.29,0.86,28,26.9,95.9,0.86,Matches
488,William Troost-Ekong,,ng NGA,DF,Watford,28-215,1993,15.3,45.9,9.8,30.5,16.8,1.05,0.26,45,0.07,0.13,50,0.07,0,23.3,144.3,90,1.44,0.13,0,0,0,27.2,26.7,98.3,0.13,Matches
489,Leandro Trossard,,be BEL,FWMF,Brighton,27-121,1994,25.4,51.2,0.43,5.59,19.9,29.1,5.67,49.4,2.13,2.76,77.1,2.17,0.08,39.4,220,116.2,6.1,1.46,1.34,2.4,2.87,49.9,38.7,77.5,7.01,Matches
490,Kostas Tsimikas,,gr GRE,DF,Liverpool,25-327,1996,7.4,77.2,3.65,18.2,28.5,35.9,3.38,64.1,0.95,1.76,53.8,0.95,0.27,46.5,256.9,139.2,8.24,3.11,0.81,0.54,1.22,50,45.5,91.1,5.68,Matches
491,Axel Tuanzebe,,eng ENG,DF,Aston Villa,24-141,1997,5.6,47,7.32,28.8,20,1.25,0.54,45.9,0,0,,0,0,27.7,162.1,74.8,0.71,0,0,0.36,0,32,30.7,96.1,0.18,Matches
492,Ozan Tufan,,tr TUR,MF,Watford,27-012,1995,3.7,40.8,1.35,7.03,23.5,13.5,2.43,38.1,0.54,0.81,66.7,0.54,0,22.2,125.7,52.4,1.89,1.08,0.27,1.35,1.35,33.8,23.8,70.4,3.78,Matches
493,Christos Tzolis,,gr GRE,FWMF,Norwich City,20-064,2002,3.5,38,1.43,6.86,15.1,18,5.14,37.7,0,1.14,0,0,0,28,167.4,110.9,6,1.71,2.29,2.29,1.14,39.1,27.4,70.1,7.14,Matches
494,Yan Valery,,fr FRA,DF,Southampton,23-041,1999,1.5,53.3,4,15.3,35.3,8,0,50.7,0,0,,0,0,34.7,225.3,130.7,4.67,2,0,0.67,0.67,28.7,28.7,100,0,Matches
495,Raphael Varane,,fr FRA,DF,Manchester Utd,28-344,1993,16.3,65.3,8.16,31.5,36.4,2.09,0.74,63.3,0.12,0.31,40,0.12,0.06,41,282,148,3.31,0.37,0,0.12,0.06,44.7,43.6,97.7,0.12,Matches
496,Jamie Vardy,,eng ENG,FW,Leicester City,35-083,1987,15.6,20.1,0.71,1.6,8.59,11.4,5.06,18.4,0.51,0.9,57.1,0.58,0,11.1,72.6,45.5,2.63,0.77,1.09,1.03,0.64,35.1,13.9,39.7,5.77,Matches
497,Joel Veltman,,nl NED,DF,Brighton,30-079,1992,23.9,72.6,5.56,26.6,34.1,16,0.92,63.5,0.5,1,50,0.54,0.04,41.4,194.8,84,2.72,0.71,0.08,0.54,0.5,43.9,41.9,95.4,0.63,Matches
498,Jannik Vestergaard,,dk DEN,DF,Leicester City,29-244,1992,6.3,69.5,15.2,42.2,28.4,1.27,0.48,67.9,0.48,0.48,100,0.48,0,45.1,204,89.7,1.27,0.48,0,0.16,0,48.1,46.2,96,0,Matches
499,Nikola Vlasic,,hr CRO,FWMF,West Ham,24-182,1997,5.1,44.5,0.2,6.08,22,20,5.1,44.3,1.37,2.35,58.3,1.57,0.2,34.5,194.1,106.7,4.9,1.57,1.18,0.78,2.16,42.5,30.4,71.4,7.25,Matches
500,Matej Vydra,,cz CZE,FW,Burnley,29-338,1992,5,26.6,1.4,2.6,7.6,17.4,5.6,26.6,1,1.6,62.5,1,0,15,45.4,18.4,1,0.2,0,3.2,1.6,50,20.4,40.8,7.6,Matches
501,Theo Walcott,,eng ENG,MFFW,Southampton,33-019,1989,4.2,31,0.71,6.43,11,15,4.29,30.7,0.24,0.48,50,0.24,0,18.6,86.4,36.4,1.9,0.71,0.48,2.14,0.71,32.6,20.2,62,5.24,Matches
502,Kyle Walker,,eng ENG,DF,Manchester City,31-311,1990,18.5,91.5,2.16,17.9,57.8,21.4,1.08,84,0.38,0.65,58.3,0.43,0.05,66.6,283.7,122.9,4.86,1.89,0.32,0.65,0.38,73.3,70.4,96,1.46,Matches
503,Kyle Walker-Peters,,eng ENG,DF,Southampton,24-356,1997,21.3,62.6,3.05,14.4,30,23.7,3.43,53.9,2.02,3.24,62.3,2.11,0,42,277.4,175.1,8.73,2.82,1.36,1.08,1.69,40,36.3,90.8,2.91,Matches
504,Aaron Wan-Bissaka,,eng ENG,DF,Manchester Utd,24-129,1997,17.9,69.1,4.25,24,31.1,18.5,1.17,60.1,1.84,2.85,64.7,1.96,0.28,44.1,206.5,118.5,4.92,1.79,0.22,0.45,1.28,45.6,41.4,90.8,1.84,Matches
505,Joel Ward,,eng ENG,DF,Crystal Palace,32-157,1989,23,73.8,5.13,28.5,35.2,13.8,0.39,62.6,0.52,0.87,60,0.57,0,42.4,198.7,104.7,3.35,1.09,0.04,0.39,0.78,44.7,43.1,96.4,0.43,Matches
506,James Ward-Prowse,,eng ENG,MF,Southampton,27-154,1994,27.7,70.9,2.49,12.5,38.7,22.7,0.72,60.6,0.47,0.72,65,0.51,0,38.3,145.6,67.1,3.03,0.83,0.07,0.36,0.9,44.2,40.6,91.8,1.16,Matches
507,Ollie Watkins,,eng ENG,FW,Aston Villa,26-095,1995,25.1,34.4,0.92,2.27,15.3,18.6,5.46,33.5,1,1.91,52.1,1.04,0,22.3,98.8,57.5,3.63,0.84,1.35,2.35,2.51,47,26.1,55.4,7.93,Matches
508,Adam Webster,,eng ENG,DF,Brighton,27-090,1995,13,86.5,7.85,43.8,43,8,0.85,84.6,0.54,0.62,87.5,0.54,0.08,57,344.5,220.7,5.46,1.69,0.15,0.23,0.31,62.2,61.5,98.8,0.15,Matches
509,Wout Weghorst,,nl NED,FW,Burnley,29-240,1992,9.2,38.8,1.3,4.02,20.7,15.3,2.83,38.5,1.09,1.41,76.9,1.09,0.11,20.5,61,18.7,0.76,0.11,0.22,3.04,2.5,50.3,26.7,53.1,5.76,Matches
510,Danny Welbeck,,eng ENG,FWMF,Brighton,31-129,1990,9.1,28.8,0.77,2.09,10,18.4,5.49,28.7,0.66,1.65,40,0.77,0,18.6,84.5,42.1,2.86,0.66,0.99,3.3,2.09,42.3,21.9,51.7,6.7,Matches
511,Timo Werner,,de GER,FWMF,Chelsea,26-029,1996,8.9,38.3,0.34,2.92,14,23.9,7.98,37.5,0.79,2.58,30.4,1.12,0.22,30.2,161.9,86.4,4.27,0.9,1.8,2.7,1.69,47.9,29.6,61.7,8.09,Matches
512,Ashley Westwood,,eng ENG,MF,Burnley,32-003,1990,23.1,54.3,2.21,10.4,31.6,14.4,0.74,48.3,0.43,0.82,52.6,0.43,0,29.7,113.2,52,1.3,0.65,0.04,0.78,0.52,34.7,31.6,91,0.95,Matches
513,Ben White,,eng ENG,DF,Arsenal,24-178,1997,26,64.3,7.88,31.4,33.5,4,0.69,62.7,0.27,0.62,43.8,0.31,0.08,43,231,129.8,2.96,0.62,0.08,0.31,0.38,44,43.5,98.9,0.08,Matches
514,Brandon Williams,,eng ENG,DF,Norwich City,21-213,2000,21.5,60,5.44,23.9,26.9,14.6,1.35,52,0.7,1.44,48.4,0.79,0,35.3,208.3,118.3,3.58,1.53,0.28,1.26,1.3,35.6,32.9,92.5,1.3,Matches
515,Neco Williams,,wls WAL,DF,Liverpool,20-356,2001,0.1,80,0,20,20,40,10,70,20,20,100,20,0,80,340,220,20,0,10,0,0,70,70,100,20,Matches
516,Joe Willock,,eng ENG,MF,Newcastle Utd,22-227,1999,20.5,37.4,1.27,9.07,18.2,13.1,2.93,36.4,1.37,3.07,44.4,1.76,0.2,26,156.4,87.4,3.71,1.27,0.59,1.46,1.61,28,21.7,77.5,2.78,Matches
517,Callum Wilson,,eng ENG,FW,Newcastle Utd,30-036,1992,13.2,24,0.98,2.8,10.5,12.4,4.24,22.7,1.06,1.74,60.9,1.21,0,13.9,49.1,26.9,1.44,0.53,0.83,3.86,1.97,42.3,16.5,39,3.48,Matches
518,Harry Winks,,eng ENG,MF,Tottenham,26-061,1996,9.6,75.3,2.4,17.6,46.1,15.8,0.42,72.5,0.52,1.15,45.5,0.63,0,52.4,259.3,111.3,4.69,1.25,0.1,0.42,1.15,59.6,57.9,97.2,1.25,Matches
519,Yoane Wissa,,cd COD,FWMF,Brentford,25-213,1996,9.7,28.8,0.93,4.85,11.8,13.9,3.2,28.5,1.24,1.24,100,1.24,0.31,18.1,93.9,51.6,3.3,0.72,0.52,1.75,1.03,37.2,19.2,51.5,5.77,Matches
520,Chris Wood,,nz NZL,FW,Newcastle Utd,30-118,1991,10.8,33.1,0.74,2.69,17.8,13.6,3.8,32.6,0.37,0.74,50,0.46,0,11.3,33.9,15.5,0.93,0.28,0,4.17,0.83,43.4,26.3,60.6,5.65,Matches
521,Chris Wood,,nz NZL,FW,Burnley,30-118,1991,15.2,29.7,0.79,1.84,13.3,15.4,3.29,29.2,0.33,0.59,55.6,0.33,0,12.8,42.2,17,1.12,0.39,0.13,3.36,0.99,51.6,23.4,45.4,5.92,Matches
522,Freddie Woodman,,eng ENG,GK,Newcastle Utd,25-031,1997,4,32,30.8,32,0,0,0,19.8,0,0,,0,0,13.5,87.5,53.8,0,0,0,0,0,12.3,12.3,100,0,Matches
523,Granit Xhaka,,ch SUI,MF,Arsenal,29-189,1992,16.2,62.1,2.53,12.5,36.4,16.2,2.16,60.6,0.68,0.99,68.8,0.68,0,40.5,186.2,96.9,4.14,0.93,0.19,0.74,0.68,46.9,43.9,93.7,2.59,Matches
524,Andriy Yarmolenko,,ua UKR,FWMF,West Ham,32-163,1989,2,51.5,1.5,8,19,28.5,7.5,50.5,0.5,2,25,1.5,0,35,241.5,138,6,2,2.5,1.5,2.5,54,39,72.2,10,Matches
525,Ashley Young,,eng ENG,DFFW,Aston Villa,36-269,1985,12.5,53.1,3.04,14.6,23.8,17.8,1.44,46.6,0.56,1.04,53.8,0.72,0.08,32.3,151.4,90.2,4.32,1.28,0.48,1.04,0.48,38.3,33.3,86.8,2.48,Matches
526,Wilfried Zaha,,ci CIV,FW,Crystal Palace,29-145,1992,22.5,51,0.53,5.42,24.5,25.9,5.02,50,2.44,4.8,50.9,2.58,0.36,43.6,219.4,132.1,7.87,2.62,1.82,3.69,4.8,57.1,38.6,67.7,7.78,Matches
527,Christoph Zimmermann,,de GER,DF,Norwich City,29-082,1993,0.5,32,2,20,18,2,0,32,0,0,,0,0,14,172,140,2,2,0,0,0,22,20,90.9,0,Matches
528,Oleksandr Zinchenko,,ua UKR,DF,Manchester City,25-110,1996,6.6,97.4,1.67,15.3,53.3,35.3,1.21,90,0.3,0.61,50,0.3,0,71.2,329.4,178.6,9.55,3.94,0.3,0.76,0.3,76.7,74.1,96.6,1.97,Matches
529,Hakim Ziyech,,ma MAR,FWMF,Chelsea,29-016,1993,11.7,64.1,0.94,6.58,24.1,36.4,4.44,60,2.05,3.76,54.5,2.22,0.51,49.1,221.7,106.3,6.32,1.79,1.37,1.71,2.56,53.5,44.4,82.9,7.78,Matches
530,Kurt Zouma,,fr FRA,DF,West Ham,27-159,1994,18.8,51.8,11.1,29.3,23.7,1.65,0.8,50.6,0.11,0.21,50,0.16,0.05,28.5,147.4,75.6,1.49,0.21,0,0.21,0.05,31.5,30.8,97.8,0.16,Matches
531,Martin Odegaard,,no NOR,MF,Arsenal,23-108,1998,21,61.1,0.52,7.48,31.8,26,2.38,57.1,0.67,1.14,58.3,0.67,0,43.6,218.2,113,6.48,2.05,0.43,1.52,1.62,52.4,45.6,87,3.95,Matches
