,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Tkls,TklsW,TKls Def 3rd,Tkls Mid 3rd,Tkls Att 3rd,Tkls vs Drib,Att vs Drib,Tkl% vs Drib,Past vs Drib,Press,Succ Press,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Blocked Sh,Blocked ShOT,Blocked Pass,Int,Tkl+Int,Clr,Err,Matches
24,Harrison Ashby,,sct SCO,DF,West Ham,20-141,2001,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,10,0,0,10,10,10,0,0,Matches
25,Pierre-Emerick Aubameyang,,ga GAB,FW,Arsenal,32-290,1989,11.5,1.04,0.61,0.43,0.43,0.17,0.17,0.52,33.3,0.35,17.5,4.61,26.4,2,6.78,8.7,1.65,0.26,0,1.39,0.09,1.13,0.26,0,Matches
26,Jordan Ayew,,gh GHA,FW,Crystal Palace,30-205,1991,17.3,2.31,1.62,0.87,1.04,0.4,0.52,1.04,50,0.52,22.3,6.47,29.1,5.38,9.83,7.05,1.68,0.17,0,1.5,1.16,3.47,0.23,0,Matches
27,Luke Ayling,,eng ENG,DF,Leeds United,30-222,1991,22,2.77,1.64,1.77,0.82,0.18,1.68,3.32,50.7,1.64,14.4,5.18,36.1,7.82,5.09,1.45,2.09,1.18,0,0.91,2,4.77,2.64,0.05,Matches
28,Cesar Azpilicueta,,es ESP,DF,Chelsea,32-219,1989,16.9,2.54,1.36,1.18,1.07,0.3,0.95,1.95,48.5,1.01,15.3,4.08,26.6,6.39,6.63,2.31,2.66,0.59,0,2.07,1.48,4.02,3.2,0,Matches
29,Daniel Bachmann,,at AUT,GK,Watford,27-269,1994,11,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Leon Bailey,,jm JAM,FWMF,Aston Villa,24-238,1997,6.8,2.65,1.76,1.03,1.18,0.44,0.59,1.62,36.4,1.03,14.3,4.85,34,2.5,5.29,6.47,1.32,0.29,0,1.03,0.44,3.09,0.44,0,Matches
31,Eric Bailly,,ci CIV,DF,Manchester Utd,27-357,1994,2.4,3.33,1.25,2.5,0.83,0,0.42,0.83,50,0.42,8.75,3.75,42.9,5.83,2.5,0.42,2.08,0.83,0,1.25,3.33,6.67,4.17,0,Matches
32,Folarin Balogun,,eng ENG,FW,Arsenal,20-275,2001,0.8,0,0,0,0,0,0,0,,0,26.3,6.25,23.8,2.5,2.5,21.3,1.25,0,0,1.25,0,0,1.25,0,Matches
33,Patrick Bamford,,eng ENG,FW,Leeds United,28-211,1993,6.2,0.48,0.32,0.16,0.32,0,0.16,0.65,25,0.48,17.9,6.13,34.2,0.65,7.58,9.68,0.97,0.48,0,0.48,0.48,0.97,1.29,0,Matches
34,Shandon Baptiste,,gd GRN,MF,Brentford,23-361,1998,9.8,0.71,0.41,0.61,0,0.1,0.31,1.33,23.1,1.02,20.2,6.53,32.3,6.12,9.49,4.59,1.22,0,0,1.22,1.84,2.55,1.02,0,Matches
