,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Tkls,TklsW,TKls Def 3rd,Tkls Mid 3rd,Tkls Att 3rd,Tkls vs Drib,Att vs Drib,Tkl% vs Drib,Past vs Drib,Press,Succ Press,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Blocked Sh,Blocked ShOT,Blocked Pass,Int,Tkl+Int,Clr,Err,Matches
103,Diogo Dalot,,pt POR,DF,Manchester Utd,23-017,1999,13.1,2.52,1.37,1.3,0.76,0.46,1.3,2.14,60.7,0.84,12.1,3.51,29.1,5.04,4.89,2.14,1.37,0.31,0.08,1.07,2.29,4.81,2.98,0,Matches
104,Karl Darlow,,eng ENG,GK,Newcastle Utd,31-178,1990,8,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.13,0,Matches
105,Josh Dasilva,,eng ENG,MFFW,Brentford,23-163,1998,1.5,2,0.67,0.67,0.67,0.67,0.67,0.67,100,0,21.3,2.67,12.5,7.33,10,4,5.33,0.67,0,4.67,1.33,3.33,3.33,0,Matches
106,Ben Davies,,wls WAL,DF,Tottenham,28-345,1993,20.3,1.72,0.74,0.74,0.69,0.3,0.44,1.18,37.5,0.74,10.3,3.45,33.3,5.27,3.55,1.53,1.33,0.54,0.1,0.79,1.53,3.25,2.91,0,Matches
107,Tom Davies,,eng ENG,MF,Everton,23-278,1998,1.8,2.22,1.11,0.56,1.11,0.56,0.56,2.22,25,1.67,22.2,6.67,30,8.33,8.89,5,1.67,0,0,1.67,2.22,4.44,1.67,0,Matches
108,Keinan Davis,,eng ENG,FW,Aston Villa,24-050,1998,0.1,0,0,0,0,0,0,0,,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,Matches
109,Craig Dawson,,eng ENG,DF,West Ham,31-333,1990,24.9,0.96,0.56,0.64,0.32,0,0.36,0.88,40.9,0.52,6.47,1.97,30.4,3.94,2.17,0.36,1.85,1.49,0,0.36,0.96,1.93,4.5,0.04,Matches
110,Kevin De Bruyne,,be BEL,MF,Manchester City,30-280,1991,17.9,0.95,0.56,0.17,0.5,0.28,0.45,1.9,23.5,1.45,14.9,4.3,28.8,2.01,6.31,6.59,1.68,0.11,0,1.56,0.5,1.45,0.67,0,Matches
111,Troy Deeney,,eng ENG,FW,Watford,33-279,1988,0.3,0,0,0,0,0,0,3.33,0,3.33,23.3,6.67,28.6,3.33,6.67,13.3,0,0,0,0,0,0,10,0,Matches
112,Liam Delap,,eng ENG,FW,Manchester City,19-055,2003,0.1,0,0,0,0,0,0,10,0,10,20,0,0,0,10,10,0,0,0,0,0,0,0,0,Matches
113,Fabian Delph,,eng ENG,MF,Everton,32-134,1989,2.8,3.57,2.14,1.07,2.5,0,1.43,3.93,36.4,2.5,22.1,5.36,24.2,6.07,13.9,2.14,1.07,0,0,1.07,4.64,8.21,1.43,0,Matches
114,Leander Dendoncker,,be BEL,MF,Wolves,26-354,1995,16.7,2.22,1.14,1.14,1.02,0.06,0.84,1.8,46.7,0.96,21.6,6.11,28.3,9.04,10.2,2.4,2.57,0.66,0,1.92,1.26,3.47,1.8,0,Matches
115,Emmanuel Dennis,,ng NGA,FWMF,Watford,24-140,1997,24.3,1.44,0.86,0.91,0.33,0.21,0.37,1.48,25,1.11,19.9,4.94,24.8,4.4,8.6,6.87,1.23,0.08,0,1.15,0.74,2.18,0.33,0,Matches
116,Kiernan Dewsbury Hall,,eng ENG,MF,Leicester City,23-210,1998,14.7,1.77,1.09,1.16,0.41,0.2,0.61,1.63,37.5,1.02,19.7,4.76,24.1,8.23,7.69,3.81,2.11,0.54,0,1.56,1.7,3.47,1.56,0.07,Matches
117,Ibrahima Diallo,,fr FRA,MF,Southampton,23-027,1999,9.4,2.45,1.7,1.28,0.74,0.43,0.64,2.02,31.6,1.38,19.4,6.06,31.3,6.06,9.79,3.51,0.96,0,0,0.96,1.28,3.72,0.74,0,Matches
118,Raphael Dias Belloli,,br BRA,FWMF,Leeds United,25-111,1996,26,1.65,0.73,0.77,0.62,0.27,0.62,2.08,29.6,1.46,15.6,3.73,24,3.65,6.62,5.31,1.81,0.04,0,1.77,1.38,3.04,0.65,0,Matches
119,Ruben Dias,,pt POR,DF,Manchester City,24-325,1997,23.7,1.27,1.05,0.46,0.68,0.13,0.3,0.68,43.8,0.38,5.91,2.66,45,2.24,2.95,0.72,1.05,0.51,0,0.55,1.35,2.62,2.95,0.04,Matches
120,Luis Diaz,,co COL,FW,Liverpool,25-081,1997,5.5,1.45,1.09,0.36,0.55,0.55,0.18,0.91,20,0.73,16.5,5.82,35.2,2.73,6.36,7.45,1.27,0.18,0,1.09,0.55,2,0,0,Matches
121,Eric Dier,,eng ENG,DF,Tottenham,28-079,1994,26.1,0.73,0.38,0.31,0.34,0.08,0.08,0.42,18.2,0.34,5.29,1.88,35.5,2.8,2.26,0.23,1.72,1.07,0.04,0.65,1.34,2.07,4.67,0,Matches
122,Lucas Digne,,fr FRA,DF,Aston Villa,28-258,1993,7.2,1.25,0.56,0.42,0.42,0.42,0.42,0.97,42.9,0.56,10.6,2.08,19.7,5.14,3.19,2.22,1.67,0.69,0,0.97,1.81,3.06,3.06,0,Matches
123,Lucas Digne,,fr FRA,DF,Everton,28-258,1993,13,2.69,1.31,2,0.38,0.31,1.69,2.31,73.3,0.62,12.4,3.31,26.7,6.15,3.85,2.38,2.15,0.38,0,1.77,2.38,5.08,2.31,0,Matches
124,Virgil van Dijk,,nl NED,DF,Liverpool,30-270,1991,28,0.57,0.32,0.32,0.21,0.04,0.29,0.32,88.9,0.04,3.39,1.11,32.6,1.93,1.25,0.21,0.89,0.54,0,0.36,1.39,1.96,4.29,0.04,Matches
125,Issa Diop,,fr FRA,DF,West Ham,25-085,1997,9,1,0.33,0.44,0.56,0,0.22,1,22.2,0.78,6.22,2.44,39.3,3.89,2.22,0.11,1.67,1.11,0,0.56,1.33,2.33,4.11,0,Matches
126,Moussa Djenepo,,ml MLI,MF,Southampton,23-293,1998,4.9,2.65,1.63,1.22,1.22,0.2,1.02,2.24,45.5,1.22,20.4,5.1,25,9.39,7.35,3.67,1.84,0.2,0,1.63,1.84,4.49,0.61,0,Matches
127,Lewis Dobbin,,eng ENG,FWMF,Everton,19-091,2003,0.4,5,5,0,2.5,2.5,0,5,0,5,47.5,12.5,26.3,10,17.5,20,0,0,0,0,2.5,7.5,0,0,Matches
128,Matt Doherty,,ie IRL,DF,Tottenham,30-078,1992,9.5,1.89,1.26,0.95,0.84,0.11,0.74,1.26,58.3,0.53,12.4,4.21,33.9,5.16,5.58,1.68,2.53,0.21,0,2.32,1.89,3.79,1.47,0,Matches
129,Gabriel Dos Santos,,br BRA,DF,Arsenal,24-106,1997,24.4,1.64,1.07,1.11,0.41,0.12,0.66,0.98,66.7,0.33,6.31,2.34,37,3.81,2.21,0.29,1.31,0.86,0,0.45,1.27,2.91,3.69,0.12,Matches
130,Abdoulaye Doucoure,,ml MLI,MF,Everton,29-093,1993,20.7,2.61,1.5,1.21,1.3,0.1,1.01,2.46,41.2,1.45,23.1,6.18,26.8,8.65,10.5,3.91,1.26,0.19,0,1.06,1.55,4.15,1.16,0,Matches
131,Kieran Dowell,,eng ENG,MFFW,Norwich City,24-176,1997,4,2.5,1,1,1,0.5,1.25,3.5,35.7,2.25,30,6,20,7.75,13,9.25,1.25,0.25,0,1,0.25,2.75,0.5,0,Matches
132,Cody Drameh,,eng ENG,DF,Leeds United,20-117,2001,1.4,4.29,2.14,2.86,1.43,0,1.43,2.86,50,1.43,20.7,5.71,27.6,11.4,7.14,2.14,1.43,0,0,1.43,2.14,6.43,1.43,0,Matches
133,Martin Dubravka,,sk SVK,GK,Newcastle Utd,33-079,1989,18,0,0,0,0,0,0,0,,0,0.22,0.06,25,0.22,0,0,0,0,0,0,0,0,0,0,Matches
134,Shane Duffy,,ie IRL,DF,Brighton,30-093,1992,16,1,0.56,0.75,0.06,0.19,0.31,0.81,38.5,0.5,5.38,1.25,23.3,3.13,1.94,0.31,2.19,1.19,0.06,1,1.13,2.13,5.69,0.06,Matches
135,Paul Dummett,,wls WAL,DF,Newcastle Utd,30-190,1991,2.2,4.09,1.82,2.73,0.91,0.45,2.27,3.64,62.5,1.36,14.1,5.45,38.7,6.82,5.91,1.36,1.36,0,0,1.36,1.82,5.91,4.09,0.45,Matches
136,Lewis Dunk,,eng ENG,DF,Brighton,30-134,1991,20.6,0.97,0.53,0.44,0.49,0.05,0.29,0.58,50,0.29,5.39,2.18,40.5,3.01,1.89,0.49,1.55,0.97,0,0.58,1.7,2.67,4.08,0.1,Matches
137,Ederson,,br BRA,GK,Manchester City,28-230,1993,29,0,0,0,0,0,0,0,,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0.03,Matches
138,Odsonne Edouard,,fr FRA,FW,Crystal Palace,24-078,1998,14.1,1.06,0.78,0.07,0.43,0.57,0.14,1.28,11.1,1.13,19.4,5.89,30.3,2.77,8.23,8.44,1.35,0.21,0,1.13,0.57,1.63,0.92,0,Matches
139,Anthony Elanga,,se SWE,FW,Manchester Utd,19-342,2002,7.1,1.97,1.27,0.85,0.85,0.28,0.56,2.11,26.7,1.55,21.7,6.48,29.9,5.92,9.86,5.92,1.55,0.14,0,1.41,1.41,3.38,0.28,0,Matches
140,Harvey Elliott,,eng ENG,MF,Liverpool,19-000,2003,3.1,0.32,0.32,0.32,0,0,0,1.94,0,1.94,24.8,5.16,20.8,5.48,13.5,5.81,2.58,0,0,2.58,0.97,1.29,1.29,0,Matches
141,Mohamed Elneny,,eg EGY,MF,Arsenal,29-267,1992,2,1.5,1,1,0.5,0,0.5,1,50,0.5,11.5,3.5,30.4,6,4.5,1,1,0,0,1,2.5,4,1,0,Matches
142,Mohamed Elyounoussi,,no NOR,MF,Southampton,27-243,1994,17.8,2.08,1.57,0.67,1.18,0.22,0.51,1.29,39.1,0.79,20.3,6.91,34.1,5.73,10.1,4.49,1.91,0.17,0,1.74,0.79,2.87,0.96,0,Matches
143,Emerson,,br BRA,DF,Tottenham,23-080,1999,17.7,3.73,1.75,2.49,0.9,0.34,1.24,2.77,44.9,1.53,21.2,5.59,26.3,10.3,7.51,3.39,2.2,0.23,0,1.98,1.69,5.42,3.28,0,Matches
144,Christian Eriksen,,dk DEN,MF,Brentford,30-049,1992,3.4,1.76,1.18,0.29,1.18,0.29,0.59,1.18,50,0.59,18.5,2.94,15.9,5,10.3,3.24,0.88,0,0,0.88,0.59,2.35,1.47,0,Matches
145,Oghenekaro Etebo,,ng NGA,MF,Watford,26-146,1995,4.3,2.79,2.33,1.16,1.63,0,0.93,1.63,57.1,0.7,14.7,5.12,34.9,6.51,7.21,0.93,1.16,0.23,0,0.93,1.63,4.42,1.4,0,Matches
146,Jonny Evans,,nir NIR,DF,Leicester City,34-091,1988,9.4,1.7,0.96,1.28,0.32,0.11,0.96,1.6,60,0.64,7.45,2.87,38.6,4.68,2.45,0.32,1.7,1.06,0,0.64,2.45,4.15,3.51,0,Matches
147,Eberechi Eze,,eng ENG,MFFW,Crystal Palace,23-279,1998,1.6,2.5,1.25,1.25,0.63,0.63,1.88,1.88,100,0,16.3,5.63,34.6,2.5,8.75,5,1.25,0,0,1.25,1.88,4.38,0,0,Matches
148,Lukasz Fabianski,,pl POL,GK,West Ham,36-351,1985,30,0,0,0,0,0,0,0,,0,0.03,0.03,100,0.03,0,0,0,0,0,0,0,0,0,0,Matches
149,Fabinho,,br BRA,MF,Liverpool,28-163,1993,21.2,2.31,1.51,0.61,1.42,0.28,0.71,2.36,30,1.65,15.8,5.19,32.7,4.81,8.63,2.41,1.93,0.33,0,1.6,2.17,4.48,1.27,0,Matches
150,Kiko Femenia,,es ESP,DF,Watford,31-061,1991,18.8,1.81,1.22,1.17,0.59,0.05,0.96,1.7,56.3,0.74,9.41,3.09,32.8,4.63,3.67,1.12,1.86,0.48,0,1.38,2.93,4.73,2.82,0,Matches
151,Evan Ferguson,,ie IRL,MF,Brighton,17-167,2004,0.3,0,0,0,0,0,0,0,,0,3.33,0,0,0,0,3.33,0,0,0,0,0,0,0,0,Matches
152,Nathan Ferguson,,eng ENG,DF,Crystal Palace,21-180,2000,0.1,0,0,0,0,0,0,0,,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,Matches
153,Bruno Fernandes,,pt POR,MF,Manchester Utd,27-208,1994,26.6,1.62,1.28,0.75,0.6,0.26,0.75,2.07,36.4,1.32,17.9,5.11,28.5,3.23,8.61,6.09,0.86,0,0,0.86,1.17,2.78,1.13,0.08,Matches
154,Alvaro Fernandez,,es ESP,GK,Brentford,23-356,1998,12,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.17,Matches
155,Federico Fernandez,,ar ARG,DF,Newcastle Utd,33-042,1989,5.8,0.17,0.17,0,0.17,0,0,1.03,0,1.03,5.69,0.69,12.1,3.62,1.55,0.52,1.9,1.55,0,0.34,2.24,2.41,3.97,0,Matches
156,Fernandinho,,br BRA,MF,Manchester City,36-335,1985,6.8,2.21,1.47,0.59,1.47,0.15,0.44,1.76,25,1.32,13.1,3.82,29.2,3.82,7.79,1.47,0.59,0.15,0,0.44,1.03,3.24,1.47,0,Matches
157,Roberto Firmino,,br BRA,FW,Liverpool,30-184,1991,9.8,3.06,2.14,0.51,1.53,1.02,0.31,1.33,23.1,1.02,21.4,7.45,34.8,2.86,10.2,8.37,1.73,0,0,1.73,0.2,3.27,0.2,0,Matches
158,Junior Firpo,,es ESP,DF,Leeds United,25-225,1996,14.8,3.58,1.89,1.82,1.42,0.34,1.69,3.18,53.2,1.49,17.5,5.27,30.1,8.45,6.62,2.43,1.76,0.41,0.07,1.35,1.76,5.34,2.57,0,Matches
159,Ashley Fletcher,,eng ENG,FW,Watford,26-184,1995,0.3,6.67,6.67,6.67,0,0,3.33,3.33,100,0,30,3.33,11.1,16.7,10,3.33,3.33,3.33,0,0,0,6.67,0,0,Matches
160,Phil Foden,,eng ENG,FW,Manchester City,21-311,2000,18.6,0.7,0.54,0.22,0.16,0.32,0.27,0.38,71.4,0.11,17.5,5.22,29.8,1.72,5.59,10.2,0.54,0.05,0,0.48,0.7,1.4,0,0,Matches
161,Wesley Fofana,,fr FRA,DF,Leicester City,21-108,2000,1,1,0,1,0,0,0,0,,0,3,1,33.3,3,0,0,0,0,0,0,5,6,7,1,Matches
162,Pablo Fornals,,es ESP,FWMF,West Ham,26-041,1996,25,1.72,1.12,0.72,0.6,0.4,0.92,3.04,30.3,2.12,21.1,5.84,27.7,6,9.28,5.8,1.52,0.08,0,1.44,1.6,3.32,0.56,0,Matches
163,Adam Forshaw,,eng ENG,MF,Leeds United,30-178,1991,17,3,1.65,1.18,1.71,0.12,1.24,2.88,42.9,1.65,24.1,7.29,30.3,7.47,12.7,3.88,1.12,0.06,0,1.06,1.76,4.76,1.12,0.06,Matches
164,Marcus Forss,,fi FIN,FWMF,Brentford,22-290,1999,2.3,1.74,0.87,0,1.3,0.43,0.87,1.74,50,0.87,30.4,9.13,30,4.78,12.6,13,1.3,0,0,1.3,0.87,2.61,0,0,Matches
165,Fraser Forster,,eng ENG,GK,Southampton,34-018,1988,13,0,0,0,0,0,0,0.08,0,0.08,0.31,0.15,50,0.31,0,0,0,0,0,0,0,0,0.15,0.08,Matches
166,Ben Foster,,eng ENG,GK,Watford,39-001,1983,19,0,0,0,0,0,0,0.16,0,0.16,0.21,0.05,25,0.21,0,0,0,0,0,0,0,0,0.16,0.05,Matches
167,Tariqe Fosu,,gh GHA,DF,Brentford,26-150,1995,0.2,0,0,0,0,0,0,0,,0,25,0,0,0,10,15,5,0,0,5,0,0,0,0,Matches
168,Ryan Fraser,,sct SCO,FWMF,Newcastle Utd,28-039,1994,16,0.81,0.25,0.5,0.31,0,0.25,0.94,26.7,0.69,10.1,2.5,24.7,2.06,4.25,3.81,0.75,0,0,0.75,1,1.81,0.56,0,Matches
169,Fred,,br BRA,MF,Manchester Utd,29-030,1993,20.6,3.01,1.7,1.36,1.31,0.34,0.78,3.16,24.6,2.38,25,6.36,25.4,8.69,13.4,2.86,2.09,0.63,0,1.46,2.09,5.1,1.41,0,Matches
170,Ryan Fredericks,,eng ENG,DF,West Ham,29-176,1992,2.4,1.25,0.83,1.25,0,0,0.42,1.25,33.3,0.83,8.75,2.08,23.8,5,2.08,1.67,1.67,0.42,0,1.25,2.08,3.33,2.92,0.42,Matches
171,Leo Fuhr Hjelde,,no NOR,DF,Leeds United,18-221,2003,1.7,2.35,1.18,2.35,0,0,1.76,1.76,100,0,17.6,6.47,36.7,7.65,7.06,2.94,1.76,1.76,0,0,2.35,4.71,4.71,0,Matches
172,Conor Gallagher,,eng ENG,MF,Crystal Palace,22-057,2000,24.4,2.46,1.64,1.27,0.61,0.57,0.45,1.97,22.9,1.52,25.2,7.25,28.8,6.84,11.7,6.64,1.64,0.29,0,1.35,1.27,3.73,0.98,0,Matches
173,Dwight Gayle,,eng ENG,FW,Newcastle Utd,31-169,1990,0.4,2.5,0,0,2.5,0,0,0,,0,35,10,28.6,2.5,25,7.5,0,0,0,0,2.5,5,0,0,Matches
174,Jean-Philippe Gbamin,,ci CIV,MF,Everton,26-191,1995,0.7,2.86,1.43,1.43,1.43,0,0,1.43,0,1.43,20,10,50,11.4,4.29,4.29,0,0,0,0,0,2.86,1.43,0,Matches
175,David de Gea,,es ESP,GK,Manchester Utd,31-148,1990,30,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
176,Joe Gelhardt,,eng ENG,FWMF,Leeds United,19-335,2002,5.5,1.64,0.91,0.55,0.36,0.73,0.55,1.27,42.9,0.73,26.4,8.91,33.8,2.73,12.2,11.5,0.91,0,0,0.91,0.36,2,0.36,0,Matches
177,Anwar El Ghazi,,nl NED,FW,Everton,26-336,1995,0.1,10,10,10,0,0,10,10,100,0,100,30,30,20,30,50,20,0,0,20,10,20,0,0,Matches
178,Anwar El Ghazi,,nl NED,FWMF,Aston Villa,26-336,1995,4.3,0.7,0.7,0.23,0.47,0,0.47,1.4,33.3,0.93,11.2,4.19,37.5,1.63,5.58,3.95,1.16,0,0,1.16,0.47,1.16,0.47,0,Matches
179,Saman Ghoddos,,ir IRN,MFDF,Brentford,28-210,1993,4.8,2.71,1.46,1.04,1.25,0.42,1.46,2.29,63.6,0.83,20.4,4.58,22.4,6.04,8.96,5.42,1.46,0,0,1.46,1.04,3.75,1.88,0,Matches
180,Dimitris Giannoulis,,gr GRE,DF,Norwich City,26-169,1995,7.1,2.39,0.99,1.13,1.13,0.14,1.55,1.83,84.6,0.28,13.9,3.94,28.3,7.61,4.08,2.25,3.38,0.56,0,2.82,2.82,5.21,2.39,0,Matches
181,Morgan Gibbs-White,,eng ENG,FWMF,Wolves,22-067,2000,0.1,0,0,0,0,0,0,0,,0,30,0,0,10,10,10,10,0,0,10,0,0,0,0,Matches
182,Ben Gibson,,eng ENG,DF,Norwich City,29-079,1993,24.7,0.69,0.53,0.53,0.16,0,0.2,0.4,50,0.2,5.22,1.78,34.1,3.16,1.86,0.2,2.11,1.3,0,0.81,1.66,2.35,5.55,0,Matches
183,Billy Gilmour,,sct SCO,MF,Norwich City,20-297,2001,16.7,2.4,1.14,0.96,1.2,0.24,0.84,2.16,38.9,1.32,23.7,4.91,20.8,9.46,11.4,2.81,1.2,0.18,0,1.02,1.8,4.19,1.74,0,Matches
184,Ben Godfrey,,eng ENG,DF,Everton,24-079,1998,19.5,2.51,1.18,1.44,0.82,0.26,0.72,1.44,50,0.72,12.7,4.21,33.2,6.36,5.18,1.13,2.26,0.92,0,1.33,2.26,4.77,3.59,0.1,Matches
185,Andre Gomes,,pt POR,MF,Everton,28-248,1993,5.6,2.68,1.61,1.07,0.89,0.71,1.25,3.21,38.9,1.96,29.3,8.57,29.3,10.2,13.6,5.54,1.25,0.36,0,0.89,1.25,3.93,0.36,0,Matches
186,Toti Gomes,,pt POR,DF,Wolves,23-078,1999,2,3,1,2.5,0.5,0,1,1.5,66.7,0.5,10.5,4.5,42.9,7.5,2.5,0.5,2,0,0,2,3,6,6,0,Matches
187,Joe Gomez,,eng ENG,DF,Liverpool,24-316,1997,2.2,1.36,0.45,0.91,0,0.45,0.91,2.27,40,1.36,13.6,4.09,30,5,5.91,2.73,0.91,0.45,0,0.45,3.64,5,1.82,0,Matches
188,Charlie Goode,,eng ENG,DF,Brentford,26-244,1995,5,1.6,1,1.2,0.4,0,0.8,0.8,100,0,7.2,3,41.7,4,2.6,0.6,1,0.4,0,0.6,1,2.6,2.4,0,Matches
189,Anthony Gordon,,eng ENG,MFFW,Everton,21-039,2001,16.9,2.84,1.78,1.36,1.07,0.41,1.01,2.84,35.4,1.83,22.7,6.39,28.1,5.44,10.8,6.51,2.13,0.3,0,1.83,1.24,4.08,0.36,0,Matches
190,Kaide Gordon,,eng ENG,FW,Liverpool,17-181,2004,0.1,10,0,0,0,10,10,10,100,0,60,30,50,0,10,50,0,0,0,0,0,10,0,0,Matches
191,Dan Gosling,,eng ENG,MF,Watford,32-062,1990,0.2,0,0,0,0,0,0,20,0,20,25,5,20,10,15,0,0,0,0,0,0,0,5,0,Matches
192,Demarai Gray,,eng ENG,MFFW,Everton,25-280,1996,19.8,1.11,0.66,0.35,0.51,0.25,0.51,1.01,50,0.51,11.7,3.89,33.2,2.47,5.15,4.09,1.01,0,0,1.01,0.66,1.77,0.35,0.05,Matches
193,Jack Grealish,,eng ENG,FW,Manchester City,26-206,1995,17.1,0.76,0.58,0.18,0.47,0.12,0.12,0.58,20,0.47,12.8,4.91,38.4,1.7,4.09,7.02,0.76,0.12,0,0.64,0.82,1.58,0.23,0,Matches
194,Mason Greenwood,,eng ENG,FWMF,Manchester Utd,20-185,2001,14.1,1.13,0.57,0.57,0.14,0.43,0.35,0.85,41.7,0.5,10.9,2.84,26,2.48,4.18,4.26,0.35,0,0,0.35,0.28,1.42,0.35,0,Matches
195,Sam Greenwood,,eng ENG,FWMF,Leeds United,20-068,2002,0.9,0,0,0,0,0,0,1.11,0,1.11,15.6,2.22,14.3,0,5.56,10,0,0,0,0,0,0,0,0,Matches
196,Pascal Gross,,de GER,MFDF,Brighton,30-293,1991,16.3,1.6,1.1,0.98,0.49,0.12,0.67,1.6,42.3,0.92,15.4,5.03,32.7,5.71,5.4,4.29,1.9,0.43,0,1.47,0.8,2.39,1.17,0,Matches
197,Vicente Guaita,,es ESP,GK,Crystal Palace,35-084,1987,23.5,0,0,0,0,0,0,0,,0,0.04,0,0,0.04,0,0,0,0,0,0,0,0,0,0.04,Matches
198,Marc Guehi,,eng ENG,DF,Crystal Palace,21-265,2000,28,1.04,0.79,0.75,0.25,0.04,0.32,0.5,64.3,0.18,6.5,2.61,40.1,4.14,2.04,0.32,1.39,0.82,0,0.57,1.64,2.68,4.14,0,Matches
199,Bruno Guimaraes,,br BRA,MF,Newcastle Utd,24-139,1997,3.6,5.28,3.61,3.06,1.39,0.83,1.11,3.89,28.6,2.78,29.4,9.44,32.1,10.6,13.6,5.28,1.39,0.28,0,1.11,2.22,7.5,1.11,0,Matches
200,?lkay Gundogan,,de GER,MF,Manchester City,31-162,1990,16,1,0.44,0.44,0.5,0.06,0.38,1.06,35.3,0.69,9.13,2.5,27.4,2.44,4.38,2.31,0.88,0.19,0.06,0.69,1,2,0.5,0,Matches
201,Angus Gunn,,eng ENG,GK,Norwich City,26-072,1996,7,0,0,0,0,0,0,0,,0,0.29,0,0,0.29,0,0,0,0,0,0,0,0,0.14,0,Matches
202,Grant Hanley,,sct SCO,DF,Norwich City,30-135,1991,24.2,1.98,1.49,1.32,0.54,0.12,0.5,0.91,54.5,0.41,8.88,3.55,40,6.12,2.44,0.33,2.23,1.65,0.04,0.58,2.07,4.05,6.24,0.04,Matches
203,Jack Harrison,,eng ENG,FWMF,Leeds United,25-135,1996,22.9,1.92,1.05,0.7,0.74,0.48,1,2.05,48.9,1.05,18.2,4.93,27.2,5.2,6.99,5.98,2.14,0.09,0,2.05,1.22,3.14,1.09,0,Matches
204,Kortney Hause,,eng ENG,DF,Aston Villa,26-262,1995,4.4,0.91,0.91,0.68,0,0.23,0.45,0.45,100,0,10.7,4.77,44.7,6.82,3.64,0.23,2.27,1.14,0,1.14,2.05,2.95,4.32,0,Matches
205,Kai Havertz,,de GER,FWMF,Chelsea,22-297,1999,15.5,1.23,0.77,0.19,0.77,0.26,0.19,0.77,25,0.58,16.3,4.71,28.9,1.61,6.45,8.26,1.94,0.06,0,1.87,0.39,1.61,1.55,0,Matches
206,Isaac Hayden,,eng ENG,MFDF,Newcastle Utd,27-013,1995,11.1,3.06,1.62,1.53,1.08,0.45,0.72,2.07,34.8,1.35,17.5,4.77,27.3,6.94,8.65,1.89,1.98,0.81,0,1.17,1.8,4.86,2.7,0,Matches
207,Hwang Hee-chan,,kr KOR,FWMF,Wolves,26-068,1996,15.3,1.7,0.78,0.59,0.98,0.13,0.78,2.09,37.5,1.31,14.6,3.66,25,3.2,6.93,4.51,0.85,0,0,0.85,0.98,2.68,0.52,0.07,Matches
208,Jordan Henderson,,eng ENG,MF,Liverpool,31-291,1990,23.3,1.16,0.86,0.17,0.82,0.17,0.39,1.46,26.5,1.07,15.8,5.02,31.8,3.3,9.01,3.48,1.2,0.09,0,1.12,1.59,2.75,0.64,0,Matches
209,Jeff Hendrick,,ie IRL,MF,Newcastle Utd,30-063,1992,0.8,1.25,1.25,0,1.25,0,1.25,1.25,100,0,20,2.5,12.5,2.5,13.8,3.75,0,0,0,0,0,1.25,1.25,0,Matches
210,Wayne Hennessey,,wls WAL,GK,Burnley,35-070,1987,2,0,0,0,0,0,0,0,,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,Matches
211,Rico Henry,,eng ENG,DF,Brentford,24-270,1997,24.2,1.49,0.99,0.91,0.33,0.25,0.37,1.16,32.1,0.79,12.8,3.51,27.5,5.79,4.21,2.77,2.4,0.45,0,1.94,1.98,3.47,2.19,0.04,Matches
212,Son Heung-min,,kr KOR,FWMF,Tottenham,29-270,1992,25.9,0.46,0.23,0.19,0.23,0.04,0.12,0.77,15,0.66,11.5,2.86,24.7,2.08,5.68,3.78,0.93,0.15,0,0.77,0.85,1.31,0.27,0,Matches
213,Ki-Jana Hoever,,nl NED,DF,Wolves,20-076,2002,3.4,4.71,2.94,3.53,1.18,0,1.47,3.82,38.5,2.35,23.8,7.35,30.9,11.8,8.82,3.24,1.76,0,0,1.76,1.47,6.18,2.35,0,Matches
214,Rob Holding,,eng ENG,DF,Arsenal,26-196,1995,4.8,1.88,1.25,1.67,0.21,0,1.04,1.46,71.4,0.42,7.5,2.29,30.6,4.79,2.29,0.42,3.75,2.71,0,1.04,2.08,3.96,6.25,0,Matches
215,Mason Holgate,,eng ENG,DF,Everton,25-164,1996,15.8,1.96,1.2,1.39,0.57,0,0.63,1.39,45.5,0.76,10.1,3.48,34.6,5.89,3.42,0.76,1.46,0.89,0,0.57,1.96,3.92,5.57,0,Matches
216,Callum Hudson-Odoi,,eng ENG,FWMF,Chelsea,21-148,2000,10.7,1.21,0.56,0.37,0.65,0.19,0.28,1.4,20,1.12,14.8,3.55,24.1,2.24,7.2,5.33,1.21,0,0,1.21,0.47,1.68,0.47,0,Matches
217,Will Hughes,,eng ENG,MF,Crystal Palace,26-352,1995,9.1,2.75,1.43,0.88,1.65,0.22,0.66,1.87,35.3,1.21,18.9,5.38,28.5,6.37,10.8,1.76,1.98,0.44,0,1.54,1.54,4.29,1.21,0,Matches
