,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
32,Folarin Balogun,,eng ENG,FW,Arsenal,20-275,2001,0.8,0,3.75,0,0,3.86,0,0,,14,0,0,0,0.37,0.37,0.09,-0.37,-0.37,Matches
33,Patrick Bamford,,eng ENG,FW,Leeds United,28-211,1993,6.2,0.32,3.23,0.81,25,3.22,0.81,0.1,0.4,13.6,0,0,0,0.65,0.65,0.2,-0.32,-0.32,Matches
34,Shandon Baptiste,,gd GRN,MF,Brentford,23-361,1998,9.8,0.1,1.22,0.41,33.3,1.23,0.41,0.08,0.25,18.9,0,0,0,0.08,0.08,0.06,0.02,0.02,Matches
35,Ross Barkley,,eng ENG,MF,Chelsea,28-120,1993,1.7,0,3.53,0.59,16.7,3.51,0.58,0,0,22.1,0,0,0,0.47,0.47,0.14,-0.47,-0.47,Matches
36,Ashley Barnes,,eng ENG,FW,Burnley,32-156,1989,4.8,0,1.67,0.63,37.5,1.66,0.62,0,0,12.9,0,0,0,0.15,0.15,0.08,-0.15,-0.15,Matches
37,Harvey Barnes,,eng ENG,FWMF,Leicester City,24-116,1997,18.4,0.16,2.88,1.03,35.8,2.88,1.03,0.06,0.16,15.7,0,0,0,0.27,0.27,0.09,-0.11,-0.11,Matches
38,Lewis Bate,,eng ENG,MF,Leeds United,19-157,2002,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
39,Mads Bech Sorensen,,dk DEN,DF,Brentford,23-087,1999,4.2,0,0.24,0,0,0.24,0,0,,8.9,0,0,0,0,0,0.05,0,0,Matches
40,Jan Bednarek,,pl POL,DF,Southampton,25-357,1996,23.2,0.13,0.78,0.26,33.3,0.78,0.26,0.17,0.5,7.9,0,0,0,0.09,0.09,0.12,0.03,0.03,Matches
41,Donny van de Beek,,nl NED,MF,Everton,24-351,1997,4.8,0,0.83,0,0,0.84,0,0,,22.8,0,0,0,0.02,0.02,0.03,-0.02,-0.02,Matches
42,Donny van de Beek,,nl NED,MF,Manchester Utd,24-351,1997,0.8,1.25,2.5,1.25,50,2.4,1.2,0.5,1,9.3,0,0,0,0.87,0.87,0.36,0.37,0.37,Matches
43,Asmir Begovic,,ba BIH,GK,Everton,34-288,1987,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
44,Said Benrahma,,dz ALG,FWMF,West Ham,26-237,1995,20.8,0.29,2.69,0.91,33.9,2.69,0.91,0.11,0.32,19.1,0.14,0,0,0.2,0.2,0.07,0.09,0.09,Matches
45,Rodrigo Bentancur,,uy URU,MF,Tottenham,24-303,1997,7.6,0,0.66,0,0,0.66,0,0,,16.8,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
46,Christian Benteke,,be BEL,FW,Crystal Palace,31-122,1990,12.4,0.32,3.15,1.05,33.3,3.15,1.05,0.1,0.31,11.4,0,0,0,0.44,0.44,0.14,-0.11,-0.11,Matches
47,Johann Berg Gudmundsson,,is ISL,MF,Burnley,31-159,1990,12.2,0,1.56,0.33,21.1,1.55,0.33,0,0,19.7,0.16,0,0,0.14,0.14,0.09,-0.14,-0.14,Matches
48,Steven Bergwijn,,nl NED,FWMF,Tottenham,24-178,1997,5.6,0.54,3.21,1.79,55.6,3.2,1.78,0.17,0.3,16.1,0,0,0,0.52,0.52,0.16,0.02,0.02,Matches
49,Ryan Bertrand,,eng ENG,DF,Leicester City,32-242,1989,3.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
50,Mads Bidstrup,,dk DEN,MF,Brentford,21-038,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
51,Yves Bissouma,,ml MLI,MF,Brighton,25-217,1996,18.1,0,0.99,0.17,16.7,0.99,0.17,0,0,23.6,0.06,0,0,0.04,0.04,0.05,-0.04,-0.04,Matches
52,Willy Boly,,ci CIV,DF,Wolves,31-060,1991,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
53,Jarrod Bowen,,eng ENG,FW,West Ham,25-105,1996,26.9,0.33,2.57,1.08,42,2.56,1.08,0.13,0.31,15.5,0,0,0,0.35,0.35,0.14,-0.01,-0.01,Matches
54,Jarrad Branthwaite,,eng ENG,DF,Everton,19-281,2002,2.1,0.48,0.95,0.95,100,0.94,0.94,0.5,0.5,14,0,0,0,0.19,0.19,0.21,0.29,0.29,Matches
55,Armando Broja,,al ALB,FW,Southampton,20-206,2001,17.8,0.34,2.3,1.01,43.9,2.3,1.01,0.15,0.33,12,0,0,0,0.37,0.37,0.16,-0.03,-0.03,Matches
56,Josh Brownhill,,eng ENG,MF,Burnley,26-106,1995,23.4,0.04,0.9,0.26,28.6,0.9,0.26,0.05,0.17,22.8,0.13,0,0,0.04,0.04,0.05,0,0,Matches
57,Bryan,,es ESP,FWMF,Tottenham,21-052,2001,1,0,1,1,100,0.96,0.96,0,0,16.2,0,0,0,0,0,0.03,0,0,Matches
58,Emi Buendia,,ar ARG,FWMF,Aston Villa,25-100,1996,17.3,0.12,1.85,0.64,34.4,1.85,0.64,0.06,0.18,17.9,0,0,0,0.13,0.13,0.07,-0.01,-0.01,Matches
59,Dan Burn,,eng ENG,DF,Newcastle Utd,29-330,1992,8,0,0.75,0,0,0.75,0,0,,7.6,0,0,0,0.04,0.04,0.05,-0.04,-0.04,Matches
60,Dan Burn,,eng ENG,DF,Brighton,29-330,1992,11.4,0.09,0.61,0.26,42.9,0.62,0.26,0.14,0.33,7.4,0,0,0,0.11,0.11,0.18,-0.03,-0.03,Matches
61,Jack Butland,,eng ENG,GK,Crystal Palace,29-025,1993,5.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
