,,,,,,,,,,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Name,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FKG,CKG,OG,PSxG,PSxG/SoT,PSxG+/-,PSxG-GA/90,Launched Cmp,Launched Att,Launched Cmp%,Pass Att,Throws,Launch%,Pass AvgLen,GK Att,GK Launch%,Gk AvgLen,Opp Cross,Stp Cross,Stp% Cross,#OPA,#OPA/90,AvgDist,Matches
23,Hugo Lloris,fr FRA,GK,Tottenham,35-099,1986,30,1.23,0.07,0.03,0.17,0.03,1.18,0.31,-0.02,-0.02,4.47,9.37,47.7,17.4,3.8,37,34.3,7.17,40.9,34.5,9.33,0.57,6.1,0.67,0.67,0.48,Matches
24,Jonas Lossl,dk DEN,GK,Brentford,33-062,1989,2,2.5,0,0,0,0,1.65,0.46,-0.85,-0.87,6.5,15,43.3,24.5,3,53.1,38.9,6.5,30.8,34.2,7,0,0,2,2,9.9,Matches
25,Emiliano Martinez,ar ARG,GK,Aston Villa,29-214,1992,29,1.34,0.1,0.07,0.17,0.07,1.08,0.26,-0.19,-0.19,5.62,13.6,41.3,23,3.93,43.6,37.9,7.86,45.6,39.8,7.86,0.41,5.3,0.79,0.79,0.5,Matches
26,Alex McCarthy,eng ENG,GK,Southampton,32-122,1989,15,1.4,0,0,0.4,0,1.39,0.35,-0.01,-0.02,4.8,16.1,29.9,22.7,4.07,46.3,39.9,7.27,76.1,56.8,9,1.13,12.6,0.2,0.2,0.83,Matches
27,Edouard Mendy,sn SEN,GK,Chelsea,30-034,1992,25,0.84,0.2,0,0.04,0.04,0.86,0.23,0.06,0.05,3.36,8,42,22.9,3.72,26.6,29.5,5.36,35.8,31,7.76,0.72,9.3,0.6,0.6,0.55,Matches
28,Illan Meslier,fr FRA,GK,Leeds United,22-033,2000,30.6,2.22,0.16,0.1,0.33,0.03,1.92,0.31,-0.27,-0.27,4.08,12.4,33,29.3,6.96,32.7,31.8,7.29,38.1,35.9,5.98,0.52,8.7,0.98,0.98,0.48,Matches
29,Jordan Pickford,eng ENG,GK,Everton,28-028,1994,26,1.77,0.04,0.08,0.35,0.12,1.53,0.3,-0.12,-0.12,7.42,21.8,34.1,24.8,3.54,64.2,50,7.58,77.2,61.9,8.38,0.58,6.9,0.73,0.73,0.58,Matches
30,Nick Pope,eng ENG,GK,Burnley,29-350,1992,26,1.31,0.04,0.04,0.23,0,1.33,0.32,0.02,0.02,8.96,23.5,38.2,21.7,3.46,75.3,53.6,7.69,93,64.9,9.69,0.88,9.1,1.54,1.54,0.7,Matches
31,Aaron Ramsdale,eng ENG,GK,Arsenal,23-325,1998,24,0.92,0.13,0,0,0,0.86,0.2,-0.05,-0.06,5.83,16.7,35,29.3,4.88,42,38,5.79,75.5,59,7.79,0.79,10.2,0.79,0.79,0.64,Matches
32,David Raya,es ESP,GK,Brentford,26-201,1995,17,1.12,0.06,0.06,0.12,0,1.19,0.26,0.07,0.07,10.8,26.1,41.5,36.3,4.82,54.6,43.1,8.29,75.2,54.7,10.1,0.82,8.2,1.24,1.24,0.91,Matches
33,Jose Sa,pt POR,GK,Wolves,29-077,1993,31,0.87,0.19,0.03,0.03,0.03,1.18,0.26,0.35,0.35,4.32,13.1,33,22.3,5.29,42.8,39.5,7.03,50.9,42.7,9.1,0.97,10.6,1.1,1.1,0.5,Matches
34,Robert Sanchez,es ESP,GK,Brighton,24-137,1997,29,1.17,0.1,0,0.14,0,1.23,0.29,0.06,0.06,5.34,16.3,32.8,35.8,4.45,34,36.4,6.1,67.8,53.4,8,1,12.5,1,1,0.52,Matches
35,Kasper Schmeichel,dk DEN,GK,Leicester City,35-150,1986,28,1.68,0.21,0.04,0.43,0.04,1.62,0.29,-0.02,-0.02,7.21,17.3,41.8,27.1,4.11,47.6,39.8,8.29,52.2,44.2,8.36,0.54,6.4,0.5,0.5,0.45,Matches
36,Jason Steele,eng ENG,GK,Brighton,31-229,1990,1,2,0,0,1,0,1.2,0.25,-0.8,-0.77,3,7,42.9,32,2,12.5,26.2,6,50,43.8,11,1,9.1,0,0,13,Matches
37,Jed Steer,eng ENG,GK,Aston Villa,29-193,1992,1,3,0,0,0,0,1.8,0.45,-1.2,-1.2,5,13,38.5,30,6,30,34.4,6,66.7,53.8,8,1,12.5,1,1,14.3,Matches
38,Zack Steffen,us USA,GK,Manchester City,27-002,1995,1,0,0,0,0,0,0.3,0.16,0.3,0.31,4,9,44.4,31,6,22.6,26,7,28.6,25.3,7,0,0,2,2,17.5,Matches
39,Freddie Woodman,eng ENG,GK,Newcastle Utd,25-031,1997,4,3,0.5,0,0,0,2.17,0.35,-0.82,-0.83,5.5,17.8,31,20,2.75,53.8,43.3,10.8,65.1,52,8.25,0.5,6.1,0,0,2.9,Matches
