,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,CK_In,CK_Out,CK_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
32,Folarin Balogun,,eng ENG,FW,Arsenal,20-263,2001,0.8,8,8,0,0,0,3,0,0,0,0,0,0,4,3,1,1,6,1,0,0,4,0,0,2,0,Matches
33,Patrick Bamford,,eng ENG,FW,Leeds United,28-199,1993,6.2,103,87,16,0,1,19,4,4,0,0,0,0,76,18,9,74,18,8,1,1,85,0,4,1,4,Matches
34,Shandon Baptiste,,gd GRN,MF,Brentford,23-349,1998,9.8,281,280,1,1,0,58,3,5,0,0,0,0,213,32,36,37,224,11,0,1,233,0,5,11,4,Matches
35,Ross Barkley,,eng ENG,MF,Chelsea,28-108,1993,1.7,110,103,7,0,2,27,3,1,7,0,5,1,85,10,15,15,88,2,0,0,90,0,1,4,4,Matches
36,Ashley Barnes,,eng ENG,FW,Burnley,32-144,1989,4.7,102,99,3,0,0,49,2,1,0,0,0,0,55,29,18,10,63,7,0,3,68,4,4,2,4,Matches
37,Harvey Barnes,,eng ENG,FWMF,Leicester City,24-104,1997,17.4,530,527,3,0,1,119,11,32,0,0,0,0,371,80,79,61,431,19,1,4,388,2,9,28,26,Matches
38,Lewis Bate,,eng ENG,MF,Leeds United,19-145,2002,0.5,19,19,0,0,0,6,0,0,0,0,0,0,11,6,2,11,6,2,0,0,15,0,0,0,0,Matches
39,Mads Bech Sorensen,,dk DEN,DF,Brentford,23-075,1999,4.2,240,196,44,2,0,17,1,11,0,0,0,0,149,25,66,150,34,11,42,0,180,1,3,6,6,Matches
40,Jan Bednarek,,pl POL,DF,Southampton,25-345,1996,22.2,1165,1100,65,36,0,150,25,3,0,0,0,0,804,99,262,166,835,83,28,3,974,1,26,16,5,Matches
41,Donny van de Beek,,nl NED,MF,Manchester Utd,24-339,1997,0.8,32,32,0,0,1,8,0,0,0,0,0,0,27,3,2,4,26,0,0,0,25,1,0,2,1,Matches
42,Donny van de Beek,,nl NED,MF,Everton,24-339,1997,4.8,230,224,6,1,0,36,2,6,1,1,0,0,183,18,29,32,182,10,1,0,194,1,3,6,4,Matches
43,Asmir Begovi?,,ba BIH,GK,Everton,34-276,1987,2,55,29,26,3,0,1,1,0,0,0,0,0,5,3,47,1,44,0,0,3,21,0,3,1,1,Matches
44,Said Benrahma,,dz ALG,FWMF,West Ham,26-225,1995,19.9,672,657,15,4,2,121,17,48,0,0,0,0,495,84,93,107,524,23,1,6,505,1,18,34,27,Matches
45,Rodrigo Bentancur,,uy URU,MF,Tottenham,24-291,1997,6.8,495,482,13,10,2,68,10,3,0,0,0,0,430,29,36,101,370,15,3,0,445,0,4,13,10,Matches
46,Christian Benteke,,be BEL,FW,Crystal Palace,31-110,1990,12.4,282,261,21,1,1,105,5,1,0,0,0,0,147,71,64,17,170,30,3,4,198,2,7,12,6,Matches
47,Johann Berg Gudmundsson,,is ISL,MF,Burnley,31-147,1990,12.2,345,342,3,0,2,77,15,42,1,1,0,0,191,57,97,253,44,27,1,3,218,3,8,11,22,Matches
48,Steven Bergwijn,,nl NED,FWMF,Tottenham,24-166,1997,5.5,155,149,6,1,1,26,2,6,1,1,0,0,121,15,19,6,139,5,4,0,128,0,1,10,6,Matches
49,Ryan Bertrand,,eng ENG,DF,Leicester City,32-230,1989,3.7,191,143,48,4,0,24,6,1,10,4,4,1,115,48,28,136,11,9,34,0,154,0,4,6,8,Matches
50,Mads Bidstrup,,dk DEN,MF,Brentford,21-026,2001,0.5,11,11,0,0,0,1,0,0,0,0,0,0,7,2,2,3,7,1,0,0,8,0,0,0,0,Matches
51,Yves Bissouma,,ml MLI,MF,Brighton,25-205,1996,18.1,942,922,20,18,1,125,21,5,0,0,0,0,803,64,75,95,803,25,2,4,844,1,6,25,11,Matches
52,Willy Boly,,ci CIV,DF,Wolves,31-048,1991,2,141,136,5,3,0,22,1,0,0,0,0,0,103,5,33,14,107,6,2,1,114,0,4,2,0,Matches
53,Jarrod Bowen,,eng ENG,FW,West Ham,25-093,1996,26.2,704,610,94,16,5,152,69,43,68,59,2,2,413,113,178,517,128,21,4,4,477,3,8,29,37,Matches
54,Jarrad Branthwaite,,eng ENG,DF,Everton,19-269,2002,2.1,72,66,6,5,0,14,0,0,0,0,0,0,47,12,13,37,27,2,1,0,53,0,5,2,2,Matches
55,Armando Broja,,al ALB,FW,Southampton,20-194,2001,16.8,314,310,4,0,0,113,1,16,0,0,0,0,165,83,66,17,182,49,0,3,193,0,8,16,15,Matches
56,Josh Brownhill,,eng ENG,MF,Burnley,26-094,1995,22.4,796,765,31,10,1,152,28,16,9,8,0,1,450,120,226,74,606,71,4,3,597,7,11,21,22,Matches
57,Bryan,,es ESP,FWMF,Tottenham,21-040,2001,1,63,60,3,1,0,7,0,4,0,0,0,0,53,6,4,60,1,0,2,0,49,0,0,6,2,Matches
58,Emi Buendia,,ar ARG,FWMF,Aston Villa,25-088,1996,17.1,683,637,46,10,6,148,20,15,16,8,4,1,513,84,86,76,570,11,5,6,531,2,12,43,18,Matches
59,Dan Burn,,eng ENG,DF,Brighton,29-318,1992,11.4,623,604,19,12,1,55,13,1,0,0,0,0,463,47,113,497,59,38,6,2,507,2,11,16,9,Matches
60,Dan Burn,,eng ENG,DF,Newcastle Utd,29-318,1992,7,254,251,3,1,0,40,5,1,0,0,0,0,158,26,70,157,35,36,2,2,210,0,6,5,3,Matches
61,Jack Butland,,eng ENG,GK,Crystal Palace,29-013,1993,5.5,188,124,64,20,0,13,4,0,0,0,0,0,115,0,73,45,113,0,0,23,134,0,2,1,1,Matches
62,Sam Byram,,eng ENG,DFMF,Norwich City,28-188,1993,3,157,130,27,4,0,26,2,5,0,0,0,0,91,31,35,9,107,9,23,0,113,0,11,4,3,Matches
