,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,CK_In,CK_Out,CK_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
138,Odsonne Edouard,,fr FRA,FW,Crystal Palace,24-066,1998,14.1,349,329,20,0,1,109,2,7,0,0,0,0,262,49,38,35,268,17,3,5,252,4,2,20,14,Matches
139,Anthony Elanga,,se SWE,FW,Manchester Utd,19-330,2002,6.1,217,210,7,0,1,52,3,7,0,0,0,0,164,33,20,37,159,6,7,1,177,1,0,15,12,Matches
140,Harvey Elliott,,eng ENG,MF,Liverpool,18-353,2003,3.1,208,201,7,0,0,17,2,5,2,1,0,0,156,28,24,187,15,1,3,2,176,2,0,5,7,Matches
141,Mohamed Elneny,,eg EGY,MF,Arsenal,29-255,1992,2,116,115,1,0,0,8,1,0,0,0,0,0,85,17,14,6,105,3,0,0,107,0,1,3,0,Matches
142,Mohamed Elyounoussi,,no NOR,MF,Southampton,27-231,1994,16.8,497,493,4,1,2,118,5,27,1,0,0,0,334,84,79,76,365,29,2,5,352,2,4,28,21,Matches
143,Emerson,,br BRA,DF,Tottenham,23-068,1999,16.8,995,805,190,19,0,149,10,48,1,0,0,0,610,226,159,96,672,43,170,0,798,1,9,30,38,Matches
144,Christian Eriksen,,dk DEN,MF,Brentford,30-037,1992,2.4,146,122,24,10,1,19,8,5,10,5,3,0,78,24,44,40,94,11,1,0,104,1,0,7,5,Matches
145,Oghenekaro Etebo,,ng NGA,MF,Watford,26-134,1995,4.3,154,144,10,10,0,17,9,1,0,0,0,0,123,6,25,19,132,2,0,1,138,1,4,6,1,Matches
146,Jonny Evans,,nir NIR,DF,Leicester City,34-079,1988,8.7,504,479,25,23,1,74,4,0,0,0,0,0,349,41,114,170,285,26,2,0,410,1,12,14,4,Matches
147,Eberechi Eze,,eng ENG,MFFW,Crystal Palace,23-267,1998,1.6,68,64,4,1,0,7,1,0,2,1,1,0,46,10,12,13,49,4,0,0,50,1,1,3,3,Matches
148,Lukasz Fabianski,,pl POL,GK,West Ham,36-339,1985,29,759,490,269,51,0,51,23,0,0,0,0,0,264,33,462,42,566,2,0,104,473,0,23,3,3,Matches
149,Fabinho,,br BRA,MF,Liverpool,28-151,1993,20.9,1169,1143,26,25,1,179,14,6,0,0,0,0,864,134,171,86,993,58,1,4,1027,2,13,19,19,Matches
150,Kiko Femenia,,es ESP,DF,Watford,31-049,1991,17.8,898,670,228,22,1,78,14,40,22,15,6,0,453,188,257,82,580,38,184,3,637,0,20,32,26,Matches
151,Evan Ferguson,,ie IRL,MF,Brighton,17-155,2004,0.3,7,7,0,0,0,4,1,1,0,0,0,0,5,0,2,2,4,0,0,0,6,0,0,1,0,Matches
152,Nathan Ferguson,,eng ENG,DF,Crystal Palace,21-168,2000,0.1,5,3,2,0,0,1,0,0,0,0,0,0,0,3,2,1,1,1,2,0,3,0,0,0,0,Matches
153,Bruno Fernandes,,pt POR,MF,Manchester Utd,27-196,1994,25.6,1451,1318,133,28,12,258,73,66,49,17,22,0,950,150,351,91,1295,32,15,7,1055,15,37,84,42,Matches
154,Alvaro Fernandez,,es ESP,GK,Brentford,23-344,1998,12,500,382,118,35,0,34,8,0,0,0,0,0,238,13,249,47,368,0,0,56,322,1,17,7,2,Matches
155,Federico Fernandez,,ar ARG,DF,Newcastle Utd,33-030,1989,5.8,214,207,7,5,0,20,6,0,0,0,0,0,161,10,43,11,189,9,2,1,183,0,4,4,1,Matches
156,Fernandinho,,br BRA,MF,Manchester City,36-323,1985,6.8,499,494,5,4,5,71,7,4,0,0,0,0,403,46,50,54,423,11,1,2,446,1,1,19,4,Matches
157,Roberto Firmino,,br BRA,FW,Liverpool,30-172,1991,8.8,383,372,11,0,2,92,7,7,0,0,0,0,293,53,37,37,320,13,4,2,303,0,4,23,18,Matches
158,Junior Firpo,,es ESP,DF,Leeds United,25-213,1996,14.8,765,639,126,6,0,104,12,21,0,0,0,0,485,178,102,493,105,31,120,4,635,4,10,28,17,Matches
159,Ashley Fletcher,,eng ENG,FW,Watford,26-172,1995,0.3,9,9,0,0,0,5,0,0,0,0,0,0,3,5,1,1,4,1,0,1,3,0,0,1,2,Matches
160,Phil Foden,,eng ENG,FW,Manchester City,21-299,2000,17.9,876,786,90,16,5,140,50,42,58,23,23,2,661,73,142,802,46,17,4,3,707,1,11,30,28,Matches
161,Pablo Fornals,,es ESP,FWMF,West Ham,26-029,1996,24,1036,986,50,4,8,188,34,34,26,20,1,1,728,138,170,115,863,24,6,6,779,2,14,57,43,Matches
162,Adam Forshaw,,eng ENG,MF,Leeds United,30-166,1991,16,751,723,28,24,1,112,35,5,0,0,0,0,550,84,117,99,615,25,3,2,632,6,11,24,13,Matches
163,Marcus Forss,,fi FIN,FWMF,Brentford,22-278,1999,2.3,41,38,3,0,0,12,0,1,0,0,0,0,18,13,10,3,25,8,0,1,24,1,1,2,1,Matches
164,Fraser Forster,,eng ENG,GK,Southampton,34-006,1988,12,395,272,123,40,0,31,14,0,0,0,0,0,162,15,218,51,265,1,0,50,243,2,12,3,1,Matches
165,Ben Foster,,eng ENG,GK,Watford,38-354,1983,18,615,385,230,75,0,34,30,0,0,0,0,0,133,24,458,442,98,0,0,50,312,4,28,9,2,Matches
166,Tariqe Fosu,,gh GHA,DF,Brentford,26-138,1995,0.2,8,8,0,0,0,0,0,1,0,0,0,0,5,1,2,1,6,1,0,0,6,0,0,0,0,Matches
167,Ryan Fraser,,sct SCO,FWMF,Newcastle Utd,28-027,1994,15,438,398,40,10,0,60,21,56,27,14,6,4,253,52,133,68,336,23,3,4,304,4,17,10,8,Matches
168,Fred,,br BRA,MF,Manchester Utd,29-018,1993,19.6,1113,1083,30,27,3,188,39,2,0,0,0,0,862,130,121,729,333,28,3,8,949,3,16,29,30,Matches
169,Ryan Fredericks,,eng ENG,DF,West Ham,29-164,1992,1.4,48,41,7,0,0,6,1,4,0,0,0,0,21,14,13,1,28,10,7,0,30,1,0,1,2,Matches
170,Leo Fuhr Hjelde,,no NOR,DF,Leeds United,18-209,2003,1.7,111,83,28,0,0,23,2,3,0,0,0,0,51,38,22,64,10,8,28,0,84,0,5,6,4,Matches
171,Conor Gallagher,,eng ENG,MF,Crystal Palace,22-045,2000,24.4,922,810,112,52,2,153,37,49,55,24,13,3,603,113,206,64,801,32,2,2,708,2,15,31,23,Matches
172,Dwight Gayle,,eng ENG,FW,Newcastle Utd,31-157,1990,0.4,8,8,0,0,0,3,0,0,0,0,0,0,6,2,0,0,7,0,0,1,6,0,0,0,1,Matches
173,Jean-Philippe Gbamin,,ci CIV,MF,Everton,26-179,1995,0.7,21,20,1,1,0,3,1,0,0,0,0,0,15,3,3,4,14,3,0,0,16,0,2,1,0,Matches
174,David de Gea,,es ESP,GK,Manchester Utd,31-136,1990,29,692,414,278,45,0,35,22,0,0,0,0,0,351,27,314,36,534,0,0,91,481,1,15,14,3,Matches
175,Joe Gelhardt,,eng ENG,FWMF,Leeds United,19-323,2002,5.2,87,74,13,0,0,15,0,1,0,0,0,0,60,17,10,63,13,5,0,4,63,0,2,5,2,Matches
176,Anwar El Ghazi,,nl NED,FW,Everton,26-324,1995,0.1,9,7,2,0,0,2,0,1,2,0,0,0,8,1,0,2,6,1,0,0,8,0,0,1,0,Matches
177,Anwar El Ghazi,,nl NED,FWMF,Aston Villa,26-324,1995,4.3,115,113,2,0,0,23,2,11,0,0,0,0,67,23,25,19,82,7,2,0,82,0,2,1,9,Matches
178,Saman Ghoddos,,ir IRN,MFDF,Brentford,28-198,1993,4.8,190,166,24,11,1,20,4,14,8,5,2,1,102,35,53,13,154,15,2,2,128,1,4,11,5,Matches
179,Dimitris Giannoulis,,gr GRE,DF,Norwich City,26-157,1995,6.1,328,268,60,6,0,55,2,17,2,2,0,0,189,78,61,240,25,9,52,0,248,2,4,18,9,Matches
180,Morgan Gibbs-White,,eng ENG,FWMF,Wolves,22-055,2000,0.1,10,9,1,0,0,1,0,0,1,1,0,0,5,4,1,1,8,0,0,1,7,0,0,0,1,Matches
181,Ben Gibson,,eng ENG,DF,Norwich City,29-067,1993,23.7,1173,1124,49,38,1,130,30,0,0,0,0,0,811,69,293,995,73,71,10,3,964,6,19,17,10,Matches
182,Billy Gilmour,,sct SCO,MF,Norwich City,20-285,2001,15.7,939,824,115,41,1,110,80,15,53,20,33,0,636,69,234,63,821,39,8,0,742,2,13,37,15,Matches
183,Ben Godfrey,,eng ENG,DF,Everton,24-067,1998,18.5,670,567,103,11,0,72,8,14,0,0,0,0,404,107,159,40,469,45,92,4,512,1,27,19,18,Matches
184,Andre Gomes,,pt POR,MF,Everton,28-236,1993,5.6,248,239,9,4,0,41,8,3,1,1,0,0,172,27,49,63,169,7,0,3,189,0,7,13,6,Matches
185,Toti Gomes,,pt POR,DF,Wolves,23-066,1999,2,83,82,1,0,0,11,0,0,0,0,0,0,46,9,28,56,12,10,1,0,53,0,3,4,1,Matches
186,Joe Gomez,,eng ENG,DF,Liverpool,24-304,1997,1.2,102,95,7,2,0,13,9,3,0,0,0,0,75,10,17,7,79,6,5,0,85,0,1,5,1,Matches
187,Charlie Goode,,eng ENG,DF,Brentford,26-232,1995,5,300,224,76,8,0,26,6,14,0,0,0,0,134,29,137,18,174,27,68,0,190,1,7,9,9,Matches
188,Anthony Gordon,,eng ENG,MFFW,Everton,21-027,2001,16.7,518,471,47,14,1,105,17,42,24,9,9,2,347,69,102,51,431,12,8,3,351,4,9,38,26,Matches
189,Kaide Gordon,,eng ENG,FW,Liverpool,17-169,2004,0.1,4,4,0,0,0,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,Matches
190,Dan Gosling,,eng ENG,MF,Watford,32-050,1990,0.2,7,7,0,0,0,1,0,0,0,0,0,0,5,1,1,2,4,0,0,0,5,0,0,0,0,Matches
191,Demarai Gray,,eng ENG,MFFW,Everton,25-268,1996,18.8,544,478,66,22,2,107,41,45,37,22,14,0,354,61,129,56,463,12,6,4,383,1,9,21,31,Matches
192,Jack Grealish,,eng ENG,FW,Manchester City,26-194,1995,16.1,738,718,20,3,3,146,8,29,7,1,1,0,632,67,39,55,652,11,5,7,638,4,9,23,31,Matches
193,Mason Greenwood,,eng ENG,FWMF,Manchester Utd,20-173,2001,14.1,504,487,17,2,3,97,31,25,14,10,3,1,381,50,73,380,112,5,0,2,397,2,6,21,17,Matches
194,Sam Greenwood,,eng ENG,FWMF,Leeds United,20-056,2002,0.9,25,23,2,0,0,7,0,0,0,0,0,0,19,3,3,10,13,1,0,1,21,0,0,0,2,Matches
195,Pascal Gross,,de GER,MFDF,Brighton,30-281,1991,15.3,955,821,134,29,1,115,62,44,72,27,39,2,621,123,211,154,737,19,33,3,729,6,14,25,33,Matches
196,Vicente Guaita,,es ESP,GK,Crystal Palace,35-072,1987,23.5,738,544,194,37,0,57,24,0,0,0,0,0,428,35,275,88,483,3,0,128,590,2,14,4,1,Matches
197,Marc Guehi,,eng ENG,DF,Crystal Palace,21-253,2000,28,1709,1660,49,47,0,131,50,2,0,0,0,0,1318,118,273,495,1103,77,2,1,1487,5,19,28,8,Matches
198,Bruno Guimaraes,,br BRA,MF,Newcastle Utd,24-127,1997,3.2,167,163,4,3,1,37,7,2,0,0,0,0,120,27,20,15,141,6,1,1,139,0,3,7,8,Matches
199,Ilkay Gundogan,,de GER,MF,Manchester City,31-150,1990,15,908,833,75,19,5,102,34,21,51,28,8,1,708,85,115,255,612,25,3,5,779,1,11,21,20,Matches
200,Angus Gunn,,eng ENG,GK,Norwich City,26-060,1996,7,224,129,95,33,0,6,7,0,0,0,0,0,102,5,117,12,171,0,0,32,156,2,3,1,1,Matches
201,Grant Hanley,,sct SCO,DF,Norwich City,30-123,1991,23.2,938,897,41,40,0,96,25,0,0,0,0,0,691,73,174,59,774,69,1,2,795,0,19,7,10,Matches
202,Jack Harrison,,eng ENG,FWMF,Leeds United,25-123,1996,21.9,786,750,36,5,1,160,27,82,14,2,8,2,480,158,148,524,212,16,17,4,501,5,16,52,55,Matches
203,Kortney Hause,,eng ENG,DF,Aston Villa,26-250,1995,4.4,206,201,5,5,0,29,8,1,0,0,0,0,139,15,52,159,25,10,0,1,162,0,10,0,5,Matches
204,Kai Havertz,,de GER,FWMF,Chelsea,22-285,1999,14.5,458,441,17,0,0,118,7,16,0,0,0,0,374,50,34,318,105,10,2,7,372,4,4,15,14,Matches
205,Isaac Hayden,,eng ENG,MFDF,Newcastle Utd,27-001,1995,11.1,318,302,16,9,0,67,4,5,0,0,0,0,230,42,46,36,248,19,1,1,255,0,10,8,11,Matches
206,Hwang Hee-chan,,kr KOR,FWMF,Wolves,26-056,1996,15,465,458,7,1,0,86,8,7,1,0,0,0,352,57,56,52,378,19,1,8,378,2,3,14,15,Matches
207,Jordan Henderson,,eng ENG,MF,Liverpool,31-279,1990,22.3,1662,1608,54,13,4,225,32,40,2,0,1,0,1150,216,296,207,1361,53,20,7,1379,6,15,54,42,Matches
208,Jeff Hendrick,,ie IRL,MF,Newcastle Utd,30-051,1992,0.8,27,27,0,0,0,5,1,0,0,0,0,0,24,2,1,0,26,0,0,0,24,0,0,1,0,Matches
209,Wayne Hennessey,,wls WAL,GK,Burnley,35-058,1987,2,80,43,37,16,0,1,0,0,0,0,0,0,11,2,67,8,60,0,0,8,40,1,3,0,0,Matches
210,Rico Henry,,eng ENG,DF,Brentford,24-258,1997,23.2,848,773,75,5,0,139,7,30,0,0,0,0,487,169,192,629,65,58,70,1,602,2,21,33,47,Matches
211,Son Heung-min,,kr KOR,FWMF,Tottenham,29-258,1992,24.9,962,798,164,34,3,146,27,51,117,45,45,3,685,99,178,104,814,27,5,4,741,4,10,29,33,Matches
212,Ki-Jana Hoever,,nl NED,DF,Wolves,20-064,2002,3.4,159,122,37,4,0,15,2,8,0,0,0,0,88,41,30,16,104,5,33,0,113,1,7,9,8,Matches
213,Rob Holding,,eng ENG,DF,Arsenal,26-184,1995,4.8,233,225,8,4,0,34,6,0,0,0,0,0,180,14,39,33,182,11,2,0,201,0,6,6,3,Matches
214,Mason Holgate,,eng ENG,DF,Everton,25-152,1996,14.8,592,541,51,29,0,73,26,1,0,0,0,0,341,48,203,87,406,49,21,2,428,3,16,14,5,Matches
215,Callum Hudson-Odoi,,eng ENG,FWMF,Chelsea,21-136,2000,10.7,393,377,16,2,0,77,8,26,5,2,1,1,295,53,45,56,318,5,9,1,313,1,8,20,14,Matches
216,Will Hughes,,eng ENG,MF,Crystal Palace,26-340,1995,9.1,415,380,35,12,0,56,16,9,21,15,5,0,283,48,84,323,64,18,1,1,336,0,2,7,9,Matches
217,Pierre Hojbjerg,,dk DEN,MF,Tottenham,26-230,1995,26.5,1852,1788,64,52,5,229,54,12,2,0,0,0,1493,151,208,236,1511,68,9,4,1644,5,20,39,16,Matches
218,Adam Idah,,ie IRL,FWMF,Norwich City,21-012,2001,6.9,142,137,5,0,0,44,4,11,0,0,0,0,93,26,23,20,100,8,3,2,96,0,5,7,11,Matches
219,Kelechi Iheanacho,,ng NGA,FW,Leicester City,25-171,1996,9.2,250,239,11,1,3,72,6,8,0,0,0,0,194,27,29,222,16,4,2,0,190,2,9,11,14,Matches
220,Danny Ings,,eng ENG,FW,Aston Villa,29-243,1992,16.9,306,286,20,1,1,76,8,13,0,0,0,0,191,61,54,58,212,20,1,4,208,2,3,17,11,Matches
221,Tim Iroegbunam,,,MF,Aston Villa,,,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,4,0,0,0,0,Matches
222,Alex Iwobi,,ng NGA,MFFW,Everton,25-324,1996,11.6,334,327,7,1,4,72,6,19,0,0,0,0,245,51,38,35,292,2,2,1,262,3,3,21,12,Matches
223,Daniel James,,wls WAL,FWMF,Leeds United,24-133,1997,22.5,440,413,27,1,0,93,10,39,0,0,0,0,297,71,72,85,324,15,5,3,289,2,12,25,32,Matches
224,Daniel James,,wls WAL,FW,Manchester Utd,24-133,1997,1.4,32,32,0,0,0,6,1,5,0,0,0,0,27,2,3,3,28,1,0,0,22,0,1,0,1,Matches
225,Reece James,,eng ENG,DF,Chelsea,22-105,1999,13.1,981,814,167,18,3,149,14,54,12,7,2,0,651,213,117,72,732,26,137,4,830,2,8,33,32,Matches
226,Vitaly Janelt,,de GER,MF,Brentford,23-317,1998,19.8,760,707,53,26,2,112,25,21,11,8,2,1,479,112,169,555,114,49,11,7,571,3,12,23,15,Matches
227,Pontus Jansson,,se SWE,DF,Brentford,31-038,1991,29.9,1197,1146,51,38,0,110,15,0,0,0,0,0,819,142,236,109,879,136,12,3,979,5,15,22,7,Matches
228,Mathias Jensen,,dk DEN,MF,Brentford,26-081,1996,13.6,594,504,90,34,0,102,56,27,48,22,16,7,313,67,214,113,438,25,4,5,424,6,16,26,10,Matches
229,Gabriel Jesus,,br BRA,FW,Manchester City,24-354,1997,14.9,575,561,14,1,1,108,4,22,0,0,0,0,482,48,45,77,468,10,4,6,486,1,8,16,16,Matches
230,Raul Jimenez,,mx MEX,FW,Wolves,30-322,1991,23.9,646,605,41,0,3,191,11,12,0,0,0,0,410,140,96,26,526,27,5,20,455,3,18,30,33,Matches
231,Joelinton,,br BRA,MFFW,Newcastle Utd,25-221,1996,20.9,719,707,12,0,1,224,8,14,0,0,0,0,489,139,91,117,474,48,7,14,565,0,14,28,26,Matches
232,Ben Johnson,,eng ENG,DF,West Ham,22-058,2000,13.4,663,530,133,6,1,60,23,33,0,0,0,0,313,145,205,84,408,30,127,5,458,2,20,23,29,Matches
233,Curtis Jones,,eng ENG,MF,Liverpool,21-052,2001,7.1,439,430,9,6,0,70,9,1,0,0,0,0,383,24,32,50,373,9,2,0,399,1,2,8,6,Matches
234,Phil Jones,,eng ENG,DF,Manchester Utd,30-030,1992,1,50,50,0,0,0,5,0,0,0,0,0,0,45,4,1,5,42,3,0,0,46,0,1,0,1,Matches
235,Jorginho,,it ITA,MF,Chelsea,30-093,1991,20.8,1445,1401,44,44,6,254,18,1,0,0,0,0,1154,114,177,102,1287,42,0,2,1284,2,11,43,12,Matches
236,Diogo Jota,,pt POR,FW,Liverpool,25-109,1996,19.4,568,563,5,0,4,104,6,13,0,0,0,0,410,92,66,157,365,24,1,7,418,4,11,24,29,Matches
237,James Justin,,eng ENG,DF,Leicester City,24-028,1998,4.1,230,199,31,1,0,23,1,2,0,0,0,0,159,37,34,40,149,10,30,0,185,2,2,9,9,Matches
238,Mathias Jorgensen,,dk DEN,DF,Brentford,31-334,1990,4.8,274,211,63,7,0,28,6,8,1,0,0,0,136,49,89,10,171,27,55,1,196,1,3,14,5,Matches
239,Ozan Kabak,,tr TUR,DF,Norwich City,21-363,2000,10.2,414,397,17,13,0,74,11,0,0,0,0,0,311,42,61,56,310,22,4,2,341,0,9,9,10,Matches
240,Christian Kabasele,,be BEL,DF,Watford,31-027,1991,5.3,223,218,5,2,0,24,3,1,0,0,0,0,152,22,49,14,183,10,3,1,191,0,5,2,0,Matches
241,Samuel Kalu,,ng NGA,FWMF,Watford,24-209,1997,0.5,5,5,0,0,0,3,0,0,0,0,0,0,3,0,2,0,4,0,0,0,3,0,0,0,0,Matches
242,Hassane Kamara,,ci CIV,DF,Watford,27-185,1994,10.9,610,484,126,9,1,93,11,13,0,0,0,0,307,113,190,399,60,18,117,1,430,3,19,23,21,Matches
243,Harry Kane,,eng ENG,FW,Tottenham,28-238,1993,26.9,760,714,46,3,14,204,28,28,0,0,0,0,479,138,143,73,598,23,12,7,538,8,11,49,49,Matches
244,N'Golo Kante,,fr FRA,MF,Chelsea,30-359,1991,13.3,799,795,4,4,3,141,13,8,0,0,0,0,632,92,75,92,686,12,0,0,677,6,8,33,15,Matches
245,Edo Kayembe,,cd COD,MF,Watford,23-232,1998,4.6,240,235,5,2,0,38,13,4,3,2,1,0,175,20,45,187,30,22,0,0,196,0,5,4,6,Matches
246,Moise Kean,,it ITA,FW,Everton,22-023,2000,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Matches
247,Michael Keane,,eng ENG,DF,Everton,29-071,1993,24.5,943,921,22,22,1,149,42,0,0,0,0,0,578,118,247,186,605,86,0,2,737,1,23,19,9,Matches
248,Naby Keita,,gn GUI,MF,Liverpool,27-041,1995,9.2,559,550,9,2,0,80,2,5,0,0,0,0,460,46,53,72,463,14,1,4,485,0,4,20,7,Matches
249,Caoimhin Kelleher,,ie IRL,GK,Liverpool,23-120,1998,2,90,70,20,7,0,14,0,0,0,0,0,0,73,5,12,25,53,0,0,12,81,0,1,1,0,Matches
250,Jonjoe Kenny,,eng ENG,DF,Everton,25-008,1997,7.8,335,272,63,3,0,53,4,8,0,0,0,0,180,73,82,16,238,15,60,1,253,4,12,17,10,Matches
251,Max Kilman,,eng ENG,DF,Wolves,24-304,1997,27.9,1357,1323,34,23,1,145,44,2,0,0,0,0,1031,102,224,917,319,71,11,2,1174,2,17,20,14,Matches
252,Joshua King,,no NOR,FW,Watford,30-067,1992,21.9,459,430,29,0,3,166,6,23,0,0,0,0,287,86,86,28,333,23,1,12,334,3,7,21,18,Matches
253,Kristoffer Klaesson,,no NOR,GK,Leeds United,21-116,2000,0.4,11,8,3,0,0,1,0,0,0,0,0,0,7,1,3,8,1,0,0,2,9,0,1,0,0,Matches
254,Mateusz Klich,,pl POL,MF,Leeds United,31-283,1990,18.3,783,756,27,13,3,106,8,24,1,0,0,0,576,91,116,63,664,39,7,6,613,3,15,28,22,Matches
255,Robin Koch,,de GER,MFDF,Leeds United,25-249,1996,11.2,410,403,7,6,0,83,11,0,0,0,0,0,273,46,91,40,323,22,1,1,330,0,6,13,6,Matches
256,Sead Kolasinac,,ba BIH,DF,Arsenal,28-276,1993,1,13,11,2,0,0,0,0,0,0,0,0,0,8,2,3,8,2,1,2,0,10,0,0,0,0,Matches
257,Ibrahima Konate,,fr FRA,DF,Liverpool,22-302,1999,8,493,485,8,8,1,52,6,0,0,0,0,0,385,39,69,28,419,31,0,2,433,1,4,8,3,Matches
258,Ezri Konsa,,eng ENG,DF,Aston Villa,24-151,1997,22,740,706,34,27,0,81,16,1,0,0,0,0,558,76,106,71,586,43,6,6,641,0,14,15,7,Matches
259,Cheikhou Kouyate,,sn SEN,MF,Crystal Palace,32-092,1989,18.5,651,635,16,14,0,113,6,4,0,0,0,0,460,79,112,47,516,46,2,5,542,0,5,20,8,Matches
260,Mateo Kovacic,,hr CRO,MF,Chelsea,27-321,1994,14.2,965,945,20,19,8,131,21,3,0,0,0,0,809,79,77,43,899,14,0,4,862,3,6,31,12,Matches
261,Emil Krafth,,se SWE,DF,Newcastle Utd,27-233,1994,11.5,457,363,94,6,0,49,10,11,0,0,0,0,251,74,132,10,319,24,88,1,338,1,8,15,18,Matches
262,Alex Kral,,cz CZE,MF,West Ham,23-308,1998,0,2,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,Matches
263,Tim Krul,,nl NED,GK,Norwich City,33-354,1988,22,814,564,250,81,1,53,22,0,0,0,0,0,412,34,368,500,161,0,0,114,568,1,21,4,1,Matches
264,Juraj Kucka,,sk SVK,MF,Watford,35-025,1987,17.6,565,541,24,8,0,117,13,9,1,0,1,0,323,106,136,98,363,55,14,4,395,0,15,31,21,Matches
265,Dejan Kulusevski,,se SWE,MFFW,Tottenham,21-332,2000,7.6,276,265,11,0,0,49,2,12,1,0,0,0,237,19,20,230,40,1,1,0,234,1,1,7,13,Matches
266,Alexandre Lacazette,,fr FRA,FWMF,Arsenal,30-299,1991,17,405,394,11,1,2,87,5,7,0,0,0,0,300,67,38,40,336,11,1,6,309,3,5,28,10,Matches
267,Adam Lallana,,eng ENG,MF,Brighton,33-317,1988,16.8,922,910,12,11,1,160,10,8,0,0,0,0,717,118,87,229,645,28,1,6,807,0,18,27,18,Matches
268,Tariq Lamptey,,eng ENG,DFFW,Brighton,21-174,2000,14.2,661,597,64,5,1,95,9,61,0,0,0,0,450,111,100,137,446,12,59,1,513,2,9,16,31,Matches
269,Manuel Lanzini,,ar ARG,MF,West Ham,29-036,1993,14.7,887,836,51,9,2,128,17,9,16,15,0,0,707,91,89,78,768,25,6,5,799,1,10,18,5,Matches
270,Aymeric Laporte,,es ESP,DF,Manchester City,27-300,1994,23.1,2115,2072,43,33,2,132,46,3,0,0,0,0,1822,113,180,1522,477,71,10,3,2017,0,12,15,2,Matches
271,Jamaal Lascelles,,eng ENG,DF,Newcastle Utd,28-132,1993,18.8,517,509,8,5,0,88,9,3,0,0,0,0,323,48,146,62,351,56,1,0,402,4,8,9,6,Matches
272,Pierre Lees-Melou,,fr FRA,MF,Norwich City,28-302,1993,17.8,729,714,15,10,1,137,35,23,1,1,0,0,432,132,165,113,571,32,2,2,572,1,10,36,20,Matches
273,Aaron Lennon,,eng ENG,MFFW,Burnley,34-341,1987,11.9,248,243,5,0,0,46,6,21,0,0,0,0,159,37,52,18,213,7,3,0,172,3,5,8,14,Matches
274,Bernd Leno,,de GER,GK,Arsenal,30-019,1992,4,111,68,43,6,0,10,0,0,0,0,0,0,47,4,60,8,89,0,0,13,72,1,5,1,0,Matches
275,Jamal Lewis,,nir NIR,DF,Newcastle Utd,24-057,1998,2.9,103,80,23,1,0,14,0,3,0,0,0,0,56,23,24,64,10,6,22,0,81,0,4,4,2,Matches
276,Victor Lindelof,,se SWE,DF,Manchester Utd,27-249,1994,18.2,920,897,23,20,3,112,30,0,0,0,0,0,722,87,111,114,731,47,3,5,818,2,6,13,11,Matches
277,Jesse Lingard,,eng ENG,FW,Manchester Utd,29-098,1992,2.3,84,82,2,0,0,8,1,8,0,0,0,0,63,13,8,10,71,2,1,0,70,0,1,1,1,Matches
278,Valentino Livramento,,eng ENG,DF,Southampton,19-131,2002,22.2,1053,855,198,15,2,130,15,51,0,0,0,0,631,200,222,89,715,49,183,2,812,0,30,41,35,Matches
279,Diego Llorente,,es ESP,DF,Leeds United,28-219,1993,19,1036,1004,32,26,2,135,33,2,0,0,0,0,757,104,175,240,722,46,6,6,858,2,24,31,18,Matches
280,Hugo Lloris,,fr FRA,GK,Tottenham,35-087,1986,29,715,464,251,41,1,41,12,0,0,0,0,0,402,30,283,445,111,0,0,111,564,2,8,8,1,Matches
281,Giovani Lo Celso,,ar ARG,MFFW,Tottenham,25-348,1996,2.6,148,135,13,3,1,25,5,1,10,2,4,1,113,19,16,124,21,1,0,2,117,0,0,10,8,Matches
282,Jurgen Locadia,,nl NED,FW,Brighton,28-136,1993,0.3,3,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,1,Matches
283,Ruben Loftus-Cheek,,eng ENG,MF,Chelsea,26-059,1996,8.7,495,487,8,5,2,77,6,4,0,0,0,0,411,47,37,30,425,18,2,1,436,0,3,17,5,Matches
284,Shane Long,,ie IRL,FWMF,Southampton,35-060,1987,1.6,39,39,0,0,0,20,1,2,0,0,0,0,19,11,9,5,17,3,0,1,22,0,1,2,2,Matches
285,Sean Longstaff,,eng ENG,MF,Newcastle Utd,24-144,1997,12.2,465,441,24,16,0,95,14,2,1,1,0,0,326,56,83,81,341,26,1,5,369,2,7,12,8,Matches
286,Ademola Lookman,,eng ENG,FWMF,Leicester City,24-154,1997,12.7,420,408,12,4,1,102,3,19,1,0,0,0,355,37,28,93,318,6,2,0,324,4,5,20,21,Matches
