,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD Won,AD Lost,AD Won%,Matches
35,Ross Barkley,,eng ENG,MF,Chelsea,28-108,1993,1.7,0,0,0,2,4,0,1,2,1,0,0,0,10,5,2,71.4,Matches
36,Ashley Barnes,,eng ENG,FW,Burnley,32-144,1989,4.7,3,0,0,16,9,5,1,4,8,0,0,0,29,21,34,38.2,Matches
37,Harvey Barnes,,eng ENG,FWMF,Leicester City,24-104,1997,17.4,2,0,0,13,25,8,32,7,7,0,0,0,91,17,34,33.3,Matches
38,Lewis Bate,,eng ENG,MF,Leeds United,19-145,2002,0.5,0,0,0,1,0,0,0,2,0,0,0,0,6,0,1,0,Matches
39,Mads Bech Sorensen,,dk DEN,DF,Brentford,23-075,1999,4.2,1,0,0,2,2,0,11,8,4,0,0,0,41,5,5,50,Matches
40,Jan Bednarek,,pl POL,DF,Southampton,25-345,1996,22.2,7,0,0,26,14,1,3,68,19,0,1,1,249,90,49,64.7,Matches
41,Donny van de Beek,,nl NED,MF,Manchester Utd,24-339,1997,0.8,0,0,0,4,2,0,0,2,3,0,0,0,11,3,3,50,Matches
42,Donny van de Beek,,nl NED,MF,Everton,24-339,1997,4.8,1,0,0,10,1,0,6,10,7,0,0,0,60,6,3,66.7,Matches
43,Asmir Begovi?,,ba BIH,GK,Everton,34-276,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches
44,Said Benrahma,,dz ALG,FWMF,West Ham,26-225,1995,19.9,0,0,0,5,19,7,48,11,19,0,0,0,138,14,17,45.2,Matches
45,Rodrigo Bentancur,,uy URU,MF,Tottenham,24-291,1997,6.8,1,0,0,15,10,0,3,7,10,0,0,0,74,9,6,60,Matches
46,Christian Benteke,,be BEL,FW,Crystal Palace,31-110,1990,12.4,3,0,0,15,17,9,1,1,2,0,0,0,43,80,59,57.6,Matches
47,Johann Berg Gudmundsson,,is ISL,MF,Burnley,31-147,1990,12.2,2,0,0,17,16,3,42,17,9,0,0,0,96,21,16,56.8,Matches
48,Steven Bergwijn,,nl NED,FWMF,Tottenham,24-166,1997,5.5,1,0,0,7,12,1,6,4,3,0,0,0,26,1,6,14.3,Matches
49,Ryan Bertrand,,eng ENG,DF,Leicester City,32-230,1989,3.7,1,0,0,5,1,0,1,3,4,0,0,0,17,3,5,37.5,Matches
50,Mads Bidstrup,,dk DEN,MF,Brentford,21-026,2001,0.5,0,0,0,1,0,0,0,1,2,0,0,0,6,0,0,,Matches
51,Yves Bissouma,,ml MLI,MF,Brighton,25-205,1996,18.1,8,0,0,25,23,0,5,43,42,0,1,0,206,17,12,58.6,Matches
52,Willy Boly,,ci CIV,DF,Wolves,31-048,1991,2,1,0,0,3,0,0,0,4,1,0,0,0,35,13,5,72.2,Matches
53,Jarrod Bowen,,eng ENG,FW,West Ham,25-093,1996,26.2,3,0,0,22,42,12,43,34,23,2,0,0,165,35,61,36.5,Matches
54,Jarrad Branthwaite,,eng ENG,DF,Everton,19-269,2002,2.1,0,0,0,1,2,0,0,5,2,0,0,0,21,7,3,70,Matches
55,Armando Broja,,al ALB,FW,Southampton,20-194,2001,16.8,1,0,0,27,25,10,16,11,9,1,0,0,74,73,142,34,Matches
56,Josh Brownhill,,eng ENG,MF,Burnley,26-094,1995,22.4,8,0,0,34,16,0,16,57,28,0,0,0,245,40,32,55.6,Matches
57,Bryan,,es ESP,FWMF,Tottenham,21-040,2001,1,0,0,0,1,4,0,4,0,3,0,0,0,12,0,0,,Matches
58,Emi Buendia,,ar ARG,FWMF,Aston Villa,25-088,1996,17.1,1,0,0,14,42,2,15,15,29,0,0,0,137,20,33,37.7,Matches
59,Dan Burn,,eng ENG,DF,Brighton,29-318,1992,11.4,4,0,0,18,3,0,1,32,15,0,0,0,100,41,20,67.2,Matches
60,Dan Burn,,eng ENG,DF,Newcastle Utd,29-318,1992,7,2,0,0,7,3,2,1,8,4,0,0,0,83,42,16,72.4,Matches
61,Jack Butland,,eng ENG,GK,Crystal Palace,29-013,1993,5.5,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,,Matches
62,Sam Byram,,eng ENG,DFMF,Norwich City,28-188,1993,3,2,0,0,9,1,0,5,10,6,0,0,0,26,16,7,69.6,Matches
63,Willy Caballero,,ar ARG,GK,Southampton,40-176,1981,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
64,Dominic Calvert-Lewin,,eng ENG,FW,Everton,25-007,1997,8.5,2,0,0,10,14,4,1,5,7,1,0,0,29,43,64,40.2,Matches
65,Joao Cancelo,,pt POR,DF,Manchester City,27-300,1994,26.9,5,0,0,31,24,2,76,58,43,0,0,0,263,36,35,50.7,Matches
66,Sergi Canos,,es ESP,DF,Brentford,25-049,1997,22.8,6,0,0,32,20,5,52,32,22,0,0,1,178,13,31,29.5,Matches
67,Todd Cantwell,,eng ENG,FWMF,Norwich City,24-024,1998,4.9,2,0,0,6,12,2,3,4,11,0,0,0,32,4,5,44.4,Matches
68,Matty Cash,,pl POL,DF,Aston Villa,24-228,1997,28.5,8,0,0,41,39,2,81,76,35,0,1,0,214,37,46,44.6,Matches
69,Timothy Castagne,,be BEL,DF,Leicester City,26-108,1995,14.8,1,0,0,11,10,0,11,25,13,0,0,0,117,32,11,74.4,Matches
70,Jonny Castro,,es ESP,DF,Wolves,28-020,1994,4,0,0,0,7,12,0,6,4,7,0,0,0,39,5,6,45.5,Matches
71,Craig Cathcart,,nir NIR,DF,Watford,33-045,1989,24.3,3,0,0,14,7,0,3,34,14,0,0,0,202,60,35,63.2,Matches
72,Edinson Cavani,,uy URU,FW,Manchester Utd,35-037,1987,6.8,0,0,0,6,4,3,3,7,2,0,0,0,28,3,12,20,Matches
73,Kayky Chagas,,br BRA,FW,Manchester City,18-285,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
74,Trevoh Chalobah,,eng ENG,DF,Chelsea,22-261,1999,13.1,2,0,0,18,14,0,2,27,17,0,1,0,129,30,22,57.7,Matches
75,Calum Chambers,,eng ENG,DF,Arsenal,27-062,1995,1.9,0,0,0,1,1,0,2,3,1,0,0,0,14,3,2,60,Matches
76,Calum Chambers,,eng ENG,DF,Aston Villa,27-062,1995,5,0,0,0,7,2,0,1,3,6,0,0,0,54,15,16,48.4,Matches
77,Daniel Chesters,,eng ENG,MF,West Ham,19-353,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
78,Ben Chilwell,,eng ENG,DF,Chelsea,25-092,1996,6,0,0,0,10,18,2,10,6,5,0,1,0,42,8,11,42.1,Matches
79,Chiquinho,,pt POR,MFDF,Wolves,22-046,2000,0.6,0,0,0,7,2,0,7,0,2,0,0,0,6,2,0,100,Matches
80,Hamza Choudhury,,eng ENG,DFMF,Leicester City,24-173,1997,3.2,1,0,0,6,7,0,0,15,2,0,0,0,24,14,1,93.3,Matches
81,Andreas Christensen,,dk DEN,DF,Chelsea,25-347,1996,14.1,2,0,0,10,6,0,1,52,11,0,0,0,142,51,36,58.6,Matches
82,Carney Chukwuemeka,,eng ENG,MFFW,Aston Villa,18-075,2004,2.2,0,0,0,1,6,0,0,3,1,0,0,0,19,5,10,33.3,Matches
83,Ciaran Clark,,ie IRL,DF,Newcastle Utd,32-178,1989,11.3,2,1,0,6,7,1,3,15,13,0,1,0,86,34,15,69.4,Matches
84,Tom Cleverley,,eng ENG,MF,Watford,32-223,1989,15.2,2,0,0,30,15,2,16,23,20,0,0,0,120,15,35,30,Matches
85,Nathaniel Clyne,,eng ENG,DF,Crystal Palace,30-352,1991,6,1,0,0,2,3,0,4,20,7,0,0,0,38,5,4,55.6,Matches
86,Conor Coady,,eng ENG,DF,Wolves,29-026,1993,29.8,2,0,0,17,3,1,2,32,17,0,0,0,183,34,22,60.7,Matches
87,Seamus Coleman,,ie IRL,DF,Everton,33-163,1988,21.6,2,0,0,13,15,2,37,41,31,1,0,0,203,27,26,50.9,Matches
88,Nathan Collins,,ie IRL,DF,Burnley,20-327,2001,8.6,1,1,0,10,7,2,0,21,13,0,0,0,114,43,21,67.2,Matches
89,Aaron Connolly,,ie IRL,FW,Brighton,22-054,2000,1.7,0,0,0,1,7,0,1,0,0,0,0,0,7,0,7,0,Matches
90,Liam Cooper,,sct SCO,DF,Leeds United,30-205,1991,14.2,4,0,0,13,9,2,1,26,13,0,1,0,157,62,29,68.1,Matches
91,Jack Cork,,eng ENG,MF,Burnley,32-271,1989,9.8,2,0,0,29,4,0,3,19,4,0,0,0,90,18,22,45,Matches
92,Maxwel Cornet,,ci CIV,FWMF,Burnley,25-177,1996,12.2,2,0,0,15,16,17,12,8,8,0,0,0,70,25,48,34.2,Matches
93,Helder Costa,,ao ANG,MF,Leeds United,28-070,1994,0.2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,Matches
94,Vladimir Coufal,,cz CZE,DF,West Ham,29-213,1992,18.7,4,1,1,22,17,2,63,27,19,0,0,0,222,33,31,51.6,Matches
95,Philippe Coutinho,,br BRA,MFFW,Aston Villa,29-284,1992,8.6,0,0,0,6,9,2,10,4,6,0,0,0,50,3,15,16.7,Matches
96,Aaron Cresswell,,eng ENG,DF,West Ham,32-098,1989,22.3,1,0,0,16,10,2,46,34,15,0,1,0,184,27,21,56.3,Matches
97,Charlie Cresswell,,eng ENG,DF,Leeds United,19-106,2002,1.6,1,0,0,3,2,1,0,4,3,0,0,0,17,7,3,70,Matches
98,Cucho,,co COL,FWMF,Watford,22-337,1999,11.3,2,0,0,16,12,0,23,8,5,0,0,1,82,34,45,43,Matches
99,Marc Cucurella,,es ESP,DF,Brighton,23-244,1998,25.3,4,0,0,25,23,3,71,48,40,0,0,0,258,37,33,52.9,Matches
100,Luke Cundle,,eng ENG,MF,Wolves,19-331,2002,0.9,0,0,0,3,1,0,0,2,1,0,0,0,8,0,1,0,Matches
101,Patson Daka,,zm ZAM,FW,Leicester City,23-165,1998,8.5,1,0,0,15,9,6,2,1,5,0,0,0,42,18,37,32.7,Matches
102,Stuart Dallas,,nir NIR,DFMF,Leeds United,30-338,1991,28.9,5,0,0,31,35,1,40,68,37,0,1,0,244,33,30,52.4,Matches
103,Diogo Dalot,,pt POR,DF,Manchester Utd,23-005,1999,12.1,2,0,0,13,4,0,31,28,17,0,0,0,114,27,15,64.3,Matches
104,Karl Darlow,,eng ENG,GK,Newcastle Utd,31-166,1990,8,1,0,0,1,2,0,0,0,0,0,1,0,31,0,0,,Matches
105,Josh Dasilva,,eng ENG,MFFW,Brentford,23-151,1998,1.5,0,1,0,2,4,0,2,2,1,0,0,0,19,0,1,0,Matches
106,Ben Davies,,wls WAL,DF,Tottenham,28-333,1993,19.3,3,0,0,21,14,4,6,29,15,0,1,0,138,49,32,60.5,Matches
107,Tom Davies,,eng ENG,MF,Everton,23-266,1998,1.8,0,0,0,2,3,0,0,4,2,0,0,0,11,4,2,66.7,Matches
108,Keinan Davis,,eng ENG,FW,Aston Villa,24-038,1998,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,Matches
109,Craig Dawson,,eng ENG,DF,West Ham,31-321,1990,23.9,5,0,0,30,11,1,1,24,13,0,1,0,215,89,45,66.4,Matches
110,Kevin De Bruyne,,be BEL,MF,Manchester City,30-268,1991,17.1,0,0,0,16,26,4,73,9,10,0,0,0,127,8,17,32,Matches
111,Troy Deeney,,eng ENG,FW,Watford,33-267,1988,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,57.1,Matches
112,Liam Delap,,eng ENG,FW,Manchester City,19-043,2003,0.1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,Matches
113,Fabian Delph,,eng ENG,MF,Everton,32-122,1989,2.8,1,0,0,5,2,0,1,13,6,0,0,0,31,0,1,0,Matches
114,Leander Dendoncker,,be BEL,MFFW,Wolves,26-342,1995,15.7,4,0,0,17,5,0,7,21,17,0,0,0,139,35,33,51.5,Matches
115,Emmanuel Dennis,,ng NGA,FWMF,Watford,24-128,1997,24.2,9,1,1,61,40,10,25,18,21,1,0,0,138,55,90,37.9,Matches
116,Kiernan Dewsbury Hall,,eng ENG,MF,Leicester City,23-198,1998,13.7,3,0,0,19,21,0,30,24,16,0,0,0,137,17,19,47.2,Matches
117,Ibrahima Diallo,,fr FRA,MF,Southampton,23-015,1999,8.4,0,0,0,10,12,0,3,10,13,0,0,0,76,8,11,42.1,Matches
118,Raphael Dias Belloli,,br BRA,MFFW,Leeds United,25-099,1996,25,6,0,0,40,43,11,75,36,19,0,1,0,164,18,23,43.9,Matches
119,Ruben Dias,,pt POR,DF,Manchester City,24-313,1997,23.7,5,0,0,30,8,2,5,32,25,0,0,0,192,45,34,57,Matches
120,Luis Diaz,,co COL,FW,Liverpool,25-069,1997,5.5,0,0,0,13,13,1,10,3,6,0,0,0,45,5,12,29.4,Matches
121,Eric Dier,,eng ENG,DF,Tottenham,28-067,1994,25.1,1,0,0,14,9,0,0,35,9,0,0,1,182,64,34,65.3,Matches
122,Lucas Digne,,fr FRA,DF,Aston Villa,28-246,1993,7.1,1,0,0,11,14,0,31,12,4,0,0,0,70,14,11,56,Matches
123,Lucas Digne,,fr FRA,DF,Everton,28-246,1993,13,4,0,0,17,11,0,34,31,17,0,0,1,138,25,14,64.1,Matches
124,Virgil van Dijk,,nl NED,DF,Liverpool,30-258,1991,27,2,0,0,8,10,0,0,39,9,0,0,0,339,108,35,75.5,Matches
125,Issa Diop,,fr FRA,DF,West Ham,25-073,1997,9,0,0,0,5,4,0,1,12,3,0,0,0,79,14,15,48.3,Matches
126,Moussa Djenepo,,ml MLI,MF,Southampton,23-281,1998,4.9,3,0,0,12,11,0,6,9,8,0,0,0,53,2,7,22.2,Matches
127,Lewis Dobbin,,eng ENG,FWMF,Everton,19-079,2003,0.4,1,0,0,0,1,0,1,1,2,0,0,0,2,0,6,0,Matches
128,Matt Doherty,,ie IRL,DF,Tottenham,30-066,1992,8.5,0,0,0,13,3,0,18,17,11,0,0,0,69,16,8,66.7,Matches
129,Gabriel Dos Santos,,br BRA,DF,Arsenal,24-094,1997,24.4,6,1,1,19,32,1,2,32,26,0,0,0,172,52,27,65.8,Matches
130,Abdoulaye Doucoure,,fr FRA,MF,Everton,29-081,1993,19.7,4,0,0,39,16,1,6,31,29,0,0,0,238,33,36,47.8,Matches
131,Kieran Dowell,,eng ENG,FWMF,Norwich City,24-164,1997,4,0,0,0,13,3,0,10,1,4,0,0,0,16,8,11,42.1,Matches
132,Cody Drameh,,eng ENG,DF,Leeds United,20-105,2001,1.4,1,0,0,2,0,0,2,3,3,0,0,0,9,0,2,0,Matches
133,Martin Dubravka,,sk SVK,GK,Newcastle Utd,33-067,1989,17,1,0,0,0,2,0,0,0,0,0,0,0,66,0,0,,Matches
134,Shane Duffy,,ie IRL,DF,Brighton,30-081,1992,16,7,0,0,20,7,1,0,18,9,0,0,0,151,81,23,77.9,Matches
135,Paul Dummett,,wls WAL,DF,Newcastle Utd,30-178,1991,2.2,2,0,0,4,3,0,3,4,4,0,0,0,10,3,3,50,Matches
136,Lewis Dunk,,eng ENG,DF,Brighton,30-122,1991,19.6,1,1,0,7,2,0,3,35,11,0,0,0,167,64,32,66.7,Matches
137,Ederson,,br BRA,GK,Manchester City,28-218,1993,28,3,0,0,1,7,0,0,0,0,0,1,0,98,0,0,,Matches
138,Odsonne Edouard,,fr FRA,FW,Crystal Palace,24-066,1998,14.1,2,0,0,21,8,2,7,8,11,0,0,0,69,32,48,40,Matches
139,Anthony Elanga,,se SWE,FW,Manchester Utd,19-330,2002,6.1,0,0,0,5,9,1,7,10,8,0,0,0,30,9,14,39.1,Matches
140,Harvey Elliott,,eng ENG,MF,Liverpool,18-353,2003,3.1,0,0,0,1,6,0,5,3,1,0,0,0,34,1,3,25,Matches
141,Mohamed Elneny,,eg EGY,MF,Arsenal,29-255,1992,2,0,0,0,2,0,0,0,5,2,0,0,0,29,2,2,50,Matches
142,Mohamed Elyounoussi,,no NOR,MF,Southampton,27-231,1994,16.8,3,0,0,28,20,0,27,13,27,0,0,0,121,29,43,40.3,Matches
143,Emerson,,br BRA,DF,Tottenham,23-068,1999,16.8,3,0,0,24,34,1,48,30,30,0,0,0,151,30,28,51.7,Matches
144,Christian Eriksen,,dk DEN,MF,Brentford,30-037,1992,2.4,1,0,0,2,0,0,5,2,2,0,0,0,28,1,2,33.3,Matches
145,Oghenekaro Etebo,,ng NGA,MF,Watford,26-134,1995,4.3,3,0,0,8,4,0,1,7,10,0,0,0,35,2,2,50,Matches
146,Jonny Evans,,nir NIR,DF,Leicester City,34-079,1988,8.7,2,0,0,8,8,0,0,22,8,0,0,0,109,33,14,70.2,Matches
147,Eberechi Eze,,eng ENG,MFFW,Crystal Palace,23-267,1998,1.6,1,0,0,3,1,0,0,3,2,0,0,0,9,2,4,33.3,Matches
148,Lukasz Fabianski,,pl POL,GK,West Ham,36-339,1985,29,0,0,0,0,5,0,0,0,0,0,0,0,102,0,0,,Matches
149,Fabinho,,br BRA,MF,Liverpool,28-151,1993,20.9,5,0,0,37,33,0,6,46,31,0,0,0,257,38,22,63.3,Matches
150,Kiko Femenia,,es ESP,DF,Watford,31-049,1991,17.8,2,0,0,13,16,2,40,51,23,0,0,0,146,17,20,45.9,Matches
151,Evan Ferguson,,ie IRL,MF,Brighton,17-155,2004,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,25,Matches
152,Nathan Ferguson,,eng ENG,DF,Crystal Palace,21-168,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
153,Bruno Fernandes,,pt POR,MF,Manchester Utd,27-196,1994,25.6,7,0,0,37,43,2,66,31,33,0,0,0,196,16,21,43.2,Matches
154,Alvaro Fernandez,,es ESP,GK,Brentford,23-344,1998,12,0,0,0,0,3,0,0,0,0,0,0,1,68,0,0,,Matches
155,Federico Fernandez,,ar ARG,DF,Newcastle Utd,33-030,1989,5.8,0,0,0,2,2,0,0,13,1,0,0,0,34,10,5,66.7,Matches
156,Fernandinho,,br BRA,MF,Manchester City,36-323,1985,6.8,1,0,0,17,15,0,4,7,10,0,0,0,76,13,10,56.5,Matches
157,Roberto Firmino,,br BRA,FW,Liverpool,30-172,1991,8.8,3,0,0,9,9,2,7,2,15,0,0,0,59,10,24,29.4,Matches
158,Junior Firpo,,es ESP,DF,Leeds United,25-213,1996,14.8,9,0,0,37,13,1,21,26,28,0,0,1,122,27,17,61.4,Matches
159,Ashley Fletcher,,eng ENG,FW,Watford,26-172,1995,0.3,0,0,0,1,0,0,0,0,2,0,0,0,4,2,6,25,Matches
160,Phil Foden,,eng ENG,FW,Manchester City,21-299,2000,17.9,1,0,0,14,28,12,42,13,10,0,0,0,87,5,28,15.2,Matches
161,Pablo Fornals,,es ESP,FWMF,West Ham,26-029,1996,24,4,0,0,25,28,5,34,40,28,1,0,0,179,26,33,44.1,Matches
162,Adam Forshaw,,eng ENG,MF,Leeds United,30-166,1991,16,5,0,0,37,21,2,5,30,26,0,0,0,163,9,15,37.5,Matches
163,Marcus Forss,,fi FIN,FWMF,Brentford,22-278,1999,2.3,0,0,0,4,1,0,1,2,2,0,0,0,11,5,15,25,Matches
164,Fraser Forster,,eng ENG,GK,Southampton,34-006,1988,12,1,0,0,0,3,0,0,0,0,0,0,0,48,0,0,,Matches
165,Ben Foster,,eng ENG,GK,Watford,38-354,1983,18,0,0,0,0,3,0,0,0,0,0,0,0,89,0,0,,Matches
166,Tariqe Fosu,,gh GHA,DF,Brentford,26-138,1995,0.2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,Matches
167,Ryan Fraser,,sct SCO,FWMF,Newcastle Utd,28-027,1994,15,3,0,0,13,22,2,56,15,4,0,0,0,75,6,23,20.7,Matches
168,Fred,,br BRA,MF,Manchester Utd,29-018,1993,19.6,5,0,0,34,26,0,2,41,35,1,0,1,215,16,12,57.1,Matches
169,Ryan Fredericks,,eng ENG,DF,West Ham,29-164,1992,1.4,1,0,0,1,0,0,4,3,1,0,0,0,13,4,0,100,Matches
170,Leo Fuhr Hjelde,,no NOR,DF,Leeds United,18-209,2003,1.7,0,0,0,1,1,0,3,4,2,0,0,0,14,4,2,66.7,Matches
171,Conor Gallagher,,eng ENG,MF,Crystal Palace,22-045,2000,24.4,8,0,0,61,51,2,49,31,40,1,0,0,211,27,30,47.4,Matches
172,Dwight Gayle,,eng ENG,FW,Newcastle Utd,31-157,1990,0.4,1,0,0,2,1,0,0,1,0,0,0,0,1,1,1,50,Matches
173,Jean-Philippe Gbamin,,ci CIV,MF,Everton,26-179,1995,0.7,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,100,Matches
174,David de Gea,,es ESP,GK,Manchester Utd,31-136,1990,29,0,0,0,0,1,0,0,0,0,0,0,0,81,0,0,,Matches
175,Joe Gelhardt,,eng ENG,FWMF,Leeds United,19-323,2002,5.2,4,0,0,15,21,3,1,2,3,2,0,0,29,3,20,13,Matches
176,Anwar El Ghazi,,nl NED,FW,Everton,26-324,1995,0.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,Matches
177,Anwar El Ghazi,,nl NED,FWMF,Aston Villa,26-324,1995,4.3,2,0,0,9,7,2,11,2,3,0,0,0,27,11,9,55,Matches
178,Saman Ghoddos,,ir IRN,MFDF,Brentford,28-198,1993,4.8,2,0,0,11,10,0,14,5,7,1,0,0,46,5,11,31.3,Matches
179,Dimitris Giannoulis,,gr GRE,DF,Norwich City,26-157,1995,6.1,1,0,0,5,16,0,17,18,7,0,0,0,57,3,4,42.9,Matches
180,Morgan Gibbs-White,,eng ENG,FWMF,Wolves,22-055,2000,0.1,1,0,0,2,1,0,0,0,0,0,0,0,3,0,2,0,Matches
