,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Succ Drib,Att Drib,Succ% Drib,Drib Past,Megs,Carries,TotDist Carried,PrgDist Carried,Prog Carries,Carries into Att 3rd,Carries into PA,Miscontrol,Dispossessed,Targ,Rec,Rec%,Prog Rec,Matches
453,Jed Steer,,eng ENG,GK,Aston Villa,29-181,1992,1,37,33,36,1,0,0,28,0,0,,0,0,19,77,52,0,0,0,0,0,20,19,95,0,Matches
454,Zack Steffen,,us USA,GK,Manchester City,26-355,1995,1,41,37,41,0,0,0,32,0,0,,0,0,18,58,23,0,0,0,0,0,20,20,100,0,Matches
455,Dale Stephens,,eng ENG,MF,Burnley,32-284,1989,1.4,73,4,13,54,10,0,73,0,0,,0,0,32,116,34,0,2,0,2,0,42,36,85.7,1,Matches
456,Jack Stephens,,eng ENG,DF,Southampton,28-055,1994,7,434,57,228,229,17,3,417,1,2,50,1,0,237,1598,900,22,7,0,1,0,255,248,97.3,1,Matches
457,Raheem Sterling,,eng ENG,FW,Manchester City,27-105,1994,17.4,955,5,47,296,678,173,948,31,78,39.7,34,2,823,3956,2366,151,23,43,32,54,1014,795,78.4,174,Matches
458,Finley Stevens,,wls WAL,DF,Brentford,18-347,2003,0.2,10,0,2,5,3,1,10,0,0,,0,0,4,22,0,0,0,0,0,0,6,5,83.3,1,Matches
459,John Stones,,eng ENG,DF,Manchester City,27-299,1994,9.6,838,80,282,547,75,7,810,6,7,85.7,6,1,607,3923,2260,90,20,0,4,2,677,666,98.4,2,Matches
460,Pascal Struijk,,nl NED,DFMF,Leeds United,22-224,1999,19.8,1337,176,750,573,86,13,1292,4,5,80,4,0,765,4043,2140,31,4,0,4,11,850,817,96.1,8,Matches
461,Crysencio Summerville,,nl NED,MFFW,Leeds United,20-144,2001,1.4,85,2,16,26,47,7,84,3,6,50,3,0,70,341,148,11,0,1,2,5,73,57,78.1,12,Matches
462,Jakob Sorensen,,dk DEN,DFMF,Norwich City,24-020,1998,4.1,225,31,113,104,18,6,217,2,2,100,2,1,122,611,348,9,1,0,2,2,138,124,89.9,3,Matches
463,Japhet Tanganga,,eng ENG,DF,Tottenham,22-357,1999,8.2,502,47,181,242,115,11,448,3,6,50,3,1,283,1405,953,35,15,3,4,9,327,310,94.8,12,Matches
464,Matt Targett,,eng ENG,DF,Newcastle Utd,26-186,1995,7,448,32,142,192,129,9,348,3,5,60,3,0,207,734,337,17,7,0,5,3,219,206,94.1,11,Matches
465,Matt Targett,,eng ENG,DF,Aston Villa,26-186,1995,15.9,965,62,289,423,291,17,818,1,5,20,1,0,508,1905,1096,36,11,3,8,6,586,526,89.8,31,Matches
466,James Tarkowski,,eng ENG,DF,Burnley,29-124,1992,25,1136,226,590,501,79,49,1125,3,5,60,3,0,418,2037,914,15,3,0,10,3,526,482,91.6,7,Matches
467,Nuno Tavares,,pt POR,DF,Arsenal,22-056,2000,7,503,25,154,206,182,29,448,16,28,57.1,16,0,341,1785,1091,54,19,8,7,7,335,314,93.7,22,Matches
468,Charlie Taylor,,eng ENG,DF,Burnley,28-186,1993,19.3,1134,117,402,495,308,6,948,17,35,48.6,21,0,535,3774,1554,70,30,0,11,14,522,495,94.8,15,Matches
469,Nathan Tella,,eng ENG,MFFW,Southampton,22-261,1999,6.5,256,7,42,114,124,19,250,11,27,40.7,13,1,182,1067,609,25,11,5,28,18,241,148,61.4,28,Matches
470,Alex Telles,,br BRA,DF,Manchester Utd,29-098,1992,11.1,813,40,226,365,274,13,691,5,11,45.5,5,0,469,2054,1157,46,28,0,9,10,518,478,92.3,29,Matches
471,Luke Thomas,,eng ENG,DF,Leicester City,20-286,2001,17.2,1234,77,429,589,273,16,1041,13,25,52,17,0,689,2688,1381,51,21,3,21,17,731,694,94.9,25,Matches
472,Dominic Thompson,,eng ENG,DF,Brentford,21-240,2000,1.6,56,8,32,16,11,2,54,0,1,0,0,0,32,97,42,0,0,0,2,0,35,29,82.9,0,Matches
473,Youri Tielemans,,be BEL,MF,Leicester City,24-320,1997,20.1,1401,75,334,784,350,29,1327,14,22,63.6,15,0,907,3058,1813,76,29,4,20,25,1097,1001,91.2,46,Matches
474,Kieran Tierney,,sct SCO,DF,Arsenal,24-291,1997,21.3,1346,68,355,613,472,44,1165,11,25,44,13,1,849,4339,2638,111,39,9,16,8,901,836,92.8,59,Matches
475,Takehiro Tomiyasu,,jp JPN,DF,Arsenal,23-138,1998,15.4,1082,60,344,536,261,17,942,6,11,54.5,6,0,569,2568,1434,56,22,2,18,14,654,597,91.3,23,Matches
476,James Tomkins,,eng ENG,DF,Crystal Palace,32-359,1989,6.1,363,90,254,109,9,8,343,2,2,100,2,0,204,895,383,8,0,0,1,0,243,237,97.5,1,Matches
477,Ivan Toney,,eng ENG,FW,Brentford,26-007,1996,24.3,918,45,126,434,395,110,896,16,33,48.5,17,4,486,1847,910,42,12,7,71,42,1281,644,50.3,156,Matches
