,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,CK_In,CK_Out,CK_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
23,Kepa Arrizabalaga,,es ESP,GK,Chelsea,27-183,1994,4,34.8,27.5,7.25,2,0,4.5,1,0,0,0,0,0,23.8,1.75,9.25,3.25,24,0,0,7,28.8,0,0.75,0,0,Matches
24,Harrison Ashby,,sct SCO,DF,West Ham,20-141,2001,0.1,80,70,10,0,0,0,0,0,0,0,0,0,50,20,10,0,60,10,10,0,70,0,0,0,0,Matches
25,Pierre-Emerick Aubameyang,,ga GAB,FW,Arsenal,32-290,1989,11.5,17.8,17.2,0.61,0,0.09,5.39,0.26,0.78,0,0,0,0,10.4,4.09,3.3,2.35,13.1,0.7,0.09,0.09,12.6,0.09,0.17,0.7,0.96,Matches
26,Jordan Ayew,,gh GHA,FW,Crystal Palace,30-205,1991,17.3,34.7,34.3,0.46,0.12,0.06,6.01,0.75,2.43,0,0,0,0,25,5.09,4.68,1.39,30.3,1.21,0.35,0.35,26.4,0.12,0.64,1.1,2.08,Matches
27,Luke Ayling,,eng ENG,DF,Leeds United,30-222,1991,22,62.3,56,6.32,1.45,0.09,8.27,2,1,0,0,0,0,38.4,9.5,14.5,5.55,48.1,2.45,4.82,0.18,49.5,0.41,1.09,2.68,1.05,Matches
28,Cesar Azpilicueta,,es ESP,DF,Chelsea,32-219,1989,16.9,73.6,65.4,8.17,1.3,0,7.22,0.59,1.89,0,0,0,0,50.3,10.6,12.7,5.27,56.4,3.85,6.86,0.18,60.7,0.36,0.89,2.25,2.01,Matches
29,Daniel Bachmann,,at AUT,GK,Watford,27-269,1994,11,29.8,19.5,10.4,3.09,0,1.64,0.73,0,0,0,0,0,10,1.18,18.6,1.64,22.2,0,0,3.64,17.6,0.18,1,0.36,0.09,Matches
30,Leon Bailey,,jm JAM,FWMF,Aston Villa,24-238,1997,6.8,27.9,25.4,2.5,0.15,0,5,1.32,2.94,1.76,1.62,0.15,0,15.4,5.29,7.21,19.1,6.62,0.59,0.59,0.15,18.7,0,0.44,0.88,1.18,Matches
31,Eric Bailly,,ci CIV,DF,Manchester Utd,27-357,1994,2.4,33.3,31.7,1.67,1.67,0,4.17,0.83,0,0,0,0,0,23.3,2.5,7.5,6.67,21.7,2.92,0,0.42,26.7,0,0.42,0.83,0.83,Matches
32,Folarin Balogun,,eng ENG,FW,Arsenal,20-275,2001,0.8,10,10,0,0,0,3.75,0,0,0,0,0,0,5,3.75,1.25,1.25,7.5,1.25,0,0,5,0,0,2.5,0,Matches
