,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,CK_In,CK_Out,CK_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
103,Diogo Dalot,,pt POR,DF,Manchester Utd,23-017,1999,13.1,60.1,49.8,10.2,0.53,0.08,7.79,2.75,2.67,0.15,0,0.15,0,33.2,12,14.9,4.89,42.1,2.14,9.54,0.08,48.2,0.08,0.84,2.21,1.53,Matches
104,Karl Darlow,,eng ENG,GK,Newcastle Utd,31-178,1990,8,31.6,19,12.6,4.63,0,2,2.38,0,0,0,0,0,8.75,1.5,21.4,1.25,24.8,0,0,3.63,19,0.13,0.88,0.13,0.13,Matches
105,Josh Dasilva,,eng ENG,MFFW,Brentford,23-163,1998,1.5,24.7,24,0.67,0,0,6.67,0,1.33,0,0,0,0,19.3,1.33,4,19.3,3.33,2,0,0,18,0,0.67,2,0.67,Matches
106,Ben Davies,,wls WAL,DF,Tottenham,28-345,1993,20.3,55.8,52.7,3.1,1.08,0,5.62,0.89,0.3,0,0,0,0,43.1,4.48,8.23,43.2,6.75,2.32,2.02,0.05,47.5,0.05,0.59,1.43,1.13,Matches
107,Tom Davies,,eng ENG,MF,Everton,23-278,1998,1.8,32.8,32.2,0.56,0,0,10.6,1.11,0,0,0,0,0,23.3,6.67,2.78,7.78,23.3,0,0,0,25.6,0.56,2.22,0,2.22,Matches
108,Keinan Davis,,eng ENG,FW,Aston Villa,24-050,1998,0.1,30,30,0,0,0,0,0,0,0,0,0,0,10,20,0,20,0,10,0,0,30,0,0,0,0,Matches
109,Craig Dawson,,eng ENG,DF,West Ham,31-333,1990,24.9,40.1,39.2,0.88,0.8,0,5.34,1.12,0.04,0,0,0,0,27.1,4.5,8.55,1.57,33.2,2.77,0.08,0.4,32.9,0.08,1.12,0.96,0.28,Matches
110,Kevin De Bruyne,,be BEL,MF,Manchester City,30-280,1991,17.9,65.1,58.5,6.54,2.07,0.39,8.55,3.3,4.19,3.63,1.4,0.39,0.5,47.2,5.87,12.1,6.93,55.8,1.28,0.73,0.06,49.4,0.34,1.28,3.07,2.46,Matches
111,Troy Deeney,,eng ENG,FW,Watford,33-279,1988,0.3,20,20,0,0,0,3.33,0,0,0,0,0,0,3.33,13.3,3.33,0,10,6.67,0,0,10,0,0,0,0,Matches
112,Liam Delap,,eng ENG,FW,Manchester City,19-055,2003,0.1,10,10,0,0,0,10,0,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,0,Matches
113,Fabian Delph,,eng ENG,MF,Everton,32-134,1989,2.8,44.6,43.6,1.07,0.71,0,11.1,1.43,0.36,0,0,0,0,33.2,3.57,7.86,27.1,15.4,1.79,0.36,0,37.9,0,0.36,0.36,0.71,Matches
114,Leander Dendoncker,,be BEL,MF,Wolves,26-354,1995,16.7,38.4,37.8,0.66,0.54,0,5.99,0.6,0.48,0,0,0,0,29.6,4.13,4.67,6.47,28.1,2.1,0.12,0.12,33.4,0,0.18,1.32,0.54,Matches
115,Emmanuel Dennis,,ng NGA,FWMF,Watford,24-140,1997,24.3,21.9,20.7,1.23,0,0.04,5.8,0.29,1.03,0.21,0.04,0.08,0,14.7,4.94,2.3,2.76,16.4,0.62,0.21,0.29,14.6,0.12,0.41,1.36,1.56,Matches
116,Kiernan Dewsbury Hall,,eng ENG,MF,Leicester City,23-210,1998,14.7,52.5,51,1.56,0.54,0,10.7,1.29,2.04,0.75,0.54,0,0,40.5,5.1,6.87,44.5,5.17,1.7,0.2,0,40.6,0.34,1.22,1.84,1.63,Matches
117,Ibrahima Diallo,,fr FRA,MF,Southampton,23-027,1999,9.4,39.6,39.3,0.32,0.32,0.11,7.55,0.43,0.64,0,0,0,0,30.9,3.83,4.89,3.94,33,1.81,0,0,32.3,0.11,0.64,1.7,1.06,Matches
118,Raphael Dias Belloli,,br BRA,FWMF,Leeds United,25-111,1996,26,39.6,34.4,5.19,1.5,0.19,5.77,2.58,3,2.62,1.62,0.58,0.08,23,6.35,10.3,33.4,3.65,0.5,1.04,0.42,25.2,0,0.92,2.54,1.85,Matches
119,Ruben Dias,,pt POR,DF,Manchester City,24-325,1997,23.7,82.5,80.7,1.86,1.31,0.13,5.49,1.77,0.21,0,0,0,0,71.4,3.92,7.22,13,65.4,2.36,0.51,0.13,77.8,0.08,0.55,0.63,0.42,Matches
120,Luis Diaz,,co COL,FW,Liverpool,25-081,1997,5.5,42.7,42.7,0,0,0.18,8.55,0.55,1.82,0,0,0,0,34.5,5.09,3.09,5.82,34,1.45,0,0.91,37.5,0,0.18,1.64,0.91,Matches
121,Eric Dier,,eng ENG,DF,Tottenham,28-079,1994,26.1,63,61.6,1.42,1.15,0.15,5.06,1.76,0,0,0,0,0,49.7,3.49,9.85,8.54,50.1,2.72,0.08,0.19,55.9,0.27,0.65,1,0.46,Matches
122,Lucas Digne,,fr FRA,DF,Aston Villa,28-258,1993,7.2,57.8,44,13.8,1.67,0,8.06,2.78,4.31,2.5,0.97,0.97,0.14,30.1,13.3,14.3,41.4,2.36,3.06,9.58,0,42.5,0,1.25,2.08,2.64,Matches
123,Lucas Digne,,fr FRA,DF,Everton,28-258,1993,13,52.2,39.6,12.5,1.77,0,6.92,1.23,2.62,1.62,0.15,1.08,0.08,25.8,10.8,15.6,35.7,2.23,3.62,9.15,0.15,37.5,0.23,1.46,2,2.69,Matches
124,Virgil van Dijk,,nl NED,DF,Liverpool,30-270,1991,28,73.7,71.5,2.21,2.04,0,6.32,2.82,0,0,0,0,0,57.3,5.64,10.8,11,55.4,4.04,0.18,0.36,66.8,0.04,0.54,0.82,0.36,Matches
125,Issa Diop,,fr FRA,DF,West Ham,25-085,1997,9,39.9,39,0.89,0.67,0.11,4,0.56,0.11,0,0,0,0,30.3,2.22,7.33,8.22,28.3,2.22,0,0.11,34.3,0,0.78,0.44,0,Matches
126,Moussa Djenepo,,ml MLI,MF,Southampton,23-293,1998,4.9,29.2,29,0.2,0.2,0,4.9,0.2,1.22,0,0,0,0,20.4,4.29,4.49,4.9,22.9,1.02,0,0,21.4,0,0.61,1.02,2.24,Matches
127,Lewis Dobbin,,eng ENG,FWMF,Everton,19-091,2003,0.4,17.5,17.5,0,0,0,5,0,2.5,0,0,0,0,10,5,2.5,0,17.5,0,0,0,10,0,0,2.5,0,Matches
128,Matt Doherty,,ie IRL,DF,Tottenham,30-078,1992,9.5,56.1,49.3,6.84,0.53,0.21,7.37,1.37,2.11,0,0,0,0,38.6,10.2,7.26,3.05,43.6,1.68,6.32,0.11,45.9,0.11,0.53,3.05,1.68,Matches
129,Gabriel Dos Santos,,br BRA,DF,Arsenal,24-106,1997,24.4,57.3,55.4,1.84,1.07,0.04,5.29,1.15,0.08,0,0,0,0,47,3.89,6.31,49.7,4.39,1.8,0.04,0.37,51.3,0.16,0.7,0.74,0.33,Matches
130,Abdoulaye Doucoure,,ml MLI,MF,Everton,29-093,1993,20.7,40.3,39.7,0.68,0.53,0.1,8.55,0.48,0.29,0,0,0,0,29.7,5.89,4.73,4.06,32.7,2.08,0.1,0.14,32.4,0.05,0.77,1.64,1.4,Matches
131,Kieran Dowell,,eng ENG,MFFW,Norwich City,24-176,1997,4,30.8,27.8,3,0.75,0,7.75,1.25,2.5,1.5,1,0.5,0,18,3.25,9.5,20.3,5.75,2.25,0,0.75,19.8,0.25,0.75,1.5,2,Matches
132,Cody Drameh,,eng ENG,DF,Leeds United,20-117,2001,1.4,55,36.4,18.6,0.71,0,4.29,0,1.43,0,0,0,0,27.1,17.9,10,1.43,32.9,2.14,17.9,0.71,42.9,0,0,2.14,3.57,Matches
133,Martin Dubravka,,sk SVK,GK,Newcastle Utd,33-079,1989,18,32.6,19.2,13.4,3.94,0,1.89,1.06,0,0,0,0,0,11.7,0.61,20.2,1.61,26.1,0,0,3.28,21.5,0.11,0.78,0.11,0.06,Matches
134,Shane Duffy,,ie IRL,DF,Brighton,30-093,1992,16,62.9,61.7,1.25,0.75,0,5.13,1.63,0,0,0,0,0,49.4,4,9.5,4.44,52.4,3.56,0.44,0.19,55.9,0.06,1,0.81,0.38,Matches
135,Paul Dummett,,wls WAL,DF,Newcastle Utd,30-190,1991,2.2,30.9,22.3,8.64,0.45,0,3.18,0.45,1.36,0,0,0,0,15.9,5,10,18.2,0.91,2.27,8.18,0,23.2,0,0,1.82,0.45,Matches
136,Lewis Dunk,,eng ENG,DF,Brighton,30-134,1991,20.6,74.3,72.5,1.75,1.5,0.05,4.85,1.99,0.15,0,0,0,0,61.2,4.47,8.64,4.76,65.2,2.04,0.19,0.39,67.6,0.05,0.92,1.17,0.34,Matches
137,Ederson,,br BRA,GK,Manchester City,28-230,1993,29,29.9,25,4.93,1.03,0.07,2.41,0.86,0,0,0,0,0,22,1.21,6.69,20.1,5.17,0,0.03,4.14,26.6,0.03,0.52,0.17,0.03,Matches
138,Odsonne Edouard,,fr FRA,FW,Crystal Palace,24-078,1998,14.1,24.8,23.3,1.42,0,0.07,7.73,0.14,0.5,0,0,0,0,18.6,3.48,2.7,2.48,19,1.21,0.21,0.35,17.9,0.28,0.14,1.42,0.99,Matches
139,Anthony Elanga,,se SWE,FW,Manchester Utd,19-342,2002,7.1,35.5,34.5,0.99,0,0.14,7.89,0.42,1.13,0,0,0,0,26.8,5.21,3.52,5.92,26.5,0.85,0.99,0.14,28.5,0.14,0,2.68,1.69,Matches
140,Harvey Elliott,,eng ENG,MF,Liverpool,19-000,2003,3.1,67.1,64.8,2.26,0,0,5.48,0.65,1.61,0.65,0.32,0,0,50.3,9.03,7.74,60.3,4.84,0.32,0.97,0.65,56.8,0.65,0,1.61,2.26,Matches
141,Mohamed Elneny,,eg EGY,MF,Arsenal,29-267,1992,2,58,57.5,0.5,0,0,4,0.5,0,0,0,0,0,42.5,8.5,7,3,52.5,1.5,0,0,53.5,0,0.5,1.5,0,Matches
142,Mohamed Elyounoussi,,no NOR,MF,Southampton,27-243,1994,17.8,29.8,29.6,0.22,0.06,0.11,7.53,0.28,1.57,0.06,0,0,0,19.8,5.06,4.94,4.61,21.6,1.91,0.11,0.28,20.9,0.11,0.22,1.57,1.46,Matches
143,Emerson,,br BRA,DF,Tottenham,23-080,1999,17.7,58.1,47.1,11,1.07,0,8.76,0.56,2.82,0.06,0,0,0,35.9,13.1,9.1,5.65,39.3,2.49,9.83,0,46.7,0.06,0.51,1.69,2.15,Matches
144,Christian Eriksen,,dk DEN,MF,Brentford,30-049,1992,3.4,55.3,44.7,10.6,4.12,0.29,8.53,2.94,2.06,5,2.35,1.76,0,29.4,8.24,17.6,15.6,35.9,3.53,0.29,0,40.3,0.29,0,1.18,1.47,Matches
145,Oghenekaro Etebo,,ng NGA,MF,Watford,26-146,1995,4.3,35.8,33.5,2.33,2.33,0,3.95,2.09,0.23,0,0,0,0,28.6,1.4,5.81,4.42,30.7,0.47,0,0.23,32.1,0.23,0.93,1.4,0.23,Matches
146,Jonny Evans,,nir NIR,DF,Leicester City,34-091,1988,9.4,59.8,57.1,2.66,2.45,0.11,8.4,0.43,0,0,0,0,0,42,4.68,13.1,21.7,32.3,3.09,0.21,0,49.1,0.11,1.38,1.6,0.43,Matches
147,Eberechi Eze,,eng ENG,MFFW,Crystal Palace,23-279,1998,1.6,42.5,40,2.5,0.63,0,4.38,0.63,0,1.25,0.63,0.63,0,28.8,6.25,7.5,8.13,30.6,2.5,0,0,31.3,0.63,0.63,1.88,1.88,Matches
148,Lukasz Fabianski,,pl POL,GK,West Ham,36-351,1985,30,26.1,16.8,9.3,1.83,0,1.77,0.8,0,0,0,0,0,9.33,1.1,15.7,1.47,19.4,0.07,0,3.67,16.4,0,0.8,0.1,0.1,Matches
149,Fabinho,,br BRA,MF,Liverpool,28-163,1993,21.2,57,55.8,1.23,1.18,0.05,8.77,0.71,0.28,0,0,0,0,42.2,6.51,8.3,4.1,48.4,2.88,0.05,0.24,50.2,0.09,0.61,0.9,0.9,Matches
150,Kiko Femenia,,es ESP,DF,Watford,31-061,1991,18.8,49.4,36.9,12.5,1.17,0.05,4.57,0.74,2.13,1.28,0.85,0.37,0,24.9,10.3,14.1,4.52,31.9,2.07,10.1,0.16,35.1,0.05,1.12,1.7,1.44,Matches
151,Evan Ferguson,,ie IRL,MF,Brighton,17-167,2004,0.3,23.3,23.3,0,0,0,13.3,3.33,3.33,0,0,0,0,16.7,0,6.67,6.67,13.3,0,0,0,20,0,0,3.33,0,Matches
152,Nathan Ferguson,,eng ENG,DF,Crystal Palace,21-180,2000,0.1,50,30,20,0,0,10,0,0,0,0,0,0,0,30,20,10,10,10,20,0,30,0,0,0,0,Matches
153,Bruno Fernandes,,pt POR,MF,Manchester Utd,27-208,1994,26.6,57,51.7,5.23,1.13,0.49,9.89,2.93,2.52,1.88,0.64,0.86,0,37.6,5.75,13.6,3.46,51,1.2,0.64,0.26,41.6,0.56,1.47,3.2,1.65,Matches
154,Alvaro Fernandez,,es ESP,GK,Brentford,23-356,1998,12,41.7,31.8,9.83,2.92,0,2.83,0.67,0,0,0,0,0,19.8,1.08,20.8,3.92,30.7,0,0,4.67,26.8,0.08,1.42,0.58,0.17,Matches
155,Federico Fernandez,,ar ARG,DF,Newcastle Utd,33-042,1989,5.8,36.9,35.7,1.21,0.86,0,3.45,1.03,0,0,0,0,0,27.8,1.72,7.41,1.9,32.6,1.55,0.34,0.17,31.6,0,0.69,0.69,0.17,Matches
156,Fernandinho,,br BRA,MF,Manchester City,36-335,1985,6.8,73.4,72.6,0.74,0.59,0.74,10.4,1.03,0.59,0,0,0,0,59.3,6.76,7.35,7.94,62.2,1.62,0.15,0.29,65.6,0.15,0.15,2.79,0.59,Matches
157,Roberto Firmino,,br BRA,FW,Liverpool,30-184,1991,9.8,43,41.8,1.12,0,0.2,10.7,0.82,0.71,0,0,0,0,33.5,5.61,3.88,4.08,36.1,1.43,0.41,0.2,34.4,0,0.41,2.65,1.84,Matches
158,Junior Firpo,,es ESP,DF,Leeds United,25-225,1996,14.8,51.7,43.2,8.51,0.41,0,7.03,0.81,1.42,0,0,0,0,32.8,12,6.89,33.3,7.09,2.09,8.11,0.27,42.9,0.27,0.68,1.89,1.15,Matches
159,Ashley Fletcher,,eng ENG,FW,Watford,26-184,1995,0.3,30,30,0,0,0,16.7,0,0,0,0,0,0,10,16.7,3.33,3.33,13.3,3.33,0,3.33,10,0,0,3.33,6.67,Matches
160,Phil Foden,,eng ENG,FW,Manchester City,21-311,2000,18.6,48.6,43.6,5,0.86,0.27,7.8,2.8,2.37,3.23,1.34,1.24,0.11,36.7,4.03,7.9,44.6,2.47,0.91,0.22,0.16,39.2,0.11,0.59,1.67,1.56,Matches
161,Wesley Fofana,,fr FRA,DF,Leicester City,21-108,2000,1,65,62,3,2,0,1,0,0,0,0,0,0,53,4,8,13,47,3,1,0,56,0,1,2,0,Matches
162,Pablo Fornals,,es ESP,FWMF,West Ham,26-041,1996,25,43,41,2.04,0.16,0.36,7.56,1.36,1.4,1.08,0.84,0.04,0.04,30.3,5.76,6.92,4.84,35.7,1.08,0.24,0.24,32.4,0.12,0.6,2.32,1.8,Matches
163,Adam Forshaw,,eng ENG,MF,Leeds United,30-178,1991,17,47.6,46,1.65,1.41,0.06,7.24,2.12,0.29,0,0,0,0,34.8,5.12,7.71,6.35,38.8,1.59,0.18,0.12,39.9,0.35,0.65,1.47,0.88,Matches
164,Marcus Forss,,fi FIN,FWMF,Brentford,22-290,1999,2.3,17.8,16.5,1.3,0,0,5.22,0,0.43,0,0,0,0,7.83,5.65,4.35,1.3,10.9,3.48,0,0.43,10.4,0.43,0.43,0.87,0.43,Matches
165,Fraser Forster,,eng ENG,GK,Southampton,34-018,1988,13,32.9,22.5,10.4,3.23,0,2.46,1.15,0,0,0,0,0,12.8,1.23,18.8,4.08,22.3,0.08,0,4.15,19.5,0.15,1,0.31,0.08,Matches
166,Ben Foster,,eng ENG,GK,Watford,39-001,1983,19,34.3,21.1,13.2,4.21,0,1.95,1.63,0,0,0,0,0,7.26,1.26,25.7,24.6,5.53,0,0,2.79,16.8,0.21,1.58,0.53,0.11,Matches
167,Tariqe Fosu,,gh GHA,DF,Brentford,26-150,1995,0.2,40,40,0,0,0,0,0,5,0,0,0,0,25,5,10,5,30,5,0,0,30,0,0,0,0,Matches
168,Ryan Fraser,,sct SCO,FWMF,Newcastle Utd,28-039,1994,16,29.2,26.6,2.63,0.63,0,3.75,1.38,3.75,1.75,0.94,0.38,0.25,17.3,3.44,8.5,4.5,22.6,1.44,0.19,0.25,20.4,0.31,1.13,0.63,0.5,Matches
169,Fred,,br BRA,MF,Manchester Utd,29-030,1993,20.6,57.2,55.7,1.55,1.41,0.15,9.32,1.94,0.1,0,0,0,0,44.7,6.55,6.02,37.7,16.9,1.46,0.15,0.39,48.8,0.19,0.78,1.65,1.46,Matches
170,Ryan Fredericks,,eng ENG,DF,West Ham,29-176,1992,2.4,36.3,31.3,5,0,0,4.17,0.42,2.5,0,0,0,0,19.2,7.92,9.17,0.83,24.2,5,5,0,25.4,0.42,0.83,0.42,1.67,Matches
171,Leo Fuhr Hjelde,,no NOR,DF,Leeds United,18-221,2003,1.7,65.3,48.8,16.5,0,0,13.5,1.18,1.76,0,0,0,0,30,22.4,12.9,37.6,5.88,4.71,16.5,0,49.4,0,2.94,3.53,2.35,Matches
172,Conor Gallagher,,eng ENG,MF,Crystal Palace,22-057,2000,24.4,37.8,33.2,4.59,2.13,0.08,6.27,1.52,2.01,2.25,0.94,0.53,0.16,24.7,4.63,8.44,2.62,32.8,1.31,0.08,0.08,29,0.08,0.61,1.27,0.94,Matches
173,Dwight Gayle,,eng ENG,FW,Newcastle Utd,31-169,1990,0.4,20,20,0,0,0,7.5,0,0,0,0,0,0,15,5,0,0,17.5,0,0,2.5,15,0,0,0,2.5,Matches
174,Jean-Philippe Gbamin,,ci CIV,MF,Everton,26-191,1995,0.7,30,28.6,1.43,1.43,0,4.29,1.43,0,0,0,0,0,21.4,4.29,4.29,5.71,20,4.29,0,0,22.9,0,2.86,1.43,0,Matches
175,David de Gea,,es ESP,GK,Manchester Utd,31-148,1990,30,24.1,14.5,9.63,1.53,0,1.2,0.73,0,0,0,0,0,12.4,0.9,10.8,1.23,18.7,0,0,3.07,16.8,0.07,0.5,0.5,0.1,Matches
176,Joe Gelhardt,,eng ENG,FWMF,Leeds United,19-335,2002,5.5,17.8,15.5,2.36,0,0,2.91,0,0.36,0,0,0,0,12.4,3.27,2.18,12.9,2.55,1.09,0,0.73,12.7,0,0.36,0.91,0.55,Matches
177,Anwar El Ghazi,,nl NED,FW,Everton,26-336,1995,0.1,90,70,20,0,0,20,0,10,20,0,0,0,80,10,0,20,60,10,0,0,80,0,0,10,0,Matches
178,Anwar El Ghazi,,nl NED,FWMF,Aston Villa,26-336,1995,4.3,26.7,26.3,0.47,0,0,5.35,0.47,2.56,0,0,0,0,15.6,5.35,5.81,4.42,19.1,1.63,0.47,0,19.1,0,0.47,0.23,2.09,Matches
179,Saman Ghoddos,,ir IRN,MFDF,Brentford,28-210,1993,4.8,39.6,34.6,5,2.29,0.21,4.17,0.83,2.92,1.67,1.04,0.42,0.21,21.3,7.29,11,2.71,32.1,3.13,0.42,0.42,26.7,0.21,0.83,2.29,1.04,Matches
180,Dimitris Giannoulis,,gr GRE,DF,Norwich City,26-169,1995,7.1,53.2,43.2,10,0.99,0,8.31,0.42,2.39,0.28,0.28,0,0,30.7,11.7,10.8,38.3,4.51,1.41,8.73,0,39.7,0.28,0.7,2.82,1.41,Matches
181,Morgan Gibbs-White,,eng ENG,FWMF,Wolves,22-067,2000,0.1,100,90,10,0,0,10,0,0,10,10,0,0,50,40,10,10,80,0,0,10,70,0,0,0,10,Matches
182,Ben Gibson,,eng ENG,DF,Norwich City,29-079,1993,24.7,48.5,46.4,2.02,1.58,0.04,5.55,1.21,0,0,0,0,0,33.4,2.83,12.2,41.1,2.96,2.91,0.4,0.12,39.7,0.24,0.89,0.73,0.45,Matches
183,Billy Gilmour,,sct SCO,MF,Norwich City,20-297,2001,16.7,58.9,51.7,7.25,2.51,0.06,7.19,4.91,0.96,3.41,1.26,2.16,0,39.9,4.37,14.6,4.13,51.4,2.34,0.48,0,46.2,0.12,0.84,2.46,0.96,Matches
184,Ben Godfrey,,eng ENG,DF,Everton,24-079,1998,19.5,36.8,31.4,5.33,0.62,0,3.9,0.41,0.72,0,0,0,0,22.8,5.59,8.36,2.31,26.1,2.36,4.72,0.21,28.4,0.05,1.38,0.97,0.92,Matches
185,Andre Gomes,,pt POR,MF,Everton,28-248,1993,5.6,44.3,42.7,1.61,0.71,0,7.32,1.43,0.54,0.18,0.18,0,0,30.7,4.82,8.75,11.3,30.2,1.25,0,0.54,33.8,0,1.25,2.32,1.07,Matches
186,Toti Gomes,,pt POR,DF,Wolves,23-078,1999,2,41.5,41,0.5,0,0,5.5,0,0,0,0,0,0,23,4.5,14,28,6,5,0.5,0,26.5,0,1.5,2,0.5,Matches
187,Joe Gomez,,eng ENG,DF,Liverpool,24-316,1997,2.2,81.8,71.4,10.5,0.91,0,11.8,4.55,3.18,0,0,0,0,56.4,12.7,12.7,5.91,58.2,4.55,9.55,0,67.3,0,0.91,4.55,0.91,Matches
188,Charlie Goode,,eng ENG,DF,Brentford,26-244,1995,5,60,44.8,15.2,1.6,0,5.2,1.2,2.8,0,0,0,0,26.8,5.8,27.4,3.6,34.8,5.4,13.6,0,38,0.2,1.4,1.8,1.8,Matches
189,Anthony Gordon,,eng ENG,MFFW,Everton,21-039,2001,16.9,30.8,28,2.78,0.83,0.06,6.27,1.01,2.49,1.42,0.53,0.53,0.12,20.7,4.02,6.09,3.02,25.7,0.71,0.47,0.18,20.9,0.24,0.53,2.25,1.54,Matches
190,Kaide Gordon,,eng ENG,FW,Liverpool,17-181,2004,0.1,40,40,0,0,0,10,0,0,0,0,0,0,40,0,0,40,0,0,0,0,40,0,0,0,0,Matches
191,Dan Gosling,,eng ENG,MF,Watford,32-062,1990,0.2,35,35,0,0,0,5,0,0,0,0,0,0,25,5,5,10,20,0,0,0,25,0,0,0,0,Matches
192,Demarai Gray,,eng ENG,MFFW,Everton,25-280,1996,19.8,29.3,25.5,3.84,1.26,0.1,5.66,2.22,2.42,2.07,1.26,0.71,0,19.1,3.13,7.02,3.08,24.9,0.61,0.3,0.2,20.8,0.05,0.45,1.06,1.57,Matches
193,Jack Grealish,,eng ENG,FW,Manchester City,26-206,1995,17.1,45.5,44.3,1.17,0.18,0.18,9.12,0.47,1.7,0.41,0.06,0.06,0,38.9,4.15,2.46,3.57,39.9,0.7,0.29,0.41,39.4,0.23,0.53,1.52,1.93,Matches
194,Mason Greenwood,,eng ENG,FWMF,Manchester Utd,20-185,2001,14.1,35.7,34.5,1.21,0.14,0.21,6.88,2.2,1.77,0.99,0.71,0.21,0.07,27,3.55,5.18,27,7.94,0.35,0,0.14,28.2,0.14,0.43,1.49,1.21,Matches
195,Sam Greenwood,,eng ENG,FWMF,Leeds United,20-068,2002,0.9,27.8,25.6,2.22,0,0,7.78,0,0,0,0,0,0,21.1,3.33,3.33,11.1,14.4,1.11,0,1.11,23.3,0,0,0,2.22,Matches
196,Pascal Gross,,de GER,MFDF,Brighton,30-293,1991,16.3,63.4,54.4,9.08,2.27,0.06,7.61,4.17,3.01,4.79,1.78,2.64,0.12,40.4,8.28,14.7,10.4,48.7,1.35,2.02,0.18,48,0.37,0.98,1.72,2.09,Matches
197,Vicente Guaita,,es ESP,GK,Crystal Palace,35-084,1987,23.5,31.4,23.1,8.26,1.57,0,2.43,1.02,0,0,0,0,0,18.2,1.49,11.7,3.74,20.6,0.13,0,5.45,25.1,0.09,0.6,0.17,0.04,Matches
198,Marc Guehi,,eng ENG,DF,Crystal Palace,21-265,2000,28,61,59.3,1.75,1.68,0,4.61,1.79,0.07,0,0,0,0,47.1,4.21,9.75,17.7,39.4,2.75,0.07,0.04,53.1,0.18,0.68,1,0.29,Matches
199,Bruno Guimaraes,,br BRA,MF,Newcastle Utd,24-139,1997,3.6,53.3,51.9,1.39,1.11,0.28,11.1,2.22,0.56,0,0,0,0,40,7.5,5.83,4.44,45.8,1.67,0.28,0.28,45.6,0,0.83,1.94,2.22,Matches
200,?lkay Gundogan,,de GER,MF,Manchester City,31-162,1990,16,60.2,55.5,4.69,1.19,0.31,7.13,2.13,1.38,3.19,1.75,0.5,0.06,46.8,5.94,7.44,17.1,40.4,1.63,0.19,0.31,51.7,0.06,0.81,1.38,1.25,Matches
201,Angus Gunn,,eng ENG,GK,Norwich City,26-072,1996,7,32,18.4,13.6,4.71,0,1,1,0,0,0,0,0,14.6,0.71,16.7,1.71,24.4,0,0,4.57,22.3,0.29,0.43,0.14,0.14,Matches
202,Grant Hanley,,sct SCO,DF,Norwich City,30-135,1991,24.2,40,38.2,1.78,1.74,0,4.26,1.03,0,0,0,0,0,29.1,3.31,7.52,2.48,32.7,3.22,0.04,0.08,33.8,0,0.79,0.29,0.45,Matches
203,Jack Harrison,,eng ENG,FWMF,Leeds United,25-135,1996,22.9,35.8,34.2,1.62,0.22,0.04,7.21,1.22,3.62,0.66,0.13,0.35,0.09,22,7.12,6.68,23.8,9.74,0.83,0.74,0.17,22.9,0.22,0.7,2.36,2.49,Matches
204,Kortney Hause,,eng ENG,DF,Aston Villa,26-262,1995,4.4,46.8,45.7,1.14,1.14,0,6.59,1.82,0.23,0,0,0,0,31.6,3.41,11.8,36.1,5.68,2.27,0,0.23,36.8,0,2.27,0,1.14,Matches
205,Kai Havertz,,de GER,FWMF,Chelsea,22-297,1999,15.5,32.1,30.8,1.35,0,0.06,8.26,0.45,1.1,0,0,0,0,26.3,3.35,2.45,22.5,7.1,0.71,0.13,0.58,26.3,0.26,0.26,0.97,0.97,Matches
206,Isaac Hayden,,eng ENG,MFDF,Newcastle Utd,27-013,1995,11.1,28.6,27.2,1.44,0.81,0,6.04,0.36,0.45,0,0,0,0,20.7,3.78,4.14,3.24,22.3,1.71,0.09,0.09,23,0,0.9,0.72,0.99,Matches
207,Hwang Hee-chan,,kr KOR,FWMF,Wolves,26-068,1996,15.3,31,30.6,0.46,0.07,0,5.62,0.52,0.46,0.07,0,0,0,23.5,3.86,3.66,3.53,25.2,1.24,0.07,0.52,25.2,0.13,0.2,0.98,1.05,Matches
208,Jordan Henderson,,eng ENG,MF,Liverpool,31-291,1990,23.3,74.8,72.4,2.45,0.64,0.17,10.6,1.42,1.8,0.13,0,0.09,0,51.8,9.48,13.6,9.53,61.1,2.27,0.86,0.34,61.9,0.26,0.73,2.4,1.8,Matches
209,Jeff Hendrick,,ie IRL,MF,Newcastle Utd,30-063,1992,0.8,33.8,33.8,0,0,0,6.25,1.25,0,0,0,0,0,30,2.5,1.25,0,32.5,0,0,0,30,0,0,1.25,0,Matches
210,Wayne Hennessey,,wls WAL,GK,Burnley,35-070,1987,2,40,21.5,18.5,8,0,0.5,0,0,0,0,0,0,5.5,1,33.5,4,30,0,0,4,20,0.5,1.5,0,0,Matches
211,Rico Henry,,eng ENG,DF,Brentford,24-270,1997,24.2,35.8,32.7,3.1,0.21,0,5.95,0.29,1.24,0,0,0,0,20.6,7.15,8.06,26.7,2.69,2.44,2.89,0.04,25.4,0.08,0.95,1.4,2.02,Matches
