,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD Won,AD Lost,AD Won%,Matches
147,Eberechi Eze,,eng ENG,MFFW,Crystal Palace,23-279,1998,1.6,0.63,0,0,1.88,0.63,0,0,1.88,1.25,0,0,0,5.63,1.25,2.5,33.3,Matches
148,Lukasz Fabianski,,pl POL,GK,West Ham,36-351,1985,30,0,0,0,0,0.17,0,0,0,0,0,0,0,3.53,0,0,,Matches
149,Fabinho,,br BRA,MF,Liverpool,28-163,1993,21.2,0.24,0,0,1.75,1.6,0,0.28,2.17,1.51,0,0,0,12.4,1.79,1.04,63.3,Matches
150,Kiko Femenia,,es ESP,DF,Watford,31-061,1991,18.8,0.11,0,0,0.69,0.85,0.11,2.13,2.93,1.22,0,0,0,8.19,0.96,1.17,45,Matches
151,Evan Ferguson,,ie IRL,MF,Brighton,17-167,2004,0.3,0,0,0,0,0,0,3.33,0,0,0,0,0,0,3.33,10,25,Matches
152,Nathan Ferguson,,eng ENG,DF,Crystal Palace,21-180,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,,Matches
153,Bruno Fernandes,,pt POR,MF,Manchester Utd,27-208,1994,26.6,0.26,0,0,1.39,1.69,0.11,2.52,1.17,1.28,0,0,0,7.63,0.68,0.83,45,Matches
154,Alvaro Fernandez,,es ESP,GK,Brentford,23-356,1998,12,0,0,0,0,0.25,0,0,0,0,0,0,0.08,5.67,0,0,,Matches
155,Federico Fernandez,,ar ARG,DF,Newcastle Utd,33-042,1989,5.8,0,0,0,0.34,0.34,0,0,2.24,0.17,0,0,0,5.86,1.72,0.86,66.7,Matches
156,Fernandinho,,br BRA,MF,Manchester City,36-335,1985,6.8,0.15,0,0,2.5,2.21,0,0.59,1.03,1.47,0,0,0,11.2,1.91,1.47,56.5,Matches
157,Roberto Firmino,,br BRA,FW,Liverpool,30-184,1991,9.8,0.31,0,0,0.92,0.92,0.2,0.71,0.2,2.14,0,0,0,6.22,1.02,2.76,27,Matches
158,Junior Firpo,,es ESP,DF,Leeds United,25-225,1996,14.8,0.61,0,0,2.5,0.88,0.07,1.42,1.76,1.89,0,0,0.07,8.24,1.82,1.15,61.4,Matches
159,Ashley Fletcher,,eng ENG,FW,Watford,26-184,1995,0.3,0,0,0,3.33,0,0,0,0,6.67,0,0,0,13.3,6.67,20,25,Matches
160,Phil Foden,,eng ENG,FW,Manchester City,21-311,2000,18.6,0.05,0,0,0.75,1.56,0.65,2.37,0.7,0.54,0,0,0,4.78,0.27,1.61,14.3,Matches
161,Wesley Fofana,,fr FRA,DF,Leicester City,21-108,2000,1,1,0,0,1,0,0,0,5,0,0,0,0,6,3,2,60,Matches
162,Pablo Fornals,,es ESP,FWMF,West Ham,26-041,1996,25,0.16,0,0,1.04,1.16,0.2,1.4,1.6,1.12,0.04,0,0,7.56,1.08,1.32,45,Matches
163,Adam Forshaw,,eng ENG,MF,Leeds United,30-178,1991,17,0.29,0,0,2.24,1.24,0.12,0.29,1.76,1.65,0,0,0,11.2,0.76,0.88,46.4,Matches
164,Marcus Forss,,fi FIN,FWMF,Brentford,22-290,1999,2.3,0,0,0,1.74,0.43,0,0.43,0.87,0.87,0,0,0,4.78,2.17,6.52,25,Matches
165,Fraser Forster,,eng ENG,GK,Southampton,34-018,1988,13,0.08,0,0,0,0.23,0,0,0,0,0,0,0,4.46,0,0,,Matches
166,Ben Foster,,eng ENG,GK,Watford,39-001,1983,19,0,0,0,0,0.16,0,0,0,0,0,0,0,4.89,0,0,,Matches
167,Tariqe Fosu,,gh GHA,DF,Brentford,26-150,1995,0.2,0,0,0,0,5,0,5,0,0,0,0,0,10,0,5,0,Matches
168,Ryan Fraser,,sct SCO,FWMF,Newcastle Utd,28-039,1994,16,0.19,0,0,0.81,1.5,0.13,3.75,1,0.25,0,0,0,5.06,0.38,1.44,20.7,Matches
169,Fred,,br BRA,MF,Manchester Utd,29-030,1993,20.6,0.24,0,0,1.89,1.41,0,0.1,2.09,1.7,0.05,0,0.05,11.1,0.78,0.63,55.2,Matches
170,Ryan Fredericks,,eng ENG,DF,West Ham,29-176,1992,2.4,0.42,0,0,0.83,0.42,0,2.5,2.08,0.83,0,0,0,8.33,2.08,0,100,Matches
171,Leo Fuhr Hjelde,,no NOR,DF,Leeds United,18-221,2003,1.7,0,0,0,0.59,0.59,0,1.76,2.35,1.18,0,0,0,8.24,2.35,1.18,66.7,Matches
172,Conor Gallagher,,eng ENG,MF,Crystal Palace,22-057,2000,24.4,0.33,0,0,2.5,2.09,0.08,2.01,1.27,1.64,0.04,0,0,8.69,1.11,1.23,47.4,Matches
173,Dwight Gayle,,eng ENG,FW,Newcastle Utd,31-169,1990,0.4,2.5,0,0,5,2.5,0,0,2.5,0,0,0,0,2.5,2.5,2.5,50,Matches
174,Jean-Philippe Gbamin,,ci CIV,MF,Everton,26-191,1995,0.7,0,0,0,0,1.43,0,0,0,1.43,0,0,0,10,1.43,0,100,Matches
175,David de Gea,,es ESP,GK,Manchester Utd,31-148,1990,30,0,0,0,0,0.03,0,0,0,0,0,0,0,2.77,0,0,,Matches
176,Joe Gelhardt,,eng ENG,FWMF,Leeds United,19-335,2002,5.5,0.73,0,0,2.73,4.18,0.55,0.36,0.36,0.91,0.36,0,0,5.45,0.73,3.64,16.7,Matches
177,Anwar El Ghazi,,nl NED,FW,Everton,26-336,1995,0.1,0,0,0,0,0,0,10,10,10,0,0,0,0,0,30,0,Matches
178,Anwar El Ghazi,,nl NED,FWMF,Aston Villa,26-336,1995,4.3,0.47,0,0,2.09,1.63,0.47,2.56,0.47,0.7,0,0,0,6.28,2.56,2.09,55,Matches
179,Saman Ghoddos,,ir IRN,MFDF,Brentford,28-210,1993,4.8,0.42,0,0,2.29,2.08,0,2.92,1.04,1.46,0.21,0,0,9.58,1.04,2.29,31.3,Matches
180,Dimitris Giannoulis,,gr GRE,DF,Norwich City,26-169,1995,7.1,0.14,0,0,0.85,2.54,0,2.39,2.82,0.99,0,0,0,9.44,0.56,0.56,50,Matches
181,Morgan Gibbs-White,,eng ENG,FWMF,Wolves,22-067,2000,0.1,10,0,0,20,10,0,0,0,0,0,0,0,30,0,20,0,Matches
182,Ben Gibson,,eng ENG,DF,Norwich City,29-079,1993,24.7,0.2,0.04,0.04,0.57,0.4,0,0,1.66,0.53,0,0.08,0,7.33,2.43,1.21,66.7,Matches
183,Billy Gilmour,,sct SCO,MF,Norwich City,20-297,2001,16.7,0.12,0,0,2.16,1.08,0.06,0.96,1.8,1.14,0,0.06,0,8.62,0.72,1.32,35.3,Matches
184,Ben Godfrey,,eng ENG,DF,Everton,24-079,1998,19.5,0.26,0,0,0.87,0.62,0,0.72,2.26,1.18,0,0,0,7.33,2.15,1.59,57.5,Matches
185,Andre Gomes,,pt POR,MF,Everton,28-248,1993,5.6,0.54,0,0,5.18,1.43,0,0.54,1.25,1.61,0,0,0,12.7,1.07,1.79,37.5,Matches
186,Toti Gomes,,pt POR,DF,Wolves,23-078,1999,2,0.5,0,0,0.5,0.5,0.5,0,3,1,0,0,0,11.5,3,4,42.9,Matches
187,Joe Gomez,,eng ENG,DF,Liverpool,24-316,1997,2.2,0.45,0,0,1.36,0.91,0,3.18,3.64,0.45,0,0,0,14.1,4.09,1.36,75,Matches
188,Charlie Goode,,eng ENG,DF,Brentford,26-244,1995,5,0.6,0,0,1.4,1.6,0,2.8,1,1,0,0.2,0,11.6,3.8,1.8,67.9,Matches
189,Anthony Gordon,,eng ENG,MFFW,Everton,21-039,2001,16.9,0.12,0,0,1.42,2.31,0.47,2.49,1.24,1.78,0.06,0,0,6.39,0.83,2.01,29.2,Matches
190,Kaide Gordon,,eng ENG,FW,Liverpool,17-181,2004,0.1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,Matches
191,Dan Gosling,,eng ENG,MF,Watford,32-062,1990,0.2,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,100,Matches
192,Demarai Gray,,eng ENG,MFFW,Everton,25-280,1996,19.8,0.15,0,0,0.66,1.97,0.15,2.42,0.66,0.66,0,0,0,4.95,0.2,1.67,10.8,Matches
193,Jack Grealish,,eng ENG,FW,Manchester City,26-206,1995,17.1,0.12,0,0,0.82,2.98,0.29,1.7,0.82,0.58,0,0,0,5.09,0.76,1.46,34.2,Matches
194,Mason Greenwood,,eng ENG,FWMF,Manchester Utd,20-185,2001,14.1,0.07,0,0,1.49,1.56,0.21,1.77,0.28,0.57,0,0,0,5.74,0.43,0.64,40,Matches
195,Sam Greenwood,,eng ENG,FWMF,Leeds United,20-068,2002,0.9,0,0,0,2.22,0,1.11,0,0,0,0,0,0,6.67,0,2.22,0,Matches
196,Pascal Gross,,de GER,MFDF,Brighton,30-293,1991,16.3,0,0,0,0.67,0.55,0.18,3.01,0.8,1.1,0,0,0,8.83,0.92,1.66,35.7,Matches
197,Vicente Guaita,,es ESP,GK,Crystal Palace,35-084,1987,23.5,0.09,0,0,0.04,0.09,0,0,0,0,0,0.04,0,4.85,0,0,,Matches
198,Marc Guehi,,eng ENG,DF,Crystal Palace,21-265,2000,28,0.14,0,0,0.5,1,0,0.07,1.64,0.79,0,0.04,0,9.18,2.21,1.64,57.4,Matches
199,Bruno Guimaraes,,br BRA,MF,Newcastle Utd,24-139,1997,3.6,0.28,0,0,1.39,5,0,0.56,2.22,3.61,0,0,0,14.7,0.83,1.39,37.5,Matches
200,?lkay Gundogan,,de GER,MF,Manchester City,31-162,1990,16,0.06,0,0,0.88,0.88,0.13,1.38,1,0.44,0,0,0,6.38,0.69,0.69,50,Matches
201,Angus Gunn,,eng ENG,GK,Norwich City,26-072,1996,7,0,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,,Matches
202,Grant Hanley,,sct SCO,DF,Norwich City,30-135,1991,24.2,0.08,0,0,0.95,0.87,0.08,0,2.07,1.49,0,0.04,0,8.43,3.68,1.12,76.7,Matches
203,Jack Harrison,,eng ENG,FWMF,Leeds United,25-135,1996,22.9,0.13,0,0,1.18,0.92,0.17,3.62,1.22,1.05,0,0,0,6.38,0.87,2.31,27.4,Matches
204,Kortney Hause,,eng ENG,DF,Aston Villa,26-262,1995,4.4,0,0,0,1.82,0.45,0.23,0.23,2.05,0.91,0,0.23,0,12.5,4.55,1.82,71.4,Matches
205,Kai Havertz,,de GER,FWMF,Chelsea,22-297,1999,15.5,0.13,0,0,2,1.74,0.65,1.1,0.39,0.77,0.06,0,0,4.26,2,3.48,36.5,Matches
206,Isaac Hayden,,eng ENG,MFDF,Newcastle Utd,27-013,1995,11.1,0.45,0,0,2.16,0.81,0,0.45,1.8,1.62,0,0,0,6.94,2.16,1.35,61.5,Matches
207,Hwang Hee-chan,,kr KOR,FWMF,Wolves,26-068,1996,15.3,0.07,0,0,1.63,2.29,0.2,0.46,0.98,0.78,0,0,0,5.36,0.65,1.57,29.4,Matches
208,Jordan Henderson,,eng ENG,MF,Liverpool,31-291,1990,23.3,0.13,0,0,1.2,0.34,0.13,1.8,1.59,0.86,0,0,0,10.3,0.77,0.69,52.9,Matches
209,Jeff Hendrick,,ie IRL,MF,Newcastle Utd,30-063,1992,0.8,0,0,0,2.5,0,0,0,0,1.25,0,0,0,7.5,1.25,1.25,50,Matches
210,Wayne Hennessey,,wls WAL,GK,Burnley,35-070,1987,2,0,0,0,0,0.5,0,0,0,0,0,0,0,6,0,0,,Matches
211,Rico Henry,,eng ENG,DF,Brentford,24-270,1997,24.2,0.08,0,0,0.74,0.91,0.04,1.24,1.98,0.99,0,0,0,10,1.4,1.28,52.3,Matches
212,Son Heung-min,,kr KOR,FWMF,Tottenham,29-270,1992,25.9,0.04,0,0,0.46,1.16,0.5,2.05,0.85,0.23,0.04,0,0,5.14,0.5,1.54,24.5,Matches
213,Ki-Jana Hoever,,nl NED,DF,Wolves,20-076,2002,3.4,0.29,0,0,1.47,1.18,0.29,2.35,1.47,2.94,0,0,0,6.76,1.18,1.18,50,Matches
214,Rob Holding,,eng ENG,DF,Arsenal,26-196,1995,4.8,0.42,0,0,0.83,0.21,0,0,2.08,1.25,0,0,0,7.92,3.33,2.92,53.3,Matches
215,Mason Holgate,,eng ENG,DF,Everton,25-164,1996,15.8,0.25,0.06,0,1.33,0.82,0,0.06,1.96,1.2,0,0,0.06,11,3.29,1.65,66.7,Matches
216,Callum Hudson-Odoi,,eng ENG,FWMF,Chelsea,21-148,2000,10.7,0.09,0,0,1.12,2.06,0.37,2.43,0.47,0.56,0.09,0,0,5.14,0.47,1.12,29.4,Matches
217,Will Hughes,,eng ENG,MF,Crystal Palace,26-352,1995,9.1,0.33,0,0,1.76,1.54,0,0.99,1.54,1.43,0.11,0.11,0,9.78,1.21,1.21,50,Matches
218,Pierre Hojbjerg,,dk DEN,MF,Tottenham,26-242,1995,27.5,0.07,0,0,1.2,1.24,0,0.44,2.04,1.53,0,0,0,11.1,1.2,0.55,68.8,Matches
219,Adam Idah,,ie IRL,FWMF,Norwich City,21-024,2001,6.9,0,0,0,1.45,1.74,1.45,1.59,0.58,0.87,0,0,0,4.93,2.32,5.22,30.8,Matches
220,Kelechi Iheanacho,,ng NGA,FW,Leicester City,25-183,1996,10.2,0.1,0,0,2.25,0.78,0.59,0.78,0.39,0.69,0,0,0,4.41,1.18,2.65,30.8,Matches
221,Danny Ings,,eng ENG,FW,Aston Villa,29-255,1992,16.9,0.12,0,0,0.83,0.65,0.47,0.77,0.83,0.53,0,0,0,4.2,0.89,2.49,26.3,Matches
222,Tim Iroegbunam,,eng ENG,MF,Aston Villa,18-278,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches
223,Alex Iwobi,,ng NGA,MFFW,Everton,25-336,1996,12.6,0.08,0,0,0.63,0.48,0.24,1.51,1.51,1.03,0,0,0,6.19,0.4,1.75,18.5,Matches
224,Daniel James,,wls WAL,FW,Manchester Utd,24-145,1997,1.4,0,0,0,0.71,0.71,1.43,3.57,0,2.86,0,0,0,8.57,0,0.71,0,Matches
225,Daniel James,,wls WAL,FWMF,Leeds United,24-145,1997,23.1,0.26,0,0,1.21,1.47,0.56,1.77,0.78,0.61,0.04,0,0,4.89,0.56,1.99,22,Matches
226,Reece James,,eng ENG,DF,Chelsea,22-117,1999,13.5,0.3,0.07,0,0.81,1.78,0.22,4.07,1.11,1.11,0,0,0.07,7.93,1.04,1.33,43.8,Matches
227,Vitaly Janelt,,de GER,MF,Brentford,23-329,1998,20.7,0.14,0,0,1.4,1.5,0.14,1.01,1.69,1.26,0,0,0,9.28,1.45,1.11,56.6,Matches
228,Pontus Jansson,,se SWE,DF,Brentford,31-050,1991,30.9,0.19,0,0,0.52,0.32,0.13,0,1.78,0.68,0.03,0,0,10.1,3.46,2.1,62.2,Matches
229,Mathias Jensen,,dk DEN,MF,Brentford,26-093,1996,13.7,0,0,0,1.02,0.51,0.22,2.04,1.9,1.75,0,0,0,8.1,0.66,1.17,36,Matches
230,Gabriel Jesus,,br BRA,FW,Manchester City,25-001,1997,15.2,0,0,0,1.71,0.99,0.46,1.45,0.86,0.46,0,0,0,5.99,0.99,1.71,36.6,Matches
231,Raul Jimenez,,mx MEX,FW,Wolves,30-334,1991,23.9,0.38,0.08,0.08,2.09,2.09,0.79,0.5,0.75,0.79,0,0,0,3.97,2.64,3.51,42.9,Matches
232,Joelinton,,br BRA,MFFW,Newcastle Utd,25-233,1996,21.6,0.32,0,0,2.69,2.04,0.09,0.65,1.62,1.81,0,0,0,8.84,3.84,4.07,48.5,Matches
233,Ben Johnson,,eng ENG,DF,West Ham,22-070,2000,13.4,0.07,0,0,0.75,0.22,0,2.46,1.57,1.12,0,0,0,7.76,0.97,1.19,44.8,Matches
234,Curtis Jones,,eng ENG,MF,Liverpool,21-064,2001,7.8,0,0,0,1.28,3.08,0.13,0.26,1.15,0.9,0,0,0,7.95,0.77,1.28,37.5,Matches
235,Phil Jones,,eng ENG,DF,Manchester Utd,30-042,1992,1,0,0,0,0,3,0,0,2,3,0,0,0,8,0,0,,Matches
236,Jorginho,,it ITA,MF,Chelsea,30-105,1991,20.8,0.19,0,0,1.68,1.78,0,0.05,2.31,1.63,0,0,0,10.5,0.67,1.15,36.8,Matches
237,Diogo Jota,,pt POR,FW,Liverpool,25-121,1996,20.4,0.1,0,0,1.67,1.91,0.15,0.69,0.64,0.78,0.1,0,0,5.25,1.57,3.92,28.6,Matches
238,James Justin,,eng ENG,DF,Leicester City,24-040,1998,5.1,0,0,0,1.18,1.57,0.2,0.39,2.75,1.37,0,0,0,8.04,0.78,1.57,33.3,Matches
239,Mathias Jorgensen,,dk DEN,DF,Brentford,31-346,1990,4.8,0.42,0,0,1.88,0.21,0,1.67,2.08,0.42,0,0,0,12.3,3.33,1.46,69.6,Matches
240,Ozan Kabak,,tr TUR,DF,Norwich City,22-010,2000,10.2,0.2,0,0,1.18,1.27,0,0,2.16,1.08,0,0.2,0,7.84,2.84,1.96,59.2,Matches
241,Christian Kabasele,,be BEL,DF,Watford,31-039,1991,6.3,0,0,0,0.32,0.16,0,0.16,2.54,0.63,0,0,0,6.19,3.33,0.95,77.8,Matches
242,Samuel Kalu,,ng NGA,FWMF,Watford,24-221,1997,0.5,0,0,0,0,0,2,0,2,0,0,0,0,0,2,6,25,Matches
243,Hassane Kamara,,ci CIV,DF,Watford,27-197,1994,11.9,0.17,0,0,1.51,1.01,0,1.09,5.04,2.18,0,0,0,10.8,2.52,0.84,75,Matches
244,Harry Kane,,eng ENG,FW,Tottenham,28-250,1993,27.9,0.14,0,0,1.29,1.83,0.47,1.04,0.22,0.25,0,0,0,4.3,2.51,3.08,44.9,Matches
245,N'Golo Kante,,fr FRA,MF,Chelsea,31-006,1991,14,0.07,0,0,1.07,1.57,0,0.57,2.21,1.5,0,0,0,8.71,0.93,1.14,44.8,Matches
246,Edo Kayembe,,cd COD,MF,Watford,23-244,1998,4.6,0,0,0,0.65,0.65,0,0.87,1.96,1.52,0,0,0,13.9,0.87,2.17,28.6,Matches
247,Moise Kean,,it ITA,FW,Everton,22-035,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
248,Michael Keane,,eng ENG,DF,Everton,29-083,1993,25.2,0.12,0.04,0.04,0.56,0.36,0.04,0,2.06,1.19,0,0,0.08,10.6,3.89,2.42,61.6,Matches
249,Naby Keita,,gn GUI,MF,Liverpool,27-053,1995,9.2,0.11,0,0,2.61,0.98,0,0.54,1.41,1.96,0,0,0,9.67,0.65,1.2,35.3,Matches
250,Caoimhin Kelleher,,ie IRL,GK,Liverpool,23-132,1998,2,0,0,0,0,0.5,0,0,0,0,0,0,0,5.5,0,0,,Matches
251,Jonjoe Kenny,,eng ENG,DF,Everton,25-020,1997,8.8,0.34,0.11,0.11,1.14,0.45,0.11,1.14,2.95,1.02,0,0,0,7.27,0.68,1.48,31.6,Matches
252,Max Kilman,,eng ENG,DF,Wolves,24-316,1997,28.9,0.1,0,0,0.76,0.55,0,0.07,2.21,1.14,0,0.03,0,7.79,2.87,1.49,65.9,Matches
253,Joshua King,,no NOR,FW,Watford,30-079,1992,22,0.18,0,0,1.73,1.09,0.36,1.05,0.5,0.82,0.05,0,0,4.32,3.91,5.09,43.4,Matches
254,Kristoffer Klaesson,,no NOR,GK,Leeds United,21-128,2000,0.4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
255,Mateusz Klich,,pl POL,MF,Leeds United,31-295,1990,19.1,0.21,0,0,1.99,0.79,0.1,1.36,1.36,1.05,0,0.05,0,9.37,0.31,0.79,28.6,Matches
256,Robin Koch,,de GER,MFDF,Leeds United,25-261,1996,11.2,0.27,0,0,1.43,0.89,0,0,2.68,0.98,0,0,0,9.73,2.68,2.59,50.8,Matches
257,Sead Kolasinac,,ba BIH,DF,Arsenal,28-288,1993,1,1,0,0,3,0,0,0,4,1,0,0,0,2,2,1,66.7,Matches
258,Ibrahima Konate,,fr FRA,DF,Liverpool,22-314,1999,8,0.25,0,0,1.25,0.25,0,0,2.63,0.75,0,0,0,11.4,4,1.13,78,Matches
259,Ezri Konsa,,eng ENG,DF,Aston Villa,24-163,1997,23,0.26,0.09,0.04,0.52,1.26,0.04,0.04,1.65,0.57,0,0.04,0,6.91,2.22,1.61,58,Matches
260,Cheikhou Kouyate,,sn SEN,MF,Crystal Palace,32-104,1989,18.5,0.11,0,0,1.68,1.41,0,0.22,2.05,1.62,0,0,0,11.9,2.76,1.3,68,Matches
261,Mateo Kova?i?,,hr CRO,MF,Chelsea,27-333,1994,14.5,0.28,0,0,1.86,2.28,0,0.21,1.24,2.41,0,0,0,9.1,0.34,0.62,35.7,Matches
262,Emil Krafth,,se SWE,DF,Newcastle Utd,27-245,1994,11.5,0.35,0,0,1.83,0.7,0,0.96,2.26,0.78,0,0,0,7.22,1.65,1.65,50,Matches
263,Alex Kral,,cz CZE,MF,West Ham,23-320,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50,Matches
264,Tim Krul,,nl NED,GK,Norwich City,34-001,1988,23,0.04,0,0,0,0.04,0,0,0,0,0,0,0.04,5.26,0,0,,Matches
265,Juraj Kucka,,sk SVK,MF,Watford,35-037,1987,18.6,0.22,0.05,0.05,2.42,2.2,0.11,0.48,2.15,2.37,0,0.05,0.05,10.8,2.58,2.37,52.2,Matches
266,Dejan Kulusevski,,se SWE,MFFW,Tottenham,21-344,2000,8.4,0.12,0,0,1.79,1.31,0.48,1.9,2.02,0.83,0,0,0,6.9,0.48,0.6,44.4,Matches
267,Alexandre Lacazette,,fr FRA,FWMF,Arsenal,30-311,1991,17,0,0,0,1.88,1.76,0.24,0.41,0.71,1,0.24,0,0,4.06,1.18,3.12,27.4,Matches
268,Adam Lallana,,eng ENG,MF,Brighton,33-329,1988,16.8,0.24,0,0,0.83,1.37,0,0.48,1.61,1.31,0,0,0,10.5,0.77,0.77,50,Matches
269,Tariq Lamptey,,eng ENG,DFFW,Brighton,21-186,2000,15.2,0.2,0,0,1.84,3.29,0.2,4.21,2.04,1.32,0,0,0,7.5,0.46,1.64,21.9,Matches
270,Manuel Lanzini,,ar ARG,MF,West Ham,29-048,1993,14.7,0.14,0,0,0.68,1.22,0.07,0.61,1.5,1.09,0,0,0,10.1,0.34,0.95,26.3,Matches
271,Aymeric Laporte,,es ESP,DF,Manchester City,27-312,1994,24.1,0.21,0.04,0,0.41,0.5,0.04,0.12,1.04,0.5,0.04,0,0,9.09,2.41,1.16,67.4,Matches
272,Jamaal Lascelles,,eng ENG,DF,Newcastle Utd,28-144,1993,19.1,0.26,0,0,1.05,0.16,0,0.16,1.52,0.42,0,0.16,0.1,7.38,4.4,1.47,75,Matches
273,Pierre Lees-Melou,,fr FRA,MF,Norwich City,28-314,1993,18.5,0.22,0,0,2.05,1.08,0.05,1.3,1.62,1.62,0.05,0,0,9.14,0.59,0.81,42.3,Matches
274,Aaron Lennon,,eng ENG,MF,Burnley,34-353,1987,12.9,0.16,0,0,1.47,1.16,0.31,1.71,0.7,1.01,0,0,0,4.96,0.7,1.16,37.5,Matches
275,Bernd Leno,,de GER,GK,Arsenal,30-031,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
276,Jamal Lewis,,nir NIR,DF,Newcastle Utd,24-069,1998,2.9,0.34,0,0,0.69,1.03,0,1.03,2.07,2.07,0,0,0,7.93,0.69,2.07,25,Matches
277,Victor Lindelof,,se SWE,DF,Manchester Utd,27-261,1994,18.2,0.11,0,0,0.82,0.38,0,0,2.14,0.44,0,0,0,10.4,2.47,1.15,68.2,Matches
278,Jesse Lingard,,eng ENG,FW,Manchester Utd,29-110,1992,2.3,0.43,0,0,2.17,0.87,0.43,3.48,0.87,1.3,0,0,0,6.52,0,0.43,0,Matches
279,Valentino Livramento,,eng ENG,DF,Southampton,19-143,2002,23.2,0.09,0,0,0.73,1.68,0.04,2.33,2.93,1.25,0.04,0,0,9.14,1.16,1.47,44.3,Matches
280,Diego Llorente,,es ESP,DF,Leeds United,28-231,1993,20,0.3,0,0,1.2,1,0,0.1,2.4,1.45,0,0,0,10.6,2.45,2.25,52.1,Matches
281,Hugo Lloris,,fr FRA,GK,Tottenham,35-099,1986,30,0.03,0,0,0,0.1,0,0,0,0,0,0,0,4,0,0.03,0,Matches
282,Giovani Lo Celso,,ar ARG,MFFW,Tottenham,25-360,1996,2.6,0,0,0,1.92,2.69,0.38,0.38,1.15,1.15,0,0,0,7.31,0,1.15,0,Matches
283,Jurgen Locadia,,nl NED,FW,Brighton,28-148,1993,0.3,0,0,0,3.33,3.33,0,0,0,3.33,0,0,0,3.33,0,0,,Matches
284,Ruben Loftus-Cheek,,eng ENG,MF,Chelsea,26-071,1996,9.7,0.1,0,0,1.86,3.3,0.1,0.41,1.13,1.34,0,0,0,11.5,2.58,0.72,78.1,Matches
285,Kevin Long,,ie IRL,DF,Burnley,31-229,1990,1,0,0,0,1,1,0,0,2,0,0,0,0,8,6,0,100,Matches
286,Shane Long,,ie IRL,FWMF,Southampton,35-072,1987,1.6,0,0,0,2.5,3.13,0.63,1.25,0,1.25,0,0,0,3.75,10.6,9.38,53.1,Matches
287,Sean Longstaff,,eng ENG,MF,Newcastle Utd,24-156,1997,12.2,0.08,0,0,1.89,1.48,0,0.16,1.39,2.38,0,0,0,10.2,0.98,0.74,57.1,Matches
288,Ademola Lookman,,ng NGA,FWMF,Leicester City,24-166,1997,12.7,0.16,0,0,1.65,2.68,0.39,1.5,1.42,1.42,0,0,0,7.09,0.31,1.1,22.2,Matches
289,Jonas Lossl,,dk DEN,GK,Brentford,33-062,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
290,Imran Louza,,ma MAR,MF,Watford,22-338,1999,11.9,0.34,0,0,2.18,1.26,0,1.09,2.77,2.02,0,0,0,12.6,0.59,0.84,41.2,Matches
291,Matthew Lowton,,eng ENG,DF,Burnley,32-299,1989,16.8,0.12,0,0,0.77,0.48,0,1.85,1.79,1.31,0,0,0,9.46,1.25,1.31,48.8,Matches
292,Douglas Luiz,,br BRA,MF,Aston Villa,23-330,1998,23.1,0.26,0,0,1.69,1.77,0,0.82,2.21,1.39,0,0,0,9.61,1.26,1.08,53.7,Matches
293,Romelu Lukaku,,be BEL,FW,Chelsea,28-326,1993,13.8,0,0,0,0.43,0.72,0.65,0.43,0.07,0.07,0.07,0,0,3.04,2.83,2.83,50,Matches
294,Lyanco,,br BRA,DF,Southampton,25-062,1997,6.1,0.33,0,0,2.13,1.15,0,0.49,2.79,1.31,0,0,0,10.7,1.97,1.48,57.1,Matches
295,Alexis Mac Allister,,ar ARG,MFFW,Brighton,23-101,1998,15.9,0.19,0,0,1.82,1.95,0.13,1.07,1.26,2.45,0,0,0,10.6,1.32,0.94,58.3,Matches
296,James Maddison,,eng ENG,MFFW,Leicester City,25-132,1996,20.1,0.1,0,0,0.6,2.89,0.2,1.49,0.8,0.75,0.05,0,0,5.02,0.3,1.04,22.2,Matches
297,Harry Maguire,,eng ENG,DF,Manchester Utd,29-030,1993,23.7,0.38,0.04,0.04,0.8,0.76,0.04,0,1.69,0.68,0,0,0.04,10.3,3.59,1.27,73.9,Matches
298,Riyad Mahrez,,dz ALG,FW,Manchester City,31-042,1991,13.5,0,0,0,0.67,1.11,0.22,3.04,0.59,0.3,0,0,0,6.22,0.74,0.96,43.5,Matches
299,Ainsley Maitland-Niles,,eng ENG,MF,Arsenal,24-218,1997,3,0,0,0,1.67,0.67,0,0.33,1,1.33,0,0,0,12.3,1.67,1.33,55.6,Matches
