,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD Won,AD Lost,AD Won%,Matches
34,Shandon Baptiste,,gd GRN,MF,Brentford,23-361,1998,9.8,0.2,0.1,0.1,0.61,1.43,0.1,0.51,1.84,0.41,0,0,0,8.06,1.02,2.04,33.3,Matches
35,Ross Barkley,,eng ENG,MF,Chelsea,28-120,1993,1.7,0,0,0,1.18,2.35,0,0.59,1.18,0.59,0,0,0,5.88,2.94,1.18,71.4,Matches
36,Ashley Barnes,,eng ENG,FW,Burnley,32-156,1989,4.8,0.63,0,0,3.33,1.88,1.25,0.21,0.83,1.67,0,0,0,6.04,4.38,7.08,38.2,Matches
37,Harvey Barnes,,eng ENG,FWMF,Leicester City,24-116,1997,18.4,0.11,0,0,0.76,1.47,0.43,1.79,0.38,0.38,0,0,0,5.16,0.92,1.9,32.7,Matches
38,Lewis Bate,,eng ENG,MF,Leeds United,19-157,2002,0.5,0,0,0,2,0,0,0,4,0,0,0,0,12,0,2,0,Matches
39,Mads Bech Sorensen,,dk DEN,DF,Brentford,23-087,1999,4.2,0.24,0,0,0.48,0.48,0,2.62,1.9,0.95,0,0,0,9.76,1.19,1.19,50,Matches
40,Jan Bednarek,,pl POL,DF,Southampton,25-357,1996,23.2,0.3,0,0,1.16,0.65,0.04,0.13,3.1,0.82,0,0.04,0.04,11.3,4.01,2.16,65,Matches
41,Donny van de Beek,,nl NED,MF,Everton,24-351,1997,4.8,0.21,0,0,2.08,0.21,0,1.25,1.88,1.46,0,0,0,12.5,1.25,0.63,66.7,Matches
42,Donny van de Beek,,nl NED,MF,Manchester Utd,24-351,1997,0.8,0,0,0,5,2.5,0,0,2.5,3.75,0,0,0,13.8,3.75,3.75,50,Matches
43,Asmir Begovic,,ba BIH,GK,Everton,34-288,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,,Matches
44,Said Benrahma,,dz ALG,FWMF,West Ham,26-237,1995,20.8,0,0,0,0.24,0.96,0.34,2.4,0.58,1.06,0,0,0,6.88,0.67,0.87,43.8,Matches
45,Rodrigo Bentancur,,uy URU,MF,Tottenham,24-303,1997,7.6,0.26,0,0,1.97,1.45,0,0.39,0.92,1.45,0,0,0,10.4,1.45,1.18,55,Matches
46,Christian Benteke,,be BEL,FW,Crystal Palace,31-122,1990,12.4,0.24,0,0,1.21,1.37,0.73,0.08,0.08,0.16,0,0,0,3.47,6.45,4.76,57.6,Matches
47,Johann Berg Gudmundsson,,is ISL,MF,Burnley,31-159,1990,12.2,0.16,0,0,1.39,1.31,0.25,3.44,1.39,0.74,0,0,0,7.87,1.72,1.31,56.8,Matches
48,Steven Bergwijn,,nl NED,FWMF,Tottenham,24-178,1997,5.6,0.18,0,0,1.25,2.14,0.18,1.07,0.71,0.71,0,0,0,4.64,0.18,1.07,14.3,Matches
49,Ryan Bertrand,,eng ENG,DF,Leicester City,32-242,1989,3.7,0.27,0,0,1.35,0.27,0,0.27,0.81,1.08,0,0,0,4.59,0.81,1.35,37.5,Matches
50,Mads Bidstrup,,dk DEN,MF,Brentford,21-038,2001,0.5,0,0,0,2,0,0,0,2,4,0,0,0,12,0,0,,Matches
51,Yves Bissouma,,ml MLI,MF,Brighton,25-217,1996,18.1,0.44,0,0,1.38,1.27,0,0.28,2.38,2.32,0,0.06,0,11.4,0.94,0.66,58.6,Matches
52,Willy Boly,,ci CIV,DF,Wolves,31-060,1991,3,0.33,0,0,1.33,0.33,0,0,2.33,1.33,0,0,0,14.3,5,2.67,65.2,Matches
53,Jarrod Bowen,,eng ENG,FW,West Ham,25-105,1996,26.9,0.11,0,0,0.86,1.6,0.45,1.64,1.26,0.86,0.07,0,0,6.28,1.3,2.38,35.4,Matches
54,Jarrad Branthwaite,,eng ENG,DF,Everton,19-281,2002,2.1,0,0,0,0.48,0.95,0,0,2.38,0.95,0,0,0,10,3.33,1.43,70,Matches
55,Armando Broja,,al ALB,FW,Southampton,20-206,2001,17.8,0.06,0,0,1.69,1.52,0.56,0.96,0.62,0.56,0.06,0,0,4.44,4.44,8.37,34.6,Matches
56,Josh Brownhill,,eng ENG,MF,Burnley,26-106,1995,23.4,0.34,0,0,1.5,0.77,0,0.68,2.52,1.24,0,0,0,10.7,1.71,1.37,55.6,Matches
57,Bryan,,es ESP,FWMF,Tottenham,21-052,2001,1,0,0,0,1,4,0,4,0,3,0,0,0,12,0,0,,Matches
58,Emi Buendia,,ar ARG,FWMF,Aston Villa,25-100,1996,17.3,0.06,0,0,0.81,2.43,0.12,0.92,0.87,1.68,0,0,0,7.98,1.16,2.02,36.4,Matches
59,Dan Burn,,eng ENG,DF,Newcastle Utd,29-330,1992,8,0.38,0,0,1.13,0.38,0.25,0.13,1.13,0.63,0,0,0,11.9,6,2,75,Matches
60,Dan Burn,,eng ENG,DF,Brighton,29-330,1992,11.4,0.35,0,0,1.58,0.26,0,0.09,2.81,1.32,0,0,0,8.77,3.6,1.75,67.2,Matches
61,Jack Butland,,eng ENG,GK,Crystal Palace,29-025,1993,5.5,0,0,0,0,0.18,0,0,0,0,0,0,0,3.27,0,0,,Matches
62,Sam Byram,,eng ENG,DFMF,Norwich City,28-200,1993,4,0.5,0,0,2.75,0.25,0,1.5,3.25,2,0,0.25,0,7.75,4.5,3,60,Matches
63,Willy Caballero,,ar ARG,GK,Southampton,40-188,1981,2,0.5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
64,Dominic Calvert-Lewin,,eng ENG,FW,Everton,25-019,1997,9.3,0.22,0,0,1.08,1.51,0.43,0.22,0.54,0.75,0.11,0,0,3.23,5.16,7.53,40.7,Matches
65,Joao Cancelo,,pt POR,DF,Manchester City,27-312,1994,27.9,0.18,0,0,1.11,0.97,0.07,2.9,2.19,1.54,0,0,0,9.68,1.29,1.29,50,Matches
66,Sergi Canos,,es ESP,DF,Brentford,25-061,1997,22.8,0.26,0,0,1.4,0.88,0.22,2.28,1.4,0.96,0,0,0.04,7.76,0.61,1.36,31.1,Matches
67,Todd Cantwell,,eng ENG,FWMF,Norwich City,24-036,1998,4.9,0.41,0,0,1.22,2.45,0.41,0.61,0.82,2.24,0,0,0,6.53,0.82,1.02,44.4,Matches
68,Matty Cash,,pl POL,DF,Aston Villa,24-240,1997,29.5,0.27,0,0,1.39,1.36,0.07,2.85,2.58,1.22,0,0.03,0,7.59,1.32,1.59,45.3,Matches
69,Timothy Castagne,,be BEL,DF,Leicester City,26-120,1995,15.8,0.06,0,0,0.7,0.63,0,0.7,1.65,1.01,0,0,0,7.78,2.15,0.82,72.3,Matches
70,Jonny Castro,,es ESP,DF,Wolves,28-032,1994,5,0.2,0,0,2,3,0,1.2,0.8,1.6,0,0,0,9.6,1.2,1.2,50,Matches
71,Craig Cathcart,,nir NIR,DF,Watford,33-057,1989,24.3,0.12,0,0,0.58,0.29,0,0.12,1.4,0.58,0,0,0,8.31,2.47,1.44,63.2,Matches
72,Edinson Cavani,,uy URU,FW,Manchester Utd,35-049,1987,6.8,0,0,0,0.88,0.59,0.44,0.44,1.03,0.29,0,0,0,4.12,0.44,1.76,20,Matches
73,Kayky Chagas,,br BRA,FW,Manchester City,18-297,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
74,Trevoh Chalobah,,eng ENG,DF,Chelsea,22-273,1999,13.1,0.15,0,0,1.37,1.07,0,0.15,2.06,1.3,0,0.08,0,9.85,2.29,1.68,57.7,Matches
75,Calum Chambers,,eng ENG,DF,Arsenal,27-074,1995,1.9,0,0,0,0.53,0.53,0,1.05,1.58,0.53,0,0,0,7.37,1.58,1.05,60,Matches
76,Calum Chambers,,eng ENG,DF,Aston Villa,27-074,1995,5,0,0,0,1.4,0.4,0,0.2,0.6,1.2,0,0,0,10.8,3,3.2,48.4,Matches
77,Daniel Chesters,,eng ENG,MF,West Ham,20-000,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
78,Ben Chilwell,,eng ENG,DF,Chelsea,25-104,1996,6,0,0,0,1.67,3,0.33,1.67,1,0.83,0,0.17,0,7,1.33,1.83,42.1,Matches
79,Chiquinho,,pt POR,MFDF,Wolves,22-058,2000,0.6,0,0,0,13.3,3.33,0,11.7,0,3.33,0,0,0,10,3.33,0,100,Matches
80,Hamza Choudhury,,eng ENG,DFMF,Leicester City,24-185,1997,3.2,0.31,0,0,1.88,2.19,0,0,5,0.63,0,0,0,7.5,4.38,0.31,93.3,Matches
81,Andreas Christensen,,dk DEN,DF,Chelsea,25-359,1996,14.1,0.14,0,0,0.71,0.43,0,0.07,3.62,0.78,0,0,0,10.1,3.62,2.55,58.6,Matches
82,Carney Chukwuemeka,,eng ENG,MFFW,Aston Villa,18-087,2004,2.2,0,0,0,0.45,2.73,0,0,1.36,0.45,0,0,0,8.64,2.27,4.55,33.3,Matches
83,Ciaran Clark,,ie IRL,DF,Newcastle Utd,32-190,1989,11.3,0.18,0.09,0,0.53,0.62,0.09,0.27,1.33,1.15,0,0.09,0,7.61,3.01,1.33,69.4,Matches
84,Tom Cleverley,,eng ENG,MF,Watford,32-235,1989,15.3,0.13,0,0,1.96,0.98,0.13,1.05,1.5,1.37,0,0,0,7.91,0.98,2.29,30,Matches
85,Nathaniel Clyne,,eng ENG,DF,Crystal Palace,30-364,1991,6,0.17,0,0,0.33,0.5,0,0.67,3.33,1.17,0,0,0,6.5,0.83,0.67,55.6,Matches
86,Conor Coady,,eng ENG,DF,Wolves,29-038,1993,30.8,0.1,0,0,0.58,0.1,0.03,0.06,1.07,0.55,0,0,0,6.14,1.1,0.75,59.6,Matches
87,Seamus Coleman,,ie IRL,DF,Everton,33-175,1988,21.6,0.09,0,0,0.6,0.69,0.09,1.71,1.85,1.44,0.05,0,0,9.44,1.25,1.2,50.9,Matches
88,Nathan Collins,,ie IRL,DF,Burnley,20-339,2001,8.6,0.12,0.12,0,1.16,0.81,0.23,0,2.44,1.51,0,0,0,13.4,5,2.44,67.2,Matches
89,Aaron Connolly,,ie IRL,FW,Brighton,22-066,2000,1.7,0,0,0,0.59,4.12,0,0.59,0,0,0,0,0,4.12,0,4.12,0,Matches
90,Liam Cooper,,sct SCO,DF,Leeds United,30-217,1991,15.2,0.26,0,0,0.92,0.66,0.13,0.07,1.91,0.86,0,0.07,0,11.6,4.61,2.11,68.6,Matches
91,Jack Cork,,eng ENG,MF,Burnley,32-283,1989,10.6,0.19,0,0,2.74,0.38,0,0.28,1.79,0.47,0,0,0,8.87,1.79,2.08,46.3,Matches
92,Maxwel Cornet,,ci CIV,FWMF,Burnley,25-189,1996,12.7,0.16,0,0,1.18,1.26,1.5,0.94,0.63,0.63,0,0,0,5.75,1.97,3.78,34.2,Matches
93,Helder Costa,,ao ANG,MF,Leeds United,28-082,1994,0.2,0,0,0,10,10,0,0,0,0,0,0,0,0,0,5,0,Matches
94,Vladimir Coufal,,cz CZE,DF,West Ham,29-225,1992,18.7,0.21,0.05,0.05,1.18,0.91,0.11,3.37,1.44,1.02,0,0,0,11.9,1.76,1.66,51.6,Matches
95,Philippe Coutinho,,br BRA,MFFW,Aston Villa,29-296,1992,9.4,0,0,0,0.64,1.06,0.21,1.06,0.53,0.64,0,0,0,5.64,0.32,1.6,16.7,Matches
